,종목코드,종목명,날짜,종가
0,A049720,고려신용정보,20210812,9140
1,A049720,고려신용정보,20210811,9140
2,A049720,고려신용정보,20210810,9140
3,A049720,고려신용정보,20210809,9330
4,A049720,고려신용정보,20210806,9390
5,A049720,고려신용정보,20210805,9340
6,A049720,고려신용정보,20210804,9270
7,A049720,고려신용정보,20210803,9000
8,A049720,고려신용정보,20210802,8900
9,A049720,고려신용정보,20210730,8740
10,A049720,고려신용정보,20210729,8960
11,A049720,고려신용정보,20210728,9020
12,A049720,고려신용정보,20210727,9100
13,A049720,고려신용정보,20210726,9220
14,A049720,고려신용정보,20210723,9180
15,A049720,고려신용정보,20210722,9180
16,A049720,고려신용정보,20210721,9270
17,A049720,고려신용정보,20210720,9300
18,A049720,고려신용정보,20210719,9260
19,A049720,고려신용정보,20210716,9290
20,A049720,고려신용정보,20210715,9310
21,A049720,고려신용정보,20210714,9350
22,A049720,고려신용정보,20210713,9350
23,A049720,고려신용정보,20210712,9290
24,A049720,고려신용정보,20210709,9130
25,A049720,고려신용정보,20210708,9200
26,A049720,고려신용정보,20210707,9290
27,A049720,고려신용정보,20210706,9240
28,A049720,고려신용정보,20210705,9200
29,A049720,고려신용정보,20210702,9300
30,A049720,고려신용정보,20210701,9640
31,A049720,고려신용정보,20210630,9820
32,A049720,고려신용정보,20210629,9780
33,A049720,고려신용정보,20210628,9980
34,A049720,고려신용정보,20210625,9830
35,A049720,고려신용정보,20210624,9820
36,A049720,고려신용정보,20210623,9860
37,A049720,고려신용정보,20210622,10000
38,A049720,고려신용정보,20210621,10550
39,A049720,고려신용정보,20210618,10750
40,A049720,고려신용정보,20210617,10350
41,A049720,고려신용정보,20210616,9890
42,A049720,고려신용정보,20210615,9290
43,A049720,고려신용정보,20210614,9170
44,A049720,고려신용정보,20210611,9150
45,A049720,고려신용정보,20210610,9320
46,A049720,고려신용정보,20210609,9100
47,A049720,고려신용정보,20210608,9170
48,A049720,고려신용정보,20210607,8780
49,A049720,고려신용정보,20210604,9300
50,A049720,고려신용정보,20210603,8760
51,A049720,고려신용정보,20210602,8510
52,A049720,고려신용정보,20210601,8380
53,A049720,고려신용정보,20210531,8200
54,A049720,고려신용정보,20210528,8000
55,A049720,고려신용정보,20210527,7980
56,A049720,고려신용정보,20210526,7990
57,A049720,고려신용정보,20210525,7570
58,A049720,고려신용정보,20210524,7510
59,A049720,고려신용정보,20210521,7290
60,A049720,고려신용정보,20210520,7270
61,A049720,고려신용정보,20210518,7300
62,A049720,고려신용정보,20210517,7240
63,A049720,고려신용정보,20210514,7310
64,A049720,고려신용정보,20210513,7280
65,A049720,고려신용정보,20210512,7180
66,A049720,고려신용정보,20210511,7280
67,A049720,고려신용정보,20210510,7230
68,A049720,고려신용정보,20210507,7270
69,A049720,고려신용정보,20210506,7080
70,A049720,고려신용정보,20210504,7040
71,A049720,고려신용정보,20210503,7030
72,A049720,고려신용정보,20210430,6940
73,A049720,고려신용정보,20210429,7060
74,A049720,고려신용정보,20210428,7290
75,A049720,고려신용정보,20210427,7360
76,A049720,고려신용정보,20210426,7290
77,A049720,고려신용정보,20210423,7320
78,A049720,고려신용정보,20210422,7350
79,A049720,고려신용정보,20210421,7400
80,A049720,고려신용정보,20210420,7390
81,A049720,고려신용정보,20210419,7380
82,A049720,고려신용정보,20210416,7480
83,A049720,고려신용정보,20210415,7530
84,A049720,고려신용정보,20210414,7320
85,A049720,고려신용정보,20210413,7380
86,A049720,고려신용정보,20210412,7430
87,A049720,고려신용정보,20210409,7400
88,A049720,고려신용정보,20210408,7320
89,A049720,고려신용정보,20210407,7180
90,A049720,고려신용정보,20210406,6990
91,A049720,고려신용정보,20210405,6970
92,A049720,고려신용정보,20210402,6850
93,A049720,고려신용정보,20210401,6810
94,A049720,고려신용정보,20210331,6770
95,A049720,고려신용정보,20210330,6600
96,A049720,고려신용정보,20210329,6740
97,A049720,고려신용정보,20210326,6800
98,A049720,고려신용정보,20210325,6710
99,A049720,고려신용정보,20210324,6640
100,A049720,고려신용정보,20210323,6590
101,A049720,고려신용정보,20210322,6520
102,A049720,고려신용정보,20210319,6300
103,A049720,고려신용정보,20210318,6240
104,A049720,고려신용정보,20210317,6230
105,A049720,고려신용정보,20210316,6240
106,A049720,고려신용정보,20210315,6220
107,A049720,고려신용정보,20210312,6300
108,A049720,고려신용정보,20210311,6300
109,A049720,고려신용정보,20210310,6270
110,A049720,고려신용정보,20210309,6030
111,A049720,고려신용정보,20210308,6030
112,A049720,고려신용정보,20210305,6030
113,A049720,고려신용정보,20210304,6040
114,A049720,고려신용정보,20210303,6040
115,A049720,고려신용정보,20210302,6020
116,A049720,고려신용정보,20210226,6040
117,A049720,고려신용정보,20210225,6090
118,A049720,고려신용정보,20210224,6030
119,A049720,고려신용정보,20210223,6150
120,A049720,고려신용정보,20210222,6160
121,A049720,고려신용정보,20210219,6190
122,A049720,고려신용정보,20210218,6060
123,A049720,고려신용정보,20210217,6120
124,A049720,고려신용정보,20210216,6070
125,A049720,고려신용정보,20210215,6100
126,A049720,고려신용정보,20210210,6080
127,A049720,고려신용정보,20210209,6130
128,A049720,고려신용정보,20210208,6040
129,A049720,고려신용정보,20210205,5890
130,A049720,고려신용정보,20210204,5830
131,A049720,고려신용정보,20210203,5810
132,A049720,고려신용정보,20210202,5770
133,A049720,고려신용정보,20210201,5640
134,A049720,고려신용정보,20210129,5640
135,A049720,고려신용정보,20210128,5680
136,A049720,고려신용정보,20210127,5800
137,A049720,고려신용정보,20210126,5800
138,A049720,고려신용정보,20210125,5830
139,A049720,고려신용정보,20210122,5800
140,A049720,고려신용정보,20210121,5810
141,A049720,고려신용정보,20210120,5770
142,A049720,고려신용정보,20210119,5810
143,A049720,고려신용정보,20210118,5790
144,A049720,고려신용정보,20210115,5810
145,A049720,고려신용정보,20210114,5860
146,A049720,고려신용정보,20210113,5840
147,A049720,고려신용정보,20210112,5770
148,A049720,고려신용정보,20210111,5760
149,A049720,고려신용정보,20210108,5900
150,A049720,고려신용정보,20210107,5950
151,A049720,고려신용정보,20210106,5830
152,A049720,고려신용정보,20210105,5800
153,A049720,고려신용정보,20210104,5770
154,A049720,고려신용정보,20201230,5970
155,A049720,고려신용정보,20201229,6070
156,A049720,고려신용정보,20201228,6330
157,A049720,고려신용정보,20201224,6300
158,A049720,고려신용정보,20201223,6230
159,A049720,고려신용정보,20201222,6200
160,A049720,고려신용정보,20201221,6270
161,A049720,고려신용정보,20201218,6260
162,A049720,고려신용정보,20201217,6250
163,A049720,고려신용정보,20201216,6290
164,A049720,고려신용정보,20201215,6280
165,A049720,고려신용정보,20201214,6280
166,A049720,고려신용정보,20201211,6190
167,A049720,고려신용정보,20201210,6130
168,A049720,고려신용정보,20201209,6120
169,A049720,고려신용정보,20201208,6060
170,A049720,고려신용정보,20201207,6100
171,A049720,고려신용정보,20201204,6050
172,A049720,고려신용정보,20201203,6220
173,A049720,고려신용정보,20201202,6270
174,A049720,고려신용정보,20201201,6110
175,A049720,고려신용정보,20201130,6010
176,A049720,고려신용정보,20201127,5990
177,A049720,고려신용정보,20201126,5990
178,A049720,고려신용정보,20201125,5900
179,A049720,고려신용정보,20201124,5890
180,A049720,고려신용정보,20201123,5800
181,A049720,고려신용정보,20201120,5750
182,A049720,고려신용정보,20201119,5780
183,A049720,고려신용정보,20201118,5690
184,A049720,고려신용정보,20201117,5670
185,A049720,고려신용정보,20201116,5630
186,A049720,고려신용정보,20201113,5500
187,A049720,고려신용정보,20201112,5510
188,A049720,고려신용정보,20201111,5520
189,A049720,고려신용정보,20201110,5450
190,A049720,고려신용정보,20201109,5470
191,A049720,고려신용정보,20201106,5410
192,A049720,고려신용정보,20201105,5430
193,A049720,고려신용정보,20201104,5460
194,A049720,고려신용정보,20201103,5450
195,A049720,고려신용정보,20201102,5390
196,A049720,고려신용정보,20201030,5360
197,A049720,고려신용정보,20201029,5400
198,A049720,고려신용정보,20201028,5500
199,A049720,고려신용정보,20201027,5460
200,A049720,고려신용정보,20201026,5550
201,A049720,고려신용정보,20201023,5480
202,A049720,고려신용정보,20201022,5500
203,A049720,고려신용정보,20201021,5450
204,A049720,고려신용정보,20201020,5420
205,A049720,고려신용정보,20201019,5450
206,A049720,고려신용정보,20201016,5440
207,A049720,고려신용정보,20201015,5440
208,A049720,고려신용정보,20201014,5440
209,A049720,고려신용정보,20201013,5500
210,A049720,고려신용정보,20201012,5530
211,A049720,고려신용정보,20201008,5440
212,A049720,고려신용정보,20201007,5440
213,A049720,고려신용정보,20201006,5460
214,A049720,고려신용정보,20201005,5450
215,A049720,고려신용정보,20200929,5420
216,A049720,고려신용정보,20200928,5390
217,A049720,고려신용정보,20200925,5290
218,A049720,고려신용정보,20200924,5300
219,A049720,고려신용정보,20200923,5410
220,A049720,고려신용정보,20200922,5370
221,A049720,고려신용정보,20200921,5480
222,A049720,고려신용정보,20200918,5580
223,A049720,고려신용정보,20200917,5600
224,A049720,고려신용정보,20200916,5600
225,A049720,고려신용정보,20200915,5680
226,A049720,고려신용정보,20200914,5600
227,A049720,고려신용정보,20200911,5520
228,A049720,고려신용정보,20200910,5570
229,A049720,고려신용정보,20200909,5480
230,A049720,고려신용정보,20200908,5580
231,A049720,고려신용정보,20200907,5510
232,A049720,고려신용정보,20200904,5480
233,A049720,고려신용정보,20200903,5530
234,A049720,고려신용정보,20200902,5600
235,A049720,고려신용정보,20200901,5560
236,A049720,고려신용정보,20200831,5600
237,A049720,고려신용정보,20200828,5680
238,A049720,고려신용정보,20200827,5560
239,A049720,고려신용정보,20200826,5650
240,A049720,고려신용정보,20200825,5670
241,A049720,고려신용정보,20200824,5560
242,A049720,고려신용정보,20200821,5590
243,A049720,고려신용정보,20200820,5480
244,A049720,고려신용정보,20200819,5710
245,A049720,고려신용정보,20200818,5520
246,A049720,고려신용정보,20200814,5560
247,A049720,고려신용정보,20200813,5460
248,A049720,고려신용정보,20200812,5440
249,A049720,고려신용정보,20200811,5470
250,A049720,고려신용정보,20200810,5470
251,A049720,고려신용정보,20200807,5540
252,A049720,고려신용정보,20200806,5580
253,A049720,고려신용정보,20200805,5530
254,A049720,고려신용정보,20200804,5480
255,A049720,고려신용정보,20200803,5550
256,A049720,고려신용정보,20200731,5540
257,A049720,고려신용정보,20200730,5680
258,A049720,고려신용정보,20200729,5730
259,A049720,고려신용정보,20200728,5520
260,A049720,고려신용정보,20200727,5490
261,A049720,고려신용정보,20200724,5460
262,A049720,고려신용정보,20200723,5500
263,A049720,고려신용정보,20200722,5550
264,A049720,고려신용정보,20200721,5550
265,A049720,고려신용정보,20200720,5550
266,A049720,고려신용정보,20200717,5510
267,A049720,고려신용정보,20200716,5470
268,A049720,고려신용정보,20200715,5510
269,A049720,고려신용정보,20200714,5540
270,A049720,고려신용정보,20200713,5540
271,A049720,고려신용정보,20200710,5580
272,A049720,고려신용정보,20200709,5620
273,A049720,고려신용정보,20200708,5610
274,A049720,고려신용정보,20200707,5600
275,A049720,고려신용정보,20200706,5560
276,A049720,고려신용정보,20200703,5550
277,A049720,고려신용정보,20200702,5440
278,A049720,고려신용정보,20200701,5390
279,A049720,고려신용정보,20200630,5390
280,A049720,고려신용정보,20200629,5390
281,A049720,고려신용정보,20200626,5450
282,A049720,고려신용정보,20200625,5450
283,A049720,고려신용정보,20200624,5500
284,A049720,고려신용정보,20200623,5520
285,A049720,고려신용정보,20200622,5520
286,A049720,고려신용정보,20200619,5660
287,A049720,고려신용정보,20200618,5640
288,A049720,고려신용정보,20200617,5580
289,A049720,고려신용정보,20200616,5430
290,A049720,고려신용정보,20200615,5400
291,A049720,고려신용정보,20200612,5560
292,A049720,고려신용정보,20200611,5650
293,A049720,고려신용정보,20200610,5650
294,A049720,고려신용정보,20200609,5680
295,A049720,고려신용정보,20200608,5730
296,A049720,고려신용정보,20200605,5710
297,A049720,고려신용정보,20200604,5710
298,A049720,고려신용정보,20200603,5720
299,A049720,고려신용정보,20200602,5890
300,A049720,고려신용정보,20200601,5950
301,A049720,고려신용정보,20200529,6000
302,A049720,고려신용정보,20200528,6020
303,A049720,고려신용정보,20200527,5940
304,A049720,고려신용정보,20200526,6070
305,A049720,고려신용정보,20200525,6100
306,A049720,고려신용정보,20200522,6080
307,A049720,고려신용정보,20200521,6130
308,A049720,고려신용정보,20200520,6340
309,A049720,고려신용정보,20200519,6360
310,A049720,고려신용정보,20200518,6410
311,A049720,고려신용정보,20200515,6470
312,A049720,고려신용정보,20200514,6250
313,A049720,고려신용정보,20200513,6050
314,A049720,고려신용정보,20200512,5900
315,A049720,고려신용정보,20200511,5920
316,A049720,고려신용정보,20200508,5730
317,A049720,고려신용정보,20200507,5930
318,A049720,고려신용정보,20200506,5390
319,A049720,고려신용정보,20200504,5360
320,A049720,고려신용정보,20200429,5480
321,A049720,고려신용정보,20200428,5500
322,A049720,고려신용정보,20200427,5590
323,A049720,고려신용정보,20200424,5140
324,A049720,고려신용정보,20200423,5140
325,A049720,고려신용정보,20200422,5120
326,A049720,고려신용정보,20200421,5140
