,종목코드,종목명,날짜,종가
0,A010130,고려아연,20210812,539000
1,A010130,고려아연,20210811,515000
2,A010130,고려아연,20210810,521000
3,A010130,고려아연,20210809,522000
4,A010130,고려아연,20210806,527000
5,A010130,고려아연,20210805,525000
6,A010130,고려아연,20210804,530000
7,A010130,고려아연,20210803,530000
8,A010130,고려아연,20210802,540000
9,A010130,고려아연,20210730,547000
10,A010130,고려아연,20210729,538000
11,A010130,고려아연,20210728,533000
12,A010130,고려아연,20210727,538000
13,A010130,고려아연,20210726,541000
14,A010130,고려아연,20210723,539000
15,A010130,고려아연,20210722,510000
16,A010130,고려아연,20210721,510000
17,A010130,고려아연,20210720,478500
18,A010130,고려아연,20210719,473000
19,A010130,고려아연,20210716,489000
20,A010130,고려아연,20210715,495000
21,A010130,고려아연,20210714,477500
22,A010130,고려아연,20210713,430000
23,A010130,고려아연,20210712,429000
24,A010130,고려아연,20210709,426500
25,A010130,고려아연,20210708,434000
26,A010130,고려아연,20210707,436000
27,A010130,고려아연,20210706,436500
28,A010130,고려아연,20210705,434500
29,A010130,고려아연,20210702,431500
30,A010130,고려아연,20210701,430000
31,A010130,고려아연,20210630,431500
32,A010130,고려아연,20210629,436500
33,A010130,고려아연,20210628,440000
34,A010130,고려아연,20210625,445000
35,A010130,고려아연,20210624,435000
36,A010130,고려아연,20210623,430500
37,A010130,고려아연,20210622,430000
38,A010130,고려아연,20210621,423500
39,A010130,고려아연,20210618,434000
40,A010130,고려아연,20210617,434500
41,A010130,고려아연,20210616,439000
42,A010130,고려아연,20210615,441000
43,A010130,고려아연,20210614,437500
44,A010130,고려아연,20210611,436500
45,A010130,고려아연,20210610,435500
46,A010130,고려아연,20210609,430000
47,A010130,고려아연,20210608,436000
48,A010130,고려아연,20210607,436500
49,A010130,고려아연,20210604,440000
50,A010130,고려아연,20210603,441000
51,A010130,고려아연,20210602,445500
52,A010130,고려아연,20210601,447500
53,A010130,고려아연,20210531,451500
54,A010130,고려아연,20210528,461000
55,A010130,고려아연,20210527,451500
56,A010130,고려아연,20210526,453000
57,A010130,고려아연,20210525,464500
58,A010130,고려아연,20210524,461500
59,A010130,고려아연,20210521,464000
60,A010130,고려아연,20210520,468000
61,A010130,고려아연,20210518,477500
62,A010130,고려아연,20210517,455000
63,A010130,고려아연,20210514,459000
64,A010130,고려아연,20210513,469500
65,A010130,고려아연,20210512,478500
66,A010130,고려아연,20210511,481500
67,A010130,고려아연,20210510,474000
68,A010130,고려아연,20210507,455500
69,A010130,고려아연,20210506,464000
70,A010130,고려아연,20210504,443500
71,A010130,고려아연,20210503,442500
72,A010130,고려아연,20210430,446000
73,A010130,고려아연,20210429,454500
74,A010130,고려아연,20210428,427000
75,A010130,고려아연,20210427,434500
76,A010130,고려아연,20210426,438000
77,A010130,고려아연,20210423,439000
78,A010130,고려아연,20210422,437000
79,A010130,고려아연,20210421,418000
80,A010130,고려아연,20210420,418500
81,A010130,고려아연,20210419,420000
82,A010130,고려아연,20210416,421500
83,A010130,고려아연,20210415,418000
84,A010130,고려아연,20210414,413000
85,A010130,고려아연,20210413,417500
86,A010130,고려아연,20210412,413000
87,A010130,고려아연,20210409,412000
88,A010130,고려아연,20210408,411000
89,A010130,고려아연,20210407,413500
90,A010130,고려아연,20210406,404500
91,A010130,고려아연,20210405,406500
92,A010130,고려아연,20210402,405500
93,A010130,고려아연,20210401,405000
94,A010130,고려아연,20210331,408500
95,A010130,고려아연,20210330,406500
96,A010130,고려아연,20210329,409500
97,A010130,고려아연,20210326,405500
98,A010130,고려아연,20210325,401000
99,A010130,고려아연,20210324,402500
100,A010130,고려아연,20210323,406000
101,A010130,고려아연,20210322,404500
102,A010130,고려아연,20210319,402000
103,A010130,고려아연,20210318,411500
104,A010130,고려아연,20210317,412000
105,A010130,고려아연,20210316,404000
106,A010130,고려아연,20210315,403500
107,A010130,고려아연,20210312,403500
108,A010130,고려아연,20210311,402500
109,A010130,고려아연,20210310,402000
110,A010130,고려아연,20210309,397500
111,A010130,고려아연,20210308,403500
112,A010130,고려아연,20210305,407000
113,A010130,고려아연,20210304,408000
114,A010130,고려아연,20210303,412000
115,A010130,고려아연,20210302,407000
116,A010130,고려아연,20210226,403500
117,A010130,고려아연,20210225,416000
118,A010130,고려아연,20210224,415500
119,A010130,고려아연,20210223,433000
120,A010130,고려아연,20210222,428500
121,A010130,고려아연,20210219,413500
122,A010130,고려아연,20210218,415000
123,A010130,고려아연,20210217,422000
124,A010130,고려아연,20210216,421500
125,A010130,고려아연,20210215,415000
126,A010130,고려아연,20210210,413000
127,A010130,고려아연,20210209,415000
128,A010130,고려아연,20210208,412500
129,A010130,고려아연,20210205,414500
130,A010130,고려아연,20210204,409000
131,A010130,고려아연,20210203,420500
132,A010130,고려아연,20210202,427000
133,A010130,고려아연,20210201,433500
134,A010130,고려아연,20210129,406000
135,A010130,고려아연,20210128,404000
136,A010130,고려아연,20210127,411500
137,A010130,고려아연,20210126,413500
138,A010130,고려아연,20210125,428500
139,A010130,고려아연,20210122,427000
140,A010130,고려아연,20210121,435500
141,A010130,고려아연,20210120,420000
142,A010130,고려아연,20210119,418000
143,A010130,고려아연,20210118,407000
144,A010130,고려아연,20210115,412500
145,A010130,고려아연,20210114,420500
146,A010130,고려아연,20210113,423000
147,A010130,고려아연,20210112,418500
148,A010130,고려아연,20210111,421500
149,A010130,고려아연,20210108,439500
150,A010130,고려아연,20210107,442500
151,A010130,고려아연,20210106,439500
152,A010130,고려아연,20210105,452000
153,A010130,고려아연,20210104,401000
154,A010130,고려아연,20201230,401500
155,A010130,고려아연,20201229,403000
156,A010130,고려아연,20201228,416000
157,A010130,고려아연,20201224,413000
158,A010130,고려아연,20201223,412500
159,A010130,고려아연,20201222,413500
160,A010130,고려아연,20201221,423000
161,A010130,고려아연,20201218,405500
162,A010130,고려아연,20201217,407000
163,A010130,고려아연,20201216,399500
164,A010130,고려아연,20201215,398000
165,A010130,고려아연,20201214,394000
166,A010130,고려아연,20201211,392000
167,A010130,고려아연,20201210,389500
168,A010130,고려아연,20201209,395000
169,A010130,고려아연,20201208,392000
170,A010130,고려아연,20201207,397000
171,A010130,고려아연,20201204,398000
172,A010130,고려아연,20201203,392000
173,A010130,고려아연,20201202,392500
174,A010130,고려아연,20201201,390000
175,A010130,고려아연,20201130,379000
176,A010130,고려아연,20201127,388500
177,A010130,고려아연,20201126,390000
178,A010130,고려아연,20201125,392500
179,A010130,고려아연,20201124,394500
180,A010130,고려아연,20201123,393500
181,A010130,고려아연,20201120,388000
182,A010130,고려아연,20201119,383500
183,A010130,고려아연,20201118,385000
184,A010130,고려아연,20201117,385000
185,A010130,고려아연,20201116,386000
186,A010130,고려아연,20201113,385000
187,A010130,고려아연,20201112,392000
188,A010130,고려아연,20201111,392500
189,A010130,고려아연,20201110,390000
190,A010130,고려아연,20201109,394000
191,A010130,고려아연,20201106,394000
192,A010130,고려아연,20201105,388000
193,A010130,고려아연,20201104,387500
194,A010130,고려아연,20201103,389000
195,A010130,고려아연,20201102,384000
196,A010130,고려아연,20201030,382500
197,A010130,고려아연,20201029,381500
198,A010130,고려아연,20201028,380500
199,A010130,고려아연,20201027,378000
200,A010130,고려아연,20201026,378000
201,A010130,고려아연,20201023,389000
202,A010130,고려아연,20201022,386000
203,A010130,고려아연,20201021,370500
204,A010130,고려아연,20201020,370500
205,A010130,고려아연,20201019,374000
206,A010130,고려아연,20201016,373000
207,A010130,고려아연,20201015,375500
208,A010130,고려아연,20201014,374000
209,A010130,고려아연,20201013,378500
210,A010130,고려아연,20201012,377000
211,A010130,고려아연,20201008,386000
212,A010130,고려아연,20201007,387000
213,A010130,고려아연,20201006,388000
214,A010130,고려아연,20201005,382500
215,A010130,고려아연,20200929,376500
216,A010130,고려아연,20200928,380000
217,A010130,고려아연,20200925,364500
218,A010130,고려아연,20200924,363000
219,A010130,고려아연,20200923,374500
220,A010130,고려아연,20200922,377500
221,A010130,고려아연,20200921,388500
222,A010130,고려아연,20200918,392000
223,A010130,고려아연,20200917,394500
224,A010130,고려아연,20200916,397500
225,A010130,고려아연,20200915,401500
226,A010130,고려아연,20200914,405000
227,A010130,고려아연,20200911,400000
228,A010130,고려아연,20200910,403000
229,A010130,고려아연,20200909,401000
230,A010130,고려아연,20200908,406000
231,A010130,고려아연,20200907,404000
232,A010130,고려아연,20200904,398000
233,A010130,고려아연,20200903,402000
234,A010130,고려아연,20200902,403500
235,A010130,고려아연,20200901,402000
236,A010130,고려아연,20200831,398500
237,A010130,고려아연,20200828,398500
238,A010130,고려아연,20200827,400000
239,A010130,고려아연,20200826,404000
240,A010130,고려아연,20200825,410000
241,A010130,고려아연,20200824,403500
242,A010130,고려아연,20200821,411500
243,A010130,고려아연,20200820,405500
244,A010130,고려아연,20200819,418000
245,A010130,고려아연,20200818,419500
246,A010130,고려아연,20200814,429000
247,A010130,고려아연,20200813,429000
248,A010130,고려아연,20200812,432000
249,A010130,고려아연,20200811,450500
250,A010130,고려아연,20200810,450000
251,A010130,고려아연,20200807,454000
252,A010130,고려아연,20200806,450000
253,A010130,고려아연,20200805,427000
254,A010130,고려아연,20200804,410500
255,A010130,고려아연,20200803,413500
256,A010130,고려아연,20200731,414000
257,A010130,고려아연,20200730,421500
258,A010130,고려아연,20200729,433000
259,A010130,고려아연,20200728,433500
260,A010130,고려아연,20200727,430500
261,A010130,고려아연,20200724,395500
262,A010130,고려아연,20200723,403500
263,A010130,고려아연,20200722,398500
264,A010130,고려아연,20200721,369000
265,A010130,고려아연,20200720,363500
266,A010130,고려아연,20200717,368000
267,A010130,고려아연,20200716,364500
268,A010130,고려아연,20200715,369000
269,A010130,고려아연,20200714,376500
270,A010130,고려아연,20200713,375000
271,A010130,고려아연,20200710,373500
272,A010130,고려아연,20200709,378000
273,A010130,고려아연,20200708,370000
274,A010130,고려아연,20200707,366500
275,A010130,고려아연,20200706,370500
276,A010130,고려아연,20200703,364000
277,A010130,고려아연,20200702,360500
278,A010130,고려아연,20200701,353000
279,A010130,고려아연,20200630,335000
280,A010130,고려아연,20200629,334500
281,A010130,고려아연,20200626,346000
282,A010130,고려아연,20200625,343000
283,A010130,고려아연,20200624,351000
284,A010130,고려아연,20200623,346000
285,A010130,고려아연,20200622,349500
286,A010130,고려아연,20200619,355000
287,A010130,고려아연,20200618,355000
288,A010130,고려아연,20200617,359500
289,A010130,고려아연,20200616,366000
290,A010130,고려아연,20200615,342000
291,A010130,고려아연,20200612,366500
292,A010130,고려아연,20200611,373000
293,A010130,고려아연,20200610,380000
294,A010130,고려아연,20200609,378000
295,A010130,고려아연,20200608,382500
296,A010130,고려아연,20200605,386500
297,A010130,고려아연,20200604,393000
298,A010130,고려아연,20200603,388500
299,A010130,고려아연,20200602,379500
300,A010130,고려아연,20200601,378500
301,A010130,고려아연,20200529,378000
302,A010130,고려아연,20200528,374000
303,A010130,고려아연,20200527,380000
304,A010130,고려아연,20200526,382000
305,A010130,고려아연,20200525,372500
306,A010130,고려아연,20200522,374000
307,A010130,고려아연,20200521,381000
308,A010130,고려아연,20200520,386000
309,A010130,고려아연,20200519,385000
310,A010130,고려아연,20200518,374000
311,A010130,고려아연,20200515,368500
312,A010130,고려아연,20200514,369500
313,A010130,고려아연,20200513,372500
314,A010130,고려아연,20200512,369500
315,A010130,고려아연,20200511,372500
316,A010130,고려아연,20200508,374500
317,A010130,고려아연,20200507,373500
318,A010130,고려아연,20200506,371500
319,A010130,고려아연,20200504,368500
320,A010130,고려아연,20200429,386000
321,A010130,고려아연,20200428,386500
322,A010130,고려아연,20200427,395000
323,A010130,고려아연,20200424,390000
324,A010130,고려아연,20200423,392500
325,A010130,고려아연,20200422,395500
326,A010130,고려아연,20200421,396000
327,A010130,고려아연,20200420,399500
328,A010130,고려아연,20200417,404000
329,A010130,고려아연,20200416,412000
330,A010130,고려아연,20200414,390000
331,A010130,고려아연,20200413,382500
332,A010130,고려아연,20200410,385500
333,A010130,고려아연,20200409,390500
334,A010130,고려아연,20200408,386000
335,A010130,고려아연,20200407,386500
336,A010130,고려아연,20200406,374500
337,A010130,고려아연,20200403,371000
338,A010130,고려아연,20200402,365500
339,A010130,고려아연,20200401,345500
340,A010130,고려아연,20200331,356000
341,A010130,고려아연,20200330,360000
342,A010130,고려아연,20200327,361500
343,A010130,고려아연,20200326,360000
