,종목코드,종목명,날짜,종가
0,A121440,골프존뉴딘홀딩스,20210812,9330
1,A121440,골프존뉴딘홀딩스,20210811,9200
2,A121440,골프존뉴딘홀딩스,20210810,9260
3,A121440,골프존뉴딘홀딩스,20210809,9390
4,A121440,골프존뉴딘홀딩스,20210806,9380
5,A121440,골프존뉴딘홀딩스,20210805,9260
6,A121440,골프존뉴딘홀딩스,20210804,9180
7,A121440,골프존뉴딘홀딩스,20210803,9180
8,A121440,골프존뉴딘홀딩스,20210802,9250
9,A121440,골프존뉴딘홀딩스,20210730,9190
10,A121440,골프존뉴딘홀딩스,20210729,9160
11,A121440,골프존뉴딘홀딩스,20210728,8900
12,A121440,골프존뉴딘홀딩스,20210727,8970
13,A121440,골프존뉴딘홀딩스,20210726,8960
14,A121440,골프존뉴딘홀딩스,20210723,9190
15,A121440,골프존뉴딘홀딩스,20210722,9200
16,A121440,골프존뉴딘홀딩스,20210721,9080
17,A121440,골프존뉴딘홀딩스,20210720,9050
18,A121440,골프존뉴딘홀딩스,20210719,9220
19,A121440,골프존뉴딘홀딩스,20210716,9350
20,A121440,골프존뉴딘홀딩스,20210715,9420
21,A121440,골프존뉴딘홀딩스,20210714,9400
22,A121440,골프존뉴딘홀딩스,20210713,9460
23,A121440,골프존뉴딘홀딩스,20210712,9450
24,A121440,골프존뉴딘홀딩스,20210709,9180
25,A121440,골프존뉴딘홀딩스,20210708,9370
26,A121440,골프존뉴딘홀딩스,20210707,9610
27,A121440,골프존뉴딘홀딩스,20210706,10100
28,A121440,골프존뉴딘홀딩스,20210705,8970
29,A121440,골프존뉴딘홀딩스,20210702,8880
30,A121440,골프존뉴딘홀딩스,20210701,8890
31,A121440,골프존뉴딘홀딩스,20210630,8860
32,A121440,골프존뉴딘홀딩스,20210629,9050
33,A121440,골프존뉴딘홀딩스,20210628,9050
34,A121440,골프존뉴딘홀딩스,20210625,8820
35,A121440,골프존뉴딘홀딩스,20210624,8830
36,A121440,골프존뉴딘홀딩스,20210623,8760
37,A121440,골프존뉴딘홀딩스,20210622,8880
38,A121440,골프존뉴딘홀딩스,20210621,8580
39,A121440,골프존뉴딘홀딩스,20210618,8390
40,A121440,골프존뉴딘홀딩스,20210617,8480
41,A121440,골프존뉴딘홀딩스,20210616,8480
42,A121440,골프존뉴딘홀딩스,20210615,8550
43,A121440,골프존뉴딘홀딩스,20210614,8450
44,A121440,골프존뉴딘홀딩스,20210611,8620
45,A121440,골프존뉴딘홀딩스,20210610,8640
46,A121440,골프존뉴딘홀딩스,20210609,8470
47,A121440,골프존뉴딘홀딩스,20210608,8500
48,A121440,골프존뉴딘홀딩스,20210607,8450
49,A121440,골프존뉴딘홀딩스,20210604,8690
50,A121440,골프존뉴딘홀딩스,20210603,8740
51,A121440,골프존뉴딘홀딩스,20210602,8800
52,A121440,골프존뉴딘홀딩스,20210601,8820
53,A121440,골프존뉴딘홀딩스,20210531,9090
54,A121440,골프존뉴딘홀딩스,20210528,9210
55,A121440,골프존뉴딘홀딩스,20210527,9480
56,A121440,골프존뉴딘홀딩스,20210526,9500
57,A121440,골프존뉴딘홀딩스,20210525,9400
58,A121440,골프존뉴딘홀딩스,20210524,8770
59,A121440,골프존뉴딘홀딩스,20210521,8870
60,A121440,골프존뉴딘홀딩스,20210520,9100
61,A121440,골프존뉴딘홀딩스,20210518,8980
62,A121440,골프존뉴딘홀딩스,20210517,8900
63,A121440,골프존뉴딘홀딩스,20210514,9040
64,A121440,골프존뉴딘홀딩스,20210513,8740
65,A121440,골프존뉴딘홀딩스,20210512,8600
66,A121440,골프존뉴딘홀딩스,20210511,8000
67,A121440,골프존뉴딘홀딩스,20210510,7660
68,A121440,골프존뉴딘홀딩스,20210507,7820
69,A121440,골프존뉴딘홀딩스,20210506,7510
70,A121440,골프존뉴딘홀딩스,20210504,7450
71,A121440,골프존뉴딘홀딩스,20210503,7390
72,A121440,골프존뉴딘홀딩스,20210430,7400
73,A121440,골프존뉴딘홀딩스,20210429,7560
74,A121440,골프존뉴딘홀딩스,20210428,7400
75,A121440,골프존뉴딘홀딩스,20210427,7190
76,A121440,골프존뉴딘홀딩스,20210426,7280
77,A121440,골프존뉴딘홀딩스,20210423,7280
78,A121440,골프존뉴딘홀딩스,20210422,7350
79,A121440,골프존뉴딘홀딩스,20210421,7220
80,A121440,골프존뉴딘홀딩스,20210420,7320
81,A121440,골프존뉴딘홀딩스,20210419,7290
82,A121440,골프존뉴딘홀딩스,20210416,7240
83,A121440,골프존뉴딘홀딩스,20210415,7370
84,A121440,골프존뉴딘홀딩스,20210414,7380
85,A121440,골프존뉴딘홀딩스,20210413,7390
86,A121440,골프존뉴딘홀딩스,20210412,7520
87,A121440,골프존뉴딘홀딩스,20210409,7650
88,A121440,골프존뉴딘홀딩스,20210408,7400
89,A121440,골프존뉴딘홀딩스,20210407,7410
90,A121440,골프존뉴딘홀딩스,20210406,7140
91,A121440,골프존뉴딘홀딩스,20210405,7080
92,A121440,골프존뉴딘홀딩스,20210402,7060
93,A121440,골프존뉴딘홀딩스,20210401,7150
94,A121440,골프존뉴딘홀딩스,20210331,7130
95,A121440,골프존뉴딘홀딩스,20210330,7260
96,A121440,골프존뉴딘홀딩스,20210329,7190
97,A121440,골프존뉴딘홀딩스,20210326,7260
98,A121440,골프존뉴딘홀딩스,20210325,7240
99,A121440,골프존뉴딘홀딩스,20210324,7030
100,A121440,골프존뉴딘홀딩스,20210323,6810
101,A121440,골프존뉴딘홀딩스,20210322,7040
102,A121440,골프존뉴딘홀딩스,20210319,6890
103,A121440,골프존뉴딘홀딩스,20210318,6890
104,A121440,골프존뉴딘홀딩스,20210317,6970
105,A121440,골프존뉴딘홀딩스,20210316,6930
106,A121440,골프존뉴딘홀딩스,20210315,6950
107,A121440,골프존뉴딘홀딩스,20210312,6750
108,A121440,골프존뉴딘홀딩스,20210311,6870
109,A121440,골프존뉴딘홀딩스,20210310,6350
110,A121440,골프존뉴딘홀딩스,20210309,6540
111,A121440,골프존뉴딘홀딩스,20210308,6520
112,A121440,골프존뉴딘홀딩스,20210305,6530
113,A121440,골프존뉴딘홀딩스,20210304,6580
114,A121440,골프존뉴딘홀딩스,20210303,6510
115,A121440,골프존뉴딘홀딩스,20210302,6040
116,A121440,골프존뉴딘홀딩스,20210226,6010
117,A121440,골프존뉴딘홀딩스,20210225,6010
118,A121440,골프존뉴딘홀딩스,20210224,5540
119,A121440,골프존뉴딘홀딩스,20210223,5810
120,A121440,골프존뉴딘홀딩스,20210222,5830
121,A121440,골프존뉴딘홀딩스,20210219,5670
122,A121440,골프존뉴딘홀딩스,20210218,5740
123,A121440,골프존뉴딘홀딩스,20210217,5700
124,A121440,골프존뉴딘홀딩스,20210216,5770
125,A121440,골프존뉴딘홀딩스,20210215,5800
126,A121440,골프존뉴딘홀딩스,20210210,5730
127,A121440,골프존뉴딘홀딩스,20210209,5750
128,A121440,골프존뉴딘홀딩스,20210208,5820
129,A121440,골프존뉴딘홀딩스,20210205,5790
130,A121440,골프존뉴딘홀딩스,20210204,5810
131,A121440,골프존뉴딘홀딩스,20210203,5720
132,A121440,골프존뉴딘홀딩스,20210202,5620
133,A121440,골프존뉴딘홀딩스,20210201,5400
134,A121440,골프존뉴딘홀딩스,20210129,5430
135,A121440,골프존뉴딘홀딩스,20210128,5610
136,A121440,골프존뉴딘홀딩스,20210127,5700
137,A121440,골프존뉴딘홀딩스,20210126,5870
138,A121440,골프존뉴딘홀딩스,20210125,5540
139,A121440,골프존뉴딘홀딩스,20210122,5500
140,A121440,골프존뉴딘홀딩스,20210121,5460
141,A121440,골프존뉴딘홀딩스,20210120,5440
142,A121440,골프존뉴딘홀딩스,20210119,5450
143,A121440,골프존뉴딘홀딩스,20210118,5440
144,A121440,골프존뉴딘홀딩스,20210115,5580
145,A121440,골프존뉴딘홀딩스,20210114,5670
146,A121440,골프존뉴딘홀딩스,20210113,5440
147,A121440,골프존뉴딘홀딩스,20210112,5370
148,A121440,골프존뉴딘홀딩스,20210111,5310
149,A121440,골프존뉴딘홀딩스,20210108,5510
150,A121440,골프존뉴딘홀딩스,20210107,5630
151,A121440,골프존뉴딘홀딩스,20210106,5440
152,A121440,골프존뉴딘홀딩스,20210105,5350
153,A121440,골프존뉴딘홀딩스,20210104,5440
154,A121440,골프존뉴딘홀딩스,20201230,5540
155,A121440,골프존뉴딘홀딩스,20201229,5570
156,A121440,골프존뉴딘홀딩스,20201228,5690
157,A121440,골프존뉴딘홀딩스,20201224,5560
158,A121440,골프존뉴딘홀딩스,20201223,5500
159,A121440,골프존뉴딘홀딩스,20201222,5500
160,A121440,골프존뉴딘홀딩스,20201221,5500
161,A121440,골프존뉴딘홀딩스,20201218,5570
162,A121440,골프존뉴딘홀딩스,20201217,5600
163,A121440,골프존뉴딘홀딩스,20201216,5610
164,A121440,골프존뉴딘홀딩스,20201215,5680
165,A121440,골프존뉴딘홀딩스,20201214,5780
166,A121440,골프존뉴딘홀딩스,20201211,5830
167,A121440,골프존뉴딘홀딩스,20201210,5650
168,A121440,골프존뉴딘홀딩스,20201209,5600
169,A121440,골프존뉴딘홀딩스,20201208,5600
170,A121440,골프존뉴딘홀딩스,20201207,5690
171,A121440,골프존뉴딘홀딩스,20201204,5850
172,A121440,골프존뉴딘홀딩스,20201203,5960
173,A121440,골프존뉴딘홀딩스,20201202,5990
174,A121440,골프존뉴딘홀딩스,20201201,5960
175,A121440,골프존뉴딘홀딩스,20201130,5920
176,A121440,골프존뉴딘홀딩스,20201127,6000
177,A121440,골프존뉴딘홀딩스,20201126,5860
178,A121440,골프존뉴딘홀딩스,20201125,6000
179,A121440,골프존뉴딘홀딩스,20201124,6170
180,A121440,골프존뉴딘홀딩스,20201123,6240
181,A121440,골프존뉴딘홀딩스,20201120,6240
182,A121440,골프존뉴딘홀딩스,20201119,6100
183,A121440,골프존뉴딘홀딩스,20201118,6240
184,A121440,골프존뉴딘홀딩스,20201117,6300
185,A121440,골프존뉴딘홀딩스,20201116,6280
186,A121440,골프존뉴딘홀딩스,20201113,6340
187,A121440,골프존뉴딘홀딩스,20201112,6360
188,A121440,골프존뉴딘홀딩스,20201111,6330
189,A121440,골프존뉴딘홀딩스,20201110,6490
190,A121440,골프존뉴딘홀딩스,20201109,6690
