,종목코드,종목명,날짜,종가
0,A017900,광전자,20210812,2855
1,A017900,광전자,20210811,2855
2,A017900,광전자,20210810,2970
3,A017900,광전자,20210809,2925
4,A017900,광전자,20210806,2980
5,A017900,광전자,20210805,2995
6,A017900,광전자,20210804,2770
7,A017900,광전자,20210803,2730
8,A017900,광전자,20210802,2745
9,A017900,광전자,20210730,2735
10,A017900,광전자,20210729,2865
11,A017900,광전자,20210728,2740
12,A017900,광전자,20210727,2815
13,A017900,광전자,20210726,2815
14,A017900,광전자,20210723,2910
15,A017900,광전자,20210722,2875
16,A017900,광전자,20210721,2830
17,A017900,광전자,20210720,2890
18,A017900,광전자,20210719,3040
19,A017900,광전자,20210716,3005
20,A017900,광전자,20210715,3040
21,A017900,광전자,20210714,3015
22,A017900,광전자,20210713,3055
23,A017900,광전자,20210712,3055
24,A017900,광전자,20210709,3000
25,A017900,광전자,20210708,3070
26,A017900,광전자,20210707,3135
27,A017900,광전자,20210706,3160
28,A017900,광전자,20210705,3150
29,A017900,광전자,20210702,3040
30,A017900,광전자,20210701,2975
31,A017900,광전자,20210630,2695
32,A017900,광전자,20210629,2615
33,A017900,광전자,20210628,2660
34,A017900,광전자,20210625,2615
35,A017900,광전자,20210624,2610
36,A017900,광전자,20210623,2585
37,A017900,광전자,20210622,2610
38,A017900,광전자,20210621,2575
39,A017900,광전자,20210618,2620
40,A017900,광전자,20210617,2640
41,A017900,광전자,20210616,2545
42,A017900,광전자,20210615,2545
43,A017900,광전자,20210614,2585
44,A017900,광전자,20210611,2610
45,A017900,광전자,20210610,2535
46,A017900,광전자,20210609,2525
47,A017900,광전자,20210608,2555
48,A017900,광전자,20210607,2515
49,A017900,광전자,20210604,2530
50,A017900,광전자,20210603,2515
51,A017900,광전자,20210602,2515
52,A017900,광전자,20210601,2515
53,A017900,광전자,20210531,2450
54,A017900,광전자,20210528,2440
55,A017900,광전자,20210527,2355
56,A017900,광전자,20210526,2325
57,A017900,광전자,20210525,2330
58,A017900,광전자,20210524,2325
59,A017900,광전자,20210521,2400
60,A017900,광전자,20210520,2420
61,A017900,광전자,20210518,2430
62,A017900,광전자,20210517,2405
63,A017900,광전자,20210514,2485
64,A017900,광전자,20210513,2420
65,A017900,광전자,20210512,2470
66,A017900,광전자,20210511,2505
67,A017900,광전자,20210510,2480
68,A017900,광전자,20210507,2400
69,A017900,광전자,20210506,2370
70,A017900,광전자,20210504,2340
71,A017900,광전자,20210503,2355
72,A017900,광전자,20210430,2345
73,A017900,광전자,20210429,2385
74,A017900,광전자,20210428,2390
75,A017900,광전자,20210427,2465
76,A017900,광전자,20210426,2445
77,A017900,광전자,20210423,2415
78,A017900,광전자,20210422,2430
79,A017900,광전자,20210421,2410
80,A017900,광전자,20210420,2440
81,A017900,광전자,20210419,2435
82,A017900,광전자,20210416,2370
83,A017900,광전자,20210415,2375
84,A017900,광전자,20210414,2390
85,A017900,광전자,20210413,2390
86,A017900,광전자,20210412,2380
87,A017900,광전자,20210409,2370
88,A017900,광전자,20210408,2345
89,A017900,광전자,20210407,2340
90,A017900,광전자,20210406,2370
91,A017900,광전자,20210405,2410
92,A017900,광전자,20210402,2410
93,A017900,광전자,20210401,2415
94,A017900,광전자,20210331,2375
95,A017900,광전자,20210330,2375
96,A017900,광전자,20210329,2385
97,A017900,광전자,20210326,2310
98,A017900,광전자,20210325,2320
99,A017900,광전자,20210324,2295
100,A017900,광전자,20210323,2265
101,A017900,광전자,20210322,2300
102,A017900,광전자,20210319,2320
103,A017900,광전자,20210318,2320
104,A017900,광전자,20210317,2310
105,A017900,광전자,20210316,2275
106,A017900,광전자,20210315,2250
107,A017900,광전자,20210312,2260
108,A017900,광전자,20210311,2235
109,A017900,광전자,20210310,2190
110,A017900,광전자,20210309,2240
111,A017900,광전자,20210308,2295
112,A017900,광전자,20210305,2355
113,A017900,광전자,20210304,2470
114,A017900,광전자,20210303,2490
115,A017900,광전자,20210302,2460
116,A017900,광전자,20210226,2435
117,A017900,광전자,20210225,2525
118,A017900,광전자,20210224,2450
119,A017900,광전자,20210223,2555
120,A017900,광전자,20210222,2635
121,A017900,광전자,20210219,2680
122,A017900,광전자,20210218,2725
123,A017900,광전자,20210217,2725
124,A017900,광전자,20210216,2705
125,A017900,광전자,20210215,2620
126,A017900,광전자,20210210,2515
127,A017900,광전자,20210209,2525
128,A017900,광전자,20210208,2555
129,A017900,광전자,20210205,2545
130,A017900,광전자,20210204,2465
131,A017900,광전자,20210203,2445
132,A017900,광전자,20210202,2445
133,A017900,광전자,20210201,2400
134,A017900,광전자,20210129,2360
135,A017900,광전자,20210128,2520
136,A017900,광전자,20210127,2655
137,A017900,광전자,20210126,2675
138,A017900,광전자,20210125,2620
139,A017900,광전자,20210122,2585
140,A017900,광전자,20210121,2685
141,A017900,광전자,20210120,2515
142,A017900,광전자,20210119,2505
143,A017900,광전자,20210118,2415
144,A017900,광전자,20210115,2460
145,A017900,광전자,20210114,2535
146,A017900,광전자,20210113,2500
147,A017900,광전자,20210112,2525
148,A017900,광전자,20210111,2450
149,A017900,광전자,20210108,2490
150,A017900,광전자,20210107,2405
151,A017900,광전자,20210106,2370
152,A017900,광전자,20210105,2390
153,A017900,광전자,20210104,2330
154,A017900,광전자,20201230,2350
155,A017900,광전자,20201229,2315
156,A017900,광전자,20201228,2270
157,A017900,광전자,20201224,2330
158,A017900,광전자,20201223,2305
159,A017900,광전자,20201222,2310
160,A017900,광전자,20201221,2385
161,A017900,광전자,20201218,2350
162,A017900,광전자,20201217,2350
163,A017900,광전자,20201216,2265
164,A017900,광전자,20201215,2230
165,A017900,광전자,20201214,2270
166,A017900,광전자,20201211,2295
167,A017900,광전자,20201210,2310
168,A017900,광전자,20201209,2330
169,A017900,광전자,20201208,2305
170,A017900,광전자,20201207,2280
171,A017900,광전자,20201204,2330
172,A017900,광전자,20201203,2380
173,A017900,광전자,20201202,2445
174,A017900,광전자,20201201,2380
175,A017900,광전자,20201130,2340
176,A017900,광전자,20201127,2335
177,A017900,광전자,20201126,2320
178,A017900,광전자,20201125,2350
179,A017900,광전자,20201124,2430
180,A017900,광전자,20201123,2415
181,A017900,광전자,20201120,2385
182,A017900,광전자,20201119,2325
183,A017900,광전자,20201118,2360
184,A017900,광전자,20201117,2425
185,A017900,광전자,20201116,2400
186,A017900,광전자,20201113,2450
187,A017900,광전자,20201112,2490
188,A017900,광전자,20201111,2425
189,A017900,광전자,20201110,2420
190,A017900,광전자,20201109,2305
191,A017900,광전자,20201106,2270
192,A017900,광전자,20201105,2330
193,A017900,광전자,20201104,2285
194,A017900,광전자,20201103,2265
195,A017900,광전자,20201102,2285
196,A017900,광전자,20201030,2345
197,A017900,광전자,20201029,2405
198,A017900,광전자,20201028,2375
199,A017900,광전자,20201027,2325
200,A017900,광전자,20201026,2365
201,A017900,광전자,20201023,2625
202,A017900,광전자,20201022,2725
203,A017900,광전자,20201021,2675
204,A017900,광전자,20201020,2285
205,A017900,광전자,20201019,2300
206,A017900,광전자,20201016,2250
207,A017900,광전자,20201015,2230
208,A017900,광전자,20201014,2265
209,A017900,광전자,20201013,2250
210,A017900,광전자,20201012,2235
211,A017900,광전자,20201008,2235
212,A017900,광전자,20201007,2220
213,A017900,광전자,20201006,2205
214,A017900,광전자,20201005,2190
215,A017900,광전자,20200929,2150
216,A017900,광전자,20200928,2115
217,A017900,광전자,20200925,2035
218,A017900,광전자,20200924,2055
219,A017900,광전자,20200923,2160
220,A017900,광전자,20200922,2105
221,A017900,광전자,20200921,2180
222,A017900,광전자,20200918,2215
223,A017900,광전자,20200917,2195
224,A017900,광전자,20200916,2295
225,A017900,광전자,20200915,2415
226,A017900,광전자,20200914,2305
227,A017900,광전자,20200911,2305
228,A017900,광전자,20200910,2265
229,A017900,광전자,20200909,2230
230,A017900,광전자,20200908,2185
231,A017900,광전자,20200907,2185
232,A017900,광전자,20200904,2125
233,A017900,광전자,20200903,2220
234,A017900,광전자,20200902,2130
235,A017900,광전자,20200901,2130
236,A017900,광전자,20200831,2060
237,A017900,광전자,20200828,2040
238,A017900,광전자,20200827,2005
239,A017900,광전자,20200826,2045
240,A017900,광전자,20200825,2060
241,A017900,광전자,20200824,1970
242,A017900,광전자,20200821,2010
243,A017900,광전자,20200820,2085
244,A017900,광전자,20200819,2075
245,A017900,광전자,20200818,2045
246,A017900,광전자,20200814,2225
247,A017900,광전자,20200813,2380
248,A017900,광전자,20200812,2295
249,A017900,광전자,20200811,2280
250,A017900,광전자,20200810,2325
251,A017900,광전자,20200807,2310
252,A017900,광전자,20200806,2310
253,A017900,광전자,20200805,2475
254,A017900,광전자,20200804,2480
255,A017900,광전자,20200803,2530
256,A017900,광전자,20200731,2535
257,A017900,광전자,20200730,2575
258,A017900,광전자,20200729,2470
259,A017900,광전자,20200728,2460
260,A017900,광전자,20200727,2345
261,A017900,광전자,20200724,1805
262,A017900,광전자,20200723,1840
263,A017900,광전자,20200722,1860
264,A017900,광전자,20200721,1840
265,A017900,광전자,20200720,1845
266,A017900,광전자,20200717,1845
267,A017900,광전자,20200716,1810
268,A017900,광전자,20200715,1805
269,A017900,광전자,20200714,1780
270,A017900,광전자,20200713,1795
271,A017900,광전자,20200710,1760
272,A017900,광전자,20200709,1790
273,A017900,광전자,20200708,1790
274,A017900,광전자,20200707,1800
275,A017900,광전자,20200706,1815
276,A017900,광전자,20200703,1735
277,A017900,광전자,20200702,1740
278,A017900,광전자,20200701,1735
279,A017900,광전자,20200630,1735
280,A017900,광전자,20200629,1695
281,A017900,광전자,20200626,1725
282,A017900,광전자,20200625,1705
283,A017900,광전자,20200624,1830
284,A017900,광전자,20200623,1830
285,A017900,광전자,20200622,1830
286,A017900,광전자,20200619,1845
287,A017900,광전자,20200618,1855
288,A017900,광전자,20200617,1800
289,A017900,광전자,20200616,1835
290,A017900,광전자,20200615,1710
291,A017900,광전자,20200612,1805
292,A017900,광전자,20200611,1880
293,A017900,광전자,20200610,1930
294,A017900,광전자,20200609,1965
295,A017900,광전자,20200608,1975
296,A017900,광전자,20200605,1970
297,A017900,광전자,20200604,2010
298,A017900,광전자,20200603,2015
299,A017900,광전자,20200602,1985
300,A017900,광전자,20200601,1970
301,A017900,광전자,20200529,1955
302,A017900,광전자,20200528,1910
303,A017900,광전자,20200527,1945
304,A017900,광전자,20200526,1940
305,A017900,광전자,20200525,1920
306,A017900,광전자,20200522,1920
307,A017900,광전자,20200521,1945
308,A017900,광전자,20200520,1955
309,A017900,광전자,20200519,1905
310,A017900,광전자,20200518,1900
311,A017900,광전자,20200515,1840
312,A017900,광전자,20200514,1850
313,A017900,광전자,20200513,1945
314,A017900,광전자,20200512,1945
315,A017900,광전자,20200511,1945
316,A017900,광전자,20200508,1975
317,A017900,광전자,20200507,1875
318,A017900,광전자,20200506,1840
319,A017900,광전자,20200504,1815
320,A017900,광전자,20200429,1840
321,A017900,광전자,20200428,1840
322,A017900,광전자,20200427,1850
323,A017900,광전자,20200424,1765
324,A017900,광전자,20200423,1730
325,A017900,광전자,20200422,1705
326,A017900,광전자,20200421,1700
327,A017900,광전자,20200420,1735
328,A017900,광전자,20200417,1730
329,A017900,광전자,20200416,1715
330,A017900,광전자,20200414,1710
