,종목코드,종목명,날짜,종가
0,A014285,금강공업우,20210812,16350
1,A014285,금강공업우,20210811,16750
2,A014285,금강공업우,20210810,17200
3,A014285,금강공업우,20210809,18200
4,A014285,금강공업우,20210806,19100
5,A014285,금강공업우,20210805,20050
6,A014285,금강공업우,20210804,20000
7,A014285,금강공업우,20210803,20600
8,A014285,금강공업우,20210802,22900
9,A014285,금강공업우,20210730,23100
10,A014285,금강공업우,20210729,22250
11,A014285,금강공업우,20210728,23800
12,A014285,금강공업우,20210727,22950
13,A014285,금강공업우,20210726,22500
14,A014285,금강공업우,20210723,26500
15,A014285,금강공업우,20210722,26900
16,A014285,금강공업우,20210721,30100
17,A014285,금강공업우,20210720,33650
18,A014285,금강공업우,20210719,37900
19,A014285,금강공업우,20210716,37450
20,A014285,금강공업우,20210715,34500
21,A014285,금강공업우,20210714,29700
22,A014285,금강공업우,20210713,22850
23,A014285,금강공업우,20210712,22950
24,A014285,금강공업우,20210709,22400
25,A014285,금강공업우,20210708,21200
26,A014285,금강공업우,20210707,20800
27,A014285,금강공업우,20210706,21500
28,A014285,금강공업우,20210705,19550
29,A014285,금강공업우,20210702,15100
30,A014285,금강공업우,20210701,14600
31,A014285,금강공업우,20210630,14700
32,A014285,금강공업우,20210629,15050
33,A014285,금강공업우,20210628,15200
34,A014285,금강공업우,20210625,15700
35,A014285,금강공업우,20210624,16200
36,A014285,금강공업우,20210623,15750
37,A014285,금강공업우,20210622,16750
38,A014285,금강공업우,20210621,18300
39,A014285,금강공업우,20210618,14100
40,A014285,금강공업우,20210617,14200
41,A014285,금강공업우,20210616,14300
42,A014285,금강공업우,20210615,14250
43,A014285,금강공업우,20210614,14200
44,A014285,금강공업우,20210611,14000
45,A014285,금강공업우,20210610,14000
46,A014285,금강공업우,20210609,13950
47,A014285,금강공업우,20210608,14000
48,A014285,금강공업우,20210607,13900
49,A014285,금강공업우,20210604,13900
50,A014285,금강공업우,20210603,14000
51,A014285,금강공업우,20210602,13850
52,A014285,금강공업우,20210601,13850
53,A014285,금강공업우,20210531,13600
54,A014285,금강공업우,20210528,13650
55,A014285,금강공업우,20210527,13400
56,A014285,금강공업우,20210526,13550
57,A014285,금강공업우,20210525,13700
58,A014285,금강공업우,20210524,13300
59,A014285,금강공업우,20210521,14400
60,A014285,금강공업우,20210520,15100
61,A014285,금강공업우,20210518,14600
62,A014285,금강공업우,20210517,14550
63,A014285,금강공업우,20210514,14750
64,A014285,금강공업우,20210513,14450
65,A014285,금강공업우,20210512,14900
66,A014285,금강공업우,20210511,15400
