,종목코드,종목명,날짜,종가
0,A138610,나이벡,20210812,40400
1,A138610,나이벡,20210811,40200
2,A138610,나이벡,20210810,39100
3,A138610,나이벡,20210809,39650
4,A138610,나이벡,20210806,41400
5,A138610,나이벡,20210805,41050
6,A138610,나이벡,20210804,41250
7,A138610,나이벡,20210803,40350
8,A138610,나이벡,20210802,40550
9,A138610,나이벡,20210730,38550
10,A138610,나이벡,20210729,38550
11,A138610,나이벡,20210728,37850
12,A138610,나이벡,20210727,39100
13,A138610,나이벡,20210726,39550
14,A138610,나이벡,20210723,40250
15,A138610,나이벡,20210722,39450
16,A138610,나이벡,20210721,40950
17,A138610,나이벡,20210720,41400
18,A138610,나이벡,20210719,42300
19,A138610,나이벡,20210716,44050
20,A138610,나이벡,20210715,44500
21,A138610,나이벡,20210714,46550
22,A138610,나이벡,20210713,45300
23,A138610,나이벡,20210712,47650
24,A138610,나이벡,20210709,48000
25,A138610,나이벡,20210708,49100
26,A138610,나이벡,20210707,48750
27,A138610,나이벡,20210706,48000
28,A138610,나이벡,20210705,53800
29,A138610,나이벡,20210702,52800
30,A138610,나이벡,20210701,55200
31,A138610,나이벡,20210630,42500
32,A138610,나이벡,20210629,42550
33,A138610,나이벡,20210628,38600
34,A138610,나이벡,20210625,37800
35,A138610,나이벡,20210624,33900
36,A138610,나이벡,20210623,33100
37,A138610,나이벡,20210622,33000
38,A138610,나이벡,20210621,33650
39,A138610,나이벡,20210618,33700
40,A138610,나이벡,20210617,34000
41,A138610,나이벡,20210616,33300
42,A138610,나이벡,20210615,32950
43,A138610,나이벡,20210614,33000
44,A138610,나이벡,20210611,33050
45,A138610,나이벡,20210610,33300
46,A138610,나이벡,20210609,32900
47,A138610,나이벡,20210608,32900
48,A138610,나이벡,20210607,32050
49,A138610,나이벡,20210604,32050
50,A138610,나이벡,20210603,32250
51,A138610,나이벡,20210602,32250
52,A138610,나이벡,20210601,33450
53,A138610,나이벡,20210531,31600
54,A138610,나이벡,20210528,30950
