,辆格内靛,辆格疙,朝楼,辆啊
0,A004270,巢己,20210812,3530
1,A004270,巢己,20210811,3430
2,A004270,巢己,20210810,3365
3,A004270,巢己,20210809,3400
4,A004270,巢己,20210806,3450
5,A004270,巢己,20210805,3460
6,A004270,巢己,20210804,3395
7,A004270,巢己,20210803,3340
8,A004270,巢己,20210802,3425
9,A004270,巢己,20210730,3390
10,A004270,巢己,20210729,3445
11,A004270,巢己,20210728,3505
12,A004270,巢己,20210727,3555
13,A004270,巢己,20210726,3535
14,A004270,巢己,20210723,3570
15,A004270,巢己,20210722,3570
16,A004270,巢己,20210721,3580
17,A004270,巢己,20210720,3610
18,A004270,巢己,20210719,3610
19,A004270,巢己,20210716,3685
20,A004270,巢己,20210715,3705
21,A004270,巢己,20210714,3705
22,A004270,巢己,20210713,3805
23,A004270,巢己,20210712,3730
24,A004270,巢己,20210709,3545
25,A004270,巢己,20210708,3625
26,A004270,巢己,20210707,3685
27,A004270,巢己,20210706,3745
28,A004270,巢己,20210705,3720
29,A004270,巢己,20210702,3790
30,A004270,巢己,20210701,3810
31,A004270,巢己,20210630,3915
32,A004270,巢己,20210629,3905
33,A004270,巢己,20210628,3980
34,A004270,巢己,20210625,3950
35,A004270,巢己,20210624,3955
36,A004270,巢己,20210623,3845
37,A004270,巢己,20210622,3915
38,A004270,巢己,20210621,3890
39,A004270,巢己,20210618,3890
40,A004270,巢己,20210617,3830
41,A004270,巢己,20210616,3795
42,A004270,巢己,20210615,3710
43,A004270,巢己,20210614,3750
44,A004270,巢己,20210611,3770
45,A004270,巢己,20210610,3750
46,A004270,巢己,20210609,3840
47,A004270,巢己,20210608,3845
48,A004270,巢己,20210607,3885
49,A004270,巢己,20210604,3870
50,A004270,巢己,20210603,3880
51,A004270,巢己,20210602,3880
52,A004270,巢己,20210601,3850
53,A004270,巢己,20210531,3830
54,A004270,巢己,20210528,3720
55,A004270,巢己,20210527,3660
56,A004270,巢己,20210526,3650
57,A004270,巢己,20210525,3625
58,A004270,巢己,20210524,3590
59,A004270,巢己,20210521,3720
60,A004270,巢己,20210520,3800
61,A004270,巢己,20210518,3855
62,A004270,巢己,20210517,3875
63,A004270,巢己,20210514,3795
64,A004270,巢己,20210513,3790
65,A004270,巢己,20210512,3830
66,A004270,巢己,20210511,3850
67,A004270,巢己,20210510,3920
68,A004270,巢己,20210507,3930
69,A004270,巢己,20210506,3925
70,A004270,巢己,20210504,3880
71,A004270,巢己,20210503,3920
72,A004270,巢己,20210430,3860
73,A004270,巢己,20210429,3805
74,A004270,巢己,20210428,3880
75,A004270,巢己,20210427,4000
76,A004270,巢己,20210426,4040
77,A004270,巢己,20210423,4060
78,A004270,巢己,20210422,4120
79,A004270,巢己,20210421,4130
80,A004270,巢己,20210420,4215
81,A004270,巢己,20210419,4210
82,A004270,巢己,20210416,4290
83,A004270,巢己,20210415,4295
84,A004270,巢己,20210414,4425
85,A004270,巢己,20210413,4110
86,A004270,巢己,20210412,4160
87,A004270,巢己,20210409,4110
88,A004270,巢己,20210408,4135
89,A004270,巢己,20210407,4280
90,A004270,巢己,20210406,4175
91,A004270,巢己,20210405,4175
92,A004270,巢己,20210402,4200
93,A004270,巢己,20210401,4065
94,A004270,巢己,20210331,3970
95,A004270,巢己,20210330,4065
96,A004270,巢己,20210329,3960
97,A004270,巢己,20210326,3970
98,A004270,巢己,20210325,3985
99,A004270,巢己,20210324,4090
100,A004270,巢己,20210323,3960
101,A004270,巢己,20210322,4170
102,A004270,巢己,20210319,4180
103,A004270,巢己,20210318,4230
104,A004270,巢己,20210317,4250
105,A004270,巢己,20210316,4160
106,A004270,巢己,20210315,4190
107,A004270,巢己,20210312,4150
108,A004270,巢己,20210311,4005
109,A004270,巢己,20210310,4125
110,A004270,巢己,20210309,3995
111,A004270,巢己,20210308,4090
112,A004270,巢己,20210305,4175
113,A004270,巢己,20210304,3670
114,A004270,巢己,20210303,3550
115,A004270,巢己,20210302,3530
116,A004270,巢己,20210226,3535
117,A004270,巢己,20210225,3715
118,A004270,巢己,20210224,3635
119,A004270,巢己,20210223,3755
120,A004270,巢己,20210222,3815
121,A004270,巢己,20210219,3895
122,A004270,巢己,20210218,3960
123,A004270,巢己,20210217,3915
124,A004270,巢己,20210216,3935
125,A004270,巢己,20210215,3870
126,A004270,巢己,20210210,3585
127,A004270,巢己,20210209,3605
128,A004270,巢己,20210208,3665
129,A004270,巢己,20210205,3755
130,A004270,巢己,20210204,3825
131,A004270,巢己,20210203,3830
132,A004270,巢己,20210202,3720
133,A004270,巢己,20210201,3660
134,A004270,巢己,20210129,3630
135,A004270,巢己,20210128,3925
136,A004270,巢己,20210127,4125
137,A004270,巢己,20210126,4170
138,A004270,巢己,20210125,4270
139,A004270,巢己,20210122,4275
140,A004270,巢己,20210121,4405
141,A004270,巢己,20210120,4335
142,A004270,巢己,20210119,4195
143,A004270,巢己,20210118,4175
144,A004270,巢己,20210115,4220
145,A004270,巢己,20210114,4325
146,A004270,巢己,20210113,4340
147,A004270,巢己,20210112,4245
148,A004270,巢己,20210111,4430
149,A004270,巢己,20210108,4355
150,A004270,巢己,20210107,4385
151,A004270,巢己,20210106,4320
152,A004270,巢己,20210105,4300
153,A004270,巢己,20210104,4305
154,A004270,巢己,20201230,4225
155,A004270,巢己,20201229,3960
156,A004270,巢己,20201228,3885
157,A004270,巢己,20201224,4055
158,A004270,巢己,20201223,4210
159,A004270,巢己,20201222,4295
160,A004270,巢己,20201221,4150
161,A004270,巢己,20201218,4245
162,A004270,巢己,20201217,4285
163,A004270,巢己,20201216,4490
164,A004270,巢己,20201215,4500
165,A004270,巢己,20201214,4455
166,A004270,巢己,20201211,4540
167,A004270,巢己,20201210,4535
168,A004270,巢己,20201209,4310
169,A004270,巢己,20201208,4195
170,A004270,巢己,20201207,4255
171,A004270,巢己,20201204,4420
172,A004270,巢己,20201203,4535
173,A004270,巢己,20201202,4630
174,A004270,巢己,20201201,4590
175,A004270,巢己,20201130,4405
176,A004270,巢己,20201127,4420
177,A004270,巢己,20201126,4410
178,A004270,巢己,20201125,4515
179,A004270,巢己,20201124,4720
180,A004270,巢己,20201123,4695
181,A004270,巢己,20201120,4560
182,A004270,巢己,20201119,4675
183,A004270,巢己,20201118,4300
184,A004270,巢己,20201117,4230
185,A004270,巢己,20201116,3790
186,A004270,巢己,20201113,3810
187,A004270,巢己,20201112,4035
188,A004270,巢己,20201111,4085
189,A004270,巢己,20201110,4045
190,A004270,巢己,20201109,4165
191,A004270,巢己,20201106,3795
192,A004270,巢己,20201105,3825
193,A004270,巢己,20201104,3800
194,A004270,巢己,20201103,4065
195,A004270,巢己,20201102,4060
196,A004270,巢己,20201030,4145
197,A004270,巢己,20201029,3190
198,A004270,巢己,20201028,3305
199,A004270,巢己,20201027,3170
200,A004270,巢己,20201026,3130
201,A004270,巢己,20201023,3260
202,A004270,巢己,20201022,3310
203,A004270,巢己,20201021,3405
