,종목코드,종목명,날짜,종가
0,A042420,네오위즈홀딩스,20210812,34100
1,A042420,네오위즈홀딩스,20210811,34050
2,A042420,네오위즈홀딩스,20210810,31950
3,A042420,네오위즈홀딩스,20210809,31850
4,A042420,네오위즈홀딩스,20210806,29400
5,A042420,네오위즈홀딩스,20210805,29400
6,A042420,네오위즈홀딩스,20210804,29350
7,A042420,네오위즈홀딩스,20210803,28750
8,A042420,네오위즈홀딩스,20210802,28600
9,A042420,네오위즈홀딩스,20210730,28900
10,A042420,네오위즈홀딩스,20210729,29500
11,A042420,네오위즈홀딩스,20210728,29500
12,A042420,네오위즈홀딩스,20210727,30300
13,A042420,네오위즈홀딩스,20210726,30450
14,A042420,네오위즈홀딩스,20210723,30250
15,A042420,네오위즈홀딩스,20210722,30400
16,A042420,네오위즈홀딩스,20210721,30300
17,A042420,네오위즈홀딩스,20210720,31900
18,A042420,네오위즈홀딩스,20210719,30150
19,A042420,네오위즈홀딩스,20210716,30900
20,A042420,네오위즈홀딩스,20210715,31350
21,A042420,네오위즈홀딩스,20210714,31250
22,A042420,네오위즈홀딩스,20210713,31600
23,A042420,네오위즈홀딩스,20210712,31150
24,A042420,네오위즈홀딩스,20210709,30800
25,A042420,네오위즈홀딩스,20210708,31950
26,A042420,네오위즈홀딩스,20210707,32000
27,A042420,네오위즈홀딩스,20210706,31950
28,A042420,네오위즈홀딩스,20210705,31000
29,A042420,네오위즈홀딩스,20210702,30300
30,A042420,네오위즈홀딩스,20210701,30500
31,A042420,네오위즈홀딩스,20210630,30200
32,A042420,네오위즈홀딩스,20210629,30500
33,A042420,네오위즈홀딩스,20210628,30600
34,A042420,네오위즈홀딩스,20210625,30600
35,A042420,네오위즈홀딩스,20210624,30800
36,A042420,네오위즈홀딩스,20210623,30950
37,A042420,네오위즈홀딩스,20210622,30150
38,A042420,네오위즈홀딩스,20210621,30100
39,A042420,네오위즈홀딩스,20210618,30050
40,A042420,네오위즈홀딩스,20210617,30400
41,A042420,네오위즈홀딩스,20210616,30500
42,A042420,네오위즈홀딩스,20210615,30800
43,A042420,네오위즈홀딩스,20210614,30550
44,A042420,네오위즈홀딩스,20210611,30600
45,A042420,네오위즈홀딩스,20210610,30400
46,A042420,네오위즈홀딩스,20210609,29900
