,종목코드,종목명,날짜,종가
0,A306620,네온테크,20210812,3155
1,A306620,네온테크,20210811,3140
2,A306620,네온테크,20210810,3155
3,A306620,네온테크,20210809,3230
4,A306620,네온테크,20210806,3300
5,A306620,네온테크,20210805,3325
6,A306620,네온테크,20210804,3200
7,A306620,네온테크,20210803,3195
8,A306620,네온테크,20210802,3190
9,A306620,네온테크,20210730,3230
10,A306620,네온테크,20210729,3275
11,A306620,네온테크,20210728,3310
12,A306620,네온테크,20210727,3375
13,A306620,네온테크,20210726,3360
14,A306620,네온테크,20210723,3445
15,A306620,네온테크,20210722,3485
16,A306620,네온테크,20210721,3450
17,A306620,네온테크,20210720,3460
18,A306620,네온테크,20210719,3485
19,A306620,네온테크,20210716,3510
20,A306620,네온테크,20210715,3475
21,A306620,네온테크,20210714,3385
22,A306620,네온테크,20210713,3425
23,A306620,네온테크,20210712,3380
24,A306620,네온테크,20210709,3140
25,A306620,네온테크,20210708,3250
26,A306620,네온테크,20210707,3285
27,A306620,네온테크,20210706,3280
28,A306620,네온테크,20210705,3320
29,A306620,네온테크,20210702,3365
30,A306620,네온테크,20210701,3385
31,A306620,네온테크,20210630,3385
32,A306620,네온테크,20210629,3340
33,A306620,네온테크,20210628,3355
34,A306620,네온테크,20210625,3420
35,A306620,네온테크,20210624,3420
36,A306620,네온테크,20210623,3425
37,A306620,네온테크,20210622,3470
38,A306620,네온테크,20210621,3415
39,A306620,네온테크,20210618,3480
40,A306620,네온테크,20210617,3480
41,A306620,네온테크,20210616,3535
42,A306620,네온테크,20210615,3560
43,A306620,네온테크,20210614,3405
44,A306620,네온테크,20210611,3500
45,A306620,네온테크,20210610,3515
46,A306620,네온테크,20210609,3510
47,A306620,네온테크,20210608,3815
48,A306620,네온테크,20210607,3885
49,A306620,네온테크,20210604,3885
50,A306620,네온테크,20210603,3905
51,A306620,네온테크,20210602,3885
52,A306620,네온테크,20210601,3885
53,A306620,네온테크,20210531,3840
54,A306620,네온테크,20210528,3800
55,A306620,네온테크,20210527,3785
56,A306620,네온테크,20210526,3810
57,A306620,네온테크,20210525,3775
58,A306620,네온테크,20210524,3770
59,A306620,네온테크,20210521,3855
60,A306620,네온테크,20210520,3875
61,A306620,네온테크,20210518,3895
62,A306620,네온테크,20210517,3885
63,A306620,네온테크,20210514,3880
64,A306620,네온테크,20210513,3890
65,A306620,네온테크,20210512,3900
66,A306620,네온테크,20210511,3955
67,A306620,네온테크,20210510,3995
68,A306620,네온테크,20210507,4005
69,A306620,네온테크,20210506,4070
70,A306620,네온테크,20210504,3860
71,A306620,네온테크,20210503,3845
72,A306620,네온테크,20210430,3970
73,A306620,네온테크,20210429,4020
74,A306620,네온테크,20210428,4080
75,A306620,네온테크,20210427,4170
76,A306620,네온테크,20210426,4220
77,A306620,네온테크,20210423,4095
78,A306620,네온테크,20210422,4155
79,A306620,네온테크,20210421,4230
80,A306620,네온테크,20210420,4345
81,A306620,네온테크,20210419,4365
82,A306620,네온테크,20210416,4285
83,A306620,네온테크,20210415,4220
84,A306620,네온테크,20210414,4280
85,A306620,네온테크,20210413,4325
86,A306620,네온테크,20210412,4370
87,A306620,네온테크,20210409,4460
88,A306620,네온테크,20210408,4245
89,A306620,네온테크,20210407,4215
90,A306620,네온테크,20210406,4305
91,A306620,네온테크,20210405,4280
92,A306620,네온테크,20210402,4085
93,A306620,네온테크,20210401,4110
94,A306620,네온테크,20210331,4120
95,A306620,네온테크,20210330,4090
96,A306620,네온테크,20210329,4005
97,A306620,네온테크,20210326,3995
98,A306620,네온테크,20210325,4040
99,A306620,네온테크,20210324,4030
100,A306620,네온테크,20210323,4020
101,A306620,네온테크,20210322,4095
102,A306620,네온테크,20210319,4180
103,A306620,네온테크,20210318,4090
104,A306620,네온테크,20210317,4080
105,A306620,네온테크,20210316,4060
106,A306620,네온테크,20210315,4070
107,A306620,네온테크,20210312,3845
108,A306620,네온테크,20210311,3765
109,A306620,네온테크,20210310,3835
110,A306620,네온테크,20210309,3825
111,A306620,네온테크,20210308,4065
112,A306620,네온테크,20210305,4225
113,A306620,네온테크,20210304,4125
114,A306620,네온테크,20210303,4110
115,A306620,네온테크,20210302,4100
116,A306620,네온테크,20210226,4300
117,A306620,네온테크,20210225,4390
118,A306620,네온테크,20210224,4555
119,A306620,네온테크,20210223,4180
120,A306620,네온테크,20210222,4320
121,A306620,네온테크,20210219,4315
