,Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,Á¾°¡
0,A005725,³Ø¼¾¿ì,20210812,3800
1,A005725,³Ø¼¾¿ì,20210811,3740
2,A005725,³Ø¼¾¿ì,20210810,3770
3,A005725,³Ø¼¾¿ì,20210809,3750
4,A005725,³Ø¼¾¿ì,20210806,3670
5,A005725,³Ø¼¾¿ì,20210805,3645
6,A005725,³Ø¼¾¿ì,20210804,3645
7,A005725,³Ø¼¾¿ì,20210803,3650
8,A005725,³Ø¼¾¿ì,20210802,3700
9,A005725,³Ø¼¾¿ì,20210730,3700
10,A005725,³Ø¼¾¿ì,20210729,3715
11,A005725,³Ø¼¾¿ì,20210728,3730
12,A005725,³Ø¼¾¿ì,20210727,3770
13,A005725,³Ø¼¾¿ì,20210726,3770
14,A005725,³Ø¼¾¿ì,20210723,3705
15,A005725,³Ø¼¾¿ì,20210722,3710
16,A005725,³Ø¼¾¿ì,20210721,3720
17,A005725,³Ø¼¾¿ì,20210720,3725
18,A005725,³Ø¼¾¿ì,20210719,3710
19,A005725,³Ø¼¾¿ì,20210716,3750
20,A005725,³Ø¼¾¿ì,20210715,3805
21,A005725,³Ø¼¾¿ì,20210714,3790
22,A005725,³Ø¼¾¿ì,20210713,3775
23,A005725,³Ø¼¾¿ì,20210712,3695
24,A005725,³Ø¼¾¿ì,20210709,3700
25,A005725,³Ø¼¾¿ì,20210708,3780
26,A005725,³Ø¼¾¿ì,20210707,3825
27,A005725,³Ø¼¾¿ì,20210706,3830
28,A005725,³Ø¼¾¿ì,20210705,3805
29,A005725,³Ø¼¾¿ì,20210702,3805
30,A005725,³Ø¼¾¿ì,20210701,3840
31,A005725,³Ø¼¾¿ì,20210630,3840
32,A005725,³Ø¼¾¿ì,20210629,3855
33,A005725,³Ø¼¾¿ì,20210628,3825
34,A005725,³Ø¼¾¿ì,20210625,3870
35,A005725,³Ø¼¾¿ì,20210624,3850
36,A005725,³Ø¼¾¿ì,20210623,3840
37,A005725,³Ø¼¾¿ì,20210622,3870
38,A005725,³Ø¼¾¿ì,20210621,3810
39,A005725,³Ø¼¾¿ì,20210618,3830
40,A005725,³Ø¼¾¿ì,20210617,3875
41,A005725,³Ø¼¾¿ì,20210616,3915
42,A005725,³Ø¼¾¿ì,20210615,3910
43,A005725,³Ø¼¾¿ì,20210614,3915
44,A005725,³Ø¼¾¿ì,20210611,3905
45,A005725,³Ø¼¾¿ì,20210610,3880
46,A005725,³Ø¼¾¿ì,20210609,3810
