,Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,Á¾°¡
0,A004370,³ó½É,20210812,310500
1,A004370,³ó½É,20210811,314000
2,A004370,³ó½É,20210810,318000
3,A004370,³ó½É,20210809,320000
4,A004370,³ó½É,20210806,322000
5,A004370,³ó½É,20210805,323000
6,A004370,³ó½É,20210804,323000
7,A004370,³ó½É,20210803,325000
8,A004370,³ó½É,20210802,330000
9,A004370,³ó½É,20210730,329000
10,A004370,³ó½É,20210729,326000
11,A004370,³ó½É,20210728,322500
12,A004370,³ó½É,20210727,321000
13,A004370,³ó½É,20210726,319000
14,A004370,³ó½É,20210723,323500
15,A004370,³ó½É,20210722,321500
16,A004370,³ó½É,20210721,328000
17,A004370,³ó½É,20210720,330000
18,A004370,³ó½É,20210719,330500
19,A004370,³ó½É,20210716,337500
20,A004370,³ó½É,20210715,331500
21,A004370,³ó½É,20210714,307000
22,A004370,³ó½É,20210713,310000
23,A004370,³ó½É,20210712,309000
24,A004370,³ó½É,20210709,307000
25,A004370,³ó½É,20210708,310500
26,A004370,³ó½É,20210707,314000
27,A004370,³ó½É,20210706,316500
28,A004370,³ó½É,20210705,321000
29,A004370,³ó½É,20210702,318000
30,A004370,³ó½É,20210701,314000
31,A004370,³ó½É,20210630,313500
32,A004370,³ó½É,20210629,317000
33,A004370,³ó½É,20210628,316000
34,A004370,³ó½É,20210625,317000
35,A004370,³ó½É,20210624,318500
36,A004370,³ó½É,20210623,319500
37,A004370,³ó½É,20210622,324500
38,A004370,³ó½É,20210621,323500
39,A004370,³ó½É,20210618,321000
40,A004370,³ó½É,20210617,319000
41,A004370,³ó½É,20210616,318000
42,A004370,³ó½É,20210615,320500
43,A004370,³ó½É,20210614,316000
44,A004370,³ó½É,20210611,301500
45,A004370,³ó½É,20210610,299000
46,A004370,³ó½É,20210609,299500
47,A004370,³ó½É,20210608,301500
48,A004370,³ó½É,20210607,303500
49,A004370,³ó½É,20210604,302000
50,A004370,³ó½É,20210603,301500
51,A004370,³ó½É,20210602,304500
52,A004370,³ó½É,20210601,304000
53,A004370,³ó½É,20210531,301500
54,A004370,³ó½É,20210528,299500
55,A004370,³ó½É,20210527,304500
56,A004370,³ó½É,20210526,297500
57,A004370,³ó½É,20210525,295000
58,A004370,³ó½É,20210524,287000
59,A004370,³ó½É,20210521,285500
60,A004370,³ó½É,20210520,285000
61,A004370,³ó½É,20210518,292500
62,A004370,³ó½É,20210517,296000
63,A004370,³ó½É,20210514,301000
64,A004370,³ó½É,20210513,302500
65,A004370,³ó½É,20210512,297500
66,A004370,³ó½É,20210511,301000
67,A004370,³ó½É,20210510,296000
68,A004370,³ó½É,20210507,291000
69,A004370,³ó½É,20210506,280000
70,A004370,³ó½É,20210504,279000
71,A004370,³ó½É,20210503,281500
72,A004370,³ó½É,20210430,285000
73,A004370,³ó½É,20210429,284500
74,A004370,³ó½É,20210428,284000
75,A004370,³ó½É,20210427,285500
76,A004370,³ó½É,20210426,285000
77,A004370,³ó½É,20210423,283000
78,A004370,³ó½É,20210422,285000
79,A004370,³ó½É,20210421,289500
80,A004370,³ó½É,20210420,293000
81,A004370,³ó½É,20210419,293500
82,A004370,³ó½É,20210416,293000
83,A004370,³ó½É,20210415,293500
84,A004370,³ó½É,20210414,294000
85,A004370,³ó½É,20210413,295500
86,A004370,³ó½É,20210412,293500
87,A004370,³ó½É,20210409,293500
88,A004370,³ó½É,20210408,285500
89,A004370,³ó½É,20210407,284000
90,A004370,³ó½É,20210406,283500
91,A004370,³ó½É,20210405,284000
92,A004370,³ó½É,20210402,283500
93,A004370,³ó½É,20210401,285000
94,A004370,³ó½É,20210331,283500
95,A004370,³ó½É,20210330,286000
96,A004370,³ó½É,20210329,286500
97,A004370,³ó½É,20210326,281000
98,A004370,³ó½É,20210325,282500
99,A004370,³ó½É,20210324,283000
100,A004370,³ó½É,20210323,284500
101,A004370,³ó½É,20210322,281000
102,A004370,³ó½É,20210319,281500
103,A004370,³ó½É,20210318,285000
104,A004370,³ó½É,20210317,287000
105,A004370,³ó½É,20210316,286000
106,A004370,³ó½É,20210315,277000
107,A004370,³ó½É,20210312,275500
108,A004370,³ó½É,20210311,273500
109,A004370,³ó½É,20210310,276000
110,A004370,³ó½É,20210309,277500
111,A004370,³ó½É,20210308,276000
112,A004370,³ó½É,20210305,273500
113,A004370,³ó½É,20210304,276000
114,A004370,³ó½É,20210303,277500
115,A004370,³ó½É,20210302,273500
116,A004370,³ó½É,20210226,275000
117,A004370,³ó½É,20210225,281000
118,A004370,³ó½É,20210224,280000
119,A004370,³ó½É,20210223,284000
120,A004370,³ó½É,20210222,285000
121,A004370,³ó½É,20210219,285000
122,A004370,³ó½É,20210218,287000
123,A004370,³ó½É,20210217,288500
124,A004370,³ó½É,20210216,291500
125,A004370,³ó½É,20210215,289500
126,A004370,³ó½É,20210210,288500
127,A004370,³ó½É,20210209,291000
128,A004370,³ó½É,20210208,290000
129,A004370,³ó½É,20210205,289500
130,A004370,³ó½É,20210204,288000
131,A004370,³ó½É,20210203,286500
132,A004370,³ó½É,20210202,285500
133,A004370,³ó½É,20210201,283500
134,A004370,³ó½É,20210129,282500
135,A004370,³ó½É,20210128,288500
136,A004370,³ó½É,20210127,294500
137,A004370,³ó½É,20210126,298000
138,A004370,³ó½É,20210125,298000
139,A004370,³ó½É,20210122,290500
140,A004370,³ó½É,20210121,291000
141,A004370,³ó½É,20210120,291500
142,A004370,³ó½É,20210119,292000
