,а╬╦Ядз╣Е,а╬╦Я╦М,Ё╞б╔,а╬╟║
0,A072710,ЁС╫их╕╣Ы╫╨,20210812,78900
1,A072710,ЁС╫их╕╣Ы╫╨,20210811,79100
2,A072710,ЁС╫их╕╣Ы╫╨,20210810,79600
3,A072710,ЁС╫их╕╣Ы╫╨,20210809,79600
4,A072710,ЁС╫их╕╣Ы╫╨,20210806,79800
5,A072710,ЁС╫их╕╣Ы╫╨,20210805,79800
6,A072710,ЁС╫их╕╣Ы╫╨,20210804,79800
7,A072710,ЁС╫их╕╣Ы╫╨,20210803,79700
8,A072710,ЁС╫их╕╣Ы╫╨,20210802,79900
9,A072710,ЁС╫их╕╣Ы╫╨,20210730,79500
10,A072710,ЁС╫их╕╣Ы╫╨,20210729,80300
11,A072710,ЁС╫их╕╣Ы╫╨,20210728,79800
12,A072710,ЁС╫их╕╣Ы╫╨,20210727,79800
13,A072710,ЁС╫их╕╣Ы╫╨,20210726,79800
14,A072710,ЁС╫их╕╣Ы╫╨,20210723,80400
15,A072710,ЁС╫их╕╣Ы╫╨,20210722,80400
16,A072710,ЁС╫их╕╣Ы╫╨,20210721,80400
17,A072710,ЁС╫их╕╣Ы╫╨,20210720,80800
18,A072710,ЁС╫их╕╣Ы╫╨,20210719,81200
19,A072710,ЁС╫их╕╣Ы╫╨,20210716,82000
20,A072710,ЁС╫их╕╣Ы╫╨,20210715,82000
21,A072710,ЁС╫их╕╣Ы╫╨,20210714,80300
22,A072710,ЁС╫их╕╣Ы╫╨,20210713,80400
23,A072710,ЁС╫их╕╣Ы╫╨,20210712,79400
24,A072710,ЁС╫их╕╣Ы╫╨,20210709,79800
25,A072710,ЁС╫их╕╣Ы╫╨,20210708,79800
26,A072710,ЁС╫их╕╣Ы╫╨,20210707,80100
27,A072710,ЁС╫их╕╣Ы╫╨,20210706,80500
28,A072710,ЁС╫их╕╣Ы╫╨,20210705,80700
29,A072710,ЁС╫их╕╣Ы╫╨,20210702,80600
30,A072710,ЁС╫их╕╣Ы╫╨,20210701,81000
31,A072710,ЁС╫их╕╣Ы╫╨,20210630,81200
32,A072710,ЁС╫их╕╣Ы╫╨,20210629,81000
