,종목코드,종목명,날짜,종가
0,A008830,대동기어,20210812,8240
1,A008830,대동기어,20210811,8320
2,A008830,대동기어,20210810,8770
3,A008830,대동기어,20210809,8870
4,A008830,대동기어,20210806,9290
5,A008830,대동기어,20210805,8840
6,A008830,대동기어,20210804,8390
7,A008830,대동기어,20210803,8320
8,A008830,대동기어,20210802,8490
9,A008830,대동기어,20210730,8660
10,A008830,대동기어,20210729,8460
11,A008830,대동기어,20210728,8300
12,A008830,대동기어,20210727,8580
13,A008830,대동기어,20210726,8600
14,A008830,대동기어,20210723,8530
15,A008830,대동기어,20210722,8360
16,A008830,대동기어,20210721,8400
17,A008830,대동기어,20210720,8500
18,A008830,대동기어,20210719,8760
19,A008830,대동기어,20210716,8670
20,A008830,대동기어,20210715,8910
21,A008830,대동기어,20210714,9010
22,A008830,대동기어,20210713,8790
23,A008830,대동기어,20210712,8640
24,A008830,대동기어,20210709,8530
25,A008830,대동기어,20210708,8890
26,A008830,대동기어,20210707,9000
27,A008830,대동기어,20210706,9090
28,A008830,대동기어,20210705,8790
29,A008830,대동기어,20210702,8980
30,A008830,대동기어,20210701,9080
31,A008830,대동기어,20210630,9190
32,A008830,대동기어,20210629,9490
33,A008830,대동기어,20210628,9550
34,A008830,대동기어,20210625,9380
35,A008830,대동기어,20210624,9510
36,A008830,대동기어,20210623,9360
37,A008830,대동기어,20210622,9280
38,A008830,대동기어,20210621,9430
39,A008830,대동기어,20210618,9810
40,A008830,대동기어,20210617,10050
41,A008830,대동기어,20210616,10350
42,A008830,대동기어,20210615,9780
43,A008830,대동기어,20210614,9600
44,A008830,대동기어,20210611,9590
45,A008830,대동기어,20210610,9500
46,A008830,대동기어,20210609,10050
47,A008830,대동기어,20210608,10500
48,A008830,대동기어,20210607,10350
49,A008830,대동기어,20210604,10350
50,A008830,대동기어,20210603,10850
51,A008830,대동기어,20210602,11000
52,A008830,대동기어,20210601,11950
53,A008830,대동기어,20210531,9990
54,A008830,대동기어,20210528,7690
55,A008830,대동기어,20210527,7400
56,A008830,대동기어,20210526,7640
57,A008830,대동기어,20210525,7430
58,A008830,대동기어,20210524,7530
59,A008830,대동기어,20210521,8400
60,A008830,대동기어,20210520,7240
61,A008830,대동기어,20210518,5570
62,A008830,대동기어,20210517,5220
63,A008830,대동기어,20210514,4870
64,A008830,대동기어,20210513,4925
65,A008830,대동기어,20210512,5130
66,A008830,대동기어,20210511,5270
67,A008830,대동기어,20210510,5210
68,A008830,대동기어,20210507,5170
69,A008830,대동기어,20210506,5110
70,A008830,대동기어,20210504,5110
71,A008830,대동기어,20210503,5080
72,A008830,대동기어,20210430,4900
73,A008830,대동기어,20210429,4795
74,A008830,대동기어,20210428,4835
75,A008830,대동기어,20210427,5040
76,A008830,대동기어,20210426,5230
77,A008830,대동기어,20210423,5210
78,A008830,대동기어,20210422,5490
79,A008830,대동기어,20210421,5500
80,A008830,대동기어,20210420,4700
81,A008830,대동기어,20210419,4650
82,A008830,대동기어,20210416,4595
83,A008830,대동기어,20210415,4460
84,A008830,대동기어,20210414,4430
85,A008830,대동기어,20210413,4595
86,A008830,대동기어,20210412,4590
87,A008830,대동기어,20210409,4445
88,A008830,대동기어,20210408,4370
89,A008830,대동기어,20210407,4455
90,A008830,대동기어,20210406,4050
91,A008830,대동기어,20210405,3840
92,A008830,대동기어,20210402,3780
93,A008830,대동기어,20210401,4155
94,A008830,대동기어,20210331,4090
95,A008830,대동기어,20210330,3890
96,A008830,대동기어,20210329,3920
97,A008830,대동기어,20210326,3905
98,A008830,대동기어,20210325,3925
