,종목코드,종목명,날짜,종가
0,A078600,대주전자재료,20210812,61300
1,A078600,대주전자재료,20210811,59800
2,A078600,대주전자재료,20210810,59300
3,A078600,대주전자재료,20210809,59800
4,A078600,대주전자재료,20210806,58100
5,A078600,대주전자재료,20210805,58000
6,A078600,대주전자재료,20210804,56100
7,A078600,대주전자재료,20210803,57200
8,A078600,대주전자재료,20210802,56700
9,A078600,대주전자재료,20210730,57400
10,A078600,대주전자재료,20210729,58100
11,A078600,대주전자재료,20210728,56600
12,A078600,대주전자재료,20210727,56300
13,A078600,대주전자재료,20210726,56700
14,A078600,대주전자재료,20210723,56600
15,A078600,대주전자재료,20210722,56100
16,A078600,대주전자재료,20210721,58100
17,A078600,대주전자재료,20210720,58000
18,A078600,대주전자재료,20210719,63000
19,A078600,대주전자재료,20210716,60600
20,A078600,대주전자재료,20210715,59000
21,A078600,대주전자재료,20210714,57100
22,A078600,대주전자재료,20210713,51400
23,A078600,대주전자재료,20210712,50200
24,A078600,대주전자재료,20210709,49800
25,A078600,대주전자재료,20210708,47650
26,A078600,대주전자재료,20210707,49400
27,A078600,대주전자재료,20210706,48450
28,A078600,대주전자재료,20210705,48850
29,A078600,대주전자재료,20210702,47100
30,A078600,대주전자재료,20210701,47650
31,A078600,대주전자재료,20210630,48200
32,A078600,대주전자재료,20210629,48200
33,A078600,대주전자재료,20210628,48150
34,A078600,대주전자재료,20210625,48450
35,A078600,대주전자재료,20210624,49750
36,A078600,대주전자재료,20210623,50400
37,A078600,대주전자재료,20210622,49600
38,A078600,대주전자재료,20210621,49850
39,A078600,대주전자재료,20210618,48600
40,A078600,대주전자재료,20210617,47400
41,A078600,대주전자재료,20210616,45650
42,A078600,대주전자재료,20210615,44550
43,A078600,대주전자재료,20210614,44950
44,A078600,대주전자재료,20210611,43900
45,A078600,대주전자재료,20210610,42800
46,A078600,대주전자재료,20210609,42100
47,A078600,대주전자재료,20210608,43200
48,A078600,대주전자재료,20210607,43900
49,A078600,대주전자재료,20210604,43750
50,A078600,대주전자재료,20210603,44550
51,A078600,대주전자재료,20210602,44100
