,종목코드,종목명,날짜,종가
0,A012800,대창,20210812,2585
1,A012800,대창,20210811,2585
2,A012800,대창,20210810,2585
3,A012800,대창,20210809,2575
4,A012800,대창,20210806,2645
5,A012800,대창,20210805,2635
6,A012800,대창,20210804,2640
7,A012800,대창,20210803,2580
8,A012800,대창,20210802,2645
9,A012800,대창,20210730,2580
10,A012800,대창,20210729,2690
11,A012800,대창,20210728,2575
12,A012800,대창,20210727,2645
13,A012800,대창,20210726,2690
14,A012800,대창,20210723,2520
15,A012800,대창,20210722,2470
16,A012800,대창,20210721,2450
17,A012800,대창,20210720,2450
18,A012800,대창,20210719,2500
19,A012800,대창,20210716,2500
20,A012800,대창,20210715,2465
21,A012800,대창,20210714,2445
22,A012800,대창,20210713,2495
23,A012800,대창,20210712,2465
24,A012800,대창,20210709,2430
25,A012800,대창,20210708,2540
26,A012800,대창,20210707,2550
27,A012800,대창,20210706,2595
28,A012800,대창,20210705,2490
29,A012800,대창,20210702,2515
30,A012800,대창,20210701,2535
31,A012800,대창,20210630,2540
32,A012800,대창,20210629,2530
33,A012800,대창,20210628,2580
34,A012800,대창,20210625,2570
35,A012800,대창,20210624,2480
36,A012800,대창,20210623,2490
37,A012800,대창,20210622,2535
38,A012800,대창,20210621,2440
39,A012800,대창,20210618,2525
40,A012800,대창,20210617,2570
41,A012800,대창,20210616,2605
42,A012800,대창,20210615,2635
43,A012800,대창,20210614,2575
44,A012800,대창,20210611,2540
45,A012800,대창,20210610,2400
46,A012800,대창,20210609,2420
47,A012800,대창,20210608,2400
48,A012800,대창,20210607,2435
49,A012800,대창,20210604,2485
50,A012800,대창,20210603,2485
51,A012800,대창,20210602,2515
52,A012800,대창,20210601,2510
53,A012800,대창,20210531,2470
54,A012800,대창,20210528,2470
55,A012800,대창,20210527,2380
56,A012800,대창,20210526,2360
57,A012800,대창,20210525,2405
58,A012800,대창,20210524,2345
59,A012800,대창,20210521,2380
60,A012800,대창,20210520,2495
61,A012800,대창,20210518,2650
62,A012800,대창,20210517,2580
63,A012800,대창,20210514,2575
64,A012800,대창,20210513,2685
65,A012800,대창,20210512,2855
66,A012800,대창,20210511,2910
67,A012800,대창,20210510,2785
68,A012800,대창,20210507,2670
69,A012800,대창,20210506,2800
70,A012800,대창,20210504,2515
71,A012800,대창,20210503,2470
72,A012800,대창,20210430,2470
73,A012800,대창,20210429,2610
74,A012800,대창,20210428,2575
75,A012800,대창,20210427,2705
76,A012800,대창,20210426,2550
77,A012800,대창,20210423,2500
78,A012800,대창,20210422,2385
79,A012800,대창,20210421,2360
80,A012800,대창,20210420,2430
81,A012800,대창,20210419,2000
82,A012800,대창,20210416,2020
83,A012800,대창,20210415,2000
84,A012800,대창,20210414,1890
85,A012800,대창,20210413,1865
86,A012800,대창,20210412,1910
87,A012800,대창,20210409,1860
88,A012800,대창,20210408,1820
89,A012800,대창,20210407,1835
90,A012800,대창,20210406,1810
91,A012800,대창,20210405,1810
92,A012800,대창,20210402,1790
93,A012800,대창,20210401,1820
94,A012800,대창,20210331,1820
95,A012800,대창,20210330,1830
96,A012800,대창,20210329,1860
97,A012800,대창,20210326,1820
98,A012800,대창,20210325,1820
99,A012800,대창,20210324,1845
100,A012800,대창,20210323,1840
101,A012800,대창,20210322,1890
102,A012800,대창,20210319,1945
103,A012800,대창,20210318,1960
104,A012800,대창,20210317,1980
105,A012800,대창,20210316,1995
106,A012800,대창,20210315,1900
107,A012800,대창,20210312,1895
108,A012800,대창,20210311,1840
109,A012800,대창,20210310,1810
110,A012800,대창,20210309,1915
111,A012800,대창,20210308,1960
112,A012800,대창,20210305,1990
113,A012800,대창,20210304,2045
114,A012800,대창,20210303,1985
115,A012800,대창,20210302,1920
