,종목코드,종목명,날짜,종가
0,A096350,대창솔루션,20210812,698
1,A096350,대창솔루션,20210811,698
2,A096350,대창솔루션,20210810,697
3,A096350,대창솔루션,20210809,711
4,A096350,대창솔루션,20210806,715
5,A096350,대창솔루션,20210805,724
6,A096350,대창솔루션,20210804,720
7,A096350,대창솔루션,20210803,694
8,A096350,대창솔루션,20210802,692
9,A096350,대창솔루션,20210730,683
10,A096350,대창솔루션,20210729,688
11,A096350,대창솔루션,20210728,678
12,A096350,대창솔루션,20210727,687
13,A096350,대창솔루션,20210726,677
14,A096350,대창솔루션,20210723,696
15,A096350,대창솔루션,20210722,688
16,A096350,대창솔루션,20210721,683
17,A096350,대창솔루션,20210720,704
18,A096350,대창솔루션,20210719,703
19,A096350,대창솔루션,20210716,722
20,A096350,대창솔루션,20210715,740
21,A096350,대창솔루션,20210714,719
22,A096350,대창솔루션,20210713,718
23,A096350,대창솔루션,20210712,713
24,A096350,대창솔루션,20210709,718
25,A096350,대창솔루션,20210708,709
26,A096350,대창솔루션,20210707,723
27,A096350,대창솔루션,20210706,736
28,A096350,대창솔루션,20210705,717
29,A096350,대창솔루션,20210702,733
30,A096350,대창솔루션,20210701,702
31,A096350,대창솔루션,20210630,731
32,A096350,대창솔루션,20210629,732
33,A096350,대창솔루션,20210628,730
34,A096350,대창솔루션,20210625,719
35,A096350,대창솔루션,20210624,622
36,A096350,대창솔루션,20210623,612
37,A096350,대창솔루션,20210622,641
38,A096350,대창솔루션,20210621,640
39,A096350,대창솔루션,20210618,657
40,A096350,대창솔루션,20210617,661
41,A096350,대창솔루션,20210616,652
42,A096350,대창솔루션,20210615,654
43,A096350,대창솔루션,20210614,653
44,A096350,대창솔루션,20210611,656
45,A096350,대창솔루션,20210610,668
46,A096350,대창솔루션,20210609,639
47,A096350,대창솔루션,20210608,673
48,A096350,대창솔루션,20210607,710
49,A096350,대창솔루션,20210604,573
50,A096350,대창솔루션,20210603,528
51,A096350,대창솔루션,20210602,532
52,A096350,대창솔루션,20210601,508
53,A096350,대창솔루션,20210531,519
54,A096350,대창솔루션,20210528,475
55,A096350,대창솔루션,20210527,471
56,A096350,대창솔루션,20210526,470
57,A096350,대창솔루션,20210525,472
58,A096350,대창솔루션,20210524,469
59,A096350,대창솔루션,20210521,476
60,A096350,대창솔루션,20210520,479
61,A096350,대창솔루션,20210518,476
62,A096350,대창솔루션,20210517,486
63,A096350,대창솔루션,20210514,492
64,A096350,대창솔루션,20210513,482
65,A096350,대창솔루션,20210512,500
66,A096350,대창솔루션,20210511,519
67,A096350,대창솔루션,20210510,504
68,A096350,대창솔루션,20210507,500
69,A096350,대창솔루션,20210506,505
70,A096350,대창솔루션,20210504,489
71,A096350,대창솔루션,20210503,500
72,A096350,대창솔루션,20210430,486
73,A096350,대창솔루션,20210429,488
74,A096350,대창솔루션,20210428,473
75,A096350,대창솔루션,20210427,483
76,A096350,대창솔루션,20210426,491
77,A096350,대창솔루션,20210423,484
78,A096350,대창솔루션,20210422,479
79,A096350,대창솔루션,20210421,479
80,A096350,대창솔루션,20210420,484
81,A096350,대창솔루션,20210419,475
82,A096350,대창솔루션,20210416,480
83,A096350,대창솔루션,20210415,478
84,A096350,대창솔루션,20210414,492
85,A096350,대창솔루션,20210413,499
86,A096350,대창솔루션,20210412,480
87,A096350,대창솔루션,20210409,478
88,A096350,대창솔루션,20210408,475
89,A096350,대창솔루션,20210407,475
90,A096350,대창솔루션,20210406,474
91,A096350,대창솔루션,20210405,479
92,A096350,대창솔루션,20210402,464
93,A096350,대창솔루션,20210401,471
94,A096350,대창솔루션,20210331,463
95,A096350,대창솔루션,20210330,477
96,A096350,대창솔루션,20210329,467
97,A096350,대창솔루션,20210326,474
98,A096350,대창솔루션,20210325,435
99,A096350,대창솔루션,20210324,436
100,A096350,대창솔루션,20210323,413
101,A096350,대창솔루션,20210322,434
102,A096350,대창솔루션,20210319,444
103,A096350,대창솔루션,20210318,441
104,A096350,대창솔루션,20210317,441
105,A096350,대창솔루션,20210316,453
106,A096350,대창솔루션,20210315,442
107,A096350,대창솔루션,20210312,453
108,A096350,대창솔루션,20210311,417
109,A096350,대창솔루션,20210310,415
110,A096350,대창솔루션,20210309,412
111,A096350,대창솔루션,20210308,422
112,A096350,대창솔루션,20210305,430
113,A096350,대창솔루션,20210304,437
114,A096350,대창솔루션,20210303,448
115,A096350,대창솔루션,20210302,450
116,A096350,대창솔루션,20210226,448
117,A096350,대창솔루션,20210225,459
118,A096350,대창솔루션,20210224,459
119,A096350,대창솔루션,20210223,470
120,A096350,대창솔루션,20210222,487
121,A096350,대창솔루션,20210219,479
122,A096350,대창솔루션,20210218,490
123,A096350,대창솔루션,20210217,500
124,A096350,대창솔루션,20210216,509
125,A096350,대창솔루션,20210215,477
126,A096350,대창솔루션,20210210,474
127,A096350,대창솔루션,20210209,480
128,A096350,대창솔루션,20210208,460
129,A096350,대창솔루션,20210205,468
130,A096350,대창솔루션,20210204,464
131,A096350,대창솔루션,20210203,473
132,A096350,대창솔루션,20210202,465
133,A096350,대창솔루션,20210201,463
134,A096350,대창솔루션,20210129,463
135,A096350,대창솔루션,20210128,476
136,A096350,대창솔루션,20210127,489
137,A096350,대창솔루션,20210126,489
138,A096350,대창솔루션,20210125,497
139,A096350,대창솔루션,20210122,498
140,A096350,대창솔루션,20210121,513
141,A096350,대창솔루션,20210120,480
142,A096350,대창솔루션,20210119,480
143,A096350,대창솔루션,20210118,473
144,A096350,대창솔루션,20210115,488
145,A096350,대창솔루션,20210114,492
146,A096350,대창솔루션,20210113,499
147,A096350,대창솔루션,20210112,486
148,A096350,대창솔루션,20210111,486
149,A096350,대창솔루션,20210108,505
150,A096350,대창솔루션,20210107,526
151,A096350,대창솔루션,20210106,499
152,A096350,대창솔루션,20210105,505
153,A096350,대창솔루션,20210104,510
154,A096350,대창솔루션,20201230,494
155,A096350,대창솔루션,20201229,488
156,A096350,대창솔루션,20201228,481
157,A096350,대창솔루션,20201224,486
158,A096350,대창솔루션,20201223,488
159,A096350,대창솔루션,20201222,497
160,A096350,대창솔루션,20201221,519
161,A096350,대창솔루션,20201218,530
162,A096350,대창솔루션,20201217,528
163,A096350,대창솔루션,20201216,537
164,A096350,대창솔루션,20201215,541
165,A096350,대창솔루션,20201214,550
166,A096350,대창솔루션,20201211,541
167,A096350,대창솔루션,20201210,538
168,A096350,대창솔루션,20201209,537
169,A096350,대창솔루션,20201208,525
170,A096350,대창솔루션,20201207,540
171,A096350,대창솔루션,20201204,549
172,A096350,대창솔루션,20201203,559
173,A096350,대창솔루션,20201202,557
174,A096350,대창솔루션,20201201,561
175,A096350,대창솔루션,20201130,567
176,A096350,대창솔루션,20201127,555
177,A096350,대창솔루션,20201126,542
178,A096350,대창솔루션,20201125,545
179,A096350,대창솔루션,20201124,553
180,A096350,대창솔루션,20201123,556
181,A096350,대창솔루션,20201120,522
182,A096350,대창솔루션,20201119,516
183,A096350,대창솔루션,20201118,541
184,A096350,대창솔루션,20201117,539
185,A096350,대창솔루션,20201116,560
186,A096350,대창솔루션,20201113,529
187,A096350,대창솔루션,20201112,465
188,A096350,대창솔루션,20201111,465
189,A096350,대창솔루션,20201110,476
190,A096350,대창솔루션,20201109,480
191,A096350,대창솔루션,20201106,448
192,A096350,대창솔루션,20201105,446
193,A096350,대창솔루션,20201104,426
194,A096350,대창솔루션,20201103,451
195,A096350,대창솔루션,20201102,427
196,A096350,대창솔루션,20201030,411
197,A096350,대창솔루션,20201029,425
198,A096350,대창솔루션,20201028,433
199,A096350,대창솔루션,20201027,422
200,A096350,대창솔루션,20201026,422
201,A096350,대창솔루션,20201023,453
202,A096350,대창솔루션,20201022,454
203,A096350,대창솔루션,20201021,487
204,A096350,대창솔루션,20201020,487
205,A096350,대창솔루션,20201019,504
206,A096350,대창솔루션,20201016,543
207,A096350,대창솔루션,20201015,585
208,A096350,대창솔루션,20201014,536
209,A096350,대창솔루션,20201013,551
210,A096350,대창솔루션,20201012,424
211,A096350,대창솔루션,20201008,425
212,A096350,대창솔루션,20201007,428
213,A096350,대창솔루션,20201006,395
214,A096350,대창솔루션,20201005,389
215,A096350,대창솔루션,20200929,365
216,A096350,대창솔루션,20200928,360
217,A096350,대창솔루션,20200925,343
218,A096350,대창솔루션,20200924,338
219,A096350,대창솔루션,20200923,363
220,A096350,대창솔루션,20200922,351
221,A096350,대창솔루션,20200921,353
222,A096350,대창솔루션,20200918,366
223,A096350,대창솔루션,20200917,369
224,A096350,대창솔루션,20200916,362
225,A096350,대창솔루션,20200915,360
226,A096350,대창솔루션,20200914,367
227,A096350,대창솔루션,20200911,371
228,A096350,대창솔루션,20200910,371
229,A096350,대창솔루션,20200909,356
230,A096350,대창솔루션,20200908,353
231,A096350,대창솔루션,20200907,356
232,A096350,대창솔루션,20200904,345
233,A096350,대창솔루션,20200903,332
234,A096350,대창솔루션,20200902,325
235,A096350,대창솔루션,20200901,324
236,A096350,대창솔루션,20200831,333
237,A096350,대창솔루션,20200828,317
238,A096350,대창솔루션,20200827,311
239,A096350,대창솔루션,20200826,324
240,A096350,대창솔루션,20200825,328
241,A096350,대창솔루션,20200824,317
242,A096350,대창솔루션,20200821,309
243,A096350,대창솔루션,20200820,309
244,A096350,대창솔루션,20200819,318
245,A096350,대창솔루션,20200818,307
246,A096350,대창솔루션,20200814,334
247,A096350,대창솔루션,20200813,345
248,A096350,대창솔루션,20200812,336
249,A096350,대창솔루션,20200811,355
250,A096350,대창솔루션,20200810,354
251,A096350,대창솔루션,20200807,312
252,A096350,대창솔루션,20200806,306
253,A096350,대창솔루션,20200805,301
254,A096350,대창솔루션,20200804,304
255,A096350,대창솔루션,20200803,305
256,A096350,대창솔루션,20200731,304
257,A096350,대창솔루션,20200730,305
258,A096350,대창솔루션,20200729,306
259,A096350,대창솔루션,20200728,303
260,A096350,대창솔루션,20200727,304
261,A096350,대창솔루션,20200724,305
262,A096350,대창솔루션,20200723,309
263,A096350,대창솔루션,20200722,312
264,A096350,대창솔루션,20200721,323
265,A096350,대창솔루션,20200720,307
266,A096350,대창솔루션,20200717,307
267,A096350,대창솔루션,20200716,307
268,A096350,대창솔루션,20200715,313
269,A096350,대창솔루션,20200714,306
270,A096350,대창솔루션,20200713,312
271,A096350,대창솔루션,20200710,311
272,A096350,대창솔루션,20200709,319
273,A096350,대창솔루션,20200708,315
274,A096350,대창솔루션,20200707,316
275,A096350,대창솔루션,20200706,318
276,A096350,대창솔루션,20200703,322
277,A096350,대창솔루션,20200702,317
278,A096350,대창솔루션,20200701,314
279,A096350,대창솔루션,20200630,327
280,A096350,대창솔루션,20200629,312
281,A096350,대창솔루션,20200626,328
282,A096350,대창솔루션,20200625,341
283,A096350,대창솔루션,20200624,353
284,A096350,대창솔루션,20200623,360
285,A096350,대창솔루션,20200622,365
286,A096350,대창솔루션,20200619,366
287,A096350,대창솔루션,20200618,372
288,A096350,대창솔루션,20200617,383
289,A096350,대창솔루션,20200616,362
290,A096350,대창솔루션,20200615,349
291,A096350,대창솔루션,20200612,396
292,A096350,대창솔루션,20200611,406
293,A096350,대창솔루션,20200610,428
294,A096350,대창솔루션,20200609,444
295,A096350,대창솔루션,20200608,456
296,A096350,대창솔루션,20200605,482
297,A096350,대창솔루션,20200604,507
298,A096350,대창솔루션,20200603,507
299,A096350,대창솔루션,20200602,390
300,A096350,대창솔루션,20200601,305
301,A096350,대창솔루션,20200529,303
302,A096350,대창솔루션,20200528,304
303,A096350,대창솔루션,20200527,317
304,A096350,대창솔루션,20200526,308
305,A096350,대창솔루션,20200525,310
306,A096350,대창솔루션,20200522,309
307,A096350,대창솔루션,20200521,320
308,A096350,대창솔루션,20200520,302
309,A096350,대창솔루션,20200519,300
310,A096350,대창솔루션,20200518,299
311,A096350,대창솔루션,20200515,310
312,A096350,대창솔루션,20200514,315
313,A096350,대창솔루션,20200513,328
314,A096350,대창솔루션,20200512,330
315,A096350,대창솔루션,20200511,339
316,A096350,대창솔루션,20200508,340
317,A096350,대창솔루션,20200507,338
318,A096350,대창솔루션,20200506,339
319,A096350,대창솔루션,20200504,341
320,A096350,대창솔루션,20200429,344
321,A096350,대창솔루션,20200428,329
322,A096350,대창솔루션,20200427,329
323,A096350,대창솔루션,20200424,317
324,A096350,대창솔루션,20200423,328
325,A096350,대창솔루션,20200422,321
326,A096350,대창솔루션,20200421,325
327,A096350,대창솔루션,20200420,338
328,A096350,대창솔루션,20200417,321
329,A096350,대창솔루션,20200416,311
330,A096350,대창솔루션,20200414,308
331,A096350,대창솔루션,20200413,309
332,A096350,대창솔루션,20200410,319
333,A096350,대창솔루션,20200409,322
334,A096350,대창솔루션,20200408,314
335,A096350,대창솔루션,20200407,306
336,A096350,대창솔루션,20200406,297
337,A096350,대창솔루션,20200403,294
338,A096350,대창솔루션,20200402,291
339,A096350,대창솔루션,20200401,287
