,종목코드,종목명,날짜,종가
0,A067080,대화제약,20210812,11600
1,A067080,대화제약,20210811,11550
2,A067080,대화제약,20210810,11450
3,A067080,대화제약,20210809,11650
4,A067080,대화제약,20210806,11750
5,A067080,대화제약,20210805,11900
6,A067080,대화제약,20210804,11700
7,A067080,대화제약,20210803,11550
8,A067080,대화제약,20210802,11550
9,A067080,대화제약,20210730,11700
10,A067080,대화제약,20210729,11800
11,A067080,대화제약,20210728,11750
12,A067080,대화제약,20210727,11800
13,A067080,대화제약,20210726,11800
14,A067080,대화제약,20210723,12000
15,A067080,대화제약,20210722,12050
16,A067080,대화제약,20210721,12100
17,A067080,대화제약,20210720,11950
18,A067080,대화제약,20210719,12200
19,A067080,대화제약,20210716,12400
20,A067080,대화제약,20210715,12400
21,A067080,대화제약,20210714,12350
22,A067080,대화제약,20210713,12500
23,A067080,대화제약,20210712,12350
24,A067080,대화제약,20210709,12250
25,A067080,대화제약,20210708,12600
26,A067080,대화제약,20210707,13100
27,A067080,대화제약,20210706,13150
28,A067080,대화제약,20210705,13250
29,A067080,대화제약,20210702,13500
30,A067080,대화제약,20210701,13550
31,A067080,대화제약,20210630,13300
32,A067080,대화제약,20210629,12950
33,A067080,대화제약,20210628,13150
34,A067080,대화제약,20210625,12900
35,A067080,대화제약,20210624,12900
36,A067080,대화제약,20210623,13150
37,A067080,대화제약,20210622,12550
38,A067080,대화제약,20210621,12700
39,A067080,대화제약,20210618,12600
40,A067080,대화제약,20210617,12600
41,A067080,대화제약,20210616,12500
42,A067080,대화제약,20210615,12600
43,A067080,대화제약,20210614,12700
44,A067080,대화제약,20210611,12700
45,A067080,대화제약,20210610,12450
46,A067080,대화제약,20210609,12400
47,A067080,대화제약,20210608,12600
48,A067080,대화제약,20210607,12750
49,A067080,대화제약,20210604,12650
50,A067080,대화제약,20210603,12600
51,A067080,대화제약,20210602,12300
52,A067080,대화제약,20210601,12450
53,A067080,대화제약,20210531,12450
54,A067080,대화제약,20210528,12250
55,A067080,대화제약,20210527,12150
56,A067080,대화제약,20210526,12150
57,A067080,대화제약,20210525,12100
58,A067080,대화제약,20210524,12150
59,A067080,대화제약,20210521,12400
60,A067080,대화제약,20210520,12550
61,A067080,대화제약,20210518,12750
62,A067080,대화제약,20210517,12500
63,A067080,대화제약,20210514,12300
64,A067080,대화제약,20210513,12100
65,A067080,대화제약,20210512,12150
66,A067080,대화제약,20210511,12400
67,A067080,대화제약,20210510,12350
68,A067080,대화제약,20210507,12200
69,A067080,대화제약,20210506,12250
70,A067080,대화제약,20210504,11800
71,A067080,대화제약,20210503,11850
72,A067080,대화제약,20210430,12100
73,A067080,대화제약,20210429,12350
74,A067080,대화제약,20210428,12500
75,A067080,대화제약,20210427,12850
76,A067080,대화제약,20210426,12900
77,A067080,대화제약,20210423,12900
78,A067080,대화제약,20210422,12850
79,A067080,대화제약,20210421,12500
80,A067080,대화제약,20210420,12600
81,A067080,대화제약,20210419,12650
82,A067080,대화제약,20210416,12700
83,A067080,대화제약,20210415,12500
84,A067080,대화제약,20210414,12750
85,A067080,대화제약,20210413,12750
86,A067080,대화제약,20210412,12200
87,A067080,대화제약,20210409,12000
88,A067080,대화제약,20210408,12000
89,A067080,대화제약,20210407,11850
90,A067080,대화제약,20210406,11700
91,A067080,대화제약,20210405,11750
92,A067080,대화제약,20210402,11900
93,A067080,대화제약,20210401,12000
94,A067080,대화제약,20210331,11800
95,A067080,대화제약,20210330,11900
96,A067080,대화제약,20210329,11800
97,A067080,대화제약,20210326,12000
98,A067080,대화제약,20210325,12000
99,A067080,대화제약,20210324,12250
100,A067080,대화제약,20210323,12200
101,A067080,대화제약,20210322,12400
102,A067080,대화제약,20210319,12650
103,A067080,대화제약,20210318,12700
104,A067080,대화제약,20210317,12350
105,A067080,대화제약,20210316,12450
106,A067080,대화제약,20210315,12100
107,A067080,대화제약,20210312,12100
108,A067080,대화제약,20210311,11650
109,A067080,대화제약,20210310,11600
110,A067080,대화제약,20210309,11750
111,A067080,대화제약,20210308,11950
112,A067080,대화제약,20210305,12250
113,A067080,대화제약,20210304,12200
114,A067080,대화제약,20210303,12250
115,A067080,대화제약,20210302,12150
116,A067080,대화제약,20210226,12150
117,A067080,대화제약,20210225,12400
118,A067080,대화제약,20210224,11800
119,A067080,대화제약,20210223,12600
120,A067080,대화제약,20210222,13000
121,A067080,대화제약,20210219,13050
122,A067080,대화제약,20210218,13250
123,A067080,대화제약,20210217,13550
124,A067080,대화제약,20210216,13600
125,A067080,대화제약,20210215,13800
126,A067080,대화제약,20210210,13550
127,A067080,대화제약,20210209,13650
128,A067080,대화제약,20210208,13700
129,A067080,대화제약,20210205,13850
130,A067080,대화제약,20210204,13750
131,A067080,대화제약,20210203,13700
132,A067080,대화제약,20210202,13600
133,A067080,대화제약,20210201,13600
134,A067080,대화제약,20210129,13450
135,A067080,대화제약,20210128,14050
136,A067080,대화제약,20210127,14600
137,A067080,대화제약,20210126,14600
138,A067080,대화제약,20210125,15000
139,A067080,대화제약,20210122,14600
140,A067080,대화제약,20210121,15000
141,A067080,대화제약,20210120,15000
142,A067080,대화제약,20210119,14800
143,A067080,대화제약,20210118,15100
144,A067080,대화제약,20210115,15750
145,A067080,대화제약,20210114,16150
146,A067080,대화제약,20210113,16500
147,A067080,대화제약,20210112,15650
148,A067080,대화제약,20210111,15700
149,A067080,대화제약,20210108,16600
150,A067080,대화제약,20210107,17300
151,A067080,대화제약,20210106,17450
152,A067080,대화제약,20210105,16550
153,A067080,대화제약,20210104,15300
154,A067080,대화제약,20201230,15450
155,A067080,대화제약,20201229,15450
156,A067080,대화제약,20201228,15150
157,A067080,대화제약,20201224,16150
158,A067080,대화제약,20201223,15900
159,A067080,대화제약,20201222,17400
160,A067080,대화제약,20201221,15300
161,A067080,대화제약,20201218,14550
162,A067080,대화제약,20201217,14300
163,A067080,대화제약,20201216,14450
164,A067080,대화제약,20201215,14500
165,A067080,대화제약,20201214,14800
166,A067080,대화제약,20201211,14550
167,A067080,대화제약,20201210,14550
168,A067080,대화제약,20201209,14650
169,A067080,대화제약,20201208,14750
170,A067080,대화제약,20201207,15300
171,A067080,대화제약,20201204,14850
172,A067080,대화제약,20201203,15050
173,A067080,대화제약,20201202,15450
174,A067080,대화제약,20201201,15600
175,A067080,대화제약,20201130,15550
176,A067080,대화제약,20201127,15850
177,A067080,대화제약,20201126,15100
178,A067080,대화제약,20201125,14850
179,A067080,대화제약,20201124,15300
180,A067080,대화제약,20201123,14800
181,A067080,대화제약,20201120,14850
182,A067080,대화제약,20201119,14650
183,A067080,대화제약,20201118,14950
184,A067080,대화제약,20201117,13700
185,A067080,대화제약,20201116,14000
186,A067080,대화제약,20201113,13800
187,A067080,대화제약,20201112,13850
188,A067080,대화제약,20201111,13750
189,A067080,대화제약,20201110,13750
190,A067080,대화제약,20201109,13800
191,A067080,대화제약,20201106,13550
192,A067080,대화제약,20201105,13850
193,A067080,대화제약,20201104,13400
194,A067080,대화제약,20201103,13550
195,A067080,대화제약,20201102,13300
196,A067080,대화제약,20201030,13250
197,A067080,대화제약,20201029,13900
198,A067080,대화제약,20201028,13350
199,A067080,대화제약,20201027,12800
200,A067080,대화제약,20201026,12800
201,A067080,대화제약,20201023,14100
202,A067080,대화제약,20201022,14700
203,A067080,대화제약,20201021,14200
204,A067080,대화제약,20201020,14100
205,A067080,대화제약,20201019,14050
206,A067080,대화제약,20201016,14200
207,A067080,대화제약,20201015,14400
208,A067080,대화제약,20201014,15000
209,A067080,대화제약,20201013,15300
210,A067080,대화제약,20201012,15700
211,A067080,대화제약,20201008,15950
212,A067080,대화제약,20201007,15950
213,A067080,대화제약,20201006,15600
214,A067080,대화제약,20201005,15800
215,A067080,대화제약,20200929,15200
216,A067080,대화제약,20200928,15150
217,A067080,대화제약,20200925,14650
218,A067080,대화제약,20200924,14500
219,A067080,대화제약,20200923,15500
220,A067080,대화제약,20200922,15600
221,A067080,대화제약,20200921,15950
222,A067080,대화제약,20200918,17050
223,A067080,대화제약,20200917,17600
224,A067080,대화제약,20200916,17550
225,A067080,대화제약,20200915,18150
226,A067080,대화제약,20200914,17950
227,A067080,대화제약,20200911,18900
228,A067080,대화제약,20200910,17850
