,종목코드,종목명,날짜,종가
0,A192080,더블유게임즈,20210812,62100
1,A192080,더블유게임즈,20210811,62900
2,A192080,더블유게임즈,20210810,62600
3,A192080,더블유게임즈,20210809,62700
4,A192080,더블유게임즈,20210806,64200
5,A192080,더블유게임즈,20210805,63400
6,A192080,더블유게임즈,20210804,63600
7,A192080,더블유게임즈,20210803,61900
8,A192080,더블유게임즈,20210802,60900
9,A192080,더블유게임즈,20210730,60900
10,A192080,더블유게임즈,20210729,61800
11,A192080,더블유게임즈,20210728,61400
12,A192080,더블유게임즈,20210727,62300
13,A192080,더블유게임즈,20210726,62400
14,A192080,더블유게임즈,20210723,63200
15,A192080,더블유게임즈,20210722,61800
16,A192080,더블유게임즈,20210721,62000
17,A192080,더블유게임즈,20210720,62300
18,A192080,더블유게임즈,20210719,61000
19,A192080,더블유게임즈,20210716,61400
20,A192080,더블유게임즈,20210715,61600
21,A192080,더블유게임즈,20210714,61300
22,A192080,더블유게임즈,20210713,61500
23,A192080,더블유게임즈,20210712,61400
24,A192080,더블유게임즈,20210709,60500
25,A192080,더블유게임즈,20210708,60700
26,A192080,더블유게임즈,20210707,61000
27,A192080,더블유게임즈,20210706,61200
28,A192080,더블유게임즈,20210705,61200
29,A192080,더블유게임즈,20210702,59600
30,A192080,더블유게임즈,20210701,59400
31,A192080,더블유게임즈,20210630,59600
32,A192080,더블유게임즈,20210629,59400
33,A192080,더블유게임즈,20210628,59100
34,A192080,더블유게임즈,20210625,59200
35,A192080,더블유게임즈,20210624,63100
36,A192080,더블유게임즈,20210623,63000
37,A192080,더블유게임즈,20210622,63700
38,A192080,더블유게임즈,20210621,64700
39,A192080,더블유게임즈,20210618,66000
40,A192080,더블유게임즈,20210617,64600
41,A192080,더블유게임즈,20210616,65700
42,A192080,더블유게임즈,20210615,64900
43,A192080,더블유게임즈,20210614,65300
44,A192080,더블유게임즈,20210611,67000
45,A192080,더블유게임즈,20210610,64300
46,A192080,더블유게임즈,20210609,64800
47,A192080,더블유게임즈,20210608,66900
48,A192080,더블유게임즈,20210607,67800
49,A192080,더블유게임즈,20210604,67000
50,A192080,더블유게임즈,20210603,67800
51,A192080,더블유게임즈,20210602,67000
52,A192080,더블유게임즈,20210601,67600
53,A192080,더블유게임즈,20210531,67600
54,A192080,더블유게임즈,20210528,67600
55,A192080,더블유게임즈,20210527,67300
56,A192080,더블유게임즈,20210526,66700
57,A192080,더블유게임즈,20210525,67100
58,A192080,더블유게임즈,20210524,66600
59,A192080,더블유게임즈,20210521,64800
60,A192080,더블유게임즈,20210520,65500
61,A192080,더블유게임즈,20210518,67000
62,A192080,더블유게임즈,20210517,64700
63,A192080,더블유게임즈,20210514,64500
64,A192080,더블유게임즈,20210513,64800
65,A192080,더블유게임즈,20210512,65500
66,A192080,더블유게임즈,20210511,64000
67,A192080,더블유게임즈,20210510,63900
68,A192080,더블유게임즈,20210507,63300
69,A192080,더블유게임즈,20210506,61900
70,A192080,더블유게임즈,20210504,62300
71,A192080,더블유게임즈,20210503,63200
72,A192080,더블유게임즈,20210430,63700
73,A192080,더블유게임즈,20210429,64700
74,A192080,더블유게임즈,20210428,64700
75,A192080,더블유게임즈,20210427,66700
76,A192080,더블유게임즈,20210426,67700
77,A192080,더블유게임즈,20210423,67300
78,A192080,더블유게임즈,20210422,68500
79,A192080,더블유게임즈,20210421,68500
80,A192080,더블유게임즈,20210420,68400
81,A192080,더블유게임즈,20210419,68600
82,A192080,더블유게임즈,20210416,68400
83,A192080,더블유게임즈,20210415,69400
84,A192080,더블유게임즈,20210414,68700
85,A192080,더블유게임즈,20210413,68900
86,A192080,더블유게임즈,20210412,69200
87,A192080,더블유게임즈,20210409,69300
88,A192080,더블유게임즈,20210408,63900
89,A192080,더블유게임즈,20210407,64600
90,A192080,더블유게임즈,20210406,67100
91,A192080,더블유게임즈,20210405,68400
92,A192080,더블유게임즈,20210402,67800
93,A192080,더블유게임즈,20210401,67500
94,A192080,더블유게임즈,20210331,68500
95,A192080,더블유게임즈,20210330,67700
96,A192080,더블유게임즈,20210329,66900
97,A192080,더블유게임즈,20210326,66500
98,A192080,더블유게임즈,20210325,64100
99,A192080,더블유게임즈,20210324,63700
100,A192080,더블유게임즈,20210323,63800
