,Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,Á¾°¡
0,A263600,´ö¿ìÀüÀÚ,20210812,8970
1,A263600,´ö¿ìÀüÀÚ,20210811,8940
2,A263600,´ö¿ìÀüÀÚ,20210810,9280
3,A263600,´ö¿ìÀüÀÚ,20210809,9670
4,A263600,´ö¿ìÀüÀÚ,20210806,9270
5,A263600,´ö¿ìÀüÀÚ,20210805,9460
6,A263600,´ö¿ìÀüÀÚ,20210804,9130
7,A263600,´ö¿ìÀüÀÚ,20210803,8590
8,A263600,´ö¿ìÀüÀÚ,20210802,8590
9,A263600,´ö¿ìÀüÀÚ,20210730,8790
10,A263600,´ö¿ìÀüÀÚ,20210729,8760
11,A263600,´ö¿ìÀüÀÚ,20210728,8910
12,A263600,´ö¿ìÀüÀÚ,20210727,9110
13,A263600,´ö¿ìÀüÀÚ,20210726,8890
14,A263600,´ö¿ìÀüÀÚ,20210723,9060
15,A263600,´ö¿ìÀüÀÚ,20210722,9250
16,A263600,´ö¿ìÀüÀÚ,20210721,9280
17,A263600,´ö¿ìÀüÀÚ,20210720,9360
18,A263600,´ö¿ìÀüÀÚ,20210719,9140
19,A263600,´ö¿ìÀüÀÚ,20210716,8850
20,A263600,´ö¿ìÀüÀÚ,20210715,8870
21,A263600,´ö¿ìÀüÀÚ,20210714,8850
22,A263600,´ö¿ìÀüÀÚ,20210713,8790
23,A263600,´ö¿ìÀüÀÚ,20210712,8720
24,A263600,´ö¿ìÀüÀÚ,20210709,8540
25,A263600,´ö¿ìÀüÀÚ,20210708,8440
26,A263600,´ö¿ìÀüÀÚ,20210707,8620
27,A263600,´ö¿ìÀüÀÚ,20210706,8680
28,A263600,´ö¿ìÀüÀÚ,20210705,8500
29,A263600,´ö¿ìÀüÀÚ,20210702,8520
30,A263600,´ö¿ìÀüÀÚ,20210701,8450
31,A263600,´ö¿ìÀüÀÚ,20210630,8450
32,A263600,´ö¿ìÀüÀÚ,20210629,8430
33,A263600,´ö¿ìÀüÀÚ,20210628,8570
34,A263600,´ö¿ìÀüÀÚ,20210625,8490
35,A263600,´ö¿ìÀüÀÚ,20210624,8430
36,A263600,´ö¿ìÀüÀÚ,20210623,8480
37,A263600,´ö¿ìÀüÀÚ,20210622,8500
38,A263600,´ö¿ìÀüÀÚ,20210621,8400
39,A263600,´ö¿ìÀüÀÚ,20210618,8460
40,A263600,´ö¿ìÀüÀÚ,20210617,8510
41,A263600,´ö¿ìÀüÀÚ,20210616,8430
42,A263600,´ö¿ìÀüÀÚ,20210615,8380
43,A263600,´ö¿ìÀüÀÚ,20210614,8340
44,A263600,´ö¿ìÀüÀÚ,20210611,8410
45,A263600,´ö¿ìÀüÀÚ,20210610,8500
46,A263600,´ö¿ìÀüÀÚ,20210609,8620
47,A263600,´ö¿ìÀüÀÚ,20210608,8400
48,A263600,´ö¿ìÀüÀÚ,20210607,8660
49,A263600,´ö¿ìÀüÀÚ,20210604,8720
50,A263600,´ö¿ìÀüÀÚ,20210603,8810
51,A263600,´ö¿ìÀüÀÚ,20210602,7750
52,A263600,´ö¿ìÀüÀÚ,20210601,7730
53,A263600,´ö¿ìÀüÀÚ,20210531,7810
54,A263600,´ö¿ìÀüÀÚ,20210528,7880
55,A263600,´ö¿ìÀüÀÚ,20210527,7910
56,A263600,´ö¿ìÀüÀÚ,20210526,7520
57,A263600,´ö¿ìÀüÀÚ,20210525,7450
58,A263600,´ö¿ìÀüÀÚ,20210524,7400
59,A263600,´ö¿ìÀüÀÚ,20210521,7650
60,A263600,´ö¿ìÀüÀÚ,20210520,7950
61,A263600,´ö¿ìÀüÀÚ,20210518,8030
62,A263600,´ö¿ìÀüÀÚ,20210517,8210
63,A263600,´ö¿ìÀüÀÚ,20210514,8420
64,A263600,´ö¿ìÀüÀÚ,20210513,8370
65,A263600,´ö¿ìÀüÀÚ,20210512,8710
66,A263600,´ö¿ìÀüÀÚ,20210511,8880
67,A263600,´ö¿ìÀüÀÚ,20210510,9050
