,종목코드,종목명,날짜,종가
0,A348840,데이드림엔터,20210812,13100
1,A348840,데이드림엔터,20210811,13050
2,A348840,데이드림엔터,20210810,13000
3,A348840,데이드림엔터,20210809,12900
4,A348840,데이드림엔터,20210806,12600
5,A348840,데이드림엔터,20210805,12500
6,A348840,데이드림엔터,20210804,12900
7,A348840,데이드림엔터,20210803,12700
8,A348840,데이드림엔터,20210802,12700
9,A348840,데이드림엔터,20210730,12800
10,A348840,데이드림엔터,20210729,12900
11,A348840,데이드림엔터,20210728,13000
12,A348840,데이드림엔터,20210727,13000
13,A348840,데이드림엔터,20210726,14150
14,A348840,데이드림엔터,20210723,13950
15,A348840,데이드림엔터,20210722,13200
16,A348840,데이드림엔터,20210721,12350
17,A348840,데이드림엔터,20210720,11500
18,A348840,데이드림엔터,20210719,11750
19,A348840,데이드림엔터,20210716,11500
20,A348840,데이드림엔터,20210715,12450
21,A348840,데이드림엔터,20210714,10950
22,A348840,데이드림엔터,20210713,12850
23,A348840,데이드림엔터,20210712,15100
24,A348840,데이드림엔터,20210709,14250
25,A348840,데이드림엔터,20210708,14550
26,A348840,데이드림엔터,20210707,14950
27,A348840,데이드림엔터,20210706,13300
28,A348840,데이드림엔터,20210705,13300
29,A348840,데이드림엔터,20210702,14850
30,A348840,데이드림엔터,20210701,14200
31,A348840,데이드림엔터,20210630,12950
32,A348840,데이드림엔터,20210629,14450
33,A348840,데이드림엔터,20210628,13950
34,A348840,데이드림엔터,20210625,15000
35,A348840,데이드림엔터,20210624,13800
36,A348840,데이드림엔터,20210623,13950
37,A348840,데이드림엔터,20210622,13450
38,A348840,데이드림엔터,20210621,13550
39,A348840,데이드림엔터,20210618,15900
40,A348840,데이드림엔터,20210617,14250
41,A348840,데이드림엔터,20210616,12450
42,A348840,데이드림엔터,20210615,13700
43,A348840,데이드림엔터,20210614,14850
44,A348840,데이드림엔터,20210611,13000
45,A348840,데이드림엔터,20210610,14000
46,A348840,데이드림엔터,20210609,13950
47,A348840,데이드림엔터,20210608,16350
48,A348840,데이드림엔터,20210607,19200
49,A348840,데이드림엔터,20210604,16900
50,A348840,데이드림엔터,20210603,17000
51,A348840,데이드림엔터,20210602,15050
52,A348840,데이드림엔터,20210601,16700
53,A348840,데이드림엔터,20210531,14750
54,A348840,데이드림엔터,20210528,15050
55,A348840,데이드림엔터,20210527,15450
56,A348840,데이드림엔터,20210526,15750
57,A348840,데이드림엔터,20210525,15600
58,A348840,데이드림엔터,20210524,15850
59,A348840,데이드림엔터,20210521,14050
60,A348840,데이드림엔터,20210520,14050
61,A348840,데이드림엔터,20210518,16500
62,A348840,데이드림엔터,20210517,14450
63,A348840,데이드림엔터,20210514,14000
64,A348840,데이드림엔터,20210513,16450
65,A348840,데이드림엔터,20210512,16450
66,A348840,데이드림엔터,20210511,16900
67,A348840,데이드림엔터,20210510,17400
68,A348840,데이드림엔터,20210507,17400
69,A348840,데이드림엔터,20210506,20150
70,A348840,데이드림엔터,20210504,17650
71,A348840,데이드림엔터,20210503,17900
72,A348840,데이드림엔터,20210430,18150
73,A348840,데이드림엔터,20210429,15850
74,A348840,데이드림엔터,20210428,16000
75,A348840,데이드림엔터,20210427,16450
76,A348840,데이드림엔터,20210426,16500
77,A348840,데이드림엔터,20210423,16600
78,A348840,데이드림엔터,20210422,14450
79,A348840,데이드림엔터,20210421,14450
80,A348840,데이드림엔터,20210420,14800
81,A348840,데이드림엔터,20210419,15150
82,A348840,데이드림엔터,20210416,17800
83,A348840,데이드림엔터,20210415,20900
84,A348840,데이드림엔터,20210414,18250
85,A348840,데이드림엔터,20210413,15950
86,A348840,데이드림엔터,20210412,15950
87,A348840,데이드림엔터,20210409,18750
88,A348840,데이드림엔터,20210408,18800
89,A348840,데이드림엔터,20210407,18950
90,A348840,데이드림엔터,20210406,19200
91,A348840,데이드림엔터,20210405,16900
92,A348840,데이드림엔터,20210402,14900
93,A348840,데이드림엔터,20210401,13700
94,A348840,데이드림엔터,20210331,14000
95,A348840,데이드림엔터,20210330,14200
96,A348840,데이드림엔터,20210329,15550
97,A348840,데이드림엔터,20210326,18200
98,A348840,데이드림엔터,20210325,18900
99,A348840,데이드림엔터,20210324,19300
100,A348840,데이드림엔터,20210323,17950
101,A348840,데이드림엔터,20210322,16400
102,A348840,데이드림엔터,20210319,18500
103,A348840,데이드림엔터,20210318,16100
104,A348840,데이드림엔터,20210317,18900
105,A348840,데이드림엔터,20210316,16800
106,A348840,데이드림엔터,20210315,14650
107,A348840,데이드림엔터,20210312,15000
108,A348840,데이드림엔터,20210311,13050
109,A348840,데이드림엔터,20210310,13050
110,A348840,데이드림엔터,20210309,13300
111,A348840,데이드림엔터,20210308,13550
112,A348840,데이드림엔터,20210305,13850
113,A348840,데이드림엔터,20210304,14150
114,A348840,데이드림엔터,20210303,14450
115,A348840,데이드림엔터,20210302,14450
116,A348840,데이드림엔터,20210226,14450
117,A348840,데이드림엔터,20210225,14800
118,A348840,데이드림엔터,20210224,14800
