,종목코드,종목명,날짜,종가
0,A002150,도화엔지니어링,20210812,8930
1,A002150,도화엔지니어링,20210811,8890
2,A002150,도화엔지니어링,20210810,8910
3,A002150,도화엔지니어링,20210809,9030
4,A002150,도화엔지니어링,20210806,9120
5,A002150,도화엔지니어링,20210805,9110
6,A002150,도화엔지니어링,20210804,8870
7,A002150,도화엔지니어링,20210803,8830
8,A002150,도화엔지니어링,20210802,8900
9,A002150,도화엔지니어링,20210730,9050
10,A002150,도화엔지니어링,20210729,9110
11,A002150,도화엔지니어링,20210728,8910
12,A002150,도화엔지니어링,20210727,8830
13,A002150,도화엔지니어링,20210726,8830
14,A002150,도화엔지니어링,20210723,8910
15,A002150,도화엔지니어링,20210722,8920
16,A002150,도화엔지니어링,20210721,8830
17,A002150,도화엔지니어링,20210720,8900
18,A002150,도화엔지니어링,20210719,8980
19,A002150,도화엔지니어링,20210716,9010
20,A002150,도화엔지니어링,20210715,9030
21,A002150,도화엔지니어링,20210714,9040
22,A002150,도화엔지니어링,20210713,9110
23,A002150,도화엔지니어링,20210712,9080
24,A002150,도화엔지니어링,20210709,9050
25,A002150,도화엔지니어링,20210708,9090
26,A002150,도화엔지니어링,20210707,9190
27,A002150,도화엔지니어링,20210706,9250
28,A002150,도화엔지니어링,20210705,9320
29,A002150,도화엔지니어링,20210702,9400
30,A002150,도화엔지니어링,20210701,9340
31,A002150,도화엔지니어링,20210630,9430
32,A002150,도화엔지니어링,20210629,9220
33,A002150,도화엔지니어링,20210628,9240
34,A002150,도화엔지니어링,20210625,9170
35,A002150,도화엔지니어링,20210624,9220
36,A002150,도화엔지니어링,20210623,9260
37,A002150,도화엔지니어링,20210622,9320
38,A002150,도화엔지니어링,20210621,9280
39,A002150,도화엔지니어링,20210618,9390
40,A002150,도화엔지니어링,20210617,9280
41,A002150,도화엔지니어링,20210616,9390
42,A002150,도화엔지니어링,20210615,9460
43,A002150,도화엔지니어링,20210614,9260
44,A002150,도화엔지니어링,20210611,9270
45,A002150,도화엔지니어링,20210610,9250
46,A002150,도화엔지니어링,20210609,9280
47,A002150,도화엔지니어링,20210608,9350
48,A002150,도화엔지니어링,20210607,9360
49,A002150,도화엔지니어링,20210604,9300
50,A002150,도화엔지니어링,20210603,9450
51,A002150,도화엔지니어링,20210602,9480
52,A002150,도화엔지니어링,20210601,9420
53,A002150,도화엔지니어링,20210531,9380
54,A002150,도화엔지니어링,20210528,9390
55,A002150,도화엔지니어링,20210527,9340
56,A002150,도화엔지니어링,20210526,9190
57,A002150,도화엔지니어링,20210525,9040
58,A002150,도화엔지니어링,20210524,9100
59,A002150,도화엔지니어링,20210521,9250
60,A002150,도화엔지니어링,20210520,9260
61,A002150,도화엔지니어링,20210518,9370
62,A002150,도화엔지니어링,20210517,9240
63,A002150,도화엔지니어링,20210514,9550
64,A002150,도화엔지니어링,20210513,9590
65,A002150,도화엔지니어링,20210512,9850
66,A002150,도화엔지니어링,20210511,10100
67,A002150,도화엔지니어링,20210510,9500
68,A002150,도화엔지니어링,20210507,9550
69,A002150,도화엔지니어링,20210506,9200
70,A002150,도화엔지니어링,20210504,9120
71,A002150,도화엔지니어링,20210503,9250
72,A002150,도화엔지니어링,20210430,9240
73,A002150,도화엔지니어링,20210429,9290
74,A002150,도화엔지니어링,20210428,9440
75,A002150,도화엔지니어링,20210427,9820
76,A002150,도화엔지니어링,20210426,9720
77,A002150,도화엔지니어링,20210423,9310
78,A002150,도화엔지니어링,20210422,9220
79,A002150,도화엔지니어링,20210421,9220
80,A002150,도화엔지니어링,20210420,9180
81,A002150,도화엔지니어링,20210419,9050
82,A002150,도화엔지니어링,20210416,8920
83,A002150,도화엔지니어링,20210415,8990
84,A002150,도화엔지니어링,20210414,9040
85,A002150,도화엔지니어링,20210413,9020
86,A002150,도화엔지니어링,20210412,9180
87,A002150,도화엔지니어링,20210409,9200
88,A002150,도화엔지니어링,20210408,8680
89,A002150,도화엔지니어링,20210407,8610
90,A002150,도화엔지니어링,20210406,8650
91,A002150,도화엔지니어링,20210405,8730
92,A002150,도화엔지니어링,20210402,8590
93,A002150,도화엔지니어링,20210401,8560
94,A002150,도화엔지니어링,20210331,8640
95,A002150,도화엔지니어링,20210330,8590
96,A002150,도화엔지니어링,20210329,8570
97,A002150,도화엔지니어링,20210326,8220
98,A002150,도화엔지니어링,20210325,8150
99,A002150,도화엔지니어링,20210324,8150
100,A002150,도화엔지니어링,20210323,8130
101,A002150,도화엔지니어링,20210322,8210
102,A002150,도화엔지니어링,20210319,8210
103,A002150,도화엔지니어링,20210318,8200
104,A002150,도화엔지니어링,20210317,8110
105,A002150,도화엔지니어링,20210316,8130
106,A002150,도화엔지니어링,20210315,8110
107,A002150,도화엔지니어링,20210312,8050
