,종목코드,종목명,날짜,종가
0,A222070,동명스틸,20210812,2725
1,A222070,동명스틸,20210811,2725
2,A222070,동명스틸,20210810,2725
3,A222070,동명스틸,20210809,2725
4,A222070,동명스틸,20210806,2500
5,A222070,동명스틸,20210805,2500
6,A222070,동명스틸,20210804,2500
7,A222070,동명스틸,20210803,2500
8,A222070,동명스틸,20210802,2500
9,A222070,동명스틸,20210730,2500
10,A222070,동명스틸,20210729,2510
11,A222070,동명스틸,20210728,2510
12,A222070,동명스틸,20210727,2510
13,A222070,동명스틸,20210726,2510
14,A222070,동명스틸,20210723,2510
15,A222070,동명스틸,20210722,2510
16,A222070,동명스틸,20210721,2505
17,A222070,동명스틸,20210720,2500
18,A222070,동명스틸,20210719,2500
19,A222070,동명스틸,20210716,2500
20,A222070,동명스틸,20210715,3250
21,A222070,동명스틸,20210714,3250
22,A222070,동명스틸,20210713,3250
23,A222070,동명스틸,20210712,3250
24,A222070,동명스틸,20210709,3250
25,A222070,동명스틸,20210708,3250
26,A222070,동명스틸,20210707,3250
27,A222070,동명스틸,20210706,3250
28,A222070,동명스틸,20210705,3250
29,A222070,동명스틸,20210702,3250
30,A222070,동명스틸,20210701,3250
31,A222070,동명스틸,20210630,3250
32,A222070,동명스틸,20210629,3250
33,A222070,동명스틸,20210628,3240
34,A222070,동명스틸,20210625,3240
35,A222070,동명스틸,20210624,3240
36,A222070,동명스틸,20210623,3250
37,A222070,동명스틸,20210622,3250
38,A222070,동명스틸,20210621,3250
39,A222070,동명스틸,20210618,3250
40,A222070,동명스틸,20210617,3250
41,A222070,동명스틸,20210616,3250
42,A222070,동명스틸,20210615,3250
43,A222070,동명스틸,20210614,3250
44,A222070,동명스틸,20210611,3250
45,A222070,동명스틸,20210610,3250
46,A222070,동명스틸,20210609,3250
47,A222070,동명스틸,20210608,3250
48,A222070,동명스틸,20210607,3250
49,A222070,동명스틸,20210604,3250
50,A222070,동명스틸,20210603,3250
51,A222070,동명스틸,20210602,3250
52,A222070,동명스틸,20210601,3250
53,A222070,동명스틸,20210531,3250
54,A222070,동명스틸,20210528,2500
55,A222070,동명스틸,20210527,2500
56,A222070,동명스틸,20210526,2500
57,A222070,동명스틸,20210525,2500
58,A222070,동명스틸,20210524,2500
59,A222070,동명스틸,20210521,2500
60,A222070,동명스틸,20210520,2500
61,A222070,동명스틸,20210518,2500
62,A222070,동명스틸,20210517,2500
63,A222070,동명스틸,20210514,2500
64,A222070,동명스틸,20210513,2500
65,A222070,동명스틸,20210512,2500
66,A222070,동명스틸,20210511,2500
67,A222070,동명스틸,20210510,2500
68,A222070,동명스틸,20210507,2500
69,A222070,동명스틸,20210506,2500
70,A222070,동명스틸,20210504,2500
71,A222070,동명스틸,20210503,2500
72,A222070,동명스틸,20210430,2500
73,A222070,동명스틸,20210429,2500
74,A222070,동명스틸,20210428,2500
75,A222070,동명스틸,20210427,2500
76,A222070,동명스틸,20210426,2500
77,A222070,동명스틸,20210423,2500
78,A222070,동명스틸,20210422,2500
79,A222070,동명스틸,20210421,2500
80,A222070,동명스틸,20210420,2500
81,A222070,동명스틸,20210419,2500
82,A222070,동명스틸,20210416,2500
83,A222070,동명스틸,20210415,2500
84,A222070,동명스틸,20210414,2500
85,A222070,동명스틸,20210413,2500
86,A222070,동명스틸,20210412,2500
87,A222070,동명스틸,20210409,2500
88,A222070,동명스틸,20210408,2500
89,A222070,동명스틸,20210407,2500
90,A222070,동명스틸,20210406,2500
91,A222070,동명스틸,20210405,2500
92,A222070,동명스틸,20210402,2500
93,A222070,동명스틸,20210401,2500
94,A222070,동명스틸,20210331,2500
95,A222070,동명스틸,20210330,2500
96,A222070,동명스틸,20210329,2500
97,A222070,동명스틸,20210326,2500
98,A222070,동명스틸,20210325,2500
99,A222070,동명스틸,20210324,2500
100,A222070,동명스틸,20210323,2305
101,A222070,동명스틸,20210322,2500
102,A222070,동명스틸,20210319,2500
103,A222070,동명스틸,20210318,2500
104,A222070,동명스틸,20210317,2500
105,A222070,동명스틸,20210316,2500
106,A222070,동명스틸,20210315,2500
107,A222070,동명스틸,20210312,2500
108,A222070,동명스틸,20210311,2500
109,A222070,동명스틸,20210310,2500
110,A222070,동명스틸,20210309,2500
111,A222070,동명스틸,20210308,2500
112,A222070,동명스틸,20210305,2500
113,A222070,동명스틸,20210304,2500
114,A222070,동명스틸,20210303,2500
115,A222070,동명스틸,20210302,2500
116,A222070,동명스틸,20210226,2500
117,A222070,동명스틸,20210225,2500
118,A222070,동명스틸,20210224,2500
119,A222070,동명스틸,20210223,2525
120,A222070,동명스틸,20210222,2525
121,A222070,동명스틸,20210219,2500
122,A222070,동명스틸,20210218,2500
123,A222070,동명스틸,20210217,2500
124,A222070,동명스틸,20210216,2500
125,A222070,동명스틸,20210215,2450
126,A222070,동명스틸,20210210,2450
127,A222070,동명스틸,20210209,2395
128,A222070,동명스틸,20210208,2395
129,A222070,동명스틸,20210205,2395
130,A222070,동명스틸,20210204,2380
131,A222070,동명스틸,20210203,2450
132,A222070,동명스틸,20210202,2450
133,A222070,동명스틸,20210201,2350
134,A222070,동명스틸,20210129,2450
135,A222070,동명스틸,20210128,2450
136,A222070,동명스틸,20210127,2450
137,A222070,동명스틸,20210126,2450
138,A222070,동명스틸,20210125,2410
139,A222070,동명스틸,20210122,2410
140,A222070,동명스틸,20210121,2410
141,A222070,동명스틸,20210120,2410
142,A222070,동명스틸,20210119,2410
143,A222070,동명스틸,20210118,2410
144,A222070,동명스틸,20210115,2400
145,A222070,동명스틸,20210114,2400
146,A222070,동명스틸,20210113,2400
147,A222070,동명스틸,20210112,2200
148,A222070,동명스틸,20210111,2200
