,종목코드,종목명,날짜,종가
0,A026960,동서,20210812,30900
1,A026960,동서,20210811,30650
2,A026960,동서,20210810,31200
3,A026960,동서,20210809,31950
4,A026960,동서,20210806,31700
5,A026960,동서,20210805,30650
6,A026960,동서,20210804,30500
7,A026960,동서,20210803,30300
8,A026960,동서,20210802,30400
9,A026960,동서,20210730,30400
10,A026960,동서,20210729,30550
11,A026960,동서,20210728,30450
12,A026960,동서,20210727,30300
13,A026960,동서,20210726,30000
14,A026960,동서,20210723,30000
15,A026960,동서,20210722,30050
16,A026960,동서,20210721,28950
17,A026960,동서,20210720,29200
18,A026960,동서,20210719,29200
19,A026960,동서,20210716,29800
20,A026960,동서,20210715,29700
21,A026960,동서,20210714,29600
22,A026960,동서,20210713,29700
23,A026960,동서,20210712,29900
24,A026960,동서,20210709,29700
25,A026960,동서,20210708,30050
26,A026960,동서,20210707,30200
27,A026960,동서,20210706,30300
28,A026960,동서,20210705,30300
29,A026960,동서,20210702,30200
30,A026960,동서,20210701,30300
31,A026960,동서,20210630,30500
32,A026960,동서,20210629,30700
33,A026960,동서,20210628,30400
34,A026960,동서,20210625,30950
35,A026960,동서,20210624,30050
36,A026960,동서,20210623,30100
37,A026960,동서,20210622,30150
38,A026960,동서,20210621,30300
39,A026960,동서,20210618,30800
40,A026960,동서,20210617,30750
41,A026960,동서,20210616,30650
42,A026960,동서,20210615,30450
43,A026960,동서,20210614,30700
44,A026960,동서,20210611,31150
45,A026960,동서,20210610,30700
46,A026960,동서,20210609,31100
47,A026960,동서,20210608,30750
48,A026960,동서,20210607,31050
49,A026960,동서,20210604,30550
50,A026960,동서,20210603,31100
51,A026960,동서,20210602,30850
52,A026960,동서,20210601,30300
53,A026960,동서,20210531,29950
54,A026960,동서,20210528,30150
55,A026960,동서,20210527,29950
56,A026960,동서,20210526,30650
57,A026960,동서,20210525,30850
58,A026960,동서,20210524,29950
59,A026960,동서,20210521,30000
60,A026960,동서,20210520,29900
61,A026960,동서,20210518,30150
62,A026960,동서,20210517,30150
63,A026960,동서,20210514,30400
64,A026960,동서,20210513,30950
65,A026960,동서,20210512,31000
66,A026960,동서,20210511,31300
67,A026960,동서,20210510,31800
68,A026960,동서,20210507,30950
69,A026960,동서,20210506,30450
70,A026960,동서,20210504,30100
71,A026960,동서,20210503,30050
72,A026960,동서,20210430,31450
73,A026960,동서,20210429,31950
74,A026960,동서,20210428,32050
75,A026960,동서,20210427,32400
76,A026960,동서,20210426,32550
77,A026960,동서,20210423,31950
78,A026960,동서,20210422,32150
79,A026960,동서,20210421,32450
80,A026960,동서,20210420,33450
81,A026960,동서,20210419,32000
82,A026960,동서,20210416,31600
83,A026960,동서,20210415,31950
84,A026960,동서,20210414,32300
85,A026960,동서,20210413,32150
86,A026960,동서,20210412,32000
87,A026960,동서,20210409,31700
88,A026960,동서,20210408,31750
89,A026960,동서,20210407,31950
90,A026960,동서,20210406,31900
91,A026960,동서,20210405,32800
92,A026960,동서,20210402,33550
93,A026960,동서,20210401,32300
94,A026960,동서,20210331,31950
95,A026960,동서,20210330,31850
96,A026960,동서,20210329,31500
97,A026960,동서,20210326,32900
98,A026960,동서,20210325,33300
99,A026960,동서,20210324,35300
100,A026960,동서,20210323,35750
101,A026960,동서,20210322,35550
102,A026960,동서,20210319,35200
103,A026960,동서,20210318,35350
104,A026960,동서,20210317,32400
105,A026960,동서,20210316,31900
106,A026960,동서,20210315,30800
107,A026960,동서,20210312,31500
108,A026960,동서,20210311,29250
109,A026960,동서,20210310,29800
110,A026960,동서,20210309,30250
111,A026960,동서,20210308,30950
112,A026960,동서,20210305,33550
113,A026960,동서,20210304,40650
114,A026960,동서,20210303,39650
115,A026960,동서,20210302,40300
116,A026960,동서,20210226,40300
117,A026960,동서,20210225,41200
118,A026960,동서,20210224,40500
119,A026960,동서,20210223,41950
120,A026960,동서,20210222,42250
121,A026960,동서,20210219,42200
122,A026960,동서,20210218,39750
123,A026960,동서,20210217,39850
124,A026960,동서,20210216,39150
125,A026960,동서,20210215,39850
126,A026960,동서,20210210,42500
127,A026960,동서,20210209,39000
128,A026960,동서,20210208,39200
129,A026960,동서,20210205,38500
130,A026960,동서,20210204,34150
131,A026960,동서,20210203,32750
132,A026960,동서,20210202,31500
133,A026960,동서,20210201,31400
134,A026960,동서,20210129,30850
135,A026960,동서,20210128,30000
136,A026960,동서,20210127,30050
137,A026960,동서,20210126,31050
138,A026960,동서,20210125,32950
139,A026960,동서,20210122,33600
140,A026960,동서,20210121,33250
141,A026960,동서,20210120,32350
142,A026960,동서,20210119,32300
143,A026960,동서,20210118,31800
144,A026960,동서,20210115,32100
145,A026960,동서,20210114,33000
146,A026960,동서,20210113,33100
147,A026960,동서,20210112,33400
148,A026960,동서,20210111,33600
149,A026960,동서,20210108,33500
150,A026960,동서,20210107,33350
151,A026960,동서,20210106,33200
152,A026960,동서,20210105,33700
153,A026960,동서,20210104,33800
154,A026960,동서,20201230,33950
155,A026960,동서,20201229,32850
156,A026960,동서,20201228,32050
157,A026960,동서,20201224,32000
158,A026960,동서,20201223,31950
159,A026960,동서,20201222,32350
160,A026960,동서,20201221,31900
161,A026960,동서,20201218,32550
162,A026960,동서,20201217,31900
163,A026960,동서,20201216,32000
164,A026960,동서,20201215,30750
165,A026960,동서,20201214,30550
166,A026960,동서,20201211,30500
167,A026960,동서,20201210,30400
168,A026960,동서,20201209,31000
169,A026960,동서,20201208,30550
170,A026960,동서,20201207,31550
171,A026960,동서,20201204,32000
172,A026960,동서,20201203,32100
173,A026960,동서,20201202,32700
174,A026960,동서,20201201,32700
175,A026960,동서,20201130,34000
176,A026960,동서,20201127,32500
177,A026960,동서,20201126,28750
178,A026960,동서,20201125,28850
179,A026960,동서,20201124,28800
180,A026960,동서,20201123,29200
181,A026960,동서,20201120,29100
182,A026960,동서,20201119,29000
183,A026960,동서,20201118,29100
184,A026960,동서,20201117,29500
185,A026960,동서,20201116,30000
186,A026960,동서,20201113,29500
187,A026960,동서,20201112,29500
188,A026960,동서,20201111,29600
189,A026960,동서,20201110,29950
190,A026960,동서,20201109,29650
191,A026960,동서,20201106,29000
192,A026960,동서,20201105,29000
193,A026960,동서,20201104,28750
194,A026960,동서,20201103,28700
195,A026960,동서,20201102,28950
196,A026960,동서,20201030,28950
197,A026960,동서,20201029,29400
198,A026960,동서,20201028,29000
199,A026960,동서,20201027,29350
200,A026960,동서,20201026,30000
201,A026960,동서,20201023,29850
202,A026960,동서,20201022,28900
203,A026960,동서,20201021,28900
204,A026960,동서,20201020,29350
205,A026960,동서,20201019,29400
206,A026960,동서,20201016,28400
207,A026960,동서,20201015,27450
208,A026960,동서,20201014,27150
209,A026960,동서,20201013,27200
210,A026960,동서,20201012,27400
211,A026960,동서,20201008,27250
212,A026960,동서,20201007,27150
213,A026960,동서,20201006,28000
214,A026960,동서,20201005,29800
215,A026960,동서,20200929,29650
216,A026960,동서,20200928,29950
217,A026960,동서,20200925,30000
218,A026960,동서,20200924,30050
219,A026960,동서,20200923,30450
220,A026960,동서,20200922,29750
221,A026960,동서,20200921,30000
222,A026960,동서,20200918,28650
223,A026960,동서,20200917,27500
224,A026960,동서,20200916,27950
225,A026960,동서,20200915,28050
226,A026960,동서,20200914,28150
227,A026960,동서,20200911,27000
228,A026960,동서,20200910,27250
229,A026960,동서,20200909,26700
230,A026960,동서,20200908,26650
231,A026960,동서,20200907,25050
232,A026960,동서,20200904,24900
233,A026960,동서,20200903,25500
234,A026960,동서,20200902,25200
235,A026960,동서,20200901,25200
236,A026960,동서,20200831,25550
237,A026960,동서,20200828,24600
238,A026960,동서,20200827,23950
239,A026960,동서,20200826,24050
240,A026960,동서,20200825,24300
241,A026960,동서,20200824,24450
242,A026960,동서,20200821,24700
243,A026960,동서,20200820,23550
244,A026960,동서,20200819,25450
245,A026960,동서,20200818,24000
246,A026960,동서,20200814,23300
247,A026960,동서,20200813,22250
248,A026960,동서,20200812,21600
249,A026960,동서,20200811,21400
250,A026960,동서,20200810,21200
251,A026960,동서,20200807,21050
252,A026960,동서,20200806,21250
253,A026960,동서,20200805,20900
254,A026960,동서,20200804,21500
255,A026960,동서,20200803,21550
256,A026960,동서,20200731,21600
257,A026960,동서,20200730,21050
258,A026960,동서,20200729,20750
259,A026960,동서,20200728,21000
260,A026960,동서,20200727,20800
261,A026960,동서,20200724,19200
262,A026960,동서,20200723,19050
263,A026960,동서,20200722,18650
264,A026960,동서,20200721,18900
265,A026960,동서,20200720,18300
266,A026960,동서,20200717,17850
267,A026960,동서,20200716,17500
268,A026960,동서,20200715,16150
269,A026960,동서,20200714,16250
270,A026960,동서,20200713,16000
271,A026960,동서,20200710,15900
272,A026960,동서,20200709,16150
273,A026960,동서,20200708,16250
274,A026960,동서,20200707,16000
275,A026960,동서,20200706,16250
276,A026960,동서,20200703,16200
277,A026960,동서,20200702,16050
278,A026960,동서,20200701,15900
279,A026960,동서,20200630,15850
280,A026960,동서,20200629,15750
281,A026960,동서,20200626,16150
282,A026960,동서,20200625,15750
283,A026960,동서,20200624,16000
284,A026960,동서,20200623,16000
285,A026960,동서,20200622,16200
286,A026960,동서,20200619,16100
287,A026960,동서,20200618,16300
288,A026960,동서,20200617,16650
289,A026960,동서,20200616,16450
290,A026960,동서,20200615,15950
291,A026960,동서,20200612,16500
292,A026960,동서,20200611,17000
293,A026960,동서,20200610,17000
294,A026960,동서,20200609,16950
295,A026960,동서,20200608,17200
296,A026960,동서,20200605,17450
297,A026960,동서,20200604,17450
298,A026960,동서,20200603,17550
299,A026960,동서,20200602,17500
300,A026960,동서,20200601,17400
301,A026960,동서,20200529,16700
302,A026960,동서,20200528,17200
303,A026960,동서,20200527,17300
304,A026960,동서,20200526,17150
305,A026960,동서,20200525,17100
306,A026960,동서,20200522,17200
307,A026960,동서,20200521,17400
308,A026960,동서,20200520,17400
309,A026960,동서,20200519,17350
310,A026960,동서,20200518,17150
311,A026960,동서,20200515,17150
312,A026960,동서,20200514,16800
313,A026960,동서,20200513,16950
314,A026960,동서,20200512,17250
315,A026960,동서,20200511,17750
316,A026960,동서,20200508,17350
317,A026960,동서,20200507,17350
318,A026960,동서,20200506,17100
319,A026960,동서,20200504,16800
320,A026960,동서,20200429,17300
321,A026960,동서,20200428,17250
322,A026960,동서,20200427,16950
323,A026960,동서,20200424,16650
324,A026960,동서,20200423,16850
325,A026960,동서,20200422,16500
326,A026960,동서,20200421,16550
327,A026960,동서,20200420,17050
328,A026960,동서,20200417,16650
329,A026960,동서,20200416,16500
330,A026960,동서,20200414,16300
331,A026960,동서,20200413,16200
332,A026960,동서,20200410,16450
333,A026960,동서,20200409,16600
334,A026960,동서,20200408,16450
335,A026960,동서,20200407,16750
336,A026960,동서,20200406,16200
337,A026960,동서,20200403,15700
338,A026960,동서,20200402,15600
339,A026960,동서,20200401,15600
340,A026960,동서,20200331,15750
341,A026960,동서,20200330,15550
342,A026960,동서,20200327,15600
343,A026960,동서,20200326,15750
344,A026960,동서,20200325,16400
345,A026960,동서,20200324,16000
346,A026960,동서,20200323,15500
347,A026960,동서,20200320,15050
348,A026960,동서,20200319,14550
349,A026960,동서,20200318,15300
350,A026960,동서,20200317,15950
351,A026960,동서,20200316,15900
352,A026960,동서,20200313,15700
353,A026960,동서,20200312,15750
354,A026960,동서,20200311,15900
355,A026960,동서,20200310,16150
356,A026960,동서,20200309,16550
357,A026960,동서,20200306,16200
358,A026960,동서,20200305,16000
359,A026960,동서,20200304,15800
360,A026960,동서,20200303,15650
361,A026960,동서,20200302,15500
362,A026960,동서,20200228,15650
363,A026960,동서,20200227,15900
364,A026960,동서,20200226,15900
