,종목코드,종목명,날짜,종가
0,A170900,동아에스티,20210812,81900
1,A170900,동아에스티,20210811,82100
2,A170900,동아에스티,20210810,82200
3,A170900,동아에스티,20210809,82600
4,A170900,동아에스티,20210806,83500
5,A170900,동아에스티,20210805,83300
6,A170900,동아에스티,20210804,82900
7,A170900,동아에스티,20210803,82200
8,A170900,동아에스티,20210802,81500
9,A170900,동아에스티,20210730,81700
10,A170900,동아에스티,20210729,81800
11,A170900,동아에스티,20210728,81400
12,A170900,동아에스티,20210727,82500
13,A170900,동아에스티,20210726,82300
14,A170900,동아에스티,20210723,83200
15,A170900,동아에스티,20210722,83900
16,A170900,동아에스티,20210721,86400
17,A170900,동아에스티,20210720,99200
18,A170900,동아에스티,20210719,99700
19,A170900,동아에스티,20210716,96000
20,A170900,동아에스티,20210715,87800
21,A170900,동아에스티,20210714,86700
22,A170900,동아에스티,20210713,85600
23,A170900,동아에스티,20210712,83900
24,A170900,동아에스티,20210709,83500
25,A170900,동아에스티,20210708,84900
26,A170900,동아에스티,20210707,85900
27,A170900,동아에스티,20210706,86500
28,A170900,동아에스티,20210705,86400
29,A170900,동아에스티,20210702,86300
30,A170900,동아에스티,20210701,87100
31,A170900,동아에스티,20210630,86000
32,A170900,동아에스티,20210629,86600
33,A170900,동아에스티,20210628,90400
34,A170900,동아에스티,20210625,89300
35,A170900,동아에스티,20210624,86700
36,A170900,동아에스티,20210623,85600
37,A170900,동아에스티,20210622,85300
38,A170900,동아에스티,20210621,86100
39,A170900,동아에스티,20210618,87200
40,A170900,동아에스티,20210617,87500
41,A170900,동아에스티,20210616,87500
42,A170900,동아에스티,20210615,86100
43,A170900,동아에스티,20210614,87100
44,A170900,동아에스티,20210611,87300
45,A170900,동아에스티,20210610,86800
46,A170900,동아에스티,20210609,85600
47,A170900,동아에스티,20210608,86200
48,A170900,동아에스티,20210607,86300
49,A170900,동아에스티,20210604,85400
50,A170900,동아에스티,20210603,84900
51,A170900,동아에스티,20210602,85800
52,A170900,동아에스티,20210601,86300
53,A170900,동아에스티,20210531,86300
54,A170900,동아에스티,20210528,85100
55,A170900,동아에스티,20210527,84900
56,A170900,동아에스티,20210526,84600
57,A170900,동아에스티,20210525,84500
58,A170900,동아에스티,20210524,85000
59,A170900,동아에스티,20210521,87000
60,A170900,동아에스티,20210520,87400
61,A170900,동아에스티,20210518,87300
62,A170900,동아에스티,20210517,86500
63,A170900,동아에스티,20210514,85800
64,A170900,동아에스티,20210513,85800
65,A170900,동아에스티,20210512,87100
66,A170900,동아에스티,20210511,87300
67,A170900,동아에스티,20210510,85000
68,A170900,동아에스티,20210507,84400
69,A170900,동아에스티,20210506,83700
70,A170900,동아에스티,20210504,83000
71,A170900,동아에스티,20210503,83300
72,A170900,동아에스티,20210430,83800
73,A170900,동아에스티,20210429,84000
74,A170900,동아에스티,20210428,87100
75,A170900,동아에스티,20210427,87400
76,A170900,동아에스티,20210426,89000
77,A170900,동아에스티,20210423,89700
78,A170900,동아에스티,20210422,88300
79,A170900,동아에스티,20210421,87500
80,A170900,동아에스티,20210420,88500
81,A170900,동아에스티,20210419,88100
82,A170900,동아에스티,20210416,88700
83,A170900,동아에스티,20210415,86500
84,A170900,동아에스티,20210414,86600
85,A170900,동아에스티,20210413,86700
86,A170900,동아에스티,20210412,85600
87,A170900,동아에스티,20210409,83600
88,A170900,동아에스티,20210408,83600
89,A170900,동아에스티,20210407,82900
90,A170900,동아에스티,20210406,83300
91,A170900,동아에스티,20210405,84000
92,A170900,동아에스티,20210402,84100
93,A170900,동아에스티,20210401,83500
94,A170900,동아에스티,20210331,83700
95,A170900,동아에스티,20210330,83800
96,A170900,동아에스티,20210329,83500
97,A170900,동아에스티,20210326,82900
98,A170900,동아에스티,20210325,83200
99,A170900,동아에스티,20210324,83600
100,A170900,동아에스티,20210323,82300
101,A170900,동아에스티,20210322,82400
102,A170900,동아에스티,20210319,83000
103,A170900,동아에스티,20210318,83700
104,A170900,동아에스티,20210317,83900
105,A170900,동아에스티,20210316,83800
106,A170900,동아에스티,20210315,83000
107,A170900,동아에스티,20210312,83000
108,A170900,동아에스티,20210311,81600
109,A170900,동아에스티,20210310,81200
110,A170900,동아에스티,20210309,81700
111,A170900,동아에스티,20210308,82000
112,A170900,동아에스티,20210305,82800
113,A170900,동아에스티,20210304,82800
114,A170900,동아에스티,20210303,82700
115,A170900,동아에스티,20210302,81700
116,A170900,동아에스티,20210226,82100
117,A170900,동아에스티,20210225,83800
118,A170900,동아에스티,20210224,82600
119,A170900,동아에스티,20210223,83900
120,A170900,동아에스티,20210222,84200
121,A170900,동아에스티,20210219,84500
122,A170900,동아에스티,20210218,85000
123,A170900,동아에스티,20210217,85200
124,A170900,동아에스티,20210216,86300
125,A170900,동아에스티,20210215,87000
126,A170900,동아에스티,20210210,87600
127,A170900,동아에스티,20210209,86900
128,A170900,동아에스티,20210208,88300
129,A170900,동아에스티,20210205,85900
130,A170900,동아에스티,20210204,83400
131,A170900,동아에스티,20210203,83100
132,A170900,동아에스티,20210202,83400
133,A170900,동아에스티,20210201,83300
134,A170900,동아에스티,20210129,82500
135,A170900,동아에스티,20210128,84800
136,A170900,동아에스티,20210127,87700
137,A170900,동아에스티,20210126,87200
138,A170900,동아에스티,20210125,87200
139,A170900,동아에스티,20210122,84600
140,A170900,동아에스티,20210121,85300
141,A170900,동아에스티,20210120,84900
142,A170900,동아에스티,20210119,84900
143,A170900,동아에스티,20210118,84500
144,A170900,동아에스티,20210115,86100
145,A170900,동아에스티,20210114,87800
146,A170900,동아에스티,20210113,86000
147,A170900,동아에스티,20210112,86800
148,A170900,동아에스티,20210111,89000
149,A170900,동아에스티,20210108,88800
150,A170900,동아에스티,20210107,89900
151,A170900,동아에스티,20210106,89200
152,A170900,동아에스티,20210105,90300
153,A170900,동아에스티,20210104,92900
154,A170900,동아에스티,20201230,88600
155,A170900,동아에스티,20201229,88000
156,A170900,동아에스티,20201228,85800
157,A170900,동아에스티,20201224,85100
158,A170900,동아에스티,20201223,85700
159,A170900,동아에스티,20201222,87100
160,A170900,동아에스티,20201221,90200
161,A170900,동아에스티,20201218,85900
162,A170900,동아에스티,20201217,83500
163,A170900,동아에스티,20201216,83900
164,A170900,동아에스티,20201215,83800
165,A170900,동아에스티,20201214,84700
166,A170900,동아에스티,20201211,85700
167,A170900,동아에스티,20201210,84000
168,A170900,동아에스티,20201209,85800
169,A170900,동아에스티,20201208,86200
170,A170900,동아에스티,20201207,87000
171,A170900,동아에스티,20201204,87100
172,A170900,동아에스티,20201203,86500
173,A170900,동아에스티,20201202,86800
174,A170900,동아에스티,20201201,87200
175,A170900,동아에스티,20201130,87400
176,A170900,동아에스티,20201127,85900
177,A170900,동아에스티,20201126,85900
178,A170900,동아에스티,20201125,87600
179,A170900,동아에스티,20201124,88600
180,A170900,동아에스티,20201123,89300
181,A170900,동아에스티,20201120,89200
182,A170900,동아에스티,20201119,88500
183,A170900,동아에스티,20201118,88600
184,A170900,동아에스티,20201117,86500
185,A170900,동아에스티,20201116,87700
186,A170900,동아에스티,20201113,88400
187,A170900,동아에스티,20201112,88300
188,A170900,동아에스티,20201111,88400
189,A170900,동아에스티,20201110,87200
190,A170900,동아에스티,20201109,85900
191,A170900,동아에스티,20201106,85500
192,A170900,동아에스티,20201105,88300
193,A170900,동아에스티,20201104,87600
194,A170900,동아에스티,20201103,86100
195,A170900,동아에스티,20201102,84600
196,A170900,동아에스티,20201030,84000
197,A170900,동아에스티,20201029,85000
198,A170900,동아에스티,20201028,87300
199,A170900,동아에스티,20201027,85700
200,A170900,동아에스티,20201026,87600
201,A170900,동아에스티,20201023,88800
202,A170900,동아에스티,20201022,89300
203,A170900,동아에스티,20201021,89200
204,A170900,동아에스티,20201020,87500
205,A170900,동아에스티,20201019,87600
206,A170900,동아에스티,20201016,87600
207,A170900,동아에스티,20201015,87900
208,A170900,동아에스티,20201014,88500
209,A170900,동아에스티,20201013,89300
210,A170900,동아에스티,20201012,90700
211,A170900,동아에스티,20201008,92200
212,A170900,동아에스티,20201007,93500
213,A170900,동아에스티,20201006,92000
214,A170900,동아에스티,20201005,93100
215,A170900,동아에스티,20200929,92700
216,A170900,동아에스티,20200928,91400
217,A170900,동아에스티,20200925,90300
218,A170900,동아에스티,20200924,90200
219,A170900,동아에스티,20200923,93200
220,A170900,동아에스티,20200922,92200
221,A170900,동아에스티,20200921,95800
222,A170900,동아에스티,20200918,94200
223,A170900,동아에스티,20200917,93800
224,A170900,동아에스티,20200916,95600
225,A170900,동아에스티,20200915,95100
226,A170900,동아에스티,20200914,94300
227,A170900,동아에스티,20200911,92600
228,A170900,동아에스티,20200910,92700
229,A170900,동아에스티,20200909,93300
230,A170900,동아에스티,20200908,94900
231,A170900,동아에스티,20200907,97100
232,A170900,동아에스티,20200904,95700
233,A170900,동아에스티,20200903,96200
234,A170900,동아에스티,20200902,93300
235,A170900,동아에스티,20200901,93500
236,A170900,동아에스티,20200831,94600
237,A170900,동아에스티,20200828,93600
238,A170900,동아에스티,20200827,93200
239,A170900,동아에스티,20200826,94100
240,A170900,동아에스티,20200825,95400
241,A170900,동아에스티,20200824,92100
242,A170900,동아에스티,20200821,91100
243,A170900,동아에스티,20200820,91100
244,A170900,동아에스티,20200819,96500
245,A170900,동아에스티,20200818,97200
246,A170900,동아에스티,20200814,98200
247,A170900,동아에스티,20200813,98500
248,A170900,동아에스티,20200812,99100
249,A170900,동아에스티,20200811,101000
250,A170900,동아에스티,20200810,101000
251,A170900,동아에스티,20200807,102000
252,A170900,동아에스티,20200806,107500
253,A170900,동아에스티,20200805,105000
254,A170900,동아에스티,20200804,96500
255,A170900,동아에스티,20200803,92600
256,A170900,동아에스티,20200731,92700
257,A170900,동아에스티,20200730,91900
258,A170900,동아에스티,20200729,93700
259,A170900,동아에스티,20200728,96700
260,A170900,동아에스티,20200727,96700
261,A170900,동아에스티,20200724,95600
262,A170900,동아에스티,20200723,93000
263,A170900,동아에스티,20200722,92900
264,A170900,동아에스티,20200721,91700
265,A170900,동아에스티,20200720,91700
266,A170900,동아에스티,20200717,89100
267,A170900,동아에스티,20200716,88800
268,A170900,동아에스티,20200715,87900
269,A170900,동아에스티,20200714,87000
270,A170900,동아에스티,20200713,88200
271,A170900,동아에스티,20200710,86500
272,A170900,동아에스티,20200709,87600
273,A170900,동아에스티,20200708,87700
274,A170900,동아에스티,20200707,89300
275,A170900,동아에스티,20200706,91200
276,A170900,동아에스티,20200703,89400
277,A170900,동아에스티,20200702,89600
278,A170900,동아에스티,20200701,88400
279,A170900,동아에스티,20200630,86800
280,A170900,동아에스티,20200629,86400
281,A170900,동아에스티,20200626,86600
282,A170900,동아에스티,20200625,86800
283,A170900,동아에스티,20200624,90100
284,A170900,동아에스티,20200623,91100
285,A170900,동아에스티,20200622,90600
286,A170900,동아에스티,20200619,92600
287,A170900,동아에스티,20200618,95300
288,A170900,동아에스티,20200617,94300
289,A170900,동아에스티,20200616,93100
290,A170900,동아에스티,20200615,89000
291,A170900,동아에스티,20200612,93400
292,A170900,동아에스티,20200611,96500
293,A170900,동아에스티,20200610,97000
294,A170900,동아에스티,20200609,96100
295,A170900,동아에스티,20200608,91500
296,A170900,동아에스티,20200605,89400
297,A170900,동아에스티,20200604,88500
298,A170900,동아에스티,20200603,89600
299,A170900,동아에스티,20200602,88900
300,A170900,동아에스티,20200601,88500
301,A170900,동아에스티,20200529,86800
302,A170900,동아에스티,20200528,87700
303,A170900,동아에스티,20200527,88800
304,A170900,동아에스티,20200526,88400
305,A170900,동아에스티,20200525,87600
306,A170900,동아에스티,20200522,87200
307,A170900,동아에스티,20200521,89000
308,A170900,동아에스티,20200520,89600
309,A170900,동아에스티,20200519,89200
310,A170900,동아에스티,20200518,88100
311,A170900,동아에스티,20200515,88500
312,A170900,동아에스티,20200514,88800
313,A170900,동아에스티,20200513,88400
314,A170900,동아에스티,20200512,90300
315,A170900,동아에스티,20200511,92100
316,A170900,동아에스티,20200508,90300
317,A170900,동아에스티,20200507,89700
318,A170900,동아에스티,20200506,89900
319,A170900,동아에스티,20200504,89500
320,A170900,동아에스티,20200429,91300
321,A170900,동아에스티,20200428,88800
322,A170900,동아에스티,20200427,87900
323,A170900,동아에스티,20200424,86000
324,A170900,동아에스티,20200423,86200
325,A170900,동아에스티,20200422,84000
326,A170900,동아에스티,20200421,85800
327,A170900,동아에스티,20200420,88800
328,A170900,동아에스티,20200417,87700
329,A170900,동아에스티,20200416,84900
330,A170900,동아에스티,20200414,84700
331,A170900,동아에스티,20200413,84300
332,A170900,동아에스티,20200410,84000
333,A170900,동아에스티,20200409,84500
334,A170900,동아에스티,20200408,83700
335,A170900,동아에스티,20200407,85000
336,A170900,동아에스티,20200406,82500
337,A170900,동아에스티,20200403,80900
338,A170900,동아에스티,20200402,80900
339,A170900,동아에스티,20200401,79600
340,A170900,동아에스티,20200331,80300
341,A170900,동아에스티,20200330,77000
342,A170900,동아에스티,20200327,76200
343,A170900,동아에스티,20200326,75000
344,A170900,동아에스티,20200325,72500
345,A170900,동아에스티,20200324,69900
346,A170900,동아에스티,20200323,66200
347,A170900,동아에스티,20200320,71200
348,A170900,동아에스티,20200319,68300
349,A170900,동아에스티,20200318,74600
350,A170900,동아에스티,20200317,80000
351,A170900,동아에스티,20200316,78500
352,A170900,동아에스티,20200313,80400
353,A170900,동아에스티,20200312,82400
354,A170900,동아에스티,20200311,87400
355,A170900,동아에스티,20200310,90800
356,A170900,동아에스티,20200309,90900
357,A170900,동아에스티,20200306,92600
358,A170900,동아에스티,20200305,92900
359,A170900,동아에스티,20200304,91100
360,A170900,동아에스티,20200303,90500
361,A170900,동아에스티,20200302,89700
362,A170900,동아에스티,20200228,89100
363,A170900,동아에스티,20200227,89800
364,A170900,동아에스티,20200226,89600
