,종목코드,종목명,날짜,종가
0,A001529,동양3우B,20210812,48900
1,A001529,동양3우B,20210811,48300
2,A001529,동양3우B,20210810,49600
3,A001529,동양3우B,20210809,48500
4,A001529,동양3우B,20210806,48250
5,A001529,동양3우B,20210805,51800
6,A001529,동양3우B,20210804,54300
7,A001529,동양3우B,20210803,53900
8,A001529,동양3우B,20210802,56700
9,A001529,동양3우B,20210730,62500
10,A001529,동양3우B,20210729,58900
11,A001529,동양3우B,20210728,56500
12,A001529,동양3우B,20210727,58300
13,A001529,동양3우B,20210726,60900
14,A001529,동양3우B,20210723,46850
15,A001529,동양3우B,20210722,48150
16,A001529,동양3우B,20210721,48650
17,A001529,동양3우B,20210720,51500
18,A001529,동양3우B,20210719,51800
19,A001529,동양3우B,20210716,51400
20,A001529,동양3우B,20210715,52200
21,A001529,동양3우B,20210714,53800
22,A001529,동양3우B,20210713,58100
23,A001529,동양3우B,20210712,57400
24,A001529,동양3우B,20210709,57500
25,A001529,동양3우B,20210708,58500
26,A001529,동양3우B,20210707,61300
27,A001529,동양3우B,20210706,60000
28,A001529,동양3우B,20210705,58500
29,A001529,동양3우B,20210702,57000
30,A001529,동양3우B,20210701,61800
31,A001529,동양3우B,20210630,67000
32,A001529,동양3우B,20210629,70900
33,A001529,동양3우B,20210628,83500
34,A001529,동양3우B,20210625,72300
35,A001529,동양3우B,20210624,74800
36,A001529,동양3우B,20210623,71200
37,A001529,동양3우B,20210622,72400
38,A001529,동양3우B,20210621,73200
39,A001529,동양3우B,20210618,79000
40,A001529,동양3우B,20210617,82600
41,A001529,동양3우B,20210616,95000
42,A001529,동양3우B,20210615,106000
43,A001529,동양3우B,20210614,81900
44,A001529,동양3우B,20210611,63000
45,A001529,동양3우B,20210610,62600
46,A001529,동양3우B,20210609,48200
47,A001529,동양3우B,20210608,51200
48,A001529,동양3우B,20210607,48700
49,A001529,동양3우B,20210604,51300
50,A001529,동양3우B,20210603,54700
51,A001529,동양3우B,20210602,54800
52,A001529,동양3우B,20210601,62400
53,A001529,동양3우B,20210531,53500
54,A001529,동양3우B,20210528,58600
55,A001529,동양3우B,20210527,56900
56,A001529,동양3우B,20210526,56000
57,A001529,동양3우B,20210525,59900
58,A001529,동양3우B,20210524,65700
59,A001529,동양3우B,20210521,66000
60,A001529,동양3우B,20210520,75000
61,A001529,동양3우B,20210518,73000
62,A001529,동양3우B,20210517,78900
63,A001529,동양3우B,20210514,95000
64,A001529,동양3우B,20210513,95000
65,A001529,동양3우B,20210512,73100
66,A001529,동양3우B,20210511,56300
67,A001529,동양3우B,20210510,57300
68,A001529,동양3우B,20210507,44100
69,A001529,동양3우B,20210506,33950
70,A001529,동양3우B,20210504,26150
71,A001529,동양3우B,20210503,26200
72,A001529,동양3우B,20210430,26000
73,A001529,동양3우B,20210429,25400
74,A001529,동양3우B,20210428,26400
75,A001529,동양3우B,20210427,25850
76,A001529,동양3우B,20210426,25800
77,A001529,동양3우B,20210423,25850
78,A001529,동양3우B,20210422,25950
79,A001529,동양3우B,20210421,26000
80,A001529,동양3우B,20210420,25600
81,A001529,동양3우B,20210419,23800
82,A001529,동양3우B,20210416,23300
83,A001529,동양3우B,20210415,22950
84,A001529,동양3우B,20210414,23250
85,A001529,동양3우B,20210413,23850
86,A001529,동양3우B,20210412,23850
87,A001529,동양3우B,20210409,23850
88,A001529,동양3우B,20210408,23950
89,A001529,동양3우B,20210407,24550
90,A001529,동양3우B,20210406,24450
91,A001529,동양3우B,20210405,23750
92,A001529,동양3우B,20210402,23900
93,A001529,동양3우B,20210401,24400
94,A001529,동양3우B,20210331,24200
95,A001529,동양3우B,20210330,24450
96,A001529,동양3우B,20210329,23950
97,A001529,동양3우B,20210326,24500
98,A001529,동양3우B,20210325,24300
99,A001529,동양3우B,20210324,23900
100,A001529,동양3우B,20210323,24000
101,A001529,동양3우B,20210322,24100
102,A001529,동양3우B,20210319,24450
103,A001529,동양3우B,20210318,24200
104,A001529,동양3우B,20210317,24100
105,A001529,동양3우B,20210316,23950
106,A001529,동양3우B,20210315,24100
107,A001529,동양3우B,20210312,23850
108,A001529,동양3우B,20210311,24350
109,A001529,동양3우B,20210310,24450
110,A001529,동양3우B,20210309,24450
111,A001529,동양3우B,20210308,24450
112,A001529,동양3우B,20210305,24850
113,A001529,동양3우B,20210304,24400
114,A001529,동양3우B,20210303,25050
115,A001529,동양3우B,20210302,27300
116,A001529,동양3우B,20210226,24300
117,A001529,동양3우B,20210225,24950
118,A001529,동양3우B,20210224,25500
119,A001529,동양3우B,20210223,25800
120,A001529,동양3우B,20210222,26150
121,A001529,동양3우B,20210219,25950
122,A001529,동양3우B,20210218,25800
123,A001529,동양3우B,20210217,26150
124,A001529,동양3우B,20210216,26400
125,A001529,동양3우B,20210215,26100
126,A001529,동양3우B,20210210,26400
127,A001529,동양3우B,20210209,26600
128,A001529,동양3우B,20210208,28350
129,A001529,동양3우B,20210205,28450
130,A001529,동양3우B,20210204,28300
131,A001529,동양3우B,20210203,31700
132,A001529,동양3우B,20210202,29100
133,A001529,동양3우B,20210201,28950
134,A001529,동양3우B,20210129,29050
135,A001529,동양3우B,20210128,29200
136,A001529,동양3우B,20210127,29800
137,A001529,동양3우B,20210126,29800
138,A001529,동양3우B,20210125,30200
139,A001529,동양3우B,20210122,29650
140,A001529,동양3우B,20210121,29500
141,A001529,동양3우B,20210120,29900
142,A001529,동양3우B,20210119,30200
143,A001529,동양3우B,20210118,30000
144,A001529,동양3우B,20210115,30900
145,A001529,동양3우B,20210114,29050
146,A001529,동양3우B,20210113,29200
147,A001529,동양3우B,20210112,29150
148,A001529,동양3우B,20210111,29250
149,A001529,동양3우B,20210108,30050
150,A001529,동양3우B,20210107,29800
151,A001529,동양3우B,20210106,29150
152,A001529,동양3우B,20210105,29100
153,A001529,동양3우B,20210104,29200
154,A001529,동양3우B,20201230,28950
155,A001529,동양3우B,20201229,28800
156,A001529,동양3우B,20201228,28950
157,A001529,동양3우B,20201224,29200
158,A001529,동양3우B,20201223,29250
159,A001529,동양3우B,20201222,29200
160,A001529,동양3우B,20201221,29200
161,A001529,동양3우B,20201218,29100
162,A001529,동양3우B,20201217,29000
163,A001529,동양3우B,20201216,29000
164,A001529,동양3우B,20201215,28350
165,A001529,동양3우B,20201214,29000
166,A001529,동양3우B,20201211,29000
167,A001529,동양3우B,20201210,29200
168,A001529,동양3우B,20201209,29200
169,A001529,동양3우B,20201208,29100
170,A001529,동양3우B,20201207,29050
171,A001529,동양3우B,20201204,29000
172,A001529,동양3우B,20201203,29650
173,A001529,동양3우B,20201202,29900
174,A001529,동양3우B,20201201,29650
175,A001529,동양3우B,20201130,29600
176,A001529,동양3우B,20201127,29900
177,A001529,동양3우B,20201126,30850
178,A001529,동양3우B,20201125,30000
179,A001529,동양3우B,20201124,30250
180,A001529,동양3우B,20201123,30300
181,A001529,동양3우B,20201120,29400
182,A001529,동양3우B,20201119,29950
183,A001529,동양3우B,20201118,30300
184,A001529,동양3우B,20201117,29650
185,A001529,동양3우B,20201116,29500
186,A001529,동양3우B,20201113,28050
187,A001529,동양3우B,20201112,31150
188,A001529,동양3우B,20201111,31900
189,A001529,동양3우B,20201110,34000
190,A001529,동양3우B,20201109,30400
191,A001529,동양3우B,20201106,29700
192,A001529,동양3우B,20201105,29350
193,A001529,동양3우B,20201104,30200
194,A001529,동양3우B,20201103,31350
195,A001529,동양3우B,20201102,29850
196,A001529,동양3우B,20201030,29150
197,A001529,동양3우B,20201029,29400
198,A001529,동양3우B,20201028,29550
199,A001529,동양3우B,20201027,28650
200,A001529,동양3우B,20201026,29050
201,A001529,동양3우B,20201023,30950
202,A001529,동양3우B,20201022,31600
203,A001529,동양3우B,20201021,31700
204,A001529,동양3우B,20201020,30350
205,A001529,동양3우B,20201019,30050
206,A001529,동양3우B,20201016,30000
207,A001529,동양3우B,20201015,30200
208,A001529,동양3우B,20201014,29100
209,A001529,동양3우B,20201013,28550
210,A001529,동양3우B,20201012,28900
211,A001529,동양3우B,20201008,28650
212,A001529,동양3우B,20201007,28650
213,A001529,동양3우B,20201006,28500
214,A001529,동양3우B,20201005,28650
215,A001529,동양3우B,20200929,28600
216,A001529,동양3우B,20200928,28650
217,A001529,동양3우B,20200925,28550
218,A001529,동양3우B,20200924,28400
219,A001529,동양3우B,20200923,29000
220,A001529,동양3우B,20200922,29650
221,A001529,동양3우B,20200921,31350
222,A001529,동양3우B,20200918,30300
223,A001529,동양3우B,20200917,31000
224,A001529,동양3우B,20200916,31950
225,A001529,동양3우B,20200915,31150
226,A001529,동양3우B,20200914,38350
227,A001529,동양3우B,20200911,29500
228,A001529,동양3우B,20200910,28850
229,A001529,동양3우B,20200909,28850
230,A001529,동양3우B,20200908,28650
231,A001529,동양3우B,20200907,28950
232,A001529,동양3우B,20200904,28300
233,A001529,동양3우B,20200903,28750
234,A001529,동양3우B,20200902,29200
235,A001529,동양3우B,20200901,29300
236,A001529,동양3우B,20200831,29500
237,A001529,동양3우B,20200828,29400
238,A001529,동양3우B,20200827,29450
239,A001529,동양3우B,20200826,28750
240,A001529,동양3우B,20200825,28150
241,A001529,동양3우B,20200824,28050
242,A001529,동양3우B,20200821,28900
243,A001529,동양3우B,20200820,28000
244,A001529,동양3우B,20200819,28300
245,A001529,동양3우B,20200818,28500
246,A001529,동양3우B,20200814,30450
247,A001529,동양3우B,20200813,29200
248,A001529,동양3우B,20200812,29100
249,A001529,동양3우B,20200811,28550
250,A001529,동양3우B,20200810,28300
251,A001529,동양3우B,20200807,28050
252,A001529,동양3우B,20200806,28300
253,A001529,동양3우B,20200805,28200
254,A001529,동양3우B,20200804,28200
255,A001529,동양3우B,20200803,28150
256,A001529,동양3우B,20200731,28950
257,A001529,동양3우B,20200730,28950
258,A001529,동양3우B,20200729,27900
259,A001529,동양3우B,20200728,28400
260,A001529,동양3우B,20200727,27450
261,A001529,동양3우B,20200724,28500
262,A001529,동양3우B,20200723,27250
263,A001529,동양3우B,20200722,26700
264,A001529,동양3우B,20200721,26600
265,A001529,동양3우B,20200720,26100
266,A001529,동양3우B,20200717,26400
267,A001529,동양3우B,20200716,25950
268,A001529,동양3우B,20200715,26300
269,A001529,동양3우B,20200714,26350
270,A001529,동양3우B,20200713,29250
271,A001529,동양3우B,20200710,29250
272,A001529,동양3우B,20200709,30650
273,A001529,동양3우B,20200708,31350
274,A001529,동양3우B,20200707,30100
275,A001529,동양3우B,20200706,30400
276,A001529,동양3우B,20200703,30350
277,A001529,동양3우B,20200702,30500
278,A001529,동양3우B,20200701,30950
279,A001529,동양3우B,20200630,31050
280,A001529,동양3우B,20200629,30800
281,A001529,동양3우B,20200626,30750
282,A001529,동양3우B,20200625,30450
283,A001529,동양3우B,20200624,31050
284,A001529,동양3우B,20200623,29300
285,A001529,동양3우B,20200622,29700
286,A001529,동양3우B,20200619,29650
287,A001529,동양3우B,20200618,31500
288,A001529,동양3우B,20200617,31300
289,A001529,동양3우B,20200616,30050
290,A001529,동양3우B,20200615,29100
291,A001529,동양3우B,20200612,34050
292,A001529,동양3우B,20200611,38950
293,A001529,동양3우B,20200610,30900
294,A001529,동양3우B,20200609,31300
295,A001529,동양3우B,20200608,31050
296,A001529,동양3우B,20200605,30900
297,A001529,동양3우B,20200604,32050
298,A001529,동양3우B,20200603,33600
299,A001529,동양3우B,20200602,30050
300,A001529,동양3우B,20200601,30200
301,A001529,동양3우B,20200529,30000
302,A001529,동양3우B,20200528,31150
303,A001529,동양3우B,20200527,31000
304,A001529,동양3우B,20200526,30400
305,A001529,동양3우B,20200525,30100
306,A001529,동양3우B,20200522,30550
307,A001529,동양3우B,20200521,30050
308,A001529,동양3우B,20200520,29700
309,A001529,동양3우B,20200519,29000
310,A001529,동양3우B,20200518,29450
311,A001529,동양3우B,20200515,29000
312,A001529,동양3우B,20200514,28400
313,A001529,동양3우B,20200513,28750
314,A001529,동양3우B,20200512,29000
315,A001529,동양3우B,20200511,29000
316,A001529,동양3우B,20200508,29900
317,A001529,동양3우B,20200507,29800
318,A001529,동양3우B,20200506,28100
319,A001529,동양3우B,20200504,27750
320,A001529,동양3우B,20200429,29300
321,A001529,동양3우B,20200428,28750
322,A001529,동양3우B,20200427,28000
323,A001529,동양3우B,20200424,27800
324,A001529,동양3우B,20200423,27800
325,A001529,동양3우B,20200422,28100
326,A001529,동양3우B,20200421,27600
327,A001529,동양3우B,20200420,27400
328,A001529,동양3우B,20200417,27050
329,A001529,동양3우B,20200416,27000
330,A001529,동양3우B,20200414,27800
331,A001529,동양3우B,20200413,27000
332,A001529,동양3우B,20200410,26850
333,A001529,동양3우B,20200409,26850
334,A001529,동양3우B,20200408,26350
335,A001529,동양3우B,20200407,26300
336,A001529,동양3우B,20200406,25800
337,A001529,동양3우B,20200403,26300
338,A001529,동양3우B,20200402,26400
339,A001529,동양3우B,20200401,26700
340,A001529,동양3우B,20200331,25000
341,A001529,동양3우B,20200330,25350
342,A001529,동양3우B,20200327,24900
343,A001529,동양3우B,20200326,22250
344,A001529,동양3우B,20200325,21200
345,A001529,동양3우B,20200324,20800
346,A001529,동양3우B,20200323,19450
347,A001529,동양3우B,20200320,20100
348,A001529,동양3우B,20200319,20000
349,A001529,동양3우B,20200318,22400
350,A001529,동양3우B,20200317,22350
351,A001529,동양3우B,20200316,22350
352,A001529,동양3우B,20200313,23450
353,A001529,동양3우B,20200312,25050
354,A001529,동양3우B,20200311,26000
355,A001529,동양3우B,20200310,26900
356,A001529,동양3우B,20200309,27200
357,A001529,동양3우B,20200306,28450
358,A001529,동양3우B,20200305,27100
359,A001529,동양3우B,20200304,27100
360,A001529,동양3우B,20200303,26350
361,A001529,동양3우B,20200302,26400
362,A001529,동양3우B,20200228,30500
363,A001529,동양3우B,20200227,26850
364,A001529,동양3우B,20200226,26850
