,종목코드,종목명,날짜,종가
0,A092780,동양피스톤,20210812,6320
1,A092780,동양피스톤,20210811,6220
2,A092780,동양피스톤,20210810,6280
3,A092780,동양피스톤,20210809,6410
4,A092780,동양피스톤,20210806,6450
5,A092780,동양피스톤,20210805,6470
6,A092780,동양피스톤,20210804,6440
7,A092780,동양피스톤,20210803,6430
8,A092780,동양피스톤,20210802,6540
9,A092780,동양피스톤,20210730,6430
10,A092780,동양피스톤,20210729,6660
11,A092780,동양피스톤,20210728,6600
12,A092780,동양피스톤,20210727,6770
13,A092780,동양피스톤,20210726,6820
14,A092780,동양피스톤,20210723,6790
15,A092780,동양피스톤,20210722,6510
16,A092780,동양피스톤,20210721,6550
17,A092780,동양피스톤,20210720,6540
18,A092780,동양피스톤,20210719,6600
19,A092780,동양피스톤,20210716,6710
20,A092780,동양피스톤,20210715,6750
21,A092780,동양피스톤,20210714,6760
22,A092780,동양피스톤,20210713,6530
23,A092780,동양피스톤,20210712,6570
24,A092780,동양피스톤,20210709,6680
25,A092780,동양피스톤,20210708,7040
26,A092780,동양피스톤,20210707,6180
27,A092780,동양피스톤,20210706,6310
28,A092780,동양피스톤,20210705,6420
29,A092780,동양피스톤,20210702,6430
30,A092780,동양피스톤,20210701,6330
31,A092780,동양피스톤,20210630,6160
32,A092780,동양피스톤,20210629,6150
33,A092780,동양피스톤,20210628,6170
34,A092780,동양피스톤,20210625,6180
35,A092780,동양피스톤,20210624,6220
36,A092780,동양피스톤,20210623,6090
37,A092780,동양피스톤,20210622,6280
38,A092780,동양피스톤,20210621,6200
39,A092780,동양피스톤,20210618,6310
40,A092780,동양피스톤,20210617,6380
41,A092780,동양피스톤,20210616,6380
42,A092780,동양피스톤,20210615,6550
43,A092780,동양피스톤,20210614,6680
44,A092780,동양피스톤,20210611,6550
45,A092780,동양피스톤,20210610,6340
46,A092780,동양피스톤,20210609,6370
47,A092780,동양피스톤,20210608,6230
48,A092780,동양피스톤,20210607,6340
49,A092780,동양피스톤,20210604,6290
50,A092780,동양피스톤,20210603,6200
51,A092780,동양피스톤,20210602,6140
52,A092780,동양피스톤,20210601,6180
53,A092780,동양피스톤,20210531,6160
54,A092780,동양피스톤,20210528,6090
55,A092780,동양피스톤,20210527,6080
56,A092780,동양피스톤,20210526,6040
57,A092780,동양피스톤,20210525,6100
58,A092780,동양피스톤,20210524,5890
59,A092780,동양피스톤,20210521,6050
60,A092780,동양피스톤,20210520,5680
61,A092780,동양피스톤,20210518,5710
62,A092780,동양피스톤,20210517,5710
63,A092780,동양피스톤,20210514,5760
64,A092780,동양피스톤,20210513,5750
65,A092780,동양피스톤,20210512,5810
66,A092780,동양피스톤,20210511,5760
67,A092780,동양피스톤,20210510,5740
68,A092780,동양피스톤,20210507,5770
69,A092780,동양피스톤,20210506,5670
70,A092780,동양피스톤,20210504,5500
71,A092780,동양피스톤,20210503,5570
72,A092780,동양피스톤,20210430,5570
73,A092780,동양피스톤,20210429,5560
74,A092780,동양피스톤,20210428,5600
75,A092780,동양피스톤,20210427,5710
76,A092780,동양피스톤,20210426,5710
77,A092780,동양피스톤,20210423,5800
78,A092780,동양피스톤,20210422,5800
79,A092780,동양피스톤,20210421,5810
80,A092780,동양피스톤,20210420,5760
81,A092780,동양피스톤,20210419,5700
82,A092780,동양피스톤,20210416,5760
83,A092780,동양피스톤,20210415,5780
84,A092780,동양피스톤,20210414,5790
85,A092780,동양피스톤,20210413,5800
86,A092780,동양피스톤,20210412,5830
87,A092780,동양피스톤,20210409,5600
88,A092780,동양피스톤,20210408,5590
89,A092780,동양피스톤,20210407,5570
90,A092780,동양피스톤,20210406,5560
91,A092780,동양피스톤,20210405,5550
92,A092780,동양피스톤,20210402,5620
93,A092780,동양피스톤,20210401,5590
94,A092780,동양피스톤,20210331,5620
95,A092780,동양피스톤,20210330,5660
96,A092780,동양피스톤,20210329,5690
97,A092780,동양피스톤,20210326,5760
98,A092780,동양피스톤,20210325,5770
99,A092780,동양피스톤,20210324,5690
100,A092780,동양피스톤,20210323,5700
101,A092780,동양피스톤,20210322,5860
102,A092780,동양피스톤,20210319,5950
103,A092780,동양피스톤,20210318,6010
104,A092780,동양피스톤,20210317,5920
105,A092780,동양피스톤,20210316,6070
106,A092780,동양피스톤,20210315,6080
107,A092780,동양피스톤,20210312,6090
108,A092780,동양피스톤,20210311,5870
109,A092780,동양피스톤,20210310,5840
110,A092780,동양피스톤,20210309,5840
111,A092780,동양피스톤,20210308,5950
112,A092780,동양피스톤,20210305,5920
113,A092780,동양피스톤,20210304,6000
114,A092780,동양피스톤,20210303,6010
115,A092780,동양피스톤,20210302,5830
116,A092780,동양피스톤,20210226,5760
117,A092780,동양피스톤,20210225,5910
118,A092780,동양피스톤,20210224,5800
119,A092780,동양피스톤,20210223,6130
120,A092780,동양피스톤,20210222,6280
121,A092780,동양피스톤,20210219,6420
122,A092780,동양피스톤,20210218,6320
123,A092780,동양피스톤,20210217,6450
124,A092780,동양피스톤,20210216,6580
125,A092780,동양피스톤,20210215,6690
126,A092780,동양피스톤,20210210,6660
127,A092780,동양피스톤,20210209,6790
128,A092780,동양피스톤,20210208,6660
129,A092780,동양피스톤,20210205,7080
130,A092780,동양피스톤,20210204,7290
131,A092780,동양피스톤,20210203,7110
132,A092780,동양피스톤,20210202,6790
133,A092780,동양피스톤,20210201,6830
134,A092780,동양피스톤,20210129,6380
135,A092780,동양피스톤,20210128,7250
136,A092780,동양피스톤,20210127,6790
137,A092780,동양피스톤,20210126,6640
138,A092780,동양피스톤,20210125,6770
139,A092780,동양피스톤,20210122,6790
140,A092780,동양피스톤,20210121,6890
141,A092780,동양피스톤,20210120,6550
142,A092780,동양피스톤,20210119,6540
143,A092780,동양피스톤,20210118,6190
144,A092780,동양피스톤,20210115,6500
145,A092780,동양피스톤,20210114,6700
146,A092780,동양피스톤,20210113,6590
147,A092780,동양피스톤,20210112,6250
148,A092780,동양피스톤,20210111,6340
149,A092780,동양피스톤,20210108,6500
150,A092780,동양피스톤,20210107,6100
151,A092780,동양피스톤,20210106,6040
152,A092780,동양피스톤,20210105,6090
153,A092780,동양피스톤,20210104,6020
154,A092780,동양피스톤,20201230,5770
155,A092780,동양피스톤,20201229,5800
156,A092780,동양피스톤,20201228,5610
157,A092780,동양피스톤,20201224,5440
158,A092780,동양피스톤,20201223,5370
159,A092780,동양피스톤,20201222,5390
160,A092780,동양피스톤,20201221,5460
161,A092780,동양피스톤,20201218,5510
162,A092780,동양피스톤,20201217,5490
163,A092780,동양피스톤,20201216,5410
164,A092780,동양피스톤,20201215,5350
165,A092780,동양피스톤,20201214,5430
166,A092780,동양피스톤,20201211,5460
167,A092780,동양피스톤,20201210,5410
168,A092780,동양피스톤,20201209,5440
169,A092780,동양피스톤,20201208,5390
170,A092780,동양피스톤,20201207,5460
171,A092780,동양피스톤,20201204,5600
172,A092780,동양피스톤,20201203,5620
173,A092780,동양피스톤,20201202,5700
174,A092780,동양피스톤,20201201,5670
175,A092780,동양피스톤,20201130,5710
176,A092780,동양피스톤,20201127,5690
177,A092780,동양피스톤,20201126,5790
178,A092780,동양피스톤,20201125,5930
179,A092780,동양피스톤,20201124,6040
180,A092780,동양피스톤,20201123,5950
181,A092780,동양피스톤,20201120,5880
182,A092780,동양피스톤,20201119,5850
183,A092780,동양피스톤,20201118,5900
184,A092780,동양피스톤,20201117,5920
185,A092780,동양피스톤,20201116,6000
186,A092780,동양피스톤,20201113,5930
187,A092780,동양피스톤,20201112,5990
188,A092780,동양피스톤,20201111,5980
189,A092780,동양피스톤,20201110,6050
190,A092780,동양피스톤,20201109,6160
191,A092780,동양피스톤,20201106,5980
192,A092780,동양피스톤,20201105,6080
193,A092780,동양피스톤,20201104,5930
194,A092780,동양피스톤,20201103,5910
195,A092780,동양피스톤,20201102,5940
196,A092780,동양피스톤,20201030,5950
197,A092780,동양피스톤,20201029,6010
198,A092780,동양피스톤,20201028,6150
199,A092780,동양피스톤,20201027,5620
200,A092780,동양피스톤,20201026,5590
201,A092780,동양피스톤,20201023,6010
202,A092780,동양피스톤,20201022,5940
203,A092780,동양피스톤,20201021,6180
204,A092780,동양피스톤,20201020,6050
205,A092780,동양피스톤,20201019,6050
206,A092780,동양피스톤,20201016,6400
207,A092780,동양피스톤,20201015,6850
208,A092780,동양피스톤,20201014,6800
209,A092780,동양피스톤,20201013,6320
210,A092780,동양피스톤,20201012,6320
211,A092780,동양피스톤,20201008,6350
212,A092780,동양피스톤,20201007,6410
213,A092780,동양피스톤,20201006,6180
214,A092780,동양피스톤,20201005,6250
215,A092780,동양피스톤,20200929,5880
216,A092780,동양피스톤,20200928,5830
217,A092780,동양피스톤,20200925,5490
218,A092780,동양피스톤,20200924,5600
219,A092780,동양피스톤,20200923,5880
220,A092780,동양피스톤,20200922,5880
221,A092780,동양피스톤,20200921,6100
222,A092780,동양피스톤,20200918,6400
223,A092780,동양피스톤,20200917,6830
224,A092780,동양피스톤,20200916,6650
225,A092780,동양피스톤,20200915,7200
226,A092780,동양피스톤,20200914,5540
227,A092780,동양피스톤,20200911,5270
228,A092780,동양피스톤,20200910,5410
229,A092780,동양피스톤,20200909,5150
230,A092780,동양피스톤,20200908,5140
231,A092780,동양피스톤,20200907,5310
232,A092780,동양피스톤,20200904,5530
233,A092780,동양피스톤,20200903,4960
234,A092780,동양피스톤,20200902,4810
235,A092780,동양피스톤,20200901,4800
236,A092780,동양피스톤,20200831,4690
237,A092780,동양피스톤,20200828,4690
238,A092780,동양피스톤,20200827,4695
239,A092780,동양피스톤,20200826,4740
240,A092780,동양피스톤,20200825,4715
241,A092780,동양피스톤,20200824,4660
242,A092780,동양피스톤,20200821,4675
243,A092780,동양피스톤,20200820,4655
244,A092780,동양피스톤,20200819,4970
245,A092780,동양피스톤,20200818,4875
246,A092780,동양피스톤,20200814,5340
247,A092780,동양피스톤,20200813,5530
248,A092780,동양피스톤,20200812,5170
249,A092780,동양피스톤,20200811,5290
250,A092780,동양피스톤,20200810,5510
251,A092780,동양피스톤,20200807,5290
252,A092780,동양피스톤,20200806,5140
253,A092780,동양피스톤,20200805,5190
254,A092780,동양피스톤,20200804,5370
255,A092780,동양피스톤,20200803,5180
256,A092780,동양피스톤,20200731,5140
257,A092780,동양피스톤,20200730,5220
258,A092780,동양피스톤,20200729,5380
259,A092780,동양피스톤,20200728,5240
260,A092780,동양피스톤,20200727,5070
