,종목코드,종목명,날짜,종가
0,A33626K,두산퓨얼셀1우,20210812,15600
1,A33626K,두산퓨얼셀1우,20210811,15600
2,A33626K,두산퓨얼셀1우,20210810,15850
3,A33626K,두산퓨얼셀1우,20210809,15850
4,A33626K,두산퓨얼셀1우,20210806,15950
5,A33626K,두산퓨얼셀1우,20210805,15750
6,A33626K,두산퓨얼셀1우,20210804,15500
7,A33626K,두산퓨얼셀1우,20210803,15500
8,A33626K,두산퓨얼셀1우,20210802,15750
9,A33626K,두산퓨얼셀1우,20210730,15900
10,A33626K,두산퓨얼셀1우,20210729,16300
11,A33626K,두산퓨얼셀1우,20210728,16200
12,A33626K,두산퓨얼셀1우,20210727,16250
13,A33626K,두산퓨얼셀1우,20210726,16300
14,A33626K,두산퓨얼셀1우,20210723,16800
15,A33626K,두산퓨얼셀1우,20210722,16800
16,A33626K,두산퓨얼셀1우,20210721,17300
17,A33626K,두산퓨얼셀1우,20210720,17000
18,A33626K,두산퓨얼셀1우,20210719,17200
19,A33626K,두산퓨얼셀1우,20210716,16850
20,A33626K,두산퓨얼셀1우,20210715,17050
21,A33626K,두산퓨얼셀1우,20210714,16600
22,A33626K,두산퓨얼셀1우,20210713,16700
23,A33626K,두산퓨얼셀1우,20210712,16450
24,A33626K,두산퓨얼셀1우,20210709,16200
25,A33626K,두산퓨얼셀1우,20210708,16600
26,A33626K,두산퓨얼셀1우,20210707,17050
27,A33626K,두산퓨얼셀1우,20210706,17200
28,A33626K,두산퓨얼셀1우,20210705,17100
29,A33626K,두산퓨얼셀1우,20210702,16850
30,A33626K,두산퓨얼셀1우,20210701,17000
31,A33626K,두산퓨얼셀1우,20210630,16850
32,A33626K,두산퓨얼셀1우,20210629,17000
33,A33626K,두산퓨얼셀1우,20210628,16700
34,A33626K,두산퓨얼셀1우,20210625,16550
35,A33626K,두산퓨얼셀1우,20210624,16600
36,A33626K,두산퓨얼셀1우,20210623,16950
37,A33626K,두산퓨얼셀1우,20210622,17100
38,A33626K,두산퓨얼셀1우,20210621,17300
39,A33626K,두산퓨얼셀1우,20210618,17700
40,A33626K,두산퓨얼셀1우,20210617,17300
41,A33626K,두산퓨얼셀1우,20210616,16650
42,A33626K,두산퓨얼셀1우,20210615,16700
43,A33626K,두산퓨얼셀1우,20210614,16650
44,A33626K,두산퓨얼셀1우,20210611,17050
45,A33626K,두산퓨얼셀1우,20210610,15600
46,A33626K,두산퓨얼셀1우,20210609,15900
47,A33626K,두산퓨얼셀1우,20210608,15900
48,A33626K,두산퓨얼셀1우,20210607,16500
49,A33626K,두산퓨얼셀1우,20210604,15700
50,A33626K,두산퓨얼셀1우,20210603,15800
51,A33626K,두산퓨얼셀1우,20210602,15800
52,A33626K,두산퓨얼셀1우,20210601,15200
53,A33626K,두산퓨얼셀1우,20210531,15450
54,A33626K,두산퓨얼셀1우,20210528,15000
55,A33626K,두산퓨얼셀1우,20210527,14950
56,A33626K,두산퓨얼셀1우,20210526,15000
57,A33626K,두산퓨얼셀1우,20210525,14750
58,A33626K,두산퓨얼셀1우,20210524,14750
59,A33626K,두산퓨얼셀1우,20210521,14850
60,A33626K,두산퓨얼셀1우,20210520,14800
61,A33626K,두산퓨얼셀1우,20210518,14800
62,A33626K,두산퓨얼셀1우,20210517,14650
63,A33626K,두산퓨얼셀1우,20210514,14750
64,A33626K,두산퓨얼셀1우,20210513,14700
65,A33626K,두산퓨얼셀1우,20210512,14800
66,A33626K,두산퓨얼셀1우,20210511,15200
67,A33626K,두산퓨얼셀1우,20210510,15400
68,A33626K,두산퓨얼셀1우,20210507,14800
69,A33626K,두산퓨얼셀1우,20210506,14550
70,A33626K,두산퓨얼셀1우,20210504,14150
71,A33626K,두산퓨얼셀1우,20210503,14350
