,Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,Á¾°¡
0,A217620,µðµõ,20210812,2030
1,A217620,µðµõ,20210811,2055
2,A217620,µðµõ,20210810,2095
3,A217620,µðµõ,20210809,2135
4,A217620,µðµõ,20210806,2080
5,A217620,µðµõ,20210805,2135
6,A217620,µðµõ,20210804,2165
7,A217620,µðµõ,20210803,2115
8,A217620,µðµõ,20210802,2190
9,A217620,µðµõ,20210730,2130
10,A217620,µðµõ,20210729,2115
11,A217620,µðµõ,20210728,2100
12,A217620,µðµõ,20210727,2025
13,A217620,µðµõ,20210726,2000
14,A217620,µðµõ,20210723,2050
15,A217620,µðµõ,20210722,2005
16,A217620,µðµõ,20210721,2000
17,A217620,µðµõ,20210720,2040
18,A217620,µðµõ,20210719,2110
19,A217620,µðµõ,20210716,2090
20,A217620,µðµõ,20210715,2105
21,A217620,µðµõ,20210714,2155
22,A217620,µðµõ,20210713,2210
23,A217620,µðµõ,20210712,2160
24,A217620,µðµõ,20210709,2130
25,A217620,µðµõ,20210708,2270
26,A217620,µðµõ,20210707,2185
27,A217620,µðµõ,20210706,2095
28,A217620,µðµõ,20210705,2050
29,A217620,µðµõ,20210702,2100
30,A217620,µðµõ,20210701,2230
31,A217620,µðµõ,20210630,2080
32,A217620,µðµõ,20210629,2165
33,A217620,µðµõ,20210628,2185
34,A217620,µðµõ,20210625,2185
35,A217620,µðµõ,20210624,2130
36,A217620,µðµõ,20210623,2195
37,A217620,µðµõ,20210622,2270
38,A217620,µðµõ,20210621,2260
39,A217620,µðµõ,20210618,2325
40,A217620,µðµõ,20210617,2300
41,A217620,µðµõ,20210616,2200
42,A217620,µðµõ,20210615,2095
43,A217620,µðµõ,20210614,2040
44,A217620,µðµõ,20210611,1970
45,A217620,µðµõ,20210610,1985
46,A217620,µðµõ,20210609,1995
47,A217620,µðµõ,20210608,1875
48,A217620,µðµõ,20210607,1950
49,A217620,µðµõ,20210604,1910
50,A217620,µðµõ,20210603,1860
51,A217620,µðµõ,20210602,1870
52,A217620,µðµõ,20210601,1825
53,A217620,µðµõ,20210531,1840
54,A217620,µðµõ,20210528,1745
55,A217620,µðµõ,20210527,1695
56,A217620,µðµõ,20210526,1645
57,A217620,µðµõ,20210525,1580
58,A217620,µðµõ,20210524,1580
59,A217620,µðµõ,20210521,1710
60,A217620,µðµõ,20210520,1780
61,A217620,µðµõ,20210518,1760
62,A217620,µðµõ,20210517,1775
63,A217620,µðµõ,20210514,1800
64,A217620,µðµõ,20210513,1780
65,A217620,µðµõ,20210512,1795
66,A217620,µðµõ,20210511,1850
67,A217620,µðµõ,20210510,1890
68,A217620,µðµõ,20210507,1880
69,A217620,µðµõ,20210506,1850
70,A217620,µðµõ,20210504,1785
71,A217620,µðµõ,20210503,1795
72,A217620,µðµõ,20210430,1800
73,A217620,µðµõ,20210429,1840
74,A217620,µðµõ,20210428,1870
75,A217620,µðµõ,20210427,1890
76,A217620,µðµõ,20210426,1915
77,A217620,µðµõ,20210423,1930
78,A217620,µðµõ,20210422,1930
79,A217620,µðµõ,20210421,1930
80,A217620,µðµõ,20210420,1940
81,A217620,µðµõ,20210419,1930
82,A217620,µðµõ,20210416,1970
83,A217620,µðµõ,20210415,1965
84,A217620,µðµõ,20210414,2030
85,A217620,µðµõ,20210413,1990
86,A217620,µðµõ,20210412,1990
87,A217620,µðµõ,20210409,1990
88,A217620,µðµõ,20210408,2040
89,A217620,µðµõ,20210407,2100
90,A217620,µðµõ,20210406,2070
91,A217620,µðµõ,20210405,2065
92,A217620,µðµõ,20210402,2080
93,A217620,µðµõ,20210401,2100
94,A217620,µðµõ,20210331,2130
95,A217620,µðµõ,20210330,2180
96,A217620,µðµõ,20210329,2185
97,A217620,µðµõ,20210326,2175
98,A217620,µðµõ,20210325,2025
99,A217620,µðµõ,20210324,1990
100,A217620,µðµõ,20210323,2010
101,A217620,µðµõ,20210322,2065
102,A217620,µðµõ,20210319,2100
103,A217620,µðµõ,20210318,2090
104,A217620,µðµõ,20210317,2115
105,A217620,µðµõ,20210316,2025
106,A217620,µðµõ,20210315,2065
107,A217620,µðµõ,20210312,1890
108,A217620,µðµõ,20210311,1820
109,A217620,µðµõ,20210310,1740
110,A217620,µðµõ,20210309,1775
111,A217620,µðµõ,20210308,1830
112,A217620,µðµõ,20210305,1855
113,A217620,µðµõ,20210304,1875
