,종목코드,종목명,날짜,종가
0,A066670,디스플레이텍,20210812,6960
1,A066670,디스플레이텍,20210811,7350
2,A066670,디스플레이텍,20210810,7240
3,A066670,디스플레이텍,20210809,7400
4,A066670,디스플레이텍,20210806,6130
5,A066670,디스플레이텍,20210805,6630
6,A066670,디스플레이텍,20210804,5520
7,A066670,디스플레이텍,20210803,5580
8,A066670,디스플레이텍,20210802,5650
9,A066670,디스플레이텍,20210730,5820
10,A066670,디스플레이텍,20210729,6070
11,A066670,디스플레이텍,20210728,4675
12,A066670,디스플레이텍,20210727,4740
13,A066670,디스플레이텍,20210726,4780
14,A066670,디스플레이텍,20210723,4830
15,A066670,디스플레이텍,20210722,4830
16,A066670,디스플레이텍,20210721,4695
17,A066670,디스플레이텍,20210720,4660
18,A066670,디스플레이텍,20210719,4700
19,A066670,디스플레이텍,20210716,4765
20,A066670,디스플레이텍,20210715,4850
21,A066670,디스플레이텍,20210714,4825
22,A066670,디스플레이텍,20210713,4795
23,A066670,디스플레이텍,20210712,4850
24,A066670,디스플레이텍,20210709,4710
25,A066670,디스플레이텍,20210708,4795
26,A066670,디스플레이텍,20210707,4950
27,A066670,디스플레이텍,20210706,5070
28,A066670,디스플레이텍,20210705,5100
29,A066670,디스플레이텍,20210702,5080
30,A066670,디스플레이텍,20210701,5060
31,A066670,디스플레이텍,20210630,5070
32,A066670,디스플레이텍,20210629,5030
33,A066670,디스플레이텍,20210628,5060
34,A066670,디스플레이텍,20210625,4985
35,A066670,디스플레이텍,20210624,4965
36,A066670,디스플레이텍,20210623,5050
37,A066670,디스플레이텍,20210622,4955
38,A066670,디스플레이텍,20210621,4945
39,A066670,디스플레이텍,20210618,5010
40,A066670,디스플레이텍,20210617,5030
41,A066670,디스플레이텍,20210616,5040
42,A066670,디스플레이텍,20210615,5040
43,A066670,디스플레이텍,20210614,5040
44,A066670,디스플레이텍,20210611,4980
45,A066670,디스플레이텍,20210610,4940
46,A066670,디스플레이텍,20210609,4940
47,A066670,디스플레이텍,20210608,4930
48,A066670,디스플레이텍,20210607,4970
49,A066670,디스플레이텍,20210604,4990
50,A066670,디스플레이텍,20210603,4985
51,A066670,디스플레이텍,20210602,4955
52,A066670,디스플레이텍,20210601,4800
53,A066670,디스플레이텍,20210531,4800
54,A066670,디스플레이텍,20210528,4690
55,A066670,디스플레이텍,20210527,4635
56,A066670,디스플레이텍,20210526,4650
57,A066670,디스플레이텍,20210525,4665
58,A066670,디스플레이텍,20210524,4690
59,A066670,디스플레이텍,20210521,4775
60,A066670,디스플레이텍,20210520,4850
61,A066670,디스플레이텍,20210518,4800
62,A066670,디스플레이텍,20210517,4795
63,A066670,디스플레이텍,20210514,4815
64,A066670,디스플레이텍,20210513,4800
65,A066670,디스플레이텍,20210512,4835
66,A066670,디스플레이텍,20210511,5020
67,A066670,디스플레이텍,20210510,5040
68,A066670,디스플레이텍,20210507,4895
69,A066670,디스플레이텍,20210506,4850
70,A066670,디스플레이텍,20210504,4835
71,A066670,디스플레이텍,20210503,4735
72,A066670,디스플레이텍,20210430,4850
73,A066670,디스플레이텍,20210429,4880
74,A066670,디스플레이텍,20210428,4850
75,A066670,디스플레이텍,20210427,5060
76,A066670,디스플레이텍,20210426,5110
77,A066670,디스플레이텍,20210423,4950
78,A066670,디스플레이텍,20210422,5050
79,A066670,디스플레이텍,20210421,5090
80,A066670,디스플레이텍,20210420,5150
81,A066670,디스플레이텍,20210419,4945
82,A066670,디스플레이텍,20210416,5060
83,A066670,디스플레이텍,20210415,5060
84,A066670,디스플레이텍,20210414,5160
85,A066670,디스플레이텍,20210413,5180
86,A066670,디스플레이텍,20210412,5280
87,A066670,디스플레이텍,20210409,5260
88,A066670,디스플레이텍,20210408,5360
89,A066670,디스플레이텍,20210407,5350
90,A066670,디스플레이텍,20210406,5370
91,A066670,디스플레이텍,20210405,5030
92,A066670,디스플레이텍,20210402,4880
93,A066670,디스플레이텍,20210401,5100
94,A066670,디스플레이텍,20210331,4895
95,A066670,디스플레이텍,20210330,4995
96,A066670,디스플레이텍,20210329,4880
97,A066670,디스플레이텍,20210326,4850
98,A066670,디스플레이텍,20210325,5040
99,A066670,디스플레이텍,20210324,5060
100,A066670,디스플레이텍,20210323,5130
101,A066670,디스플레이텍,20210322,3950
102,A066670,디스플레이텍,20210319,4010
103,A066670,디스플레이텍,20210318,4005
104,A066670,디스플레이텍,20210317,4005
105,A066670,디스플레이텍,20210316,4050
106,A066670,디스플레이텍,20210315,3990
107,A066670,디스플레이텍,20210312,4040
108,A066670,디스플레이텍,20210311,3995
109,A066670,디스플레이텍,20210310,3980
110,A066670,디스플레이텍,20210309,4050
111,A066670,디스플레이텍,20210308,4110
112,A066670,디스플레이텍,20210305,4195
113,A066670,디스플레이텍,20210304,4285
114,A066670,디스플레이텍,20210303,4345
115,A066670,디스플레이텍,20210302,4340
116,A066670,디스플레이텍,20210226,4300
117,A066670,디스플레이텍,20210225,4375
118,A066670,디스플레이텍,20210224,4290
119,A066670,디스플레이텍,20210223,4385
120,A066670,디스플레이텍,20210222,4530
121,A066670,디스플레이텍,20210219,4560
122,A066670,디스플레이텍,20210218,4590
123,A066670,디스플레이텍,20210217,4625
124,A066670,디스플레이텍,20210216,4660
125,A066670,디스플레이텍,20210215,4650
126,A066670,디스플레이텍,20210210,4495
127,A066670,디스플레이텍,20210209,4395
128,A066670,디스플레이텍,20210208,4550
129,A066670,디스플레이텍,20210205,4605
130,A066670,디스플레이텍,20210204,4510
131,A066670,디스플레이텍,20210203,4475
132,A066670,디스플레이텍,20210202,4520
133,A066670,디스플레이텍,20210201,4295
134,A066670,디스플레이텍,20210129,4150
135,A066670,디스플레이텍,20210128,4310
136,A066670,디스플레이텍,20210127,4355
137,A066670,디스플레이텍,20210126,4410
138,A066670,디스플레이텍,20210125,4485
139,A066670,디스플레이텍,20210122,4235
140,A066670,디스플레이텍,20210121,4190
141,A066670,디스플레이텍,20210120,4000
142,A066670,디스플레이텍,20210119,3975
143,A066670,디스플레이텍,20210118,3820
144,A066670,디스플레이텍,20210115,3890
145,A066670,디스플레이텍,20210114,3900
146,A066670,디스플레이텍,20210113,3890
147,A066670,디스플레이텍,20210112,3925
148,A066670,디스플레이텍,20210111,3935
149,A066670,디스플레이텍,20210108,3980
150,A066670,디스플레이텍,20210107,3990
151,A066670,디스플레이텍,20210106,3975
152,A066670,디스플레이텍,20210105,3975
153,A066670,디스플레이텍,20210104,3910
154,A066670,디스플레이텍,20201230,3755
155,A066670,디스플레이텍,20201229,3685
156,A066670,디스플레이텍,20201228,3710
157,A066670,디스플레이텍,20201224,3680
158,A066670,디스플레이텍,20201223,3670
159,A066670,디스플레이텍,20201222,3625
160,A066670,디스플레이텍,20201221,3735
161,A066670,디스플레이텍,20201218,3825
162,A066670,디스플레이텍,20201217,3460
163,A066670,디스플레이텍,20201216,3510
164,A066670,디스플레이텍,20201215,3510
165,A066670,디스플레이텍,20201214,3575
166,A066670,디스플레이텍,20201211,3575
167,A066670,디스플레이텍,20201210,3470
168,A066670,디스플레이텍,20201209,3535
169,A066670,디스플레이텍,20201208,3535
170,A066670,디스플레이텍,20201207,3570
171,A066670,디스플레이텍,20201204,3540
172,A066670,디스플레이텍,20201203,3540
173,A066670,디스플레이텍,20201202,3595
174,A066670,디스플레이텍,20201201,3550
175,A066670,디스플레이텍,20201130,3530
176,A066670,디스플레이텍,20201127,3540
177,A066670,디스플레이텍,20201126,3520
178,A066670,디스플레이텍,20201125,3420
179,A066670,디스플레이텍,20201124,3465
180,A066670,디스플레이텍,20201123,3470
181,A066670,디스플레이텍,20201120,3515
182,A066670,디스플레이텍,20201119,3475
183,A066670,디스플레이텍,20201118,3475
184,A066670,디스플레이텍,20201117,3450
185,A066670,디스플레이텍,20201116,3450
186,A066670,디스플레이텍,20201113,3400
187,A066670,디스플레이텍,20201112,3405
188,A066670,디스플레이텍,20201111,3440
189,A066670,디스플레이텍,20201110,3425
190,A066670,디스플레이텍,20201109,3410
191,A066670,디스플레이텍,20201106,3430
192,A066670,디스플레이텍,20201105,3375
193,A066670,디스플레이텍,20201104,3370
194,A066670,디스플레이텍,20201103,3360
195,A066670,디스플레이텍,20201102,3410
196,A066670,디스플레이텍,20201030,3450
197,A066670,디스플레이텍,20201029,3490
198,A066670,디스플레이텍,20201028,3490
199,A066670,디스플레이텍,20201027,3360
200,A066670,디스플레이텍,20201026,3360
201,A066670,디스플레이텍,20201023,3355
202,A066670,디스플레이텍,20201022,3375
203,A066670,디스플레이텍,20201021,3440
204,A066670,디스플레이텍,20201020,3390
205,A066670,디스플레이텍,20201019,3495
206,A066670,디스플레이텍,20201016,3565
207,A066670,디스플레이텍,20201015,3640
208,A066670,디스플레이텍,20201014,3620
209,A066670,디스플레이텍,20201013,3480
210,A066670,디스플레이텍,20201012,3450
211,A066670,디스플레이텍,20201008,3470
212,A066670,디스플레이텍,20201007,3470
213,A066670,디스플레이텍,20201006,3420
