,종목코드,종목명,날짜,종가
0,A131030,디에이치피코리아,20210812,7990
1,A131030,디에이치피코리아,20210811,7800
2,A131030,디에이치피코리아,20210810,7870
3,A131030,디에이치피코리아,20210809,7950
4,A131030,디에이치피코리아,20210806,8020
5,A131030,디에이치피코리아,20210805,8020
6,A131030,디에이치피코리아,20210804,8000
7,A131030,디에이치피코리아,20210803,7970
8,A131030,디에이치피코리아,20210802,8020
9,A131030,디에이치피코리아,20210730,7960
10,A131030,디에이치피코리아,20210729,8060
11,A131030,디에이치피코리아,20210728,8000
12,A131030,디에이치피코리아,20210727,8160
13,A131030,디에이치피코리아,20210726,8130
14,A131030,디에이치피코리아,20210723,8190
15,A131030,디에이치피코리아,20210722,8190
16,A131030,디에이치피코리아,20210721,8200
17,A131030,디에이치피코리아,20210720,8310
18,A131030,디에이치피코리아,20210719,8400
19,A131030,디에이치피코리아,20210716,8390
20,A131030,디에이치피코리아,20210715,8290
21,A131030,디에이치피코리아,20210714,8160
22,A131030,디에이치피코리아,20210713,8180
23,A131030,디에이치피코리아,20210712,8160
24,A131030,디에이치피코리아,20210709,8130
25,A131030,디에이치피코리아,20210708,8310
26,A131030,디에이치피코리아,20210707,8430
27,A131030,디에이치피코리아,20210706,8500
28,A131030,디에이치피코리아,20210705,8470
29,A131030,디에이치피코리아,20210702,8400
30,A131030,디에이치피코리아,20210701,8400
31,A131030,디에이치피코리아,20210630,8360
32,A131030,디에이치피코리아,20210629,8400
33,A131030,디에이치피코리아,20210628,8410
34,A131030,디에이치피코리아,20210625,8340
35,A131030,디에이치피코리아,20210624,8280
36,A131030,디에이치피코리아,20210623,8400
37,A131030,디에이치피코리아,20210622,8490
38,A131030,디에이치피코리아,20210621,8410
39,A131030,디에이치피코리아,20210618,8420
40,A131030,디에이치피코리아,20210617,8440
41,A131030,디에이치피코리아,20210616,8410
42,A131030,디에이치피코리아,20210615,8470
43,A131030,디에이치피코리아,20210614,8560
44,A131030,디에이치피코리아,20210611,8400
45,A131030,디에이치피코리아,20210610,8390
46,A131030,디에이치피코리아,20210609,8380
47,A131030,디에이치피코리아,20210608,8410
48,A131030,디에이치피코리아,20210607,8310
49,A131030,디에이치피코리아,20210604,8300
50,A131030,디에이치피코리아,20210603,8300
51,A131030,디에이치피코리아,20210602,8280
52,A131030,디에이치피코리아,20210601,8320
53,A131030,디에이치피코리아,20210531,8300
54,A131030,디에이치피코리아,20210528,8350
