,종목코드,종목명,날짜,종가
0,A127120,디엔에이링크,20210812,4980
1,A127120,디엔에이링크,20210811,4980
2,A127120,디엔에이링크,20210810,4480
3,A127120,디엔에이링크,20210809,4430
4,A127120,디엔에이링크,20210806,4620
5,A127120,디엔에이링크,20210805,4750
6,A127120,디엔에이링크,20210804,4640
7,A127120,디엔에이링크,20210803,4600
8,A127120,디엔에이링크,20210802,4700
9,A127120,디엔에이링크,20210730,4725
10,A127120,디엔에이링크,20210729,4930
11,A127120,디엔에이링크,20210728,4990
12,A127120,디엔에이링크,20210727,4940
13,A127120,디엔에이링크,20210726,4925
14,A127120,디엔에이링크,20210723,5440
15,A127120,디엔에이링크,20210722,5620
16,A127120,디엔에이링크,20210721,5600
17,A127120,디엔에이링크,20210720,5270
18,A127120,디엔에이링크,20210719,5430
19,A127120,디엔에이링크,20210716,5420
20,A127120,디엔에이링크,20210715,5700
21,A127120,디엔에이링크,20210714,6150
22,A127120,디엔에이링크,20210713,6170
23,A127120,디엔에이링크,20210712,6310
24,A127120,디엔에이링크,20210709,5560
25,A127120,디엔에이링크,20210708,4710
26,A127120,디엔에이링크,20210707,4885
27,A127120,디엔에이링크,20210706,4980
28,A127120,디엔에이링크,20210705,5200
29,A127120,디엔에이링크,20210702,4920
30,A127120,디엔에이링크,20210701,4900
31,A127120,디엔에이링크,20210630,4545
32,A127120,디엔에이링크,20210629,4460
33,A127120,디엔에이링크,20210628,4620
34,A127120,디엔에이링크,20210625,4050
35,A127120,디엔에이링크,20210624,4035
36,A127120,디엔에이링크,20210623,4155
37,A127120,디엔에이링크,20210622,3995
38,A127120,디엔에이링크,20210621,4115
39,A127120,디엔에이링크,20210618,4005
40,A127120,디엔에이링크,20210617,4000
41,A127120,디엔에이링크,20210616,4125
42,A127120,디엔에이링크,20210615,3990
43,A127120,디엔에이링크,20210614,4165
44,A127120,디엔에이링크,20210611,3855
45,A127120,디엔에이링크,20210610,4010
46,A127120,디엔에이링크,20210609,4240
47,A127120,디엔에이링크,20210608,3710
48,A127120,디엔에이링크,20210607,3830
49,A127120,디엔에이링크,20210604,4000
50,A127120,디엔에이링크,20210603,4055
51,A127120,디엔에이링크,20210602,4130
52,A127120,디엔에이링크,20210601,4235
53,A127120,디엔에이링크,20210531,4205
54,A127120,디엔에이링크,20210528,4180
55,A127120,디엔에이링크,20210527,4155
56,A127120,디엔에이링크,20210526,4180
57,A127120,디엔에이링크,20210525,4050
58,A127120,디엔에이링크,20210524,3935
59,A127120,디엔에이링크,20210521,4250
60,A127120,디엔에이링크,20210520,4250
61,A127120,디엔에이링크,20210518,4400
62,A127120,디엔에이링크,20210517,4575
63,A127120,디엔에이링크,20210514,4505
64,A127120,디엔에이링크,20210513,4630
65,A127120,디엔에이링크,20210512,4950
66,A127120,디엔에이링크,20210511,4970
67,A127120,디엔에이링크,20210510,4995
68,A127120,디엔에이링크,20210507,5080
69,A127120,디엔에이링크,20210506,4995
70,A127120,디엔에이링크,20210504,4985
71,A127120,디엔에이링크,20210503,5470
72,A127120,디엔에이링크,20210430,7040
73,A127120,디엔에이링크,20210429,7000
74,A127120,디엔에이링크,20210428,6330
75,A127120,디엔에이링크,20210427,6410
76,A127120,디엔에이링크,20210426,5460
77,A127120,디엔에이링크,20210423,5370
78,A127120,디엔에이링크,20210422,4940
79,A127120,디엔에이링크,20210421,5030
80,A127120,디엔에이링크,20210420,5400
81,A127120,디엔에이링크,20210419,5470
82,A127120,디엔에이링크,20210416,5840
83,A127120,디엔에이링크,20210415,6000
84,A127120,디엔에이링크,20210414,6030
85,A127120,디엔에이링크,20210413,5240
86,A127120,디엔에이링크,20210412,5500
87,A127120,디엔에이링크,20210409,4840
88,A127120,디엔에이링크,20210408,4605
89,A127120,디엔에이링크,20210407,4450
