,종목코드,종목명,날짜,종가
0,A197140,디지캡,20210812,6190
1,A197140,디지캡,20210811,6210
2,A197140,디지캡,20210810,6280
3,A197140,디지캡,20210809,6470
4,A197140,디지캡,20210806,6480
5,A197140,디지캡,20210805,6510
6,A197140,디지캡,20210804,6310
7,A197140,디지캡,20210803,6180
8,A197140,디지캡,20210802,6120
9,A197140,디지캡,20210730,6210
10,A197140,디지캡,20210729,6330
11,A197140,디지캡,20210728,6260
12,A197140,디지캡,20210727,6370
13,A197140,디지캡,20210726,6300
14,A197140,디지캡,20210723,6450
15,A197140,디지캡,20210722,6600
16,A197140,디지캡,20210721,6640
17,A197140,디지캡,20210720,6760
18,A197140,디지캡,20210719,6840
19,A197140,디지캡,20210716,6660
20,A197140,디지캡,20210715,6630
21,A197140,디지캡,20210714,6600
22,A197140,디지캡,20210713,6660
23,A197140,디지캡,20210712,6630
24,A197140,디지캡,20210709,6450
25,A197140,디지캡,20210708,6670
26,A197140,디지캡,20210707,6920
27,A197140,디지캡,20210706,6940
28,A197140,디지캡,20210705,6700
29,A197140,디지캡,20210702,6680
30,A197140,디지캡,20210701,6940
31,A197140,디지캡,20210630,7000
32,A197140,디지캡,20210629,7270
33,A197140,디지캡,20210628,7270
34,A197140,디지캡,20210625,7510
35,A197140,디지캡,20210624,7640
36,A197140,디지캡,20210623,7910
37,A197140,디지캡,20210622,8060
38,A197140,디지캡,20210621,7610
39,A197140,디지캡,20210618,7180
40,A197140,디지캡,20210617,7340
41,A197140,디지캡,20210616,7130
42,A197140,디지캡,20210615,6880
43,A197140,디지캡,20210614,6960
44,A197140,디지캡,20210611,7000
45,A197140,디지캡,20210610,6880
46,A197140,디지캡,20210609,6890
47,A197140,디지캡,20210608,6680
48,A197140,디지캡,20210607,6830
49,A197140,디지캡,20210604,6850
50,A197140,디지캡,20210603,6820
51,A197140,디지캡,20210602,6920
52,A197140,디지캡,20210601,6950
53,A197140,디지캡,20210531,6960
54,A197140,디지캡,20210528,6650
55,A197140,디지캡,20210527,6580
56,A197140,디지캡,20210526,6630
57,A197140,디지캡,20210525,6370
58,A197140,디지캡,20210524,6120
59,A197140,디지캡,20210521,6520
60,A197140,디지캡,20210520,6710
61,A197140,디지캡,20210518,6600
62,A197140,디지캡,20210517,6560
63,A197140,디지캡,20210514,6490
64,A197140,디지캡,20210513,6460
65,A197140,디지캡,20210512,6650
66,A197140,디지캡,20210511,6780
67,A197140,디지캡,20210510,6840
68,A197140,디지캡,20210507,6710
69,A197140,디지캡,20210506,6600
70,A197140,디지캡,20210504,6510
71,A197140,디지캡,20210503,6590
72,A197140,디지캡,20210430,6350
73,A197140,디지캡,20210429,6540
74,A197140,디지캡,20210428,6730
