,종목코드,종목명,날짜,종가
0,A007340,디티알오토모티브,20210812,44900
1,A007340,디티알오토모티브,20210811,45000
2,A007340,디티알오토모티브,20210810,42800
3,A007340,디티알오토모티브,20210809,40800
4,A007340,디티알오토모티브,20210806,41000
5,A007340,디티알오토모티브,20210805,40400
6,A007340,디티알오토모티브,20210804,40650
7,A007340,디티알오토모티브,20210803,40500
8,A007340,디티알오토모티브,20210802,40300
9,A007340,디티알오토모티브,20210730,39900
10,A007340,디티알오토모티브,20210729,39500
11,A007340,디티알오토모티브,20210728,39000
12,A007340,디티알오토모티브,20210727,39600
13,A007340,디티알오토모티브,20210726,39200
14,A007340,디티알오토모티브,20210723,40600
15,A007340,디티알오토모티브,20210722,40300
16,A007340,디티알오토모티브,20210721,39700
17,A007340,디티알오토모티브,20210720,40700
18,A007340,디티알오토모티브,20210719,41450
19,A007340,디티알오토모티브,20210716,40750
20,A007340,디티알오토모티브,20210715,39950
21,A007340,디티알오토모티브,20210714,39950
22,A007340,디티알오토모티브,20210713,39900
23,A007340,디티알오토모티브,20210712,39050
24,A007340,디티알오토모티브,20210709,39050
25,A007340,디티알오토모티브,20210708,38900
26,A007340,디티알오토모티브,20210707,39100
27,A007340,디티알오토모티브,20210706,39400
28,A007340,디티알오토모티브,20210705,39500
29,A007340,디티알오토모티브,20210702,39750
30,A007340,디티알오토모티브,20210701,40450
31,A007340,디티알오토모티브,20210630,41700
32,A007340,디티알오토모티브,20210629,41800
33,A007340,디티알오토모티브,20210628,43000
34,A007340,디티알오토모티브,20210625,43300
35,A007340,디티알오토모티브,20210624,43200
36,A007340,디티알오토모티브,20210623,41950
37,A007340,디티알오토모티브,20210622,41200
38,A007340,디티알오토모티브,20210621,40450
39,A007340,디티알오토모티브,20210618,40250
40,A007340,디티알오토모티브,20210617,40900
41,A007340,디티알오토모티브,20210616,41000
42,A007340,디티알오토모티브,20210615,41900
43,A007340,디티알오토모티브,20210614,39100
44,A007340,디티알오토모티브,20210611,41000
45,A007340,디티알오토모티브,20210610,37850
46,A007340,디티알오토모티브,20210609,37850
47,A007340,디티알오토모티브,20210608,38100
48,A007340,디티알오토모티브,20210607,38100
49,A007340,디티알오토모티브,20210604,38200
50,A007340,디티알오토모티브,20210603,37850
51,A007340,디티알오토모티브,20210602,37850
52,A007340,디티알오토모티브,20210601,38150
53,A007340,디티알오토모티브,20210531,38300
54,A007340,디티알오토모티브,20210528,37800
55,A007340,디티알오토모티브,20210527,37350
56,A007340,디티알오토모티브,20210526,37200
57,A007340,디티알오토모티브,20210525,37250
58,A007340,디티알오토모티브,20210524,36250
59,A007340,디티알오토모티브,20210521,36300
60,A007340,디티알오토모티브,20210520,36900
61,A007340,디티알오토모티브,20210518,36650
62,A007340,디티알오토모티브,20210517,35750
63,A007340,디티알오토모티브,20210514,37250
64,A007340,디티알오토모티브,20210513,37150
65,A007340,디티알오토모티브,20210512,36750
66,A007340,디티알오토모티브,20210511,36950
67,A007340,디티알오토모티브,20210510,35100
68,A007340,디티알오토모티브,20210507,34500
69,A007340,디티알오토모티브,20210506,34150
70,A007340,디티알오토모티브,20210504,33050
71,A007340,디티알오토모티브,20210503,33550
72,A007340,디티알오토모티브,20210430,32250
73,A007340,디티알오토모티브,20210429,32000
74,A007340,디티알오토모티브,20210428,32400
75,A007340,디티알오토모티브,20210427,31650
76,A007340,디티알오토모티브,20210426,31250
77,A007340,디티알오토모티브,20210423,30450
78,A007340,디티알오토모티브,20210422,30400
79,A007340,디티알오토모티브,20210421,30450
80,A007340,디티알오토모티브,20210420,30500
81,A007340,디티알오토모티브,20210419,30300
82,A007340,디티알오토모티브,20210416,30200
83,A007340,디티알오토모티브,20210415,30200
84,A007340,디티알오토모티브,20210414,30150
85,A007340,디티알오토모티브,20210413,30300
86,A007340,디티알오토모티브,20210412,30250
87,A007340,디티알오토모티브,20210409,30900
88,A007340,디티알오토모티브,20210408,30600
89,A007340,디티알오토모티브,20210407,30300
90,A007340,디티알오토모티브,20210406,29850
91,A007340,디티알오토모티브,20210405,30600
92,A007340,디티알오토모티브,20210402,30950
93,A007340,디티알오토모티브,20210401,31200
94,A007340,디티알오토모티브,20210331,31100
95,A007340,디티알오토모티브,20210330,31050
96,A007340,디티알오토모티브,20210329,30600
97,A007340,디티알오토모티브,20210326,30200
98,A007340,디티알오토모티브,20210325,30400
99,A007340,디티알오토모티브,20210324,30400
100,A007340,디티알오토모티브,20210323,30750
101,A007340,디티알오토모티브,20210322,31650
102,A007340,디티알오토모티브,20210319,31900
103,A007340,디티알오토모티브,20210318,31500
104,A007340,디티알오토모티브,20210317,31500
105,A007340,디티알오토모티브,20210316,30700
106,A007340,디티알오토모티브,20210315,30550
107,A007340,디티알오토모티브,20210312,31200
108,A007340,디티알오토모티브,20210311,31700
109,A007340,디티알오토모티브,20210310,30000
110,A007340,디티알오토모티브,20210309,29100
111,A007340,디티알오토모티브,20210308,28500
112,A007340,디티알오토모티브,20210305,28350
113,A007340,디티알오토모티브,20210304,28550
114,A007340,디티알오토모티브,20210303,28400
115,A007340,디티알오토모티브,20210302,27900
116,A007340,디티알오토모티브,20210226,27450
117,A007340,디티알오토모티브,20210225,27900
118,A007340,디티알오토모티브,20210224,27300
