,종목코드,종목명,날짜,종가
0,A163430,디피코,20210812,8000
1,A163430,디피코,20210811,7950
2,A163430,디피코,20210810,8130
3,A163430,디피코,20210809,8100
4,A163430,디피코,20210806,8110
5,A163430,디피코,20210805,8180
6,A163430,디피코,20210804,8200
7,A163430,디피코,20210803,8000
8,A163430,디피코,20210802,8160
9,A163430,디피코,20210730,8200
10,A163430,디피코,20210729,8240
11,A163430,디피코,20210728,7860
12,A163430,디피코,20210727,8000
13,A163430,디피코,20210726,8290
14,A163430,디피코,20210723,8230
15,A163430,디피코,20210722,8210
16,A163430,디피코,20210721,8200
17,A163430,디피코,20210720,8310
18,A163430,디피코,20210719,8400
19,A163430,디피코,20210716,8780
20,A163430,디피코,20210715,8740
21,A163430,디피코,20210714,8730
22,A163430,디피코,20210713,8620
23,A163430,디피코,20210712,8700
24,A163430,디피코,20210709,8890
25,A163430,디피코,20210708,9000
26,A163430,디피코,20210707,9040
27,A163430,디피코,20210706,8890
28,A163430,디피코,20210705,8690
29,A163430,디피코,20210702,8320
30,A163430,디피코,20210701,8460
31,A163430,디피코,20210630,8800
32,A163430,디피코,20210629,8890
33,A163430,디피코,20210628,8780
34,A163430,디피코,20210625,9210
35,A163430,디피코,20210624,9640
36,A163430,디피코,20210623,9680
37,A163430,디피코,20210622,9760
38,A163430,디피코,20210621,9790
39,A163430,디피코,20210618,9760
40,A163430,디피코,20210617,9770
41,A163430,디피코,20210616,9790
42,A163430,디피코,20210615,9890
43,A163430,디피코,20210614,9880
44,A163430,디피코,20210611,9860
45,A163430,디피코,20210610,9680
46,A163430,디피코,20210609,9840
47,A163430,디피코,20210608,9900
48,A163430,디피코,20210607,9960
49,A163430,디피코,20210604,9950
50,A163430,디피코,20210603,9800
51,A163430,디피코,20210602,9690
52,A163430,디피코,20210601,9530
53,A163430,디피코,20210531,9490
54,A163430,디피코,20210528,9490
55,A163430,디피코,20210527,9890
56,A163430,디피코,20210526,9840
57,A163430,디피코,20210525,9920
58,A163430,디피코,20210524,9890
59,A163430,디피코,20210521,9090
60,A163430,디피코,20210520,7950
61,A163430,디피코,20210518,6980
62,A163430,디피코,20210517,6850
63,A163430,디피코,20210514,6590
64,A163430,디피코,20210513,6550
65,A163430,디피코,20210512,6350
66,A163430,디피코,20210511,6330
67,A163430,디피코,20210510,5690
68,A163430,디피코,20210507,5650
69,A163430,디피코,20210506,6010
70,A163430,디피코,20210504,6500
71,A163430,디피코,20210503,6700
72,A163430,디피코,20210430,6920
73,A163430,디피코,20210429,6730
74,A163430,디피코,20210428,6080
75,A163430,디피코,20210427,5290
76,A163430,디피코,20210426,4600
77,A163430,디피코,20210423,4540
78,A163430,디피코,20210422,4300
79,A163430,디피코,20210421,4225
80,A163430,디피코,20210420,4200
81,A163430,디피코,20210419,4180
82,A163430,디피코,20210416,4215
83,A163430,디피코,20210415,4195
84,A163430,디피코,20210414,4230
85,A163430,디피코,20210413,4160
86,A163430,디피코,20210412,4070
87,A163430,디피코,20210409,4100
88,A163430,디피코,20210408,4095
89,A163430,디피코,20210407,4000
90,A163430,디피코,20210406,4320
91,A163430,디피코,20210405,4100
92,A163430,디피코,20210402,4200
93,A163430,디피코,20210401,4070
94,A163430,디피코,20210331,4310
95,A163430,디피코,20210330,4290
96,A163430,디피코,20210329,4290
97,A163430,디피코,20210326,3850
98,A163430,디피코,20210325,4085
99,A163430,디피코,20210324,4070
100,A163430,디피코,20210323,4415
101,A163430,디피코,20210322,4350
102,A163430,디피코,20210319,4460
103,A163430,디피코,20210318,4465
104,A163430,디피코,20210317,4500
105,A163430,디피코,20210316,4400
106,A163430,디피코,20210315,4485
107,A163430,디피코,20210312,4490
108,A163430,디피코,20210311,4495
109,A163430,디피코,20210310,4475
110,A163430,디피코,20210309,4500
111,A163430,디피코,20210308,4505
112,A163430,디피코,20210305,4495
113,A163430,디피코,20210304,4495
114,A163430,디피코,20210303,4495
115,A163430,디피코,20210302,4560
116,A163430,디피코,20210226,4445
117,A163430,디피코,20210225,4480
118,A163430,디피코,20210224,4330
119,A163430,디피코,20210223,4450
120,A163430,디피코,20210222,4475
121,A163430,디피코,20210219,4480
122,A163430,디피코,20210218,4490
123,A163430,디피코,20210217,4490
124,A163430,디피코,20210216,4420
125,A163430,디피코,20210215,4485
126,A163430,디피코,20210210,4485
127,A163430,디피코,20210209,4485
128,A163430,디피코,20210208,4460
129,A163430,디피코,20210205,4480
130,A163430,디피코,20210204,4380
131,A163430,디피코,20210203,4480
132,A163430,디피코,20210202,4495
133,A163430,디피코,20210201,4490
134,A163430,디피코,20210129,4475
135,A163430,디피코,20210128,4495
136,A163430,디피코,20210127,4495
137,A163430,디피코,20210126,4490
138,A163430,디피코,20210125,4500
139,A163430,디피코,20210122,4505
140,A163430,디피코,20210121,4520
141,A163430,디피코,20210120,4530
142,A163430,디피코,20210119,4495
143,A163430,디피코,20210118,4395
144,A163430,디피코,20210115,4295
145,A163430,디피코,20210114,4250
146,A163430,디피코,20210113,4260
147,A163430,디피코,20210112,4285
148,A163430,디피코,20210111,4350
149,A163430,디피코,20210108,4355
150,A163430,디피코,20210107,4355
151,A163430,디피코,20210106,4395
152,A163430,디피코,20210105,4400
153,A163430,디피코,20210104,4400
154,A163430,디피코,20201230,4435
155,A163430,디피코,20201229,4440
156,A163430,디피코,20201228,4430
157,A163430,디피코,20201224,4545
158,A163430,디피코,20201223,4530
159,A163430,디피코,20201222,4500
160,A163430,디피코,20201221,4325
161,A163430,디피코,20201218,4500
162,A163430,디피코,20201217,4565
163,A163430,디피코,20201216,4560
