,辆格内靛,辆格疙,朝楼,辆啊
0,A131180,掉府,20210812,2335
1,A131180,掉府,20210811,2320
2,A131180,掉府,20210810,2400
3,A131180,掉府,20210809,2510
4,A131180,掉府,20210806,2690
5,A131180,掉府,20210805,2770
6,A131180,掉府,20210804,2770
7,A131180,掉府,20210803,2830
8,A131180,掉府,20210802,2970
9,A131180,掉府,20210730,2550
10,A131180,掉府,20210729,2665
11,A131180,掉府,20210728,2820
12,A131180,掉府,20210727,2480
13,A131180,掉府,20210726,2475
14,A131180,掉府,20210723,2640
15,A131180,掉府,20210722,2805
16,A131180,掉府,20210721,2780
17,A131180,掉府,20210720,2725
18,A131180,掉府,20210719,2735
19,A131180,掉府,20210716,2915
20,A131180,掉府,20210715,2910
21,A131180,掉府,20210714,2595
22,A131180,掉府,20210713,2115
23,A131180,掉府,20210712,2040
24,A131180,掉府,20210709,2005
25,A131180,掉府,20210708,2055
26,A131180,掉府,20210707,2105
27,A131180,掉府,20210706,2075
28,A131180,掉府,20210705,2145
29,A131180,掉府,20210702,2160
30,A131180,掉府,20210701,2130
31,A131180,掉府,20210630,2045
32,A131180,掉府,20210629,2000
33,A131180,掉府,20210628,2000
34,A131180,掉府,20210625,1995
35,A131180,掉府,20210624,1995
36,A131180,掉府,20210623,2030
37,A131180,掉府,20210622,2025
38,A131180,掉府,20210621,2025
39,A131180,掉府,20210618,2055
40,A131180,掉府,20210617,2010
41,A131180,掉府,20210616,1980
42,A131180,掉府,20210615,2000
43,A131180,掉府,20210614,1990
44,A131180,掉府,20210611,2005
45,A131180,掉府,20210610,1965
46,A131180,掉府,20210609,1960
47,A131180,掉府,20210608,1895
48,A131180,掉府,20210607,1890
49,A131180,掉府,20210604,1935
50,A131180,掉府,20210603,1940
51,A131180,掉府,20210602,1940
52,A131180,掉府,20210601,1895
53,A131180,掉府,20210531,1855
54,A131180,掉府,20210528,1845
55,A131180,掉府,20210527,1845
56,A131180,掉府,20210526,1860
57,A131180,掉府,20210525,1780
58,A131180,掉府,20210524,1775
59,A131180,掉府,20210521,1790
60,A131180,掉府,20210520,1855
61,A131180,掉府,20210518,1815
62,A131180,掉府,20210517,1780
63,A131180,掉府,20210514,1810
64,A131180,掉府,20210513,1750
65,A131180,掉府,20210512,1750
66,A131180,掉府,20210511,1775
67,A131180,掉府,20210510,1785
68,A131180,掉府,20210507,1780
69,A131180,掉府,20210506,1765
70,A131180,掉府,20210504,1730
71,A131180,掉府,20210503,1735
72,A131180,掉府,20210430,1715
73,A131180,掉府,20210429,1745
74,A131180,掉府,20210428,1760
75,A131180,掉府,20210427,1770
76,A131180,掉府,20210426,1785
77,A131180,掉府,20210423,1790
78,A131180,掉府,20210422,1825
79,A131180,掉府,20210421,1820
80,A131180,掉府,20210420,1865
81,A131180,掉府,20210419,1845
82,A131180,掉府,20210416,1855
83,A131180,掉府,20210415,1800
84,A131180,掉府,20210414,1820
85,A131180,掉府,20210413,1820
86,A131180,掉府,20210412,1820
87,A131180,掉府,20210409,1820
88,A131180,掉府,20210408,1785
89,A131180,掉府,20210407,1775
90,A131180,掉府,20210406,1780
91,A131180,掉府,20210405,1785
92,A131180,掉府,20210402,1765
93,A131180,掉府,20210401,1795
94,A131180,掉府,20210331,1795
95,A131180,掉府,20210330,1780
96,A131180,掉府,20210329,1725
97,A131180,掉府,20210326,1710
98,A131180,掉府,20210325,1720
99,A131180,掉府,20210324,1685
100,A131180,掉府,20210323,1685
101,A131180,掉府,20210322,1720
102,A131180,掉府,20210319,1715
103,A131180,掉府,20210318,1730
104,A131180,掉府,20210317,1705
105,A131180,掉府,20210316,1700
106,A131180,掉府,20210315,1685
107,A131180,掉府,20210312,1680
108,A131180,掉府,20210311,1635
109,A131180,掉府,20210310,1660
110,A131180,掉府,20210309,1580
111,A131180,掉府,20210308,1590
112,A131180,掉府,20210305,1615
113,A131180,掉府,20210304,1645
114,A131180,掉府,20210303,1660
115,A131180,掉府,20210302,1610
116,A131180,掉府,20210226,1615
117,A131180,掉府,20210225,1645
118,A131180,掉府,20210224,1630
119,A131180,掉府,20210223,1695
120,A131180,掉府,20210222,1735
121,A131180,掉府,20210219,1665
122,A131180,掉府,20210218,1595
123,A131180,掉府,20210217,1620
124,A131180,掉府,20210216,1595
125,A131180,掉府,20210215,1570
126,A131180,掉府,20210210,1575
127,A131180,掉府,20210209,1565
128,A131180,掉府,20210208,1620
129,A131180,掉府,20210205,1585
130,A131180,掉府,20210204,1590
131,A131180,掉府,20210203,1550
132,A131180,掉府,20210202,1540
133,A131180,掉府,20210201,1520
134,A131180,掉府,20210129,1505
135,A131180,掉府,20210128,1550
136,A131180,掉府,20210127,1595
137,A131180,掉府,20210126,1650
138,A131180,掉府,20210125,1550
139,A131180,掉府,20210122,1555
140,A131180,掉府,20210121,1540
