,종목코드,종목명,날짜,종가
0,A038390,레드캡투어,20210812,25750
1,A038390,레드캡투어,20210811,25600
2,A038390,레드캡투어,20210810,26250
3,A038390,레드캡투어,20210809,26850
4,A038390,레드캡투어,20210806,27100
5,A038390,레드캡투어,20210805,26950
6,A038390,레드캡투어,20210804,26650
7,A038390,레드캡투어,20210803,26100
8,A038390,레드캡투어,20210802,25800
9,A038390,레드캡투어,20210730,26200
10,A038390,레드캡투어,20210729,27100
11,A038390,레드캡투어,20210728,27100
12,A038390,레드캡투어,20210727,27100
13,A038390,레드캡투어,20210726,27100
14,A038390,레드캡투어,20210723,27250
15,A038390,레드캡투어,20210722,26850
16,A038390,레드캡투어,20210721,25800
17,A038390,레드캡투어,20210720,26350
18,A038390,레드캡투어,20210719,26450
19,A038390,레드캡투어,20210716,26800
20,A038390,레드캡투어,20210715,26200
21,A038390,레드캡투어,20210714,25800
22,A038390,레드캡투어,20210713,26900
23,A038390,레드캡투어,20210712,26550
24,A038390,레드캡투어,20210709,25300
25,A038390,레드캡투어,20210708,25150
26,A038390,레드캡투어,20210707,26200
27,A038390,레드캡투어,20210706,26850
28,A038390,레드캡투어,20210705,26200
29,A038390,레드캡투어,20210702,26050
30,A038390,레드캡투어,20210701,26100
31,A038390,레드캡투어,20210630,26650
32,A038390,레드캡투어,20210629,26800
33,A038390,레드캡투어,20210628,27350
34,A038390,레드캡투어,20210625,27600
35,A038390,레드캡투어,20210624,27200
36,A038390,레드캡투어,20210623,27200
37,A038390,레드캡투어,20210622,27100
38,A038390,레드캡투어,20210621,27150
39,A038390,레드캡투어,20210618,27500
40,A038390,레드캡투어,20210617,27950
41,A038390,레드캡투어,20210616,27950
42,A038390,레드캡투어,20210615,27750
43,A038390,레드캡투어,20210614,28450
44,A038390,레드캡투어,20210611,29100
45,A038390,레드캡투어,20210610,29100
46,A038390,레드캡투어,20210609,29450
47,A038390,레드캡투어,20210608,29150
48,A038390,레드캡투어,20210607,28800
49,A038390,레드캡투어,20210604,29500
50,A038390,레드캡투어,20210603,30450
51,A038390,레드캡투어,20210602,31200
52,A038390,레드캡투어,20210601,29550
53,A038390,레드캡투어,20210531,30200
54,A038390,레드캡투어,20210528,29250
55,A038390,레드캡투어,20210527,30000
56,A038390,레드캡투어,20210526,30550
57,A038390,레드캡투어,20210525,30400
58,A038390,레드캡투어,20210524,30050
59,A038390,레드캡투어,20210521,27750
60,A038390,레드캡투어,20210520,28400
61,A038390,레드캡투어,20210518,28400
62,A038390,레드캡투어,20210517,29500
63,A038390,레드캡투어,20210514,28750
64,A038390,레드캡투어,20210513,30000
65,A038390,레드캡투어,20210512,29200
66,A038390,레드캡투어,20210511,29500
67,A038390,레드캡투어,20210510,30200
68,A038390,레드캡투어,20210507,27950
69,A038390,레드캡투어,20210506,25850
70,A038390,레드캡투어,20210504,25600
71,A038390,레드캡투어,20210503,27100
72,A038390,레드캡투어,20210430,26550
73,A038390,레드캡투어,20210429,24250
74,A038390,레드캡투어,20210428,23650
75,A038390,레드캡투어,20210427,23700
76,A038390,레드캡투어,20210426,23800
77,A038390,레드캡투어,20210423,22350
78,A038390,레드캡투어,20210422,22000
79,A038390,레드캡투어,20210421,21650
80,A038390,레드캡투어,20210420,21700
81,A038390,레드캡투어,20210419,21200
82,A038390,레드캡투어,20210416,21250
83,A038390,레드캡투어,20210415,21400
84,A038390,레드캡투어,20210414,21450
85,A038390,레드캡투어,20210413,21250
86,A038390,레드캡투어,20210412,21150
87,A038390,레드캡투어,20210409,21100
88,A038390,레드캡투어,20210408,21050
89,A038390,레드캡투어,20210407,21500
90,A038390,레드캡투어,20210406,21650
91,A038390,레드캡투어,20210405,20550
92,A038390,레드캡투어,20210402,21150
93,A038390,레드캡투어,20210401,21550
