,辆格内靛,辆格疙,朝楼,辆啊
0,A330590,吩单府明,20210812,5890
1,A330590,吩单府明,20210811,5880
2,A330590,吩单府明,20210810,5890
3,A330590,吩单府明,20210809,5890
4,A330590,吩单府明,20210806,5890
5,A330590,吩单府明,20210805,5850
6,A330590,吩单府明,20210804,5840
7,A330590,吩单府明,20210803,5870
8,A330590,吩单府明,20210802,5890
9,A330590,吩单府明,20210730,5930
10,A330590,吩单府明,20210729,5930
11,A330590,吩单府明,20210728,5920
12,A330590,吩单府明,20210727,5920
13,A330590,吩单府明,20210726,5900
14,A330590,吩单府明,20210723,5930
15,A330590,吩单府明,20210722,5900
16,A330590,吩单府明,20210721,5890
17,A330590,吩单府明,20210720,5880
18,A330590,吩单府明,20210719,5880
19,A330590,吩单府明,20210716,5900
20,A330590,吩单府明,20210715,5850
21,A330590,吩单府明,20210714,5940
22,A330590,吩单府明,20210713,5980
23,A330590,吩单府明,20210712,5970
24,A330590,吩单府明,20210709,5980
25,A330590,吩单府明,20210708,5980
26,A330590,吩单府明,20210707,6030
27,A330590,吩单府明,20210706,6050
28,A330590,吩单府明,20210705,6060
29,A330590,吩单府明,20210702,6020
30,A330590,吩单府明,20210701,5980
31,A330590,吩单府明,20210630,5960
32,A330590,吩单府明,20210629,6000
33,A330590,吩单府明,20210628,6100
34,A330590,吩单府明,20210625,6080
35,A330590,吩单府明,20210624,6060
36,A330590,吩单府明,20210623,6060
37,A330590,吩单府明,20210622,6100
38,A330590,吩单府明,20210621,6100
39,A330590,吩单府明,20210618,6170
40,A330590,吩单府明,20210617,6110
41,A330590,吩单府明,20210616,6170
42,A330590,吩单府明,20210615,6210
43,A330590,吩单府明,20210614,6110
44,A330590,吩单府明,20210611,6140
45,A330590,吩单府明,20210610,6130
46,A330590,吩单府明,20210609,6110
47,A330590,吩单府明,20210608,6000
48,A330590,吩单府明,20210607,6020
49,A330590,吩单府明,20210604,5980
50,A330590,吩单府明,20210603,6040
51,A330590,吩单府明,20210602,6170
52,A330590,吩单府明,20210601,6010
53,A330590,吩单府明,20210531,5950
54,A330590,吩单府明,20210528,5840
55,A330590,吩单府明,20210527,5710
56,A330590,吩单府明,20210526,5610
57,A330590,吩单府明,20210525,5600
58,A330590,吩单府明,20210524,5590
59,A330590,吩单府明,20210521,5600
60,A330590,吩单府明,20210520,5560
61,A330590,吩单府明,20210518,5580
62,A330590,吩单府明,20210517,5550
63,A330590,吩单府明,20210514,5540
64,A330590,吩单府明,20210513,5550
65,A330590,吩单府明,20210512,5600
66,A330590,吩单府明,20210511,5560
67,A330590,吩单府明,20210510,5550
68,A330590,吩单府明,20210507,5530
69,A330590,吩单府明,20210506,5530
70,A330590,吩单府明,20210504,5450
71,A330590,吩单府明,20210503,5430
