,종목코드,종목명,날짜,종가
0,A058470,리노공업,20210812,172400
1,A058470,리노공업,20210811,176600
2,A058470,리노공업,20210810,179500
3,A058470,리노공업,20210809,180500
4,A058470,리노공업,20210806,180200
5,A058470,리노공업,20210805,182500
6,A058470,리노공업,20210804,181300
7,A058470,리노공업,20210803,179200
8,A058470,리노공업,20210802,175600
9,A058470,리노공업,20210730,178800
10,A058470,리노공업,20210729,182400
11,A058470,리노공업,20210728,181300
12,A058470,리노공업,20210727,182100
13,A058470,리노공업,20210726,187100
14,A058470,리노공업,20210723,186400
15,A058470,리노공업,20210722,185700
16,A058470,리노공업,20210721,186400
17,A058470,리노공업,20210720,184100
18,A058470,리노공업,20210719,187500
19,A058470,리노공업,20210716,186300
20,A058470,리노공업,20210715,188000
21,A058470,리노공업,20210714,186100
22,A058470,리노공업,20210713,188600
23,A058470,리노공업,20210712,183800
24,A058470,리노공업,20210709,183100
25,A058470,리노공업,20210708,184100
26,A058470,리노공업,20210707,186900
27,A058470,리노공업,20210706,187900
28,A058470,리노공업,20210705,187200
29,A058470,리노공업,20210702,182300
30,A058470,리노공업,20210701,179600
31,A058470,리노공업,20210630,175500
32,A058470,리노공업,20210629,176900
33,A058470,리노공업,20210628,175900
34,A058470,리노공업,20210625,173300
35,A058470,리노공업,20210624,169100
36,A058470,리노공업,20210623,170600
37,A058470,리노공업,20210622,169100
38,A058470,리노공업,20210621,167800
39,A058470,리노공업,20210618,170800
40,A058470,리노공업,20210617,167000
41,A058470,리노공업,20210616,165200
42,A058470,리노공업,20210615,163200
43,A058470,리노공업,20210614,166800
44,A058470,리노공업,20210611,166200
45,A058470,리노공업,20210610,168000
46,A058470,리노공업,20210609,167000
47,A058470,리노공업,20210608,168000
48,A058470,리노공업,20210607,169200
49,A058470,리노공업,20210604,167100
50,A058470,리노공업,20210603,170000
51,A058470,리노공업,20210602,166500
52,A058470,리노공업,20210601,166000
53,A058470,리노공업,20210531,163400
54,A058470,리노공업,20210528,165700
55,A058470,리노공업,20210527,166000
56,A058470,리노공업,20210526,164500
57,A058470,리노공업,20210525,165400
58,A058470,리노공업,20210524,165100
59,A058470,리노공업,20210521,167200
60,A058470,리노공업,20210520,166800
61,A058470,리노공업,20210518,161500
62,A058470,리노공업,20210517,161800
63,A058470,리노공업,20210514,156200
64,A058470,리노공업,20210513,151000
65,A058470,리노공업,20210512,156700
66,A058470,리노공업,20210511,161300
67,A058470,리노공업,20210510,162000
68,A058470,리노공업,20210507,158500
69,A058470,리노공업,20210506,159300
70,A058470,리노공업,20210504,159600
71,A058470,리노공업,20210503,163600
72,A058470,리노공업,20210430,163000
73,A058470,리노공업,20210429,160900
74,A058470,리노공업,20210428,162000
75,A058470,리노공업,20210427,169300
76,A058470,리노공업,20210426,170700
77,A058470,리노공업,20210423,168000
78,A058470,리노공업,20210422,168700
79,A058470,리노공업,20210421,171000
80,A058470,리노공업,20210420,176500
81,A058470,리노공업,20210419,175200
82,A058470,리노공업,20210416,164600
83,A058470,리노공업,20210415,162500
84,A058470,리노공업,20210414,159900
85,A058470,리노공업,20210413,160100
86,A058470,리노공업,20210412,158200
87,A058470,리노공업,20210409,160800
88,A058470,리노공업,20210408,162000
89,A058470,리노공업,20210407,161700
90,A058470,리노공업,20210406,165400
91,A058470,리노공업,20210405,159800
92,A058470,리노공업,20210402,159000
93,A058470,리노공업,20210401,159900
94,A058470,리노공업,20210331,156500
95,A058470,리노공업,20210330,153200
96,A058470,리노공업,20210329,151900
97,A058470,리노공업,20210326,151500
98,A058470,리노공업,20210325,152900
99,A058470,리노공업,20210324,152900
100,A058470,리노공업,20210323,153200
101,A058470,리노공업,20210322,156800
102,A058470,리노공업,20210319,156500
103,A058470,리노공업,20210318,154800
104,A058470,리노공업,20210317,154600
105,A058470,리노공업,20210316,155000
106,A058470,리노공업,20210315,143800
107,A058470,리노공업,20210312,145400
108,A058470,리노공업,20210311,146900
109,A058470,리노공업,20210310,146800
110,A058470,리노공업,20210309,143900
111,A058470,리노공업,20210308,146200
112,A058470,리노공업,20210305,150600
113,A058470,리노공업,20210304,155900
114,A058470,리노공업,20210303,156500
115,A058470,리노공업,20210302,158100
116,A058470,리노공업,20210226,160200
117,A058470,리노공업,20210225,161400
118,A058470,리노공업,20210224,158000
119,A058470,리노공업,20210223,163300
120,A058470,리노공업,20210222,172100
121,A058470,리노공업,20210219,170100
122,A058470,리노공업,20210218,160000
123,A058470,리노공업,20210217,159800
124,A058470,리노공업,20210216,158500
125,A058470,리노공업,20210215,157000
126,A058470,리노공업,20210210,155100
127,A058470,리노공업,20210209,156100
128,A058470,리노공업,20210208,150600
129,A058470,리노공업,20210205,151300
130,A058470,리노공업,20210204,151800
131,A058470,리노공업,20210203,154300
132,A058470,리노공업,20210202,155500
133,A058470,리노공업,20210201,154500
134,A058470,리노공업,20210129,153400
135,A058470,리노공업,20210128,155100
136,A058470,리노공업,20210127,158900
137,A058470,리노공업,20210126,157000
138,A058470,리노공업,20210125,160100
139,A058470,리노공업,20210122,158500
140,A058470,리노공업,20210121,159600
141,A058470,리노공업,20210120,162500
142,A058470,리노공업,20210119,151400
143,A058470,리노공업,20210118,152500
144,A058470,리노공업,20210115,151900
145,A058470,리노공업,20210114,148400
146,A058470,리노공업,20210113,145800
147,A058470,리노공업,20210112,145200
148,A058470,리노공업,20210111,152700
149,A058470,리노공업,20210108,143100
150,A058470,리노공업,20210107,139500
151,A058470,리노공업,20210106,135200
152,A058470,리노공업,20210105,138400
153,A058470,리노공업,20210104,135300
154,A058470,리노공업,20201230,135000
155,A058470,리노공업,20201229,135300
156,A058470,리노공업,20201228,137000
157,A058470,리노공업,20201224,132000
158,A058470,리노공업,20201223,131200
159,A058470,리노공업,20201222,127600
160,A058470,리노공업,20201221,130700
161,A058470,리노공업,20201218,125800
162,A058470,리노공업,20201217,126500
163,A058470,리노공업,20201216,123000
164,A058470,리노공업,20201215,120600
165,A058470,리노공업,20201214,119900
166,A058470,리노공업,20201211,121200
167,A058470,리노공업,20201210,121800
168,A058470,리노공업,20201209,121500
169,A058470,리노공업,20201208,121000
170,A058470,리노공업,20201207,121100
171,A058470,리노공업,20201204,121100
172,A058470,리노공업,20201203,122100
173,A058470,리노공업,20201202,122100
174,A058470,리노공업,20201201,121300
175,A058470,리노공업,20201130,122200
176,A058470,리노공업,20201127,128000
177,A058470,리노공업,20201126,127000
178,A058470,리노공업,20201125,125900
179,A058470,리노공업,20201124,128400
180,A058470,리노공업,20201123,129700
181,A058470,리노공업,20201120,127000
182,A058470,리노공업,20201119,127000
183,A058470,리노공업,20201118,125500
184,A058470,리노공업,20201117,127800
185,A058470,리노공업,20201116,128500
186,A058470,리노공업,20201113,123000
187,A058470,리노공업,20201112,121900
188,A058470,리노공업,20201111,119300
189,A058470,리노공업,20201110,119100
190,A058470,리노공업,20201109,122000
191,A058470,리노공업,20201106,122900
192,A058470,리노공업,20201105,125500
193,A058470,리노공업,20201104,123900
194,A058470,리노공업,20201103,121700
195,A058470,리노공업,20201102,121600
196,A058470,리노공업,20201030,121500
197,A058470,리노공업,20201029,125000
198,A058470,리노공업,20201028,122600
199,A058470,리노공업,20201027,113900
200,A058470,리노공업,20201026,112400
201,A058470,리노공업,20201023,113900
202,A058470,리노공업,20201022,115800
203,A058470,리노공업,20201021,116500
204,A058470,리노공업,20201020,115900
205,A058470,리노공업,20201019,113400
206,A058470,리노공업,20201016,114900
207,A058470,리노공업,20201015,118000
208,A058470,리노공업,20201014,118600
209,A058470,리노공업,20201013,121800
210,A058470,리노공업,20201012,120200
211,A058470,리노공업,20201008,122300
212,A058470,리노공업,20201007,125000
213,A058470,리노공업,20201006,125600
214,A058470,리노공업,20201005,123500
215,A058470,리노공업,20200929,123000
216,A058470,리노공업,20200928,121100
217,A058470,리노공업,20200925,118100
218,A058470,리노공업,20200924,120500
219,A058470,리노공업,20200923,125600
220,A058470,리노공업,20200922,120300
221,A058470,리노공업,20200921,124200
222,A058470,리노공업,20200918,129400
223,A058470,리노공업,20200917,130600
224,A058470,리노공업,20200916,131800
225,A058470,리노공업,20200915,131800
226,A058470,리노공업,20200914,131900
227,A058470,리노공업,20200911,133000
228,A058470,리노공업,20200910,133600
229,A058470,리노공업,20200909,133400
230,A058470,리노공업,20200908,135400
231,A058470,리노공업,20200907,127700
232,A058470,리노공업,20200904,128300
233,A058470,리노공업,20200903,133000
234,A058470,리노공업,20200902,128100
235,A058470,리노공업,20200901,125900
236,A058470,리노공업,20200831,127000
237,A058470,리노공업,20200828,126400
238,A058470,리노공업,20200827,124400
239,A058470,리노공업,20200826,126900
240,A058470,리노공업,20200825,129000
241,A058470,리노공업,20200824,127600
242,A058470,리노공업,20200821,126700
243,A058470,리노공업,20200820,126400
244,A058470,리노공업,20200819,133800
245,A058470,리노공업,20200818,128600
246,A058470,리노공업,20200814,133000
247,A058470,리노공업,20200813,133500
248,A058470,리노공업,20200812,134000
249,A058470,리노공업,20200811,136300
250,A058470,리노공업,20200810,136900
251,A058470,리노공업,20200807,141200
252,A058470,리노공업,20200806,142500
253,A058470,리노공업,20200805,141400
254,A058470,리노공업,20200804,137800
255,A058470,리노공업,20200803,136500
256,A058470,리노공업,20200731,136900
257,A058470,리노공업,20200730,139700
258,A058470,리노공업,20200729,141400
259,A058470,리노공업,20200728,137000
260,A058470,리노공업,20200727,141700
261,A058470,리노공업,20200724,128800
262,A058470,리노공업,20200723,126700
263,A058470,리노공업,20200722,127700
264,A058470,리노공업,20200721,120600
265,A058470,리노공업,20200720,116500
266,A058470,리노공업,20200717,117400
267,A058470,리노공업,20200716,117300
268,A058470,리노공업,20200715,122100
269,A058470,리노공업,20200714,122800
270,A058470,리노공업,20200713,114500
271,A058470,리노공업,20200710,115700
272,A058470,리노공업,20200709,114400
273,A058470,리노공업,20200708,113900
274,A058470,리노공업,20200707,115500
275,A058470,리노공업,20200706,114400
276,A058470,리노공업,20200703,116300
277,A058470,리노공업,20200702,111900
278,A058470,리노공업,20200701,111600
279,A058470,리노공업,20200630,113000
280,A058470,리노공업,20200629,113600
281,A058470,리노공업,20200626,117000
282,A058470,리노공업,20200625,116800
283,A058470,리노공업,20200624,117700
284,A058470,리노공업,20200623,115500
285,A058470,리노공업,20200622,106700
286,A058470,리노공업,20200619,108000
287,A058470,리노공업,20200618,107600
288,A058470,리노공업,20200617,108600
289,A058470,리노공업,20200616,104500
290,A058470,리노공업,20200615,102100
291,A058470,리노공업,20200612,106100
292,A058470,리노공업,20200611,107500
