,종목코드,종목명,날짜,종가
0,A328270,리독스바이오,20210812,1850
1,A328270,리독스바이오,20210811,1850
2,A328270,리독스바이오,20210810,1800
3,A328270,리독스바이오,20210809,1970
4,A328270,리독스바이오,20210806,1700
5,A328270,리독스바이오,20210805,1790
6,A328270,리독스바이오,20210804,1750
7,A328270,리독스바이오,20210803,1700
8,A328270,리독스바이오,20210802,1690
9,A328270,리독스바이오,20210730,1750
10,A328270,리독스바이오,20210729,1740
11,A328270,리독스바이오,20210728,1845
12,A328270,리독스바이오,20210727,1960
13,A328270,리독스바이오,20210726,1800
14,A328270,리독스바이오,20210723,1750
15,A328270,리독스바이오,20210722,1690
16,A328270,리독스바이오,20210721,1730
17,A328270,리독스바이오,20210720,1785
18,A328270,리독스바이오,20210719,1780
19,A328270,리독스바이오,20210716,1830
20,A328270,리독스바이오,20210715,1930
21,A328270,리독스바이오,20210714,1930
22,A328270,리독스바이오,20210713,1940
23,A328270,리독스바이오,20210712,1930
24,A328270,리독스바이오,20210709,1950
25,A328270,리독스바이오,20210708,1930
26,A328270,리독스바이오,20210707,1900
27,A328270,리독스바이오,20210706,2000
28,A328270,리독스바이오,20210705,2000
29,A328270,리독스바이오,20210702,1990
30,A328270,리독스바이오,20210701,1980
31,A328270,리독스바이오,20210630,1995
32,A328270,리독스바이오,20210629,1970
33,A328270,리독스바이오,20210628,1980
34,A328270,리독스바이오,20210625,1990
35,A328270,리독스바이오,20210624,2000
36,A328270,리독스바이오,20210623,1945
37,A328270,리독스바이오,20210622,1985
38,A328270,리독스바이오,20210621,1980
39,A328270,리독스바이오,20210618,1900
40,A328270,리독스바이오,20210617,1990
41,A328270,리독스바이오,20210616,1990
42,A328270,리독스바이오,20210615,1990
43,A328270,리독스바이오,20210614,2010
44,A328270,리독스바이오,20210611,2000
45,A328270,리독스바이오,20210610,2000
46,A328270,리독스바이오,20210609,2000
47,A328270,리독스바이오,20210608,2150
48,A328270,리독스바이오,20210607,2150
49,A328270,리독스바이오,20210604,2090
50,A328270,리독스바이오,20210603,2080
51,A328270,리독스바이오,20210602,2135
52,A328270,리독스바이오,20210601,2225
53,A328270,리독스바이오,20210531,2230
54,A328270,리독스바이오,20210528,2220
55,A328270,리독스바이오,20210527,2140
56,A328270,리독스바이오,20210526,2195
57,A328270,리독스바이오,20210525,2195
58,A328270,리독스바이오,20210524,2200
59,A328270,리독스바이오,20210521,2200
60,A328270,리독스바이오,20210520,2180
61,A328270,리독스바이오,20210518,2230
62,A328270,리독스바이오,20210517,2300
63,A328270,리독스바이오,20210514,2230
64,A328270,리독스바이오,20210513,2225
65,A328270,리독스바이오,20210512,2250
66,A328270,리독스바이오,20210511,2265
67,A328270,리독스바이오,20210510,2255
68,A328270,리독스바이오,20210507,2210
69,A328270,리독스바이오,20210506,2200
70,A328270,리독스바이오,20210504,2205
71,A328270,리독스바이오,20210503,2345
72,A328270,리독스바이오,20210430,2260
73,A328270,리독스바이오,20210429,2200
74,A328270,리독스바이오,20210428,2285
75,A328270,리독스바이오,20210427,2285
76,A328270,리독스바이오,20210426,2295
77,A328270,리독스바이오,20210423,2340
78,A328270,리독스바이오,20210422,2270
79,A328270,리독스바이오,20210421,2180
80,A328270,리독스바이오,20210420,2400
81,A328270,리독스바이오,20210419,2225
82,A328270,리독스바이오,20210416,2400
83,A328270,리독스바이오,20210415,2395
84,A328270,리독스바이오,20210414,2385
85,A328270,리독스바이오,20210413,2325
86,A328270,리독스바이오,20210412,2385
87,A328270,리독스바이오,20210409,2395
88,A328270,리독스바이오,20210408,2315
89,A328270,리독스바이오,20210407,2280
90,A328270,리독스바이오,20210406,2310
91,A328270,리독스바이오,20210405,2270
92,A328270,리독스바이오,20210402,2400
93,A328270,리독스바이오,20210401,2350
94,A328270,리독스바이오,20210331,2215
95,A328270,리독스바이오,20210330,2400
96,A328270,리독스바이오,20210329,2400
97,A328270,리독스바이오,20210326,2205
98,A328270,리독스바이오,20210325,2400
99,A328270,리독스바이오,20210324,2500
100,A328270,리독스바이오,20210323,2105
101,A328270,리독스바이오,20210322,2300
102,A328270,리독스바이오,20210319,2400
103,A328270,리독스바이오,20210318,2400
104,A328270,리독스바이오,20210317,2400
105,A328270,리독스바이오,20210316,2400
106,A328270,리독스바이오,20210315,2420
107,A328270,리독스바이오,20210312,2395
108,A328270,리독스바이오,20210311,2400
109,A328270,리독스바이오,20210310,2300
110,A328270,리독스바이오,20210309,2340
111,A328270,리독스바이오,20210308,2220
112,A328270,리독스바이오,20210305,2430
113,A328270,리독스바이오,20210304,2400
114,A328270,리독스바이오,20210303,2425
115,A328270,리독스바이오,20210302,2450
116,A328270,리독스바이오,20210226,2300
117,A328270,리독스바이오,20210225,2475
118,A328270,리독스바이오,20210224,2350
119,A328270,리독스바이오,20210223,2380
120,A328270,리독스바이오,20210222,2450
121,A328270,리독스바이오,20210219,2455
122,A328270,리독스바이오,20210218,2415
123,A328270,리독스바이오,20210217,2500
124,A328270,리독스바이오,20210216,2540
125,A328270,리독스바이오,20210215,2500
126,A328270,리독스바이오,20210210,2565
127,A328270,리독스바이오,20210209,2485
128,A328270,리독스바이오,20210208,2540
129,A328270,리독스바이오,20210205,2435
130,A328270,리독스바이오,20210204,2365
