,종목코드,종목명,날짜,종가
0,A027740,마니커,20210812,663
1,A027740,마니커,20210811,666
2,A027740,마니커,20210810,678
3,A027740,마니커,20210809,685
4,A027740,마니커,20210806,687
5,A027740,마니커,20210805,687
6,A027740,마니커,20210804,683
7,A027740,마니커,20210803,679
8,A027740,마니커,20210802,682
9,A027740,마니커,20210730,679
10,A027740,마니커,20210729,686
11,A027740,마니커,20210728,683
12,A027740,마니커,20210727,688
13,A027740,마니커,20210726,680
14,A027740,마니커,20210723,687
15,A027740,마니커,20210722,690
16,A027740,마니커,20210721,693
17,A027740,마니커,20210720,704
18,A027740,마니커,20210719,713
19,A027740,마니커,20210716,712
20,A027740,마니커,20210715,721
21,A027740,마니커,20210714,704
22,A027740,마니커,20210713,713
23,A027740,마니커,20210712,715
24,A027740,마니커,20210709,709
25,A027740,마니커,20210708,737
26,A027740,마니커,20210707,751
27,A027740,마니커,20210706,762
28,A027740,마니커,20210705,752
29,A027740,마니커,20210702,750
30,A027740,마니커,20210701,759
31,A027740,마니커,20210630,765
32,A027740,마니커,20210629,768
33,A027740,마니커,20210628,772
34,A027740,마니커,20210625,770
35,A027740,마니커,20210624,764
36,A027740,마니커,20210623,767
37,A027740,마니커,20210622,780
38,A027740,마니커,20210621,778
39,A027740,마니커,20210618,789
40,A027740,마니커,20210617,793
41,A027740,마니커,20210616,790
42,A027740,마니커,20210615,785
43,A027740,마니커,20210614,790
44,A027740,마니커,20210611,793
45,A027740,마니커,20210610,787
46,A027740,마니커,20210609,797
47,A027740,마니커,20210608,777
48,A027740,마니커,20210607,772
49,A027740,마니커,20210604,777
50,A027740,마니커,20210603,772
51,A027740,마니커,20210602,777
52,A027740,마니커,20210601,764
53,A027740,마니커,20210531,755
54,A027740,마니커,20210528,755
55,A027740,마니커,20210527,756
56,A027740,마니커,20210526,757
57,A027740,마니커,20210525,746
58,A027740,마니커,20210524,738
59,A027740,마니커,20210521,748
60,A027740,마니커,20210520,751
61,A027740,마니커,20210518,753
62,A027740,마니커,20210517,749
63,A027740,마니커,20210514,762
64,A027740,마니커,20210513,769
65,A027740,마니커,20210512,770
66,A027740,마니커,20210511,776
67,A027740,마니커,20210510,775
68,A027740,마니커,20210507,770
69,A027740,마니커,20210506,762
70,A027740,마니커,20210504,752
71,A027740,마니커,20210503,748
72,A027740,마니커,20210430,738
73,A027740,마니커,20210429,740
74,A027740,마니커,20210428,751
75,A027740,마니커,20210427,764
76,A027740,마니커,20210426,765
77,A027740,마니커,20210423,752
78,A027740,마니커,20210422,752
79,A027740,마니커,20210421,750
80,A027740,마니커,20210420,756
81,A027740,마니커,20210419,757
82,A027740,마니커,20210416,760
83,A027740,마니커,20210415,754
84,A027740,마니커,20210414,760
85,A027740,마니커,20210413,742
86,A027740,마니커,20210412,748
87,A027740,마니커,20210409,727
88,A027740,마니커,20210408,724
89,A027740,마니커,20210407,722
90,A027740,마니커,20210406,717
91,A027740,마니커,20210405,708
92,A027740,마니커,20210402,707
93,A027740,마니커,20210401,712
