,종목코드,종목명,날짜,종가
0,A050480,마이다스IT,20210812,49000
1,A050480,마이다스IT,20210811,50100
2,A050480,마이다스IT,20210810,50600
3,A050480,마이다스IT,20210809,50900
4,A050480,마이다스IT,20210806,50800
5,A050480,마이다스IT,20210805,50900
6,A050480,마이다스IT,20210804,50900
7,A050480,마이다스IT,20210803,50900
8,A050480,마이다스IT,20210802,50700
9,A050480,마이다스IT,20210730,51000
10,A050480,마이다스IT,20210729,51900
11,A050480,마이다스IT,20210728,51900
12,A050480,마이다스IT,20210727,51100
13,A050480,마이다스IT,20210726,52000
14,A050480,마이다스IT,20210723,52500
15,A050480,마이다스IT,20210722,52500
16,A050480,마이다스IT,20210721,52600
17,A050480,마이다스IT,20210720,52500
18,A050480,마이다스IT,20210719,52400
19,A050480,마이다스IT,20210716,53000
20,A050480,마이다스IT,20210715,53000
21,A050480,마이다스IT,20210714,53000
22,A050480,마이다스IT,20210713,53000
23,A050480,마이다스IT,20210712,52300
24,A050480,마이다스IT,20210709,52200
25,A050480,마이다스IT,20210708,52300
26,A050480,마이다스IT,20210707,53900
27,A050480,마이다스IT,20210706,53000
28,A050480,마이다스IT,20210705,52900
29,A050480,마이다스IT,20210702,52900
30,A050480,마이다스IT,20210701,53000
31,A050480,마이다스IT,20210630,52900
32,A050480,마이다스IT,20210629,53500
33,A050480,마이다스IT,20210628,53000
34,A050480,마이다스IT,20210625,53000
35,A050480,마이다스IT,20210624,51700
36,A050480,마이다스IT,20210623,52900
37,A050480,마이다스IT,20210622,53500
38,A050480,마이다스IT,20210621,53000
39,A050480,마이다스IT,20210618,52000
40,A050480,마이다스IT,20210617,54300
41,A050480,마이다스IT,20210616,53600
42,A050480,마이다스IT,20210615,53100
43,A050480,마이다스IT,20210614,52000
44,A050480,마이다스IT,20210611,55000
45,A050480,마이다스IT,20210610,54400
46,A050480,마이다스IT,20210609,54800
47,A050480,마이다스IT,20210608,54800
48,A050480,마이다스IT,20210607,54700
49,A050480,마이다스IT,20210604,54800
50,A050480,마이다스IT,20210603,54900
51,A050480,마이다스IT,20210602,55800
52,A050480,마이다스IT,20210601,55000
53,A050480,마이다스IT,20210531,54900
54,A050480,마이다스IT,20210528,54000
55,A050480,마이다스IT,20210527,53000
