,종목코드,종목명,날짜,종가
0,A267980,매일유업,20210812,75100
1,A267980,매일유업,20210811,74500
2,A267980,매일유업,20210810,74400
3,A267980,매일유업,20210809,74900
4,A267980,매일유업,20210806,75700
5,A267980,매일유업,20210805,76600
6,A267980,매일유업,20210804,76900
7,A267980,매일유업,20210803,77200
8,A267980,매일유업,20210802,77400
9,A267980,매일유업,20210730,76700
10,A267980,매일유업,20210729,77200
11,A267980,매일유업,20210728,76500
12,A267980,매일유업,20210727,75600
13,A267980,매일유업,20210726,75500
14,A267980,매일유업,20210723,76800
15,A267980,매일유업,20210722,76000
16,A267980,매일유업,20210721,76000
17,A267980,매일유업,20210720,75800
18,A267980,매일유업,20210719,75800
19,A267980,매일유업,20210716,75900
20,A267980,매일유업,20210715,75900
21,A267980,매일유업,20210714,74800
22,A267980,매일유업,20210713,75400
23,A267980,매일유업,20210712,74900
24,A267980,매일유업,20210709,74100
25,A267980,매일유업,20210708,75700
26,A267980,매일유업,20210707,75900
27,A267980,매일유업,20210706,76500
28,A267980,매일유업,20210705,76500
29,A267980,매일유업,20210702,76500
30,A267980,매일유업,20210701,76300
31,A267980,매일유업,20210630,77300
32,A267980,매일유업,20210629,76500
33,A267980,매일유업,20210628,76200
34,A267980,매일유업,20210625,76100
35,A267980,매일유업,20210624,76100
36,A267980,매일유업,20210623,76400
37,A267980,매일유업,20210622,77300
38,A267980,매일유업,20210621,77300
39,A267980,매일유업,20210618,76800
40,A267980,매일유업,20210617,77500
41,A267980,매일유업,20210616,78000
42,A267980,매일유업,20210615,78200
43,A267980,매일유업,20210614,78700
44,A267980,매일유업,20210611,77300
45,A267980,매일유업,20210610,76500
46,A267980,매일유업,20210609,77600
47,A267980,매일유업,20210608,77800
48,A267980,매일유업,20210607,77900
49,A267980,매일유업,20210604,78500
50,A267980,매일유업,20210603,79000
51,A267980,매일유업,20210602,80400
52,A267980,매일유업,20210601,80400
53,A267980,매일유업,20210531,79000
54,A267980,매일유업,20210528,78500
55,A267980,매일유업,20210527,81000
56,A267980,매일유업,20210526,79000
57,A267980,매일유업,20210525,78900
58,A267980,매일유업,20210524,77000
59,A267980,매일유업,20210521,77300
60,A267980,매일유업,20210520,78400
61,A267980,매일유업,20210518,79200
62,A267980,매일유업,20210517,78600
63,A267980,매일유업,20210514,79200
64,A267980,매일유업,20210513,79100
65,A267980,매일유업,20210512,79700
66,A267980,매일유업,20210511,79100
67,A267980,매일유업,20210510,78700
68,A267980,매일유업,20210507,76500
69,A267980,매일유업,20210506,76600
70,A267980,매일유업,20210504,75200
71,A267980,매일유업,20210503,74500
72,A267980,매일유업,20210430,74800
73,A267980,매일유업,20210429,74800
74,A267980,매일유업,20210428,75800
75,A267980,매일유업,20210427,77000
76,A267980,매일유업,20210426,77200
77,A267980,매일유업,20210423,76600
78,A267980,매일유업,20210422,76400
79,A267980,매일유업,20210421,76600
80,A267980,매일유업,20210420,76700
81,A267980,매일유업,20210419,77900
82,A267980,매일유업,20210416,76500
83,A267980,매일유업,20210415,74900
84,A267980,매일유업,20210414,73700
85,A267980,매일유업,20210413,73700
86,A267980,매일유업,20210412,73600
87,A267980,매일유업,20210409,73400
88,A267980,매일유업,20210408,73500
89,A267980,매일유업,20210407,73200
90,A267980,매일유업,20210406,73000
91,A267980,매일유업,20210405,72600
92,A267980,매일유업,20210402,73300
93,A267980,매일유업,20210401,73300
94,A267980,매일유업,20210331,72300
95,A267980,매일유업,20210330,72200
96,A267980,매일유업,20210329,71700
97,A267980,매일유업,20210326,71500
98,A267980,매일유업,20210325,71400
99,A267980,매일유업,20210324,71600
100,A267980,매일유업,20210323,71600
101,A267980,매일유업,20210322,72000
102,A267980,매일유업,20210319,71000
103,A267980,매일유업,20210318,72400
104,A267980,매일유업,20210317,72100
105,A267980,매일유업,20210316,72500
106,A267980,매일유업,20210315,72700
107,A267980,매일유업,20210312,71200
108,A267980,매일유업,20210311,70600
109,A267980,매일유업,20210310,70100
110,A267980,매일유업,20210309,70700
111,A267980,매일유업,20210308,70600
112,A267980,매일유업,20210305,70500
113,A267980,매일유업,20210304,70400
114,A267980,매일유업,20210303,71700
115,A267980,매일유업,20210302,72100
116,A267980,매일유업,20210226,71500
117,A267980,매일유업,20210225,73300
118,A267980,매일유업,20210224,71800
119,A267980,매일유업,20210223,73100
120,A267980,매일유업,20210222,74000
121,A267980,매일유업,20210219,73900
122,A267980,매일유업,20210218,73900
123,A267980,매일유업,20210217,74100
124,A267980,매일유업,20210216,74100
125,A267980,매일유업,20210215,74900
126,A267980,매일유업,20210210,73000
127,A267980,매일유업,20210209,72000
128,A267980,매일유업,20210208,71900
129,A267980,매일유업,20210205,71500
130,A267980,매일유업,20210204,71600
131,A267980,매일유업,20210203,72200
132,A267980,매일유업,20210202,72600
133,A267980,매일유업,20210201,71700
134,A267980,매일유업,20210129,70800
135,A267980,매일유업,20210128,71900
136,A267980,매일유업,20210127,73400
