,종목코드,종목명,날짜,종가
0,A088980,맥쿼리인프라,20210812,12250
1,A088980,맥쿼리인프라,20210811,12300
2,A088980,맥쿼리인프라,20210810,12250
3,A088980,맥쿼리인프라,20210809,12300
4,A088980,맥쿼리인프라,20210806,12300
5,A088980,맥쿼리인프라,20210805,12250
6,A088980,맥쿼리인프라,20210804,12250
7,A088980,맥쿼리인프라,20210803,12300
8,A088980,맥쿼리인프라,20210802,12300
9,A088980,맥쿼리인프라,20210730,12300
10,A088980,맥쿼리인프라,20210729,12300
11,A088980,맥쿼리인프라,20210728,12300
12,A088980,맥쿼리인프라,20210727,12350
13,A088980,맥쿼리인프라,20210726,12400
14,A088980,맥쿼리인프라,20210723,12450
15,A088980,맥쿼리인프라,20210722,12400
16,A088980,맥쿼리인프라,20210721,12400
17,A088980,맥쿼리인프라,20210720,12500
18,A088980,맥쿼리인프라,20210719,12500
19,A088980,맥쿼리인프라,20210716,12400
20,A088980,맥쿼리인프라,20210715,12300
21,A088980,맥쿼리인프라,20210714,12300
22,A088980,맥쿼리인프라,20210713,12300
23,A088980,맥쿼리인프라,20210712,12350
24,A088980,맥쿼리인프라,20210709,12350
25,A088980,맥쿼리인프라,20210708,12300
26,A088980,맥쿼리인프라,20210707,12350
27,A088980,맥쿼리인프라,20210706,12350
28,A088980,맥쿼리인프라,20210705,12300
29,A088980,맥쿼리인프라,20210702,12400
30,A088980,맥쿼리인프라,20210701,12450
31,A088980,맥쿼리인프라,20210630,12550
32,A088980,맥쿼리인프라,20210629,12500
33,A088980,맥쿼리인프라,20210628,12650
34,A088980,맥쿼리인프라,20210625,12600
35,A088980,맥쿼리인프라,20210624,12650
36,A088980,맥쿼리인프라,20210623,12600
37,A088980,맥쿼리인프라,20210622,12600
38,A088980,맥쿼리인프라,20210621,12500
39,A088980,맥쿼리인프라,20210618,12600
40,A088980,맥쿼리인프라,20210617,12650
41,A088980,맥쿼리인프라,20210616,12650
42,A088980,맥쿼리인프라,20210615,12600
43,A088980,맥쿼리인프라,20210614,12600
44,A088980,맥쿼리인프라,20210611,12650
45,A088980,맥쿼리인프라,20210610,12600
46,A088980,맥쿼리인프라,20210609,12600
47,A088980,맥쿼리인프라,20210608,12550
48,A088980,맥쿼리인프라,20210607,12550
49,A088980,맥쿼리인프라,20210604,12500
50,A088980,맥쿼리인프라,20210603,12450
51,A088980,맥쿼리인프라,20210602,12500
52,A088980,맥쿼리인프라,20210601,12600
53,A088980,맥쿼리인프라,20210531,12500
54,A088980,맥쿼리인프라,20210528,12350
55,A088980,맥쿼리인프라,20210527,12250
56,A088980,맥쿼리인프라,20210526,12150
57,A088980,맥쿼리인프라,20210525,12000
58,A088980,맥쿼리인프라,20210524,12000
59,A088980,맥쿼리인프라,20210521,12050
60,A088980,맥쿼리인프라,20210520,12050
61,A088980,맥쿼리인프라,20210518,12050
62,A088980,맥쿼리인프라,20210517,12100
63,A088980,맥쿼리인프라,20210514,12050
64,A088980,맥쿼리인프라,20210513,12100
65,A088980,맥쿼리인프라,20210512,12100
66,A088980,맥쿼리인프라,20210511,12100
67,A088980,맥쿼리인프라,20210510,12100
68,A088980,맥쿼리인프라,20210507,12150
69,A088980,맥쿼리인프라,20210506,12100
70,A088980,맥쿼리인프라,20210504,12150
71,A088980,맥쿼리인프라,20210503,12200
72,A088980,맥쿼리인프라,20210430,12050
73,A088980,맥쿼리인프라,20210429,12050
74,A088980,맥쿼리인프라,20210428,12100
75,A088980,맥쿼리인프라,20210427,12050
76,A088980,맥쿼리인프라,20210426,11950
77,A088980,맥쿼리인프라,20210423,12100
78,A088980,맥쿼리인프라,20210422,12250
79,A088980,맥쿼리인프라,20210421,12350
80,A088980,맥쿼리인프라,20210420,12200
81,A088980,맥쿼리인프라,20210419,12050
82,A088980,맥쿼리인프라,20210416,12000
83,A088980,맥쿼리인프라,20210415,11900
84,A088980,맥쿼리인프라,20210414,11800
85,A088980,맥쿼리인프라,20210413,11800
86,A088980,맥쿼리인프라,20210412,11750
87,A088980,맥쿼리인프라,20210409,11800
