,종목코드,종목명,날짜,종가
0,A100590,머큐리,20210812,10000
1,A100590,머큐리,20210811,10050
2,A100590,머큐리,20210810,10200
3,A100590,머큐리,20210809,10350
4,A100590,머큐리,20210806,10250
5,A100590,머큐리,20210805,10250
6,A100590,머큐리,20210804,10150
7,A100590,머큐리,20210803,10000
8,A100590,머큐리,20210802,10100
9,A100590,머큐리,20210730,10300
10,A100590,머큐리,20210729,10250
11,A100590,머큐리,20210728,10200
12,A100590,머큐리,20210727,10350
13,A100590,머큐리,20210726,10150
14,A100590,머큐리,20210723,10300
15,A100590,머큐리,20210722,9990
16,A100590,머큐리,20210721,10000
17,A100590,머큐리,20210720,10100
18,A100590,머큐리,20210719,10150
19,A100590,머큐리,20210716,10150
20,A100590,머큐리,20210715,10050
21,A100590,머큐리,20210714,9940
22,A100590,머큐리,20210713,9950
23,A100590,머큐리,20210712,9790
24,A100590,머큐리,20210709,9770
25,A100590,머큐리,20210708,9980
26,A100590,머큐리,20210707,10100
27,A100590,머큐리,20210706,10200
28,A100590,머큐리,20210705,10150
29,A100590,머큐리,20210702,10100
30,A100590,머큐리,20210701,10250
31,A100590,머큐리,20210630,10250
32,A100590,머큐리,20210629,10100
33,A100590,머큐리,20210628,10150
34,A100590,머큐리,20210625,10250
35,A100590,머큐리,20210624,10000
36,A100590,머큐리,20210623,10150
37,A100590,머큐리,20210622,10250
38,A100590,머큐리,20210621,10200
39,A100590,머큐리,20210618,10450
40,A100590,머큐리,20210617,10350
41,A100590,머큐리,20210616,10050
42,A100590,머큐리,20210615,10050
43,A100590,머큐리,20210614,10000
44,A100590,머큐리,20210611,9990
45,A100590,머큐리,20210610,9880
46,A100590,머큐리,20210609,9860
47,A100590,머큐리,20210608,9840
48,A100590,머큐리,20210607,9930
49,A100590,머큐리,20210604,10050
50,A100590,머큐리,20210603,10050
51,A100590,머큐리,20210602,9820
52,A100590,머큐리,20210601,9720
53,A100590,머큐리,20210531,9750
54,A100590,머큐리,20210528,9500
55,A100590,머큐리,20210527,9390
56,A100590,머큐리,20210526,9500
57,A100590,머큐리,20210525,9320
58,A100590,머큐리,20210524,9270
59,A100590,머큐리,20210521,9420
60,A100590,머큐리,20210520,9510
61,A100590,머큐리,20210518,9500
62,A100590,머큐리,20210517,9450
63,A100590,머큐리,20210514,9520
64,A100590,머큐리,20210513,9400
65,A100590,머큐리,20210512,9570
66,A100590,머큐리,20210511,9790
67,A100590,머큐리,20210510,9770
68,A100590,머큐리,20210507,9680
69,A100590,머큐리,20210506,9660
70,A100590,머큐리,20210504,9480
71,A100590,머큐리,20210503,9560
72,A100590,머큐리,20210430,9530
73,A100590,머큐리,20210429,9520
74,A100590,머큐리,20210428,9590
75,A100590,머큐리,20210427,9780
76,A100590,머큐리,20210426,9850
77,A100590,머큐리,20210423,9680
78,A100590,머큐리,20210422,9710
79,A100590,머큐리,20210421,9780
80,A100590,머큐리,20210420,9970
81,A100590,머큐리,20210419,10050
82,A100590,머큐리,20210416,10150
83,A100590,머큐리,20210415,10100
84,A100590,머큐리,20210414,10250
85,A100590,머큐리,20210413,10550
86,A100590,머큐리,20210412,10400
87,A100590,머큐리,20210409,10300
88,A100590,머큐리,20210408,10150
89,A100590,머큐리,20210407,10100
90,A100590,머큐리,20210406,10350
91,A100590,머큐리,20210405,10300
92,A100590,머큐리,20210402,10150
93,A100590,머큐리,20210401,10100
94,A100590,머큐리,20210331,10200
95,A100590,머큐리,20210330,10350
96,A100590,머큐리,20210329,10250
97,A100590,머큐리,20210326,10000
98,A100590,머큐리,20210325,9710
99,A100590,머큐리,20210324,9610
100,A100590,머큐리,20210323,9660
101,A100590,머큐리,20210322,9650
102,A100590,머큐리,20210319,9690
