,종목코드,종목명,날짜,종가
0,A086900,메디톡스,20210812,191200
1,A086900,메디톡스,20210811,192500
2,A086900,메디톡스,20210810,192100
3,A086900,메디톡스,20210809,192100
4,A086900,메디톡스,20210806,198800
5,A086900,메디톡스,20210805,199700
6,A086900,메디톡스,20210804,201600
7,A086900,메디톡스,20210803,198400
8,A086900,메디톡스,20210802,201900
9,A086900,메디톡스,20210730,202100
10,A086900,메디톡스,20210729,210900
11,A086900,메디톡스,20210728,208700
12,A086900,메디톡스,20210727,211000
13,A086900,메디톡스,20210726,211000
14,A086900,메디톡스,20210723,212800
15,A086900,메디톡스,20210722,210000
16,A086900,메디톡스,20210721,209500
17,A086900,메디톡스,20210720,232600
18,A086900,메디톡스,20210719,234800
19,A086900,메디톡스,20210716,223700
20,A086900,메디톡스,20210715,229400
21,A086900,메디톡스,20210714,218300
22,A086900,메디톡스,20210713,223500
23,A086900,메디톡스,20210712,226500
24,A086900,메디톡스,20210709,229500
25,A086900,메디톡스,20210708,227800
26,A086900,메디톡스,20210707,233500
27,A086900,메디톡스,20210706,233000
28,A086900,메디톡스,20210705,240300
29,A086900,메디톡스,20210702,239600
30,A086900,메디톡스,20210701,239600
31,A086900,메디톡스,20210630,237000
32,A086900,메디톡스,20210629,233700
33,A086900,메디톡스,20210628,235000
34,A086900,메디톡스,20210625,232100
35,A086900,메디톡스,20210624,230300
36,A086900,메디톡스,20210623,218200
37,A086900,메디톡스,20210622,214000
38,A086900,메디톡스,20210621,209500
39,A086900,메디톡스,20210618,208500
40,A086900,메디톡스,20210617,194200
41,A086900,메디톡스,20210616,180100
42,A086900,메디톡스,20210615,182200
43,A086900,메디톡스,20210614,181800
44,A086900,메디톡스,20210611,177000
45,A086900,메디톡스,20210610,177700
46,A086900,메디톡스,20210609,169600
47,A086900,메디톡스,20210608,170000
48,A086900,메디톡스,20210607,172700
49,A086900,메디톡스,20210604,173600
50,A086900,메디톡스,20210603,174700
51,A086900,메디톡스,20210602,169200
52,A086900,메디톡스,20210601,170900
53,A086900,메디톡스,20210531,169800
54,A086900,메디톡스,20210528,170100
55,A086900,메디톡스,20210527,170000
56,A086900,메디톡스,20210526,168600
57,A086900,메디톡스,20210525,170900
58,A086900,메디톡스,20210524,166700
59,A086900,메디톡스,20210521,175000
60,A086900,메디톡스,20210520,173900
61,A086900,메디톡스,20210518,175600
62,A086900,메디톡스,20210517,182500
63,A086900,메디톡스,20210514,178800
64,A086900,메디톡스,20210513,175100
65,A086900,메디톡스,20210512,177600
66,A086900,메디톡스,20210511,180800
67,A086900,메디톡스,20210510,184200
68,A086900,메디톡스,20210507,176400
69,A086900,메디톡스,20210506,174600
70,A086900,메디톡스,20210504,172700
71,A086900,메디톡스,20210503,171400
72,A086900,메디톡스,20210430,175300
73,A086900,메디톡스,20210429,183300
74,A086900,메디톡스,20210428,185900
75,A086900,메디톡스,20210427,184400
76,A086900,메디톡스,20210426,186200
77,A086900,메디톡스,20210423,186900
78,A086900,메디톡스,20210422,192400
79,A086900,메디톡스,20210421,190200
80,A086900,메디톡스,20210420,194300
81,A086900,메디톡스,20210419,192900
82,A086900,메디톡스,20210416,195700
83,A086900,메디톡스,20210415,195800
84,A086900,메디톡스,20210414,199100
85,A086900,메디톡스,20210413,193100
86,A086900,메디톡스,20210412,188000
87,A086900,메디톡스,20210409,187500
88,A086900,메디톡스,20210408,183100
89,A086900,메디톡스,20210407,180300
90,A086900,메디톡스,20210406,180400
91,A086900,메디톡스,20210405,182400
92,A086900,메디톡스,20210402,184400
93,A086900,메디톡스,20210401,188400
94,A086900,메디톡스,20210331,188600
95,A086900,메디톡스,20210330,192000
96,A086900,메디톡스,20210329,191300
97,A086900,메디톡스,20210326,193900
98,A086900,메디톡스,20210325,199200
99,A086900,메디톡스,20210324,200000
100,A086900,메디톡스,20210323,196000
101,A086900,메디톡스,20210322,200300
102,A086900,메디톡스,20210319,199500
103,A086900,메디톡스,20210318,196600
104,A086900,메디톡스,20210317,199800
105,A086900,메디톡스,20210316,205800
106,A086900,메디톡스,20210315,205100
107,A086900,메디톡스,20210312,197200
108,A086900,메디톡스,20210311,197200
109,A086900,메디톡스,20210310,193000
110,A086900,메디톡스,20210309,201000
111,A086900,메디톡스,20210308,207800
112,A086900,메디톡스,20210305,211000
113,A086900,메디톡스,20210304,202100
114,A086900,메디톡스,20210303,207400
115,A086900,메디톡스,20210302,210200
116,A086900,메디톡스,20210226,202000
117,A086900,메디톡스,20210225,188000
118,A086900,메디톡스,20210224,178000
119,A086900,메디톡스,20210223,187700
120,A086900,메디톡스,20210222,197600
121,A086900,메디톡스,20210219,152000
122,A086900,메디톡스,20210218,145000
123,A086900,메디톡스,20210217,150600
124,A086900,메디톡스,20210216,149500
125,A086900,메디톡스,20210215,154100
126,A086900,메디톡스,20210210,144200
127,A086900,메디톡스,20210209,144200
128,A086900,메디톡스,20210208,148400
129,A086900,메디톡스,20210205,139500
130,A086900,메디톡스,20210204,139100
131,A086900,메디톡스,20210203,142400
132,A086900,메디톡스,20210202,131700
133,A086900,메디톡스,20210201,129000
134,A086900,메디톡스,20210129,121900
135,A086900,메디톡스,20210128,125200
136,A086900,메디톡스,20210127,130200
137,A086900,메디톡스,20210126,133000
138,A086900,메디톡스,20210125,135200
139,A086900,메디톡스,20210122,138400
140,A086900,메디톡스,20210121,130000
141,A086900,메디톡스,20210120,130900
142,A086900,메디톡스,20210119,130900
143,A086900,메디톡스,20210118,138500
144,A086900,메디톡스,20210115,156200
145,A086900,메디톡스,20210114,162600
146,A086900,메디톡스,20210113,157500
147,A086900,메디톡스,20210112,156000
148,A086900,메디톡스,20210111,159300
149,A086900,메디톡스,20210108,160100
150,A086900,메디톡스,20210107,164200
151,A086900,메디톡스,20210106,168300
152,A086900,메디톡스,20210105,169500
153,A086900,메디톡스,20210104,170700
154,A086900,메디톡스,20201230,175000
155,A086900,메디톡스,20201229,176700
156,A086900,메디톡스,20201228,175200
157,A086900,메디톡스,20201224,169465
158,A086900,메디톡스,20201223,166980
159,A086900,메디톡스,20201222,181317
160,A086900,메디톡스,20201221,180934
161,A086900,메디톡스,20201218,186478
162,A086900,메디톡스,20201217,194985
163,A086900,메디톡스,20201216,206550
164,A086900,메디톡스,20201215,208557
165,A086900,메디톡스,20201214,219836
166,A086900,메디톡스,20201211,204734
167,A086900,메디톡스,20201210,207219
168,A086900,메디톡스,20201209,216013
169,A086900,메디톡스,20201208,211234
170,A086900,메디톡스,20201207,212476
171,A086900,메디톡스,20201204,214101
172,A086900,메디톡스,20201203,211903
173,A086900,메디톡스,20201202,209035
174,A086900,메디톡스,20201201,212094
175,A086900,메디톡스,20201130,214005
176,A086900,메디톡스,20201127,209418
177,A086900,메디톡스,20201126,204925
178,A086900,메디톡스,20201125,201484
179,A086900,메디톡스,20201124,204161
180,A086900,메디톡스,20201123,205499
181,A086900,메디톡스,20201120,203778
182,A086900,메디톡스,20201119,240481
183,A086900,메디톡스,20201118,230923
184,A086900,메디톡스,20201117,224615
185,A086900,메디톡스,20201116,204734
186,A086900,메디톡스,20201113,201771
187,A086900,메디톡스,20201112,203396
188,A086900,메디톡스,20201111,190492
189,A086900,메디톡스,20201110,182272
190,A086900,메디톡스,20201109,180361
191,A086900,메디톡스,20201106,178832
192,A086900,메디톡스,20201105,181986
193,A086900,메디톡스,20201104,181603
194,A086900,메디톡스,20201103,177780
195,A086900,메디톡스,20201102,175582
196,A086900,메디톡스,20201030,176633
197,A086900,메디톡스,20201029,179596
198,A086900,메디톡스,20201028,178067
199,A086900,메디톡스,20201027,178736
200,A086900,메디톡스,20201026,182464
201,A086900,메디톡스,20201023,170898
202,A086900,메디톡스,20201022,156274
203,A086900,메디톡스,20201021,168318
204,A086900,메디톡스,20201020,172523
205,A086900,메디톡스,20201019,220409
206,A086900,메디톡스,20201016,207028
207,A086900,메디톡스,20201015,198043
208,A086900,메디톡스,20201014,194220
209,A086900,메디톡스,20201013,200720
210,A086900,메디톡스,20201012,204734
211,A086900,메디톡스,20201008,203109
212,A086900,메디톡스,20201007,204830
213,A086900,메디톡스,20201006,208366
214,A086900,메디톡스,20201005,203969
215,A086900,메디톡스,20200929,201675
216,A086900,메디톡스,20200928,195845
217,A086900,메디톡스,20200925,194602
218,A086900,메디톡스,20200924,194985
219,A086900,메디톡스,20200923,202631
220,A086900,메디톡스,20200922,205594
221,A086900,메디톡스,20200921,219262
222,A086900,메디톡스,20200918,229298
223,A086900,메디톡스,20200917,215630
224,A086900,메디톡스,20200916,222321
225,A086900,메디톡스,20200915,225857
226,A086900,메디톡스,20200914,223755
227,A086900,메디톡스,20200911,223372
228,A086900,메디톡스,20200910,229394
229,A086900,메디톡스,20200909,224041
230,A086900,메디톡스,20200908,231306
231,A086900,메디톡스,20200907,230541
232,A086900,메디톡스,20200904,235224
233,A086900,메디톡스,20200903,246599
234,A086900,메디톡스,20200902,249179
235,A086900,메디톡스,20200901,229913
236,A086900,메디톡스,20200831,227996
237,A086900,메디톡스,20200828,224800
238,A086900,메디톡스,20200827,219230
239,A086900,메디톡스,20200826,218226
240,A086900,메디톡스,20200825,215395
241,A086900,메디톡스,20200824,194303
242,A086900,메디톡스,20200821,191838
243,A086900,메디톡스,20200820,206447
244,A086900,메디톡스,20200819,218043
245,A086900,메디톡스,20200818,221969
246,A086900,메디톡스,20200814,170746
247,A086900,메디톡스,20200813,164080
248,A086900,메디톡스,20200812,157049
249,A086900,메디톡스,20200811,161889
250,A086900,메디톡스,20200810,165724
251,A086900,메디톡스,20200807,169832
252,A086900,메디톡스,20200806,165724
253,A086900,메디톡스,20200805,165267
254,A086900,메디톡스,20200804,160702
255,A086900,메디톡스,20200803,154310
256,A086900,메디톡스,20200731,157689
257,A086900,메디톡스,20200730,157871
258,A086900,메디톡스,20200729,150384
259,A086900,메디톡스,20200728,149745
260,A086900,메디톡스,20200727,156136
261,A086900,메디톡스,20200724,156958
262,A086900,메디톡스,20200723,160063
263,A086900,메디톡스,20200722,164811
264,A086900,메디톡스,20200721,167276
265,A086900,메디톡스,20200720,167185
266,A086900,메디톡스,20200717,169559
267,A086900,메디톡스,20200716,171020
268,A086900,메디톡스,20200715,171202
269,A086900,메디톡스,20200714,182616
270,A086900,메디톡스,20200713,180789
271,A086900,메디톡스,20200710,186633
272,A086900,메디톡스,20200709,200329
273,A086900,메디톡스,20200708,230644
274,A086900,메디톡스,20200707,197042
275,A086900,메디톡스,20200706,151571
276,A086900,메디톡스,20200703,153306
277,A086900,메디톡스,20200702,144266
278,A086900,메디톡스,20200701,140797
279,A086900,메디톡스,20200630,132944
280,A086900,메디톡스,20200629,125822
281,A086900,메디톡스,20200626,129657
282,A086900,메디톡스,20200625,132122
283,A086900,메디톡스,20200624,129931
284,A086900,메디톡스,20200623,121439
285,A086900,메디톡스,20200622,122809
286,A086900,메디톡스,20200619,112765
287,A086900,메디톡스,20200618,109569
288,A086900,메디톡스,20200617,136962
289,A086900,메디톡스,20200616,135775
290,A086900,메디톡스,20200615,134222
291,A086900,메디톡스,20200612,139701
292,A086900,메디톡스,20200611,136962
293,A086900,메디톡스,20200610,142623
294,A086900,메디톡스,20200609,130753
295,A086900,메디톡스,20200608,137418
296,A086900,메디톡스,20200605,136596
297,A086900,메디톡스,20200604,144905
298,A086900,메디톡스,20200603,144449
299,A086900,메디톡스,20200602,150840
300,A086900,메디톡스,20200601,159515
301,A086900,메디톡스,20200529,154310
302,A086900,메디톡스,20200528,149471
303,A086900,메디톡스,20200527,156867
304,A086900,메디톡스,20200526,157049
305,A086900,메디톡스,20200525,156319
306,A086900,메디톡스,20200522,167002
307,A086900,메디톡스,20200521,134040
308,A086900,메디톡스,20200520,133035
309,A086900,메디톡스,20200519,125457
310,A086900,메디톡스,20200518,126826
311,A086900,메디톡스,20200515,135501
312,A086900,메디톡스,20200514,129383
313,A086900,메디톡스,20200513,140431
314,A086900,메디톡스,20200512,145727
315,A086900,메디톡스,20200511,149471
316,A086900,메디톡스,20200508,139792
317,A086900,메디톡스,20200507,114591
318,A086900,메디톡스,20200506,107652
319,A086900,메디톡스,20200504,101534
320,A086900,메디톡스,20200429,105552
321,A086900,메디톡스,20200428,98156
322,A086900,메디톡스,20200427,95782
323,A086900,메디톡스,20200424,100438
324,A086900,메디톡스,20200423,106282
325,A086900,메디톡스,20200422,101260
326,A086900,메디톡스,20200421,117513
327,A086900,메디톡스,20200420,122078
328,A086900,메디톡스,20200417,174398
329,A086900,메디톡스,20200416,169924
330,A086900,메디톡스,20200414,173759
331,A086900,메디톡스,20200413,171750
332,A086900,메디톡스,20200410,177320
333,A086900,메디톡스,20200409,188459
334,A086900,메디톡스,20200408,173941
335,A086900,메디톡스,20200407,175950
336,A086900,메디톡스,20200406,171750
337,A086900,메디톡스,20200403,170654
338,A086900,메디톡스,20200402,169559
339,A086900,메디톡스,20200401,169559
340,A086900,메디톡스,20200331,180150
341,A086900,메디톡스,20200330,160702
342,A086900,메디톡스,20200327,146640
343,A086900,메디톡스,20200326,131757
344,A086900,메디톡스,20200325,126187
345,A086900,메디톡스,20200324,146092
346,A086900,메디톡스,20200323,137509
347,A086900,메디톡스,20200320,157871
348,A086900,메디톡스,20200319,137053
349,A086900,메디톡스,20200318,178963
350,A086900,메디톡스,20200317,188185
351,A086900,메디톡스,20200316,189007
352,A086900,메디톡스,20200313,190012
353,A086900,메디톡스,20200312,212747
354,A086900,메디톡스,20200311,221878
355,A086900,메디톡스,20200310,229365
356,A086900,메디톡스,20200309,225530
357,A086900,메디톡스,20200306,228361
358,A086900,메디톡스,20200305,237492
359,A086900,메디톡스,20200304,255023
360,A086900,메디톡스,20200303,222700
361,A086900,메디톡스,20200302,225987
362,A086900,메디톡스,20200228,267989
363,A086900,메디톡스,20200227,272098
364,A086900,메디톡스,20200226,276663
