,辆格内靛,辆格疙,朝楼,辆啊
0,A001810,公覆SP,20210812,3620
1,A001810,公覆SP,20210811,3585
2,A001810,公覆SP,20210810,3540
3,A001810,公覆SP,20210809,3660
4,A001810,公覆SP,20210806,3630
5,A001810,公覆SP,20210805,3545
6,A001810,公覆SP,20210804,3515
7,A001810,公覆SP,20210803,3430
8,A001810,公覆SP,20210802,3555
9,A001810,公覆SP,20210730,3570
10,A001810,公覆SP,20210729,3680
11,A001810,公覆SP,20210728,3690
12,A001810,公覆SP,20210727,3785
13,A001810,公覆SP,20210726,3760
14,A001810,公覆SP,20210723,3780
15,A001810,公覆SP,20210722,3780
16,A001810,公覆SP,20210721,3760
17,A001810,公覆SP,20210720,3760
18,A001810,公覆SP,20210719,3875
19,A001810,公覆SP,20210716,3935
20,A001810,公覆SP,20210715,4095
21,A001810,公覆SP,20210714,4095
22,A001810,公覆SP,20210713,4000
23,A001810,公覆SP,20210712,3845
24,A001810,公覆SP,20210709,3820
25,A001810,公覆SP,20210708,4005
26,A001810,公覆SP,20210707,4215
27,A001810,公覆SP,20210706,3985
28,A001810,公覆SP,20210705,3980
29,A001810,公覆SP,20210702,4030
30,A001810,公覆SP,20210701,4080
31,A001810,公覆SP,20210630,4020
32,A001810,公覆SP,20210629,3965
33,A001810,公覆SP,20210628,4020
34,A001810,公覆SP,20210625,3965
35,A001810,公覆SP,20210624,3960
36,A001810,公覆SP,20210623,3955
37,A001810,公覆SP,20210622,3915
38,A001810,公覆SP,20210621,3825
39,A001810,公覆SP,20210618,3940
40,A001810,公覆SP,20210617,3940
41,A001810,公覆SP,20210616,3820
42,A001810,公覆SP,20210615,3940
43,A001810,公覆SP,20210614,3890
44,A001810,公覆SP,20210611,3525
45,A001810,公覆SP,20210610,3520
46,A001810,公覆SP,20210609,3570
47,A001810,公覆SP,20210608,3530
48,A001810,公覆SP,20210607,3540
49,A001810,公覆SP,20210604,3525
50,A001810,公覆SP,20210603,3530
51,A001810,公覆SP,20210602,3435
52,A001810,公覆SP,20210601,3445
53,A001810,公覆SP,20210531,3475
54,A001810,公覆SP,20210528,3435
55,A001810,公覆SP,20210527,3430
56,A001810,公覆SP,20210526,3420
57,A001810,公覆SP,20210525,3395
58,A001810,公覆SP,20210524,3420
59,A001810,公覆SP,20210521,3600
60,A001810,公覆SP,20210520,3665
61,A001810,公覆SP,20210518,3555
62,A001810,公覆SP,20210517,3575
63,A001810,公覆SP,20210514,3570
64,A001810,公覆SP,20210513,3460
65,A001810,公覆SP,20210512,3530
66,A001810,公覆SP,20210511,3600
67,A001810,公覆SP,20210510,3640
68,A001810,公覆SP,20210507,3570
69,A001810,公覆SP,20210506,3480
70,A001810,公覆SP,20210504,3425
71,A001810,公覆SP,20210503,3460
72,A001810,公覆SP,20210430,3500
73,A001810,公覆SP,20210429,3590
74,A001810,公覆SP,20210428,3605
75,A001810,公覆SP,20210427,3800
76,A001810,公覆SP,20210426,3800
77,A001810,公覆SP,20210423,3860
78,A001810,公覆SP,20210422,3860
79,A001810,公覆SP,20210421,3810
80,A001810,公覆SP,20210420,3955
81,A001810,公覆SP,20210419,3945
82,A001810,公覆SP,20210416,3960
83,A001810,公覆SP,20210415,3850
84,A001810,公覆SP,20210414,3915
85,A001810,公覆SP,20210413,3930
86,A001810,公覆SP,20210412,3790
87,A001810,公覆SP,20210409,3785
88,A001810,公覆SP,20210408,3670
89,A001810,公覆SP,20210407,3585
90,A001810,公覆SP,20210406,3540
91,A001810,公覆SP,20210405,3660
92,A001810,公覆SP,20210402,3640
93,A001810,公覆SP,20210401,3750
94,A001810,公覆SP,20210331,3725
95,A001810,公覆SP,20210330,3725
96,A001810,公覆SP,20210329,3655
97,A001810,公覆SP,20210326,3660
98,A001810,公覆SP,20210325,3705
99,A001810,公覆SP,20210324,3635
