,Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,Á¾°¡
0,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210812,100
1,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210811,70
2,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210810,85
3,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210809,85
4,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210806,85
5,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210805,95
6,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210804,100
7,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210803,95
8,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210802,80
9,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210730,90
10,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210729,105
11,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210728,100
12,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210727,90
13,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210726,85
14,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210723,90
15,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210722,100
16,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210721,115
17,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210720,130
18,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210719,130
19,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210716,130
20,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210715,130
21,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210714,130
22,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210713,130
23,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210712,125
24,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210709,115
25,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210708,110
26,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210707,105
27,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210706,115
28,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210705,110
29,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210702,110
30,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210701,110
31,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210630,120
32,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210629,135
33,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210628,135
34,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210625,130
35,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210624,130
36,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210623,125
37,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210622,120
38,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210621,125
39,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210618,130
40,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210617,130
41,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210616,135
42,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210615,135
43,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210614,145
44,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210611,150
45,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210610,135
46,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210609,130
47,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210608,130
48,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210607,120
49,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210604,115
50,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210603,135
51,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210602,140
52,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210601,130
53,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210531,115
54,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210528,110
55,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210527,110
56,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210526,115
57,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210525,105
58,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210524,105
59,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210521,100
60,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210520,95
61,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210518,95
62,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210517,95
63,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210514,110
64,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210513,105
65,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210512,100
66,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210511,110
67,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210510,110
68,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210507,100
69,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210506,100
70,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210504,90
71,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210503,95
72,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210430,90
73,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210429,100
74,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210428,110
75,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210427,110
76,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210426,105
77,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210423,110
78,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210422,100
79,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210421,95
80,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210420,95
81,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210419,90
82,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210416,90
83,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210415,85
84,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210414,70
85,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210413,80
86,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210412,65
87,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210409,60
88,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210408,70
89,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210407,65
90,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210406,65
91,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210405,65
92,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210402,70
93,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210401,65
94,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210331,65
95,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210330,60
96,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210329,60
97,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210326,65
98,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210325,45
99,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210324,45
100,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210323,45
101,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210322,50
102,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210319,45
103,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210318,50
104,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210317,50
105,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210316,50
106,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210315,50
107,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210312,50
108,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210311,45
109,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210310,40
110,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210309,40
111,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210308,40
112,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210305,45
113,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210304,45
114,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210303,50
115,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210302,50
116,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210226,45
117,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210225,50
118,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210224,45
119,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210223,50
120,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210222,50
121,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210219,55
122,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210218,55
123,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210217,50
124,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210216,50
125,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210215,50
126,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210210,45
127,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210209,45
128,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210208,45
129,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210205,55
130,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210204,45
131,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210203,40
132,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210202,45
133,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210201,45
134,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210129,45
135,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210128,45
136,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210127,50
137,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210126,50
138,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210125,60
139,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210122,55
140,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210121,55
141,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210120,50
142,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210119,50
143,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210118,50
144,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210115,50
145,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210114,55
146,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210113,55
147,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210112,55
148,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210111,60
149,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210108,70
150,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210107,75
151,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210106,55
152,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210105,50
153,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20210104,40
154,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20201230,45
155,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20201229,40
156,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20201228,45
157,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20201224,45
158,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20201223,45
159,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20201222,45
160,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20201221,50
161,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20201218,50
162,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20201217,45
163,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20201216,45
164,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20201215,40
165,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20201214,50
166,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20201211,50
167,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20201210,45
168,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20201209,45
169,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20201208,45
170,J52FF19,¹Ì·¡FF19SKÅÚ·¹ÄÞÄÝ,20201207,45
