,종목코드,종목명,날짜,종가
0,J52G173,미래G173삼성전자콜,20210812,10
1,J52G173,미래G173삼성전자콜,20210811,10
2,J52G173,미래G173삼성전자콜,20210810,10
3,J52G173,미래G173삼성전자콜,20210809,10
4,J52G173,미래G173삼성전자콜,20210806,10
5,J52G173,미래G173삼성전자콜,20210805,10
6,J52G173,미래G173삼성전자콜,20210804,10
7,J52G173,미래G173삼성전자콜,20210803,10
8,J52G173,미래G173삼성전자콜,20210802,10
9,J52G173,미래G173삼성전자콜,20210730,10
10,J52G173,미래G173삼성전자콜,20210729,10
11,J52G173,미래G173삼성전자콜,20210728,10
12,J52G173,미래G173삼성전자콜,20210727,10
13,J52G173,미래G173삼성전자콜,20210726,10
14,J52G173,미래G173삼성전자콜,20210723,10
15,J52G173,미래G173삼성전자콜,20210722,10
16,J52G173,미래G173삼성전자콜,20210721,10
17,J52G173,미래G173삼성전자콜,20210720,10
18,J52G173,미래G173삼성전자콜,20210719,10
19,J52G173,미래G173삼성전자콜,20210716,10
20,J52G173,미래G173삼성전자콜,20210715,10
21,J52G173,미래G173삼성전자콜,20210714,10
22,J52G173,미래G173삼성전자콜,20210713,10
23,J52G173,미래G173삼성전자콜,20210712,10
24,J52G173,미래G173삼성전자콜,20210709,10
25,J52G173,미래G173삼성전자콜,20210708,10
26,J52G173,미래G173삼성전자콜,20210707,10
27,J52G173,미래G173삼성전자콜,20210706,10
28,J52G173,미래G173삼성전자콜,20210705,10
29,J52G173,미래G173삼성전자콜,20210702,10
30,J52G173,미래G173삼성전자콜,20210701,10
31,J52G173,미래G173삼성전자콜,20210630,10
32,J52G173,미래G173삼성전자콜,20210629,15
33,J52G173,미래G173삼성전자콜,20210628,15
34,J52G173,미래G173삼성전자콜,20210625,15
35,J52G173,미래G173삼성전자콜,20210624,15
36,J52G173,미래G173삼성전자콜,20210623,15
37,J52G173,미래G173삼성전자콜,20210622,15
38,J52G173,미래G173삼성전자콜,20210621,15
