,종목코드,종목명,날짜,종가
0,J52G455,미래G455한국전력콜,20210812,30
1,J52G455,미래G455한국전력콜,20210811,30
2,J52G455,미래G455한국전력콜,20210810,30
3,J52G455,미래G455한국전력콜,20210809,35
4,J52G455,미래G455한국전력콜,20210806,30
5,J52G455,미래G455한국전력콜,20210805,35
6,J52G455,미래G455한국전력콜,20210804,35
7,J52G455,미래G455한국전력콜,20210803,35
8,J52G455,미래G455한국전력콜,20210802,40
9,J52G455,미래G455한국전력콜,20210730,30
10,J52G455,미래G455한국전력콜,20210729,35
11,J52G455,미래G455한국전력콜,20210728,35
12,J52G455,미래G455한국전력콜,20210727,35
13,J52G455,미래G455한국전력콜,20210726,35
14,J52G455,미래G455한국전력콜,20210723,40
15,J52G455,미래G455한국전력콜,20210722,40
16,J52G455,미래G455한국전력콜,20210721,45
17,J52G455,미래G455한국전력콜,20210720,45
18,J52G455,미래G455한국전력콜,20210719,45
19,J52G455,미래G455한국전력콜,20210716,40
20,J52G455,미래G455한국전력콜,20210715,40
21,J52G455,미래G455한국전력콜,20210714,35
22,J52G455,미래G455한국전력콜,20210713,40
23,J52G455,미래G455한국전력콜,20210712,40
24,J52G455,미래G455한국전력콜,20210709,30
25,J52G455,미래G455한국전력콜,20210708,40
26,J52G455,미래G455한국전력콜,20210707,40
27,J52G455,미래G455한국전력콜,20210706,40
28,J52G455,미래G455한국전력콜,20210705,40
29,J52G455,미래G455한국전력콜,20210702,40
30,J52G455,미래G455한국전력콜,20210701,45
31,J52G455,미래G455한국전력콜,20210630,45
32,J52G455,미래G455한국전력콜,20210629,45
33,J52G455,미래G455한국전력콜,20210628,45
34,J52G455,미래G455한국전력콜,20210625,45
35,J52G455,미래G455한국전력콜,20210624,45
36,J52G455,미래G455한국전력콜,20210623,45
37,J52G455,미래G455한국전력콜,20210622,50
38,J52G455,미래G455한국전력콜,20210621,50
39,J52G455,미래G455한국전력콜,20210618,70
40,J52G455,미래G455한국전력콜,20210617,70
41,J52G455,미래G455한국전력콜,20210616,70
42,J52G455,미래G455한국전력콜,20210615,70
43,J52G455,미래G455한국전력콜,20210614,70
44,J52G455,미래G455한국전력콜,20210611,65
45,J52G455,미래G455한국전력콜,20210610,65
46,J52G455,미래G455한국전력콜,20210609,70
47,J52G455,미래G455한국전력콜,20210608,70
48,J52G455,미래G455한국전력콜,20210607,70
49,J52G455,미래G455한국전력콜,20210604,65
50,J52G455,미래G455한국전력콜,20210603,60
51,J52G455,미래G455한국전력콜,20210602,60
52,J52G455,미래G455한국전력콜,20210601,70
53,J52G455,미래G455한국전력콜,20210531,60
54,J52G455,미래G455한국전력콜,20210528,60
55,J52G455,미래G455한국전력콜,20210527,65
56,J52G455,미래G455한국전력콜,20210526,65
57,J52G455,미래G455한국전력콜,20210525,50
58,J52G455,미래G455한국전력콜,20210524,50
59,J52G455,미래G455한국전력콜,20210521,40
60,J52G455,미래G455한국전력콜,20210520,40
61,J52G455,미래G455한국전력콜,20210518,40
62,J52G455,미래G455한국전력콜,20210517,40
63,J52G455,미래G455한국전력콜,20210514,45
64,J52G455,미래G455한국전력콜,20210513,45
65,J52G455,미래G455한국전력콜,20210512,45
66,J52G455,미래G455한국전력콜,20210511,50
67,J52G455,미래G455한국전력콜,20210510,50
68,J52G455,미래G455한국전력콜,20210507,50
69,J52G455,미래G455한국전력콜,20210506,40
70,J52G455,미래G455한국전력콜,20210504,40
71,J52G455,미래G455한국전력콜,20210503,40
72,J52G455,미래G455한국전력콜,20210430,45
73,J52G455,미래G455한국전력콜,20210429,50
74,J52G455,미래G455한국전력콜,20210428,55
75,J52G455,미래G455한국전력콜,20210427,55
76,J52G455,미래G455한국전력콜,20210426,50
77,J52G455,미래G455한국전력콜,20210423,50
78,J52G455,미래G455한국전력콜,20210422,50
79,J52G455,미래G455한국전력콜,20210421,45
80,J52G455,미래G455한국전력콜,20210420,55
81,J52G455,미래G455한국전력콜,20210419,55
82,J52G455,미래G455한국전력콜,20210416,55
83,J52G455,미래G455한국전력콜,20210415,55
84,J52G455,미래G455한국전력콜,20210414,50
