,종목코드,종목명,날짜,종가
0,A085620,미래에셋생명,20210812,4395
1,A085620,미래에셋생명,20210811,4345
2,A085620,미래에셋생명,20210810,4260
3,A085620,미래에셋생명,20210809,4255
4,A085620,미래에셋생명,20210806,4210
5,A085620,미래에셋생명,20210805,4245
6,A085620,미래에셋생명,20210804,4155
7,A085620,미래에셋생명,20210803,4120
8,A085620,미래에셋생명,20210802,4090
9,A085620,미래에셋생명,20210730,4085
10,A085620,미래에셋생명,20210729,4045
11,A085620,미래에셋생명,20210728,4030
12,A085620,미래에셋생명,20210727,4060
13,A085620,미래에셋생명,20210726,4070
14,A085620,미래에셋생명,20210723,4125
15,A085620,미래에셋생명,20210722,4130
16,A085620,미래에셋생명,20210721,4075
17,A085620,미래에셋생명,20210720,4095
18,A085620,미래에셋생명,20210719,4090
19,A085620,미래에셋생명,20210716,4130
20,A085620,미래에셋생명,20210715,4150
21,A085620,미래에셋생명,20210714,4140
22,A085620,미래에셋생명,20210713,4155
23,A085620,미래에셋생명,20210712,4160
24,A085620,미래에셋생명,20210709,4115
25,A085620,미래에셋생명,20210708,4240
26,A085620,미래에셋생명,20210707,4240
27,A085620,미래에셋생명,20210706,4285
28,A085620,미래에셋생명,20210705,4255
29,A085620,미래에셋생명,20210702,4260
30,A085620,미래에셋생명,20210701,4285
31,A085620,미래에셋생명,20210630,4280
32,A085620,미래에셋생명,20210629,4290
33,A085620,미래에셋생명,20210628,4390
34,A085620,미래에셋생명,20210625,4255
35,A085620,미래에셋생명,20210624,4280
36,A085620,미래에셋생명,20210623,4325
37,A085620,미래에셋생명,20210622,4270
38,A085620,미래에셋생명,20210621,4290
39,A085620,미래에셋생명,20210618,4235
40,A085620,미래에셋생명,20210617,4280
41,A085620,미래에셋생명,20210616,4300
42,A085620,미래에셋생명,20210615,4230
43,A085620,미래에셋생명,20210614,4270
44,A085620,미래에셋생명,20210611,4315
45,A085620,미래에셋생명,20210610,4360
46,A085620,미래에셋생명,20210609,4290
47,A085620,미래에셋생명,20210608,4375
48,A085620,미래에셋생명,20210607,4415
49,A085620,미래에셋생명,20210604,4335
50,A085620,미래에셋생명,20210603,4265
51,A085620,미래에셋생명,20210602,4265
52,A085620,미래에셋생명,20210601,4150
53,A085620,미래에셋생명,20210531,4080
54,A085620,미래에셋생명,20210528,4075
55,A085620,미래에셋생명,20210527,4065
56,A085620,미래에셋생명,20210526,4065
57,A085620,미래에셋생명,20210525,4035
58,A085620,미래에셋생명,20210524,4065
59,A085620,미래에셋생명,20210521,4070
60,A085620,미래에셋생명,20210520,4175
61,A085620,미래에셋생명,20210518,4140
62,A085620,미래에셋생명,20210517,4205
63,A085620,미래에셋생명,20210514,4170
64,A085620,미래에셋생명,20210513,4225
65,A085620,미래에셋생명,20210512,4035
66,A085620,미래에셋생명,20210511,4085
67,A085620,미래에셋생명,20210510,4055
68,A085620,미래에셋생명,20210507,4030
69,A085620,미래에셋생명,20210506,4010
70,A085620,미래에셋생명,20210504,3995
71,A085620,미래에셋생명,20210503,4000
72,A085620,미래에셋생명,20210430,4025
73,A085620,미래에셋생명,20210429,4005
74,A085620,미래에셋생명,20210428,3995
75,A085620,미래에셋생명,20210427,4040
76,A085620,미래에셋생명,20210426,4100
77,A085620,미래에셋생명,20210423,4085
78,A085620,미래에셋생명,20210422,4055
79,A085620,미래에셋생명,20210421,4045
80,A085620,미래에셋생명,20210420,4055
81,A085620,미래에셋생명,20210419,4010
82,A085620,미래에셋생명,20210416,4020
83,A085620,미래에셋생명,20210415,4040
84,A085620,미래에셋생명,20210414,4035
85,A085620,미래에셋생명,20210413,4040
86,A085620,미래에셋생명,20210412,4040
87,A085620,미래에셋생명,20210409,4040
88,A085620,미래에셋생명,20210408,4065
89,A085620,미래에셋생명,20210407,4085
90,A085620,미래에셋생명,20210406,4075
91,A085620,미래에셋생명,20210405,4065
92,A085620,미래에셋생명,20210402,4090
93,A085620,미래에셋생명,20210401,4110
94,A085620,미래에셋생명,20210331,4200
95,A085620,미래에셋생명,20210330,4215
96,A085620,미래에셋생명,20210329,4325
97,A085620,미래에셋생명,20210326,4240
98,A085620,미래에셋생명,20210325,4255
99,A085620,미래에셋생명,20210324,4175
100,A085620,미래에셋생명,20210323,4190
101,A085620,미래에셋생명,20210322,4260
102,A085620,미래에셋생명,20210319,4205
103,A085620,미래에셋생명,20210318,4195
104,A085620,미래에셋생명,20210317,4190
105,A085620,미래에셋생명,20210316,4215
106,A085620,미래에셋생명,20210315,4270
107,A085620,미래에셋생명,20210312,4130
108,A085620,미래에셋생명,20210311,4165
109,A085620,미래에셋생명,20210310,4185
110,A085620,미래에셋생명,20210309,4105
111,A085620,미래에셋생명,20210308,4030
112,A085620,미래에셋생명,20210305,4040
113,A085620,미래에셋생명,20210304,4035
114,A085620,미래에셋생명,20210303,4040
115,A085620,미래에셋생명,20210302,4040
116,A085620,미래에셋생명,20210226,4000
117,A085620,미래에셋생명,20210225,4075
118,A085620,미래에셋생명,20210224,3995
119,A085620,미래에셋생명,20210223,4060
120,A085620,미래에셋생명,20210222,4095
121,A085620,미래에셋생명,20210219,4060
122,A085620,미래에셋생명,20210218,4035
123,A085620,미래에셋생명,20210217,4000
124,A085620,미래에셋생명,20210216,3925
125,A085620,미래에셋생명,20210215,3915
126,A085620,미래에셋생명,20210210,3750
127,A085620,미래에셋생명,20210209,3720
128,A085620,미래에셋생명,20210208,3720
129,A085620,미래에셋생명,20210205,3680
130,A085620,미래에셋생명,20210204,3680
131,A085620,미래에셋생명,20210203,3725
132,A085620,미래에셋생명,20210202,3695
133,A085620,미래에셋생명,20210201,3710
134,A085620,미래에셋생명,20210129,3660
135,A085620,미래에셋생명,20210128,3660
136,A085620,미래에셋생명,20210127,3780
