,종목코드,종목명,날짜,종가
0,A049950,미래컴퍼니,20210812,32650
1,A049950,미래컴퍼니,20210811,32300
2,A049950,미래컴퍼니,20210810,32400
3,A049950,미래컴퍼니,20210809,32850
4,A049950,미래컴퍼니,20210806,32500
5,A049950,미래컴퍼니,20210805,32950
6,A049950,미래컴퍼니,20210804,32750
7,A049950,미래컴퍼니,20210803,31750
8,A049950,미래컴퍼니,20210802,32150
9,A049950,미래컴퍼니,20210730,32050
10,A049950,미래컴퍼니,20210729,32150
11,A049950,미래컴퍼니,20210728,32150
12,A049950,미래컴퍼니,20210727,32600
13,A049950,미래컴퍼니,20210726,32500
14,A049950,미래컴퍼니,20210723,32000
15,A049950,미래컴퍼니,20210722,32050
16,A049950,미래컴퍼니,20210721,32000
17,A049950,미래컴퍼니,20210720,32100
18,A049950,미래컴퍼니,20210719,32200
19,A049950,미래컴퍼니,20210716,32450
20,A049950,미래컴퍼니,20210715,33000
21,A049950,미래컴퍼니,20210714,33000
22,A049950,미래컴퍼니,20210713,33000
23,A049950,미래컴퍼니,20210712,32650
24,A049950,미래컴퍼니,20210709,31300
25,A049950,미래컴퍼니,20210708,32250
26,A049950,미래컴퍼니,20210707,33000
27,A049950,미래컴퍼니,20210706,32700
28,A049950,미래컴퍼니,20210705,32900
29,A049950,미래컴퍼니,20210702,32600
30,A049950,미래컴퍼니,20210701,32450
31,A049950,미래컴퍼니,20210630,32450
32,A049950,미래컴퍼니,20210629,32850
33,A049950,미래컴퍼니,20210628,33300
34,A049950,미래컴퍼니,20210625,32500
35,A049950,미래컴퍼니,20210624,32350
36,A049950,미래컴퍼니,20210623,32350
37,A049950,미래컴퍼니,20210622,32700
38,A049950,미래컴퍼니,20210621,32000
39,A049950,미래컴퍼니,20210618,32150
40,A049950,미래컴퍼니,20210617,32250
41,A049950,미래컴퍼니,20210616,32400
42,A049950,미래컴퍼니,20210615,32150
43,A049950,미래컴퍼니,20210614,32250
44,A049950,미래컴퍼니,20210611,32250
45,A049950,미래컴퍼니,20210610,32350
46,A049950,미래컴퍼니,20210609,32300
47,A049950,미래컴퍼니,20210608,32000
48,A049950,미래컴퍼니,20210607,32400
49,A049950,미래컴퍼니,20210604,32900
50,A049950,미래컴퍼니,20210603,33150
51,A049950,미래컴퍼니,20210602,33100
52,A049950,미래컴퍼니,20210601,33700
53,A049950,미래컴퍼니,20210531,33250
54,A049950,미래컴퍼니,20210528,33750
55,A049950,미래컴퍼니,20210527,33100
56,A049950,미래컴퍼니,20210526,34050
57,A049950,미래컴퍼니,20210525,37650
