,종목코드,종목명,날짜,종가
0,A213090,미래테크놀로지,20210812,12050
1,A213090,미래테크놀로지,20210811,11950
2,A213090,미래테크놀로지,20210810,12350
3,A213090,미래테크놀로지,20210809,12500
4,A213090,미래테크놀로지,20210806,12500
5,A213090,미래테크놀로지,20210805,12550
6,A213090,미래테크놀로지,20210804,12300
7,A213090,미래테크놀로지,20210803,12450
8,A213090,미래테크놀로지,20210802,12250
9,A213090,미래테크놀로지,20210730,12050
10,A213090,미래테크놀로지,20210729,11950
11,A213090,미래테크놀로지,20210728,11950
12,A213090,미래테크놀로지,20210727,12100
13,A213090,미래테크놀로지,20210726,12500
14,A213090,미래테크놀로지,20210723,12850
15,A213090,미래테크놀로지,20210722,12450
16,A213090,미래테크놀로지,20210721,12500
17,A213090,미래테크놀로지,20210720,12500
18,A213090,미래테크놀로지,20210719,12550
19,A213090,미래테크놀로지,20210716,12650
20,A213090,미래테크놀로지,20210715,12950
21,A213090,미래테크놀로지,20210714,12850
22,A213090,미래테크놀로지,20210713,12700
23,A213090,미래테크놀로지,20210712,12600
24,A213090,미래테크놀로지,20210709,12450
25,A213090,미래테크놀로지,20210708,12700
26,A213090,미래테크놀로지,20210707,12700
27,A213090,미래테크놀로지,20210706,12600
28,A213090,미래테크놀로지,20210705,12550
29,A213090,미래테크놀로지,20210702,12450
30,A213090,미래테크놀로지,20210701,12600
31,A213090,미래테크놀로지,20210630,12800
32,A213090,미래테크놀로지,20210629,12950
33,A213090,미래테크놀로지,20210628,14750
34,A213090,미래테크놀로지,20210625,15050
35,A213090,미래테크놀로지,20210624,13650
36,A213090,미래테크놀로지,20210623,14050
37,A213090,미래테크놀로지,20210622,13450
38,A213090,미래테크놀로지,20210621,13050
39,A213090,미래테크놀로지,20210618,12800
40,A213090,미래테크놀로지,20210617,13150
41,A213090,미래테크놀로지,20210616,12450
42,A213090,미래테크놀로지,20210615,12200
43,A213090,미래테크놀로지,20210614,12400
44,A213090,미래테크놀로지,20210611,13150
45,A213090,미래테크놀로지,20210610,13150
46,A213090,미래테크놀로지,20210609,13150
47,A213090,미래테크놀로지,20210608,13150
48,A213090,미래테크놀로지,20210607,12300
