,종목코드,종목명,날짜,종가
0,A134380,미원화학,20210812,81100
1,A134380,미원화학,20210811,80900
2,A134380,미원화학,20210810,81100
3,A134380,미원화학,20210809,81500
4,A134380,미원화학,20210806,82700
5,A134380,미원화학,20210805,83200
6,A134380,미원화학,20210804,81500
7,A134380,미원화학,20210803,80600
8,A134380,미원화학,20210802,81000
9,A134380,미원화학,20210730,81400
10,A134380,미원화학,20210729,81100
11,A134380,미원화학,20210728,81400
12,A134380,미원화학,20210727,82000
13,A134380,미원화학,20210726,81700
14,A134380,미원화학,20210723,84000
15,A134380,미원화학,20210722,83400
16,A134380,미원화학,20210721,81800
17,A134380,미원화학,20210720,82000
18,A134380,미원화학,20210719,82300
19,A134380,미원화학,20210716,82400
20,A134380,미원화학,20210715,82000
21,A134380,미원화학,20210714,81900
22,A134380,미원화학,20210713,81500
23,A134380,미원화학,20210712,80000
24,A134380,미원화학,20210709,80000
25,A134380,미원화학,20210708,80000
26,A134380,미원화학,20210707,79600
27,A134380,미원화학,20210706,79400
28,A134380,미원화학,20210705,79200
29,A134380,미원화학,20210702,79800
30,A134380,미원화학,20210701,80200
31,A134380,미원화학,20210630,80500
32,A134380,미원화학,20210629,79500
33,A134380,미원화학,20210628,81800
34,A134380,미원화학,20210625,82600
35,A134380,미원화학,20210624,82900
36,A134380,미원화학,20210623,82600
37,A134380,미원화학,20210622,82900
38,A134380,미원화학,20210621,82500
39,A134380,미원화학,20210618,82500
40,A134380,미원화학,20210617,82000
41,A134380,미원화학,20210616,82800
42,A134380,미원화학,20210615,83000
43,A134380,미원화학,20210614,81400
44,A134380,미원화학,20210611,81800
45,A134380,미원화학,20210610,80000
46,A134380,미원화학,20210609,79000
47,A134380,미원화학,20210608,78000
48,A134380,미원화학,20210607,78000
49,A134380,미원화학,20210604,76300
50,A134380,미원화학,20210603,76200
51,A134380,미원화학,20210602,76500
52,A134380,미원화학,20210601,76000
53,A134380,미원화학,20210531,77000
54,A134380,미원화학,20210528,77000
55,A134380,미원화학,20210527,76900
56,A134380,미원화학,20210526,76600
57,A134380,미원화학,20210525,76600
58,A134380,미원화학,20210524,76900
59,A134380,미원화학,20210521,76300
60,A134380,미원화학,20210520,76200
61,A134380,미원화학,20210518,75400
62,A134380,미원화학,20210517,75900
63,A134380,미원화학,20210514,76100
64,A134380,미원화학,20210513,76900
65,A134380,미원화학,20210512,77500
66,A134380,미원화학,20210511,78700
67,A134380,미원화학,20210510,80000
68,A134380,미원화학,20210507,79900
69,A134380,미원화학,20210506,80000
70,A134380,미원화학,20210504,81300
71,A134380,미원화학,20210503,80000
72,A134380,미원화학,20210430,77800
73,A134380,미원화학,20210429,76100
74,A134380,미원화학,20210428,77500
75,A134380,미원화학,20210427,79700
76,A134380,미원화학,20210426,80700
77,A134380,미원화학,20210423,81400
78,A134380,미원화학,20210422,81500
79,A134380,미원화학,20210421,82300
80,A134380,미원화학,20210420,82300
81,A134380,미원화학,20210419,82300
82,A134380,미원화학,20210416,82400
83,A134380,미원화학,20210415,82900
84,A134380,미원화학,20210414,84000
85,A134380,미원화학,20210413,84500
86,A134380,미원화학,20210412,85700
87,A134380,미원화학,20210409,84800
88,A134380,미원화학,20210408,81800
89,A134380,미원화학,20210407,84700
90,A134380,미원화학,20210406,86000
91,A134380,미원화학,20210405,89200
92,A134380,미원화학,20210402,91000
93,A134380,미원화학,20210401,91000
94,A134380,미원화학,20210331,88000
95,A134380,미원화학,20210330,86000
96,A134380,미원화학,20210329,85900
97,A134380,미원화학,20210326,97000
98,A134380,미원화학,20210325,83500
99,A134380,미원화학,20210324,75400
100,A134380,미원화학,20210323,72200
101,A134380,미원화학,20210322,70100
102,A134380,미원화학,20210319,68000
103,A134380,미원화학,20210318,66900
104,A134380,미원화학,20210317,66600
105,A134380,미원화학,20210316,65400
106,A134380,미원화학,20210315,62300
107,A134380,미원화학,20210312,61400
108,A134380,미원화학,20210311,61300
109,A134380,미원화학,20210310,61400
110,A134380,미원화학,20210309,61500
111,A134380,미원화학,20210308,61700
112,A134380,미원화학,20210305,61500
113,A134380,미원화학,20210304,61500
114,A134380,미원화학,20210303,62300
115,A134380,미원화학,20210302,61600
116,A134380,미원화학,20210226,61600
117,A134380,미원화학,20210225,62000
118,A134380,미원화학,20210224,61700
119,A134380,미원화학,20210223,61500
120,A134380,미원화학,20210222,61500
121,A134380,미원화학,20210219,61900
122,A134380,미원화학,20210218,61600
123,A134380,미원화학,20210217,62000
124,A134380,미원화학,20210216,62000
125,A134380,미원화학,20210215,61700
126,A134380,미원화학,20210210,61800
127,A134380,미원화학,20210209,61800
128,A134380,미원화학,20210208,60500
129,A134380,미원화학,20210205,60000
130,A134380,미원화학,20210204,60000
131,A134380,미원화학,20210203,60700
132,A134380,미원화학,20210202,60300
133,A134380,미원화학,20210201,60300
134,A134380,미원화학,20210129,60500
135,A134380,미원화학,20210128,61000
136,A134380,미원화학,20210127,62000
137,A134380,미원화학,20210126,62000
138,A134380,미원화학,20210125,62800
139,A134380,미원화학,20210122,62600
140,A134380,미원화학,20210121,62300
141,A134380,미원화학,20210120,62300
142,A134380,미원화학,20210119,62500
143,A134380,미원화학,20210118,63000
144,A134380,미원화학,20210115,63600
145,A134380,미원화학,20210114,63900
146,A134380,미원화학,20210113,64500
147,A134380,미원화학,20210112,64800
148,A134380,미원화학,20210111,66500
149,A134380,미원화학,20210108,66800
150,A134380,미원화학,20210107,66100
151,A134380,미원화학,20210106,65800
152,A134380,미원화학,20210105,64700
153,A134380,미원화학,20210104,61900
154,A134380,미원화학,20201230,61900
155,A134380,미원화학,20201229,61900
156,A134380,미원화학,20201228,61900
157,A134380,미원화학,20201224,61900
158,A134380,미원화학,20201223,61700
159,A134380,미원화학,20201222,61900
160,A134380,미원화학,20201221,61600
161,A134380,미원화학,20201218,62200
162,A134380,미원화학,20201217,62100
163,A134380,미원화학,20201216,62500
164,A134380,미원화학,20201215,61500
165,A134380,미원화학,20201214,61500
166,A134380,미원화학,20201211,61200
167,A134380,미원화학,20201210,61200
168,A134380,미원화학,20201209,60900
169,A134380,미원화학,20201208,60900
170,A134380,미원화학,20201207,60900
171,A134380,미원화학,20201204,60800
172,A134380,미원화학,20201203,61300
173,A134380,미원화학,20201202,61500
174,A134380,미원화학,20201201,60500
175,A134380,미원화학,20201130,60700
176,A134380,미원화학,20201127,61400
177,A134380,미원화학,20201126,61400
178,A134380,미원화학,20201125,62200
179,A134380,미원화학,20201124,62200
180,A134380,미원화학,20201123,61300
181,A134380,미원화학,20201120,61500
182,A134380,미원화학,20201119,61900
183,A134380,미원화학,20201118,61900
184,A134380,미원화학,20201117,62500
185,A134380,미원화학,20201116,63000
186,A134380,미원화학,20201113,60900
187,A134380,미원화학,20201112,58600
188,A134380,미원화학,20201111,56500
189,A134380,미원화학,20201110,55900
190,A134380,미원화학,20201109,55900
191,A134380,미원화학,20201106,56200
192,A134380,미원화학,20201105,55500
193,A134380,미원화학,20201104,55800
194,A134380,미원화학,20201103,56300
195,A134380,미원화학,20201102,56600
196,A134380,미원화학,20201030,56500
197,A134380,미원화학,20201029,56400
198,A134380,미원화학,20201028,56800
199,A134380,미원화학,20201027,56200
200,A134380,미원화학,20201026,56200
201,A134380,미원화학,20201023,56500
202,A134380,미원화학,20201022,55600
203,A134380,미원화학,20201021,55600
204,A134380,미원화학,20201020,55700
205,A134380,미원화학,20201019,55700
206,A134380,미원화학,20201016,55700
207,A134380,미원화학,20201015,55300
208,A134380,미원화학,20201014,54900
209,A134380,미원화학,20201013,55300
210,A134380,미원화학,20201012,56000
211,A134380,미원화학,20201008,56000
212,A134380,미원화학,20201007,56800
213,A134380,미원화학,20201006,56600
214,A134380,미원화학,20201005,56600
215,A134380,미원화학,20200929,57200
216,A134380,미원화학,20200928,57200
217,A134380,미원화학,20200925,56400
218,A134380,미원화학,20200924,55500
219,A134380,미원화학,20200923,56000
220,A134380,미원화학,20200922,56000
221,A134380,미원화학,20200921,57100
222,A134380,미원화학,20200918,57900
223,A134380,미원화학,20200917,57300
224,A134380,미원화학,20200916,56200
225,A134380,미원화학,20200915,55100
226,A134380,미원화학,20200914,54600
227,A134380,미원화학,20200911,54400
228,A134380,미원화학,20200910,54300
229,A134380,미원화학,20200909,53500
230,A134380,미원화학,20200908,53900
231,A134380,미원화학,20200907,53400
232,A134380,미원화학,20200904,53200
233,A134380,미원화학,20200903,53300
234,A134380,미원화학,20200902,53100
235,A134380,미원화학,20200901,53000
236,A134380,미원화학,20200831,52500
237,A134380,미원화학,20200828,52500
238,A134380,미원화학,20200827,52600
239,A134380,미원화학,20200826,52700
240,A134380,미원화학,20200825,52500
241,A134380,미원화학,20200824,52000
242,A134380,미원화학,20200821,52100
243,A134380,미원화학,20200820,52300
244,A134380,미원화학,20200819,53100
245,A134380,미원화학,20200818,53400
246,A134380,미원화학,20200814,53700
247,A134380,미원화학,20200813,51500
248,A134380,미원화학,20200812,50600
249,A134380,미원화학,20200811,51000
250,A134380,미원화학,20200810,50800
251,A134380,미원화학,20200807,50900
252,A134380,미원화학,20200806,51000
253,A134380,미원화학,20200805,51100
254,A134380,미원화학,20200804,51500
255,A134380,미원화학,20200803,51500
256,A134380,미원화학,20200731,51800
257,A134380,미원화학,20200730,52000
258,A134380,미원화학,20200729,52200
259,A134380,미원화학,20200728,52300
260,A134380,미원화학,20200727,52500
261,A134380,미원화학,20200724,52500
262,A134380,미원화학,20200723,52200
263,A134380,미원화학,20200722,52500
264,A134380,미원화학,20200721,52400
265,A134380,미원화학,20200720,52700
266,A134380,미원화학,20200717,52900
267,A134380,미원화학,20200716,52800
268,A134380,미원화학,20200715,52900
269,A134380,미원화학,20200714,53000
270,A134380,미원화학,20200713,53300
271,A134380,미원화학,20200710,53400
272,A134380,미원화학,20200709,53300
273,A134380,미원화학,20200708,53300
274,A134380,미원화학,20200707,53500
275,A134380,미원화학,20200706,53100
276,A134380,미원화학,20200703,53100
277,A134380,미원화학,20200702,52700
278,A134380,미원화학,20200701,52000
279,A134380,미원화학,20200630,52600
280,A134380,미원화학,20200629,53800
281,A134380,미원화학,20200626,54100
282,A134380,미원화학,20200625,53300
283,A134380,미원화학,20200624,53000
284,A134380,미원화학,20200623,53000
285,A134380,미원화학,20200622,50900
286,A134380,미원화학,20200619,50200
287,A134380,미원화학,20200618,50000
288,A134380,미원화학,20200617,49900
289,A134380,미원화학,20200616,50000
290,A134380,미원화학,20200615,50400
291,A134380,미원화학,20200612,49900
292,A134380,미원화학,20200611,49900
293,A134380,미원화학,20200610,49900
294,A134380,미원화학,20200609,50000
295,A134380,미원화학,20200608,50000
296,A134380,미원화학,20200605,50400
297,A134380,미원화학,20200604,50100
298,A134380,미원화학,20200603,50000
299,A134380,미원화학,20200602,50000
300,A134380,미원화학,20200601,50000
301,A134380,미원화학,20200529,49700
302,A134380,미원화학,20200528,49900
303,A134380,미원화학,20200527,50200
304,A134380,미원화학,20200526,50000
305,A134380,미원화학,20200525,50000
306,A134380,미원화학,20200522,50000
307,A134380,미원화학,20200521,50100
308,A134380,미원화학,20200520,49300
309,A134380,미원화학,20200519,48500
310,A134380,미원화학,20200518,47450
311,A134380,미원화학,20200515,47100
312,A134380,미원화학,20200514,47400
313,A134380,미원화학,20200513,46900
314,A134380,미원화학,20200512,46450
315,A134380,미원화학,20200511,46550
316,A134380,미원화학,20200508,46150
317,A134380,미원화학,20200507,46500
318,A134380,미원화학,20200506,46000
319,A134380,미원화학,20200504,46400
320,A134380,미원화학,20200429,45550
321,A134380,미원화학,20200428,46000
322,A134380,미원화학,20200427,45100
323,A134380,미원화학,20200424,44950
324,A134380,미원화학,20200423,44100
325,A134380,미원화학,20200422,43100
326,A134380,미원화학,20200421,43200
327,A134380,미원화학,20200420,43200
328,A134380,미원화학,20200417,43200
329,A134380,미원화학,20200416,43150
330,A134380,미원화학,20200414,43100
331,A134380,미원화학,20200413,43000
332,A134380,미원화학,20200410,42700
333,A134380,미원화학,20200409,42450
334,A134380,미원화학,20200408,42450
335,A134380,미원화학,20200407,42350
336,A134380,미원화학,20200406,41650
337,A134380,미원화학,20200403,41500
338,A134380,미원화학,20200402,41650
339,A134380,미원화학,20200401,41650
340,A134380,미원화학,20200331,41450
341,A134380,미원화학,20200330,41000
342,A134380,미원화학,20200327,41000
343,A134380,미원화학,20200326,40450
344,A134380,미원화학,20200325,40400
345,A134380,미원화학,20200324,40000
346,A134380,미원화학,20200323,38950
347,A134380,미원화학,20200320,39050
348,A134380,미원화학,20200319,37600
349,A134380,미원화학,20200318,39400
350,A134380,미원화학,20200317,40350
351,A134380,미원화학,20200316,41300
352,A134380,미원화학,20200313,41850
353,A134380,미원화학,20200312,43600
354,A134380,미원화학,20200311,44050
355,A134380,미원화학,20200310,44400
356,A134380,미원화학,20200309,44950
357,A134380,미원화학,20200306,45600
358,A134380,미원화학,20200305,45000
359,A134380,미원화학,20200304,45000
360,A134380,미원화학,20200303,45000
361,A134380,미원화학,20200302,45000
362,A134380,미원화학,20200228,44850
363,A134380,미원화학,20200227,44900
364,A134380,미원화학,20200226,44700
