,辆格内靛,辆格疙,朝楼,辆啊
0,A059090,固内,20210812,13450
1,A059090,固内,20210811,13600
2,A059090,固内,20210810,13700
3,A059090,固内,20210809,13750
4,A059090,固内,20210806,13700
5,A059090,固内,20210805,13850
6,A059090,固内,20210804,14000
7,A059090,固内,20210803,13700
8,A059090,固内,20210802,13750
9,A059090,固内,20210730,13850
10,A059090,固内,20210729,14000
11,A059090,固内,20210728,13600
12,A059090,固内,20210727,13750
13,A059090,固内,20210726,13800
14,A059090,固内,20210723,14300
15,A059090,固内,20210722,14250
16,A059090,固内,20210721,14350
17,A059090,固内,20210720,14550
18,A059090,固内,20210719,14800
19,A059090,固内,20210716,14150
20,A059090,固内,20210715,14300
21,A059090,固内,20210714,14350
22,A059090,固内,20210713,13800
23,A059090,固内,20210712,13400
24,A059090,固内,20210709,13350
25,A059090,固内,20210708,13550
26,A059090,固内,20210707,13750
27,A059090,固内,20210706,13900
28,A059090,固内,20210705,14000
29,A059090,固内,20210702,13800
30,A059090,固内,20210701,13700
31,A059090,固内,20210630,13700
32,A059090,固内,20210629,13550
33,A059090,固内,20210628,13750
34,A059090,固内,20210625,14000
35,A059090,固内,20210624,14050
36,A059090,固内,20210623,14050
37,A059090,固内,20210622,14000
38,A059090,固内,20210621,14000
39,A059090,固内,20210618,14300
40,A059090,固内,20210617,14400
41,A059090,固内,20210616,14500
42,A059090,固内,20210615,14400
43,A059090,固内,20210614,14400
44,A059090,固内,20210611,14450
45,A059090,固内,20210610,13950
46,A059090,固内,20210609,14000
47,A059090,固内,20210608,14150
48,A059090,固内,20210607,14200
49,A059090,固内,20210604,14400
50,A059090,固内,20210603,14600
51,A059090,固内,20210602,14300
52,A059090,固内,20210601,14450
53,A059090,固内,20210531,14400
54,A059090,固内,20210528,14500
55,A059090,固内,20210527,14450
56,A059090,固内,20210526,14450
57,A059090,固内,20210525,14750
58,A059090,固内,20210524,15050
59,A059090,固内,20210521,14650
60,A059090,固内,20210520,15000
61,A059090,固内,20210518,15250
62,A059090,固内,20210517,15250
63,A059090,固内,20210514,14700
64,A059090,固内,20210513,13900
65,A059090,固内,20210512,14200
66,A059090,固内,20210511,14450
67,A059090,固内,20210510,14550
68,A059090,固内,20210507,14350
69,A059090,固内,20210506,14550
70,A059090,固内,20210504,14150
71,A059090,固内,20210503,14100
72,A059090,固内,20210430,14650
73,A059090,固内,20210429,15150
74,A059090,固内,20210428,15100
75,A059090,固内,20210427,15500
76,A059090,固内,20210426,15850
77,A059090,固内,20210423,15850
78,A059090,固内,20210422,15400
79,A059090,固内,20210421,15450
80,A059090,固内,20210420,15650
81,A059090,固内,20210419,15800
82,A059090,固内,20210416,15100
83,A059090,固内,20210415,15100
84,A059090,固内,20210414,15250
85,A059090,固内,20210413,15150
86,A059090,固内,20210412,15100
87,A059090,固内,20210409,15200
88,A059090,固内,20210408,15200
89,A059090,固内,20210407,14500
90,A059090,固内,20210406,14600
91,A059090,固内,20210405,14600
92,A059090,固内,20210402,14600
93,A059090,固内,20210401,14450
94,A059090,固内,20210331,14300
95,A059090,固内,20210330,14550
96,A059090,固内,20210329,14700
97,A059090,固内,20210326,14850
98,A059090,固内,20210325,14700
99,A059090,固内,20210324,14050
100,A059090,固内,20210323,14000
101,A059090,固内,20210322,14350
102,A059090,固内,20210319,14550
103,A059090,固内,20210318,14550
104,A059090,固内,20210317,14300
105,A059090,固内,20210316,14500
106,A059090,固内,20210315,14450
107,A059090,固内,20210312,14150
108,A059090,固内,20210311,13800
109,A059090,固内,20210310,13350
110,A059090,固内,20210309,13700
111,A059090,固内,20210308,14200
112,A059090,固内,20210305,14450
113,A059090,固内,20210304,14800
114,A059090,固内,20210303,14450
115,A059090,固内,20210302,14300
116,A059090,固内,20210226,14350
117,A059090,固内,20210225,15050
118,A059090,固内,20210224,14950
119,A059090,固内,20210223,15950
120,A059090,固内,20210222,16050
