,종목코드,종목명,날짜,종가
0,A064520,바른전자,20210812,1005
1,A064520,바른전자,20210811,1005
2,A064520,바른전자,20210810,1005
3,A064520,바른전자,20210809,1005
4,A064520,바른전자,20210806,1005
5,A064520,바른전자,20210805,1005
6,A064520,바른전자,20210804,1005
7,A064520,바른전자,20210803,1005
8,A064520,바른전자,20210802,1005
9,A064520,바른전자,20210730,1005
10,A064520,바른전자,20210729,1005
11,A064520,바른전자,20210728,1005
12,A064520,바른전자,20210727,1005
13,A064520,바른전자,20210726,1005
14,A064520,바른전자,20210723,1005
15,A064520,바른전자,20210722,1005
16,A064520,바른전자,20210721,1005
17,A064520,바른전자,20210720,1005
18,A064520,바른전자,20210719,1005
19,A064520,바른전자,20210716,1005
20,A064520,바른전자,20210715,1005
21,A064520,바른전자,20210714,1005
22,A064520,바른전자,20210713,1005
23,A064520,바른전자,20210712,1005
24,A064520,바른전자,20210709,1005
25,A064520,바른전자,20210708,1005
26,A064520,바른전자,20210707,1005
27,A064520,바른전자,20210706,1005
28,A064520,바른전자,20210705,1005
29,A064520,바른전자,20210702,1005
30,A064520,바른전자,20210701,1005
31,A064520,바른전자,20210630,1005
32,A064520,바른전자,20210629,1005
33,A064520,바른전자,20210628,1005
34,A064520,바른전자,20210625,1005
35,A064520,바른전자,20210624,1005
36,A064520,바른전자,20210623,1005
37,A064520,바른전자,20210622,1005
38,A064520,바른전자,20210621,1005
39,A064520,바른전자,20210618,1005
40,A064520,바른전자,20210617,1005
41,A064520,바른전자,20210616,1005
42,A064520,바른전자,20210615,1005
43,A064520,바른전자,20210614,1005
44,A064520,바른전자,20210611,1005
45,A064520,바른전자,20210610,1005
46,A064520,바른전자,20210609,1005
47,A064520,바른전자,20210608,1005
48,A064520,바른전자,20210607,1005
49,A064520,바른전자,20210604,1005
50,A064520,바른전자,20210603,1005
51,A064520,바른전자,20210602,1005
52,A064520,바른전자,20210601,1005
53,A064520,바른전자,20210531,1005
54,A064520,바른전자,20210528,1005
55,A064520,바른전자,20210527,1005
56,A064520,바른전자,20210526,1005
57,A064520,바른전자,20210525,1005
58,A064520,바른전자,20210524,1005
59,A064520,바른전자,20210521,1005
60,A064520,바른전자,20210520,1005
61,A064520,바른전자,20210518,1005
62,A064520,바른전자,20210517,1005
63,A064520,바른전자,20210514,1005
64,A064520,바른전자,20210513,1005
65,A064520,바른전자,20210512,1005
66,A064520,바른전자,20210511,1005
67,A064520,바른전자,20210510,1005
68,A064520,바른전자,20210507,1005
69,A064520,바른전자,20210506,1005
70,A064520,바른전자,20210504,1005
71,A064520,바른전자,20210503,1005
72,A064520,바른전자,20210430,1005
73,A064520,바른전자,20210429,1005
74,A064520,바른전자,20210428,1005
75,A064520,바른전자,20210427,1005
76,A064520,바른전자,20210426,1005
77,A064520,바른전자,20210423,1005
78,A064520,바른전자,20210422,1005
79,A064520,바른전자,20210421,1005
80,A064520,바른전자,20210420,1005
81,A064520,바른전자,20210419,1005
82,A064520,바른전자,20210416,1005
83,A064520,바른전자,20210415,1005
84,A064520,바른전자,20210414,1005
85,A064520,바른전자,20210413,1005
86,A064520,바른전자,20210412,1005
87,A064520,바른전자,20210409,1005
88,A064520,바른전자,20210408,1005
89,A064520,바른전자,20210407,1005
90,A064520,바른전자,20210406,1005
91,A064520,바른전자,20210405,1005
92,A064520,바른전자,20210402,1005
93,A064520,바른전자,20210401,1005
94,A064520,바른전자,20210331,1005
95,A064520,바른전자,20210330,1005
96,A064520,바른전자,20210329,1005
97,A064520,바른전자,20210326,1005
98,A064520,바른전자,20210325,1005
99,A064520,바른전자,20210324,1005
100,A064520,바른전자,20210323,1005
101,A064520,바른전자,20210322,1005
102,A064520,바른전자,20210319,1005
103,A064520,바른전자,20210318,1005
104,A064520,바른전자,20210317,1005
105,A064520,바른전자,20210316,1005
106,A064520,바른전자,20210315,1005
107,A064520,바른전자,20210312,1005
108,A064520,바른전자,20210311,1005
109,A064520,바른전자,20210310,1005
110,A064520,바른전자,20210309,1005
111,A064520,바른전자,20210308,1005
112,A064520,바른전자,20210305,1005
113,A064520,바른전자,20210304,1005
114,A064520,바른전자,20210303,1005
115,A064520,바른전자,20210302,1005
116,A064520,바른전자,20210226,1005
117,A064520,바른전자,20210225,1005
118,A064520,바른전자,20210224,1005
119,A064520,바른전자,20210223,1005
120,A064520,바른전자,20210222,1005
121,A064520,바른전자,20210219,1005
122,A064520,바른전자,20210218,1005
123,A064520,바른전자,20210217,1005
124,A064520,바른전자,20210216,1005
125,A064520,바른전자,20210215,1005
126,A064520,바른전자,20210210,1005
127,A064520,바른전자,20210209,1005
128,A064520,바른전자,20210208,1005
129,A064520,바른전자,20210205,1005
130,A064520,바른전자,20210204,1005
131,A064520,바른전자,20210203,1005
132,A064520,바른전자,20210202,1005
133,A064520,바른전자,20210201,1005
134,A064520,바른전자,20210129,1005
135,A064520,바른전자,20210128,1005
136,A064520,바른전자,20210127,1005
137,A064520,바른전자,20210126,1005
138,A064520,바른전자,20210125,1005
139,A064520,바른전자,20210122,1005
140,A064520,바른전자,20210121,1005
141,A064520,바른전자,20210120,1005
142,A064520,바른전자,20210119,1005
143,A064520,바른전자,20210118,1005
144,A064520,바른전자,20210115,1005
145,A064520,바른전자,20210114,1005
146,A064520,바른전자,20210113,1005
147,A064520,바른전자,20210112,1005
148,A064520,바른전자,20210111,1005
149,A064520,바른전자,20210108,1005
150,A064520,바른전자,20210107,1005
151,A064520,바른전자,20210106,1005
152,A064520,바른전자,20210105,1005
153,A064520,바른전자,20210104,1005
154,A064520,바른전자,20201230,1005
155,A064520,바른전자,20201229,1005
156,A064520,바른전자,20201228,1005
157,A064520,바른전자,20201224,1005
158,A064520,바른전자,20201223,1005
159,A064520,바른전자,20201222,1005
160,A064520,바른전자,20201221,1005
161,A064520,바른전자,20201218,1005
162,A064520,바른전자,20201217,1005
163,A064520,바른전자,20201216,1005
164,A064520,바른전자,20201215,1005
165,A064520,바른전자,20201214,1005
166,A064520,바른전자,20201211,1005
167,A064520,바른전자,20201210,1005
168,A064520,바른전자,20201209,1005
169,A064520,바른전자,20201208,1005
170,A064520,바른전자,20201207,1005
171,A064520,바른전자,20201204,1005
172,A064520,바른전자,20201203,1005
173,A064520,바른전자,20201202,1005
174,A064520,바른전자,20201201,1005
175,A064520,바른전자,20201130,1005
176,A064520,바른전자,20201127,1005
177,A064520,바른전자,20201126,1005
178,A064520,바른전자,20201125,1005
179,A064520,바른전자,20201124,1005
180,A064520,바른전자,20201123,1005
181,A064520,바른전자,20201120,1005
182,A064520,바른전자,20201119,1005
183,A064520,바른전자,20201118,1005
184,A064520,바른전자,20201117,1005
185,A064520,바른전자,20201116,1005
186,A064520,바른전자,20201113,1005
187,A064520,바른전자,20201112,1005
188,A064520,바른전자,20201111,1005
189,A064520,바른전자,20201110,1005
190,A064520,바른전자,20201109,1005
191,A064520,바른전자,20201106,1005
192,A064520,바른전자,20201105,1005
193,A064520,바른전자,20201104,1005
194,A064520,바른전자,20201103,1005
195,A064520,바른전자,20201102,1005
196,A064520,바른전자,20201030,1005
197,A064520,바른전자,20201029,1005
198,A064520,바른전자,20201028,1005
199,A064520,바른전자,20201027,1005
200,A064520,바른전자,20201026,1005
201,A064520,바른전자,20201023,1005
202,A064520,바른전자,20201022,1005
203,A064520,바른전자,20201021,1005
204,A064520,바른전자,20201020,1005
205,A064520,바른전자,20201019,1005
206,A064520,바른전자,20201016,1005
207,A064520,바른전자,20201015,1005
208,A064520,바른전자,20201014,1005
209,A064520,바른전자,20201013,1005
210,A064520,바른전자,20201012,1005
211,A064520,바른전자,20201008,1005
212,A064520,바른전자,20201007,1005
213,A064520,바른전자,20201006,1005
214,A064520,바른전자,20201005,1005
215,A064520,바른전자,20200929,1005
216,A064520,바른전자,20200928,1005
217,A064520,바른전자,20200925,1005
218,A064520,바른전자,20200924,1005
219,A064520,바른전자,20200923,1005
220,A064520,바른전자,20200922,1005
221,A064520,바른전자,20200921,1005
222,A064520,바른전자,20200918,1005
223,A064520,바른전자,20200917,1005
224,A064520,바른전자,20200916,1005
225,A064520,바른전자,20200915,1005
226,A064520,바른전자,20200914,1005
227,A064520,바른전자,20200911,1005
228,A064520,바른전자,20200910,1005
229,A064520,바른전자,20200909,1005
230,A064520,바른전자,20200908,1005
231,A064520,바른전자,20200907,1005
232,A064520,바른전자,20200904,1005
233,A064520,바른전자,20200903,1005
234,A064520,바른전자,20200902,1005
235,A064520,바른전자,20200901,1005
236,A064520,바른전자,20200831,1005
237,A064520,바른전자,20200828,1005
238,A064520,바른전자,20200827,1005
239,A064520,바른전자,20200826,1005
240,A064520,바른전자,20200825,1005
241,A064520,바른전자,20200824,1005
242,A064520,바른전자,20200821,1005
243,A064520,바른전자,20200820,1005
244,A064520,바른전자,20200819,1005
245,A064520,바른전자,20200818,1005
246,A064520,바른전자,20200814,1005
247,A064520,바른전자,20200813,1005
248,A064520,바른전자,20200812,1005
249,A064520,바른전자,20200811,1005
250,A064520,바른전자,20200810,1005
251,A064520,바른전자,20200807,1005
252,A064520,바른전자,20200806,1005
253,A064520,바른전자,20200805,1005
254,A064520,바른전자,20200804,1005
255,A064520,바른전자,20200803,1005
256,A064520,바른전자,20200731,1005
257,A064520,바른전자,20200730,1005
258,A064520,바른전자,20200729,1005
259,A064520,바른전자,20200728,1005
260,A064520,바른전자,20200727,1005
261,A064520,바른전자,20200724,1005
262,A064520,바른전자,20200723,1005
263,A064520,바른전자,20200722,1005
264,A064520,바른전자,20200721,1005
265,A064520,바른전자,20200720,1005
266,A064520,바른전자,20200717,1005
267,A064520,바른전자,20200716,1005
268,A064520,바른전자,20200715,1005
269,A064520,바른전자,20200714,1005
270,A064520,바른전자,20200713,1005
271,A064520,바른전자,20200710,1005
272,A064520,바른전자,20200709,1005
273,A064520,바른전자,20200708,1005
274,A064520,바른전자,20200707,1005
275,A064520,바른전자,20200706,1005
276,A064520,바른전자,20200703,1005
277,A064520,바른전자,20200702,1005
278,A064520,바른전자,20200701,1005
279,A064520,바른전자,20200630,1005
280,A064520,바른전자,20200629,1005
281,A064520,바른전자,20200626,1005
282,A064520,바른전자,20200625,1005
283,A064520,바른전자,20200624,1005
284,A064520,바른전자,20200623,1005
285,A064520,바른전자,20200622,1005
286,A064520,바른전자,20200619,1005
287,A064520,바른전자,20200618,1005
288,A064520,바른전자,20200617,1005
289,A064520,바른전자,20200616,1005
290,A064520,바른전자,20200615,1005
291,A064520,바른전자,20200612,1005
292,A064520,바른전자,20200611,1005
293,A064520,바른전자,20200610,1005
294,A064520,바른전자,20200609,1005
295,A064520,바른전자,20200608,1005
296,A064520,바른전자,20200605,1210
297,A064520,바른전자,20200604,1210
298,A064520,바른전자,20200603,1210
299,A064520,바른전자,20200602,1210
300,A064520,바른전자,20200601,1210
301,A064520,바른전자,20200529,1210
302,A064520,바른전자,20200528,1210
303,A064520,바른전자,20200527,1210
304,A064520,바른전자,20200526,1210
305,A064520,바른전자,20200525,1210
306,A064520,바른전자,20200522,1210
307,A064520,바른전자,20200521,1210
308,A064520,바른전자,20200520,1210
309,A064520,바른전자,20200519,1210
310,A064520,바른전자,20200518,1210
311,A064520,바른전자,20200515,1210
312,A064520,바른전자,20200514,1210
