,종목코드,종목명,날짜,종가
0,A266470,바이오인프라생명과학,20210812,3980
1,A266470,바이오인프라생명과학,20210811,3975
2,A266470,바이오인프라생명과학,20210810,3895
3,A266470,바이오인프라생명과학,20210809,3740
4,A266470,바이오인프라생명과학,20210806,3875
5,A266470,바이오인프라생명과학,20210805,3765
6,A266470,바이오인프라생명과학,20210804,3645
7,A266470,바이오인프라생명과학,20210803,3890
8,A266470,바이오인프라생명과학,20210802,3950
9,A266470,바이오인프라생명과학,20210730,4000
10,A266470,바이오인프라생명과학,20210729,3965
11,A266470,바이오인프라생명과학,20210728,3450
12,A266470,바이오인프라생명과학,20210727,3190
13,A266470,바이오인프라생명과학,20210726,3270
14,A266470,바이오인프라생명과학,20210723,3230
15,A266470,바이오인프라생명과학,20210722,3075
16,A266470,바이오인프라생명과학,20210721,3075
17,A266470,바이오인프라생명과학,20210720,3050
18,A266470,바이오인프라생명과학,20210719,3005
19,A266470,바이오인프라생명과학,20210716,3075
20,A266470,바이오인프라생명과학,20210715,3115
21,A266470,바이오인프라생명과학,20210714,3115
22,A266470,바이오인프라생명과학,20210713,3140
23,A266470,바이오인프라생명과학,20210712,2960
24,A266470,바이오인프라생명과학,20210709,2900
25,A266470,바이오인프라생명과학,20210708,2990
26,A266470,바이오인프라생명과학,20210707,2955
27,A266470,바이오인프라생명과학,20210706,2985
28,A266470,바이오인프라생명과학,20210705,2945
29,A266470,바이오인프라생명과학,20210702,2925
30,A266470,바이오인프라생명과학,20210701,2810
31,A266470,바이오인프라생명과학,20210630,2845
32,A266470,바이오인프라생명과학,20210629,2865
33,A266470,바이오인프라생명과학,20210628,2820
34,A266470,바이오인프라생명과학,20210625,2880
35,A266470,바이오인프라생명과학,20210624,2840
36,A266470,바이오인프라생명과학,20210623,2930
37,A266470,바이오인프라생명과학,20210622,2945
38,A266470,바이오인프라생명과학,20210621,2955
39,A266470,바이오인프라생명과학,20210618,2965
40,A266470,바이오인프라생명과학,20210617,2940
41,A266470,바이오인프라생명과학,20210616,2895
42,A266470,바이오인프라생명과학,20210615,2840
43,A266470,바이오인프라생명과학,20210614,2885
44,A266470,바이오인프라생명과학,20210611,2885
45,A266470,바이오인프라생명과학,20210610,2815
46,A266470,바이오인프라생명과학,20210609,2930
47,A266470,바이오인프라생명과학,20210608,2915
48,A266470,바이오인프라생명과학,20210607,2925
49,A266470,바이오인프라생명과학,20210604,2900
50,A266470,바이오인프라생명과학,20210603,2795
51,A266470,바이오인프라생명과학,20210602,2795
52,A266470,바이오인프라생명과학,20210601,2830
53,A266470,바이오인프라생명과학,20210531,2855
54,A266470,바이오인프라생명과학,20210528,2945
55,A266470,바이오인프라생명과학,20210527,2915
56,A266470,바이오인프라생명과학,20210526,2915
57,A266470,바이오인프라생명과학,20210525,2850
58,A266470,바이오인프라생명과학,20210524,2945
59,A266470,바이오인프라생명과학,20210521,2990
60,A266470,바이오인프라생명과학,20210520,3050
61,A266470,바이오인프라생명과학,20210518,3085
62,A266470,바이오인프라생명과학,20210517,3100
63,A266470,바이오인프라생명과학,20210514,3095
64,A266470,바이오인프라생명과학,20210513,2900
65,A266470,바이오인프라생명과학,20210512,3035
66,A266470,바이오인프라생명과학,20210511,3100
67,A266470,바이오인프라생명과학,20210510,3185
68,A266470,바이오인프라생명과학,20210507,3150
69,A266470,바이오인프라생명과학,20210506,3120
