,종목코드,종목명,날짜,종가
0,A222160,바이옵트로,20210812,9000
1,A222160,바이옵트로,20210811,8990
2,A222160,바이옵트로,20210810,8990
3,A222160,바이옵트로,20210809,8690
4,A222160,바이옵트로,20210806,8600
5,A222160,바이옵트로,20210805,8740
6,A222160,바이옵트로,20210804,8750
7,A222160,바이옵트로,20210803,8800
8,A222160,바이옵트로,20210802,8520
9,A222160,바이옵트로,20210730,8530
10,A222160,바이옵트로,20210729,8700
11,A222160,바이옵트로,20210728,8490
12,A222160,바이옵트로,20210727,8200
13,A222160,바이옵트로,20210726,8400
14,A222160,바이옵트로,20210723,8590
15,A222160,바이옵트로,20210722,8720
16,A222160,바이옵트로,20210721,8790
17,A222160,바이옵트로,20210720,8820
18,A222160,바이옵트로,20210719,8800
19,A222160,바이옵트로,20210716,8800
20,A222160,바이옵트로,20210715,8600
21,A222160,바이옵트로,20210714,8490
22,A222160,바이옵트로,20210713,8240
23,A222160,바이옵트로,20210712,8270
24,A222160,바이옵트로,20210709,8730
25,A222160,바이옵트로,20210708,8800
26,A222160,바이옵트로,20210707,8790
27,A222160,바이옵트로,20210706,8600
28,A222160,바이옵트로,20210705,9000
29,A222160,바이옵트로,20210702,9050
30,A222160,바이옵트로,20210701,9090
31,A222160,바이옵트로,20210630,9000
32,A222160,바이옵트로,20210629,9010
33,A222160,바이옵트로,20210628,9390
34,A222160,바이옵트로,20210625,8890
35,A222160,바이옵트로,20210624,8950
36,A222160,바이옵트로,20210623,9000
37,A222160,바이옵트로,20210622,8980
38,A222160,바이옵트로,20210621,8890
39,A222160,바이옵트로,20210618,8780
40,A222160,바이옵트로,20210617,8620
41,A222160,바이옵트로,20210616,9200
42,A222160,바이옵트로,20210615,9410
43,A222160,바이옵트로,20210614,8450
44,A222160,바이옵트로,20210611,7950
45,A222160,바이옵트로,20210610,7550
46,A222160,바이옵트로,20210609,7660
47,A222160,바이옵트로,20210608,7430
48,A222160,바이옵트로,20210607,7350
49,A222160,바이옵트로,20210604,7280
50,A222160,바이옵트로,20210603,7290
51,A222160,바이옵트로,20210602,7060
52,A222160,바이옵트로,20210601,6140
53,A222160,바이옵트로,20210531,5790
54,A222160,바이옵트로,20210528,5610
55,A222160,바이옵트로,20210527,5300
56,A222160,바이옵트로,20210526,5050
57,A222160,바이옵트로,20210525,5050
58,A222160,바이옵트로,20210524,5000
59,A222160,바이옵트로,20210521,5000
60,A222160,바이옵트로,20210520,4995
61,A222160,바이옵트로,20210518,4995
62,A222160,바이옵트로,20210517,5060
63,A222160,바이옵트로,20210514,5000
64,A222160,바이옵트로,20210513,4980
65,A222160,바이옵트로,20210512,4985
66,A222160,바이옵트로,20210511,4985
67,A222160,바이옵트로,20210510,5000
68,A222160,바이옵트로,20210507,4990
69,A222160,바이옵트로,20210506,4885
70,A222160,바이옵트로,20210504,4890
71,A222160,바이옵트로,20210503,4925
72,A222160,바이옵트로,20210430,4940
73,A222160,바이옵트로,20210429,4705
74,A222160,바이옵트로,20210428,4995
