,Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,Á¾°¡
0,A267790,¹è·²,20210812,9390
1,A267790,¹è·²,20210811,9380
2,A267790,¹è·²,20210810,9490
3,A267790,¹è·²,20210809,9600
4,A267790,¹è·²,20210806,9810
5,A267790,¹è·²,20210805,9920
6,A267790,¹è·²,20210804,9800
7,A267790,¹è·²,20210803,9410
8,A267790,¹è·²,20210802,9360
9,A267790,¹è·²,20210730,9750
10,A267790,¹è·²,20210729,9960
11,A267790,¹è·²,20210728,9850
12,A267790,¹è·²,20210727,10050
13,A267790,¹è·²,20210726,10050
14,A267790,¹è·²,20210723,10300
15,A267790,¹è·²,20210722,10400
16,A267790,¹è·²,20210721,10100
17,A267790,¹è·²,20210720,10450
18,A267790,¹è·²,20210719,10550
19,A267790,¹è·²,20210716,10750
20,A267790,¹è·²,20210715,10500
21,A267790,¹è·²,20210714,9920
22,A267790,¹è·²,20210713,10200
23,A267790,¹è·²,20210712,10250
24,A267790,¹è·²,20210709,9820
25,A267790,¹è·²,20210708,10250
26,A267790,¹è·²,20210707,10600
27,A267790,¹è·²,20210706,10800
28,A267790,¹è·²,20210705,10850
29,A267790,¹è·²,20210702,11200
30,A267790,¹è·²,20210701,11300
31,A267790,¹è·²,20210630,10950
32,A267790,¹è·²,20210629,10950
33,A267790,¹è·²,20210628,10900
34,A267790,¹è·²,20210625,10700
35,A267790,¹è·²,20210624,10800
36,A267790,¹è·²,20210623,10550
37,A267790,¹è·²,20210622,10850
38,A267790,¹è·²,20210621,11050
39,A267790,¹è·²,20210618,11250
40,A267790,¹è·²,20210617,11450
41,A267790,¹è·²,20210616,11750
42,A267790,¹è·²,20210615,11650
43,A267790,¹è·²,20210614,11700
44,A267790,¹è·²,20210611,12050
45,A267790,¹è·²,20210610,11900
46,A267790,¹è·²,20210609,12250
47,A267790,¹è·²,20210608,11450
48,A267790,¹è·²,20210607,11300
49,A267790,¹è·²,20210604,11300
50,A267790,¹è·²,20210603,12550
51,A267790,¹è·²,20210602,12650
52,A267790,¹è·²,20210601,12250
53,A267790,¹è·²,20210531,11800
54,A267790,¹è·²,20210528,11850
55,A267790,¹è·²,20210527,11700
56,A267790,¹è·²,20210526,10600
57,A267790,¹è·²,20210525,10100
58,A267790,¹è·²,20210524,10000
59,A267790,¹è·²,20210521,9990
60,A267790,¹è·²,20210520,10100
61,A267790,¹è·²,20210518,10000
62,A267790,¹è·²,20210517,9890
63,A267790,¹è·²,20210514,10200
64,A267790,¹è·²,20210513,10300
65,A267790,¹è·²,20210512,10400
66,A267790,¹è·²,20210511,10500
67,A267790,¹è·²,20210510,10050
68,A267790,¹è·²,20210507,10000
69,A267790,¹è·²,20210506,10100
70,A267790,¹è·²,20210504,9820
71,A267790,¹è·²,20210503,9460
72,A267790,¹è·²,20210430,9500
73,A267790,¹è·²,20210429,9420
74,A267790,¹è·²,20210428,9420
75,A267790,¹è·²,20210427,9680
76,A267790,¹è·²,20210426,9590
77,A267790,¹è·²,20210423,9020
78,A267790,¹è·²,20210422,9230
79,A267790,¹è·²,20210421,9300
80,A267790,¹è·²,20210420,9460
81,A267790,¹è·²,20210419,9500
82,A267790,¹è·²,20210416,9630
83,A267790,¹è·²,20210415,9420
84,A267790,¹è·²,20210414,9500
85,A267790,¹è·²,20210413,9350
86,A267790,¹è·²,20210412,9140
87,A267790,¹è·²,20210409,9040
88,A267790,¹è·²,20210408,8740
89,A267790,¹è·²,20210407,9090
90,A267790,¹è·²,20210406,9330
91,A267790,¹è·²,20210405,9420
92,A267790,¹è·²,20210402,9740
93,A267790,¹è·²,20210401,9870
94,A267790,¹è·²,20210331,9810
95,A267790,¹è·²,20210330,9680
96,A267790,¹è·²,20210329,9660
97,A267790,¹è·²,20210326,9770
98,A267790,¹è·²,20210325,9790
99,A267790,¹è·²,20210324,9470
100,A267790,¹è·²,20210323,9930
101,A267790,¹è·²,20210322,9960
102,A267790,¹è·²,20210319,10200
103,A267790,¹è·²,20210318,10250
104,A267790,¹è·²,20210317,10200
105,A267790,¹è·²,20210316,10350
106,A267790,¹è·²,20210315,10350
107,A267790,¹è·²,20210312,10150
108,A267790,¹è·²,20210311,9970
109,A267790,¹è·²,20210310,10200
110,A267790,¹è·²,20210309,10250
111,A267790,¹è·²,20210308,10600
112,A267790,¹è·²,20210305,10800
113,A267790,¹è·²,20210304,10600
114,A267790,¹è·²,20210303,10600
115,A267790,¹è·²,20210302,10100
116,A267790,¹è·²,20210226,10150
117,A267790,¹è·²,20210225,10000
118,A267790,¹è·²,20210224,10150
119,A267790,¹è·²,20210223,9850
120,A267790,¹è·²,20210222,9800
121,A267790,¹è·²,20210219,9950
122,A267790,¹è·²,20210218,9930
123,A267790,¹è·²,20210217,10050
124,A267790,¹è·²,20210216,9840
125,A267790,¹è·²,20210215,9330
126,A267790,¹è·²,20210210,9300
127,A267790,¹è·²,20210209,9250
128,A267790,¹è·²,20210208,9230
129,A267790,¹è·²,20210205,9120
130,A267790,¹è·²,20210204,9160
131,A267790,¹è·²,20210203,9250
132,A267790,¹è·²,20210202,9300
133,A267790,¹è·²,20210201,9070
134,A267790,¹è·²,20210129,8890
135,A267790,¹è·²,20210128,9110
136,A267790,¹è·²,20210127,9100
137,A267790,¹è·²,20210126,9230
138,A267790,¹è·²,20210125,9370
139,A267790,¹è·²,20210122,9350
140,A267790,¹è·²,20210121,9310
141,A267790,¹è·²,20210120,9160
142,A267790,¹è·²,20210119,8960
143,A267790,¹è·²,20210118,8890
144,A267790,¹è·²,20210115,8950
145,A267790,¹è·²,20210114,9120
146,A267790,¹è·²,20210113,8920
147,A267790,¹è·²,20210112,8850
148,A267790,¹è·²,20210111,8600
149,A267790,¹è·²,20210108,8700
150,A267790,¹è·²,20210107,8820
151,A267790,¹è·²,20210106,8820
152,A267790,¹è·²,20210105,8810
153,A267790,¹è·²,20210104,8750
154,A267790,¹è·²,20201230,8700
155,A267790,¹è·²,20201229,8630
156,A267790,¹è·²,20201228,8360
157,A267790,¹è·²,20201224,8320
158,A267790,¹è·²,20201223,8280
159,A267790,¹è·²,20201222,8470
160,A267790,¹è·²,20201221,8640
161,A267790,¹è·²,20201218,8670
162,A267790,¹è·²,20201217,8580
163,A267790,¹è·²,20201216,8680
164,A267790,¹è·²,20201215,8700
165,A267790,¹è·²,20201214,8820
166,A267790,¹è·²,20201211,8960
167,A267790,¹è·²,20201210,9000
168,A267790,¹è·²,20201209,9100
169,A267790,¹è·²,20201208,8990
170,A267790,¹è·²,20201207,9080
171,A267790,¹è·²,20201204,9200
172,A267790,¹è·²,20201203,9210
173,A267790,¹è·²,20201202,9000
174,A267790,¹è·²,20201201,8490
175,A267790,¹è·²,20201130,8460
176,A267790,¹è·²,20201127,8570
177,A267790,¹è·²,20201126,8650
178,A267790,¹è·²,20201125,8550
179,A267790,¹è·²,20201124,8650
180,A267790,¹è·²,20201123,8310
181,A267790,¹è·²,20201120,8530
182,A267790,¹è·²,20201119,8510
