,종목코드,종목명,날짜,종가
0,A251630,브이원텍,20210812,10850
1,A251630,브이원텍,20210811,11150
2,A251630,브이원텍,20210810,11350
3,A251630,브이원텍,20210809,11300
4,A251630,브이원텍,20210806,11150
5,A251630,브이원텍,20210805,11250
6,A251630,브이원텍,20210804,11200
7,A251630,브이원텍,20210803,11150
8,A251630,브이원텍,20210802,11100
9,A251630,브이원텍,20210730,11200
10,A251630,브이원텍,20210729,11100
11,A251630,브이원텍,20210728,10700
12,A251630,브이원텍,20210727,10650
13,A251630,브이원텍,20210726,10750
14,A251630,브이원텍,20210723,10900
15,A251630,브이원텍,20210722,11000
16,A251630,브이원텍,20210721,10950
17,A251630,브이원텍,20210720,10950
18,A251630,브이원텍,20210719,10500
19,A251630,브이원텍,20210716,10350
20,A251630,브이원텍,20210715,10450
21,A251630,브이원텍,20210714,10150
22,A251630,브이원텍,20210713,10300
23,A251630,브이원텍,20210712,9990
24,A251630,브이원텍,20210709,10150
25,A251630,브이원텍,20210708,10350
26,A251630,브이원텍,20210707,10550
27,A251630,브이원텍,20210706,10700
28,A251630,브이원텍,20210705,10600
29,A251630,브이원텍,20210702,10550
30,A251630,브이원텍,20210701,10650
31,A251630,브이원텍,20210630,10750
32,A251630,브이원텍,20210629,10600
33,A251630,브이원텍,20210628,10550
34,A251630,브이원텍,20210625,10600
35,A251630,브이원텍,20210624,10550
36,A251630,브이원텍,20210623,10600
37,A251630,브이원텍,20210622,10750
38,A251630,브이원텍,20210621,10550
39,A251630,브이원텍,20210618,10700
40,A251630,브이원텍,20210617,10800
41,A251630,브이원텍,20210616,10400
42,A251630,브이원텍,20210615,10450
43,A251630,브이원텍,20210614,10350
44,A251630,브이원텍,20210611,10250
45,A251630,브이원텍,20210610,10100
46,A251630,브이원텍,20210609,10100
47,A251630,브이원텍,20210608,10150
48,A251630,브이원텍,20210607,10300
49,A251630,브이원텍,20210604,10250
50,A251630,브이원텍,20210603,10400
51,A251630,브이원텍,20210602,10100
52,A251630,브이원텍,20210601,10200
53,A251630,브이원텍,20210531,10200
54,A251630,브이원텍,20210528,10200
55,A251630,브이원텍,20210527,10100
56,A251630,브이원텍,20210526,9900
57,A251630,브이원텍,20210525,9860
58,A251630,브이원텍,20210524,9850
59,A251630,브이원텍,20210521,10000
60,A251630,브이원텍,20210520,10100
61,A251630,브이원텍,20210518,10200
62,A251630,브이원텍,20210517,10150
63,A251630,브이원텍,20210514,10050
64,A251630,브이원텍,20210513,9990
65,A251630,브이원텍,20210512,10300
66,A251630,브이원텍,20210511,10400
67,A251630,브이원텍,20210510,10500
68,A251630,브이원텍,20210507,10800
69,A251630,브이원텍,20210506,10950
70,A251630,브이원텍,20210504,10800
71,A251630,브이원텍,20210503,10800
72,A251630,브이원텍,20210430,11150
73,A251630,브이원텍,20210429,11400
74,A251630,브이원텍,20210428,11500
75,A251630,브이원텍,20210427,11800
76,A251630,브이원텍,20210426,11650
77,A251630,브이원텍,20210423,11200
78,A251630,브이원텍,20210422,11000
79,A251630,브이원텍,20210421,10950
80,A251630,브이원텍,20210420,11200
81,A251630,브이원텍,20210419,11200
82,A251630,브이원텍,20210416,11050
83,A251630,브이원텍,20210415,10900
84,A251630,브이원텍,20210414,10900
85,A251630,브이원텍,20210413,11000
86,A251630,브이원텍,20210412,11000
87,A251630,브이원텍,20210409,10700
88,A251630,브이원텍,20210408,10750
89,A251630,브이원텍,20210407,10800
90,A251630,브이원텍,20210406,10900
91,A251630,브이원텍,20210405,10700
92,A251630,브이원텍,20210402,10650
93,A251630,브이원텍,20210401,10500
94,A251630,브이원텍,20210331,10450
95,A251630,브이원텍,20210330,10550
96,A251630,브이원텍,20210329,10450
97,A251630,브이원텍,20210326,10500
98,A251630,브이원텍,20210325,10600
99,A251630,브이원텍,20210324,10550
100,A251630,브이원텍,20210323,10550
101,A251630,브이원텍,20210322,10600
102,A251630,브이원텍,20210319,10650
103,A251630,브이원텍,20210318,10650
104,A251630,브이원텍,20210317,10700
105,A251630,브이원텍,20210316,10850
106,A251630,브이원텍,20210315,10900
107,A251630,브이원텍,20210312,11200
108,A251630,브이원텍,20210311,10850
109,A251630,브이원텍,20210310,10800
110,A251630,브이원텍,20210309,12050
111,A251630,브이원텍,20210308,11950
112,A251630,브이원텍,20210305,11750
113,A251630,브이원텍,20210304,10950
114,A251630,브이원텍,20210303,11000
115,A251630,브이원텍,20210302,10900
116,A251630,브이원텍,20210226,10700
117,A251630,브이원텍,20210225,11250
118,A251630,브이원텍,20210224,10800
119,A251630,브이원텍,20210223,11450
120,A251630,브이원텍,20210222,11700
121,A251630,브이원텍,20210219,12150
122,A251630,브이원텍,20210218,12350
123,A251630,브이원텍,20210217,12600
124,A251630,브이원텍,20210216,12200
125,A251630,브이원텍,20210215,11900
126,A251630,브이원텍,20210210,11550
127,A251630,브이원텍,20210209,11500
128,A251630,브이원텍,20210208,11750
129,A251630,브이원텍,20210205,11950
130,A251630,브이원텍,20210204,11300
131,A251630,브이원텍,20210203,11800
132,A251630,브이원텍,20210202,11700
133,A251630,브이원텍,20210201,11400
134,A251630,브이원텍,20210129,11350
135,A251630,브이원텍,20210128,12050
136,A251630,브이원텍,20210127,12500
137,A251630,브이원텍,20210126,12900
138,A251630,브이원텍,20210125,13200
139,A251630,브이원텍,20210122,12600
140,A251630,브이원텍,20210121,11800
141,A251630,브이원텍,20210120,11750
142,A251630,브이원텍,20210119,12050
143,A251630,브이원텍,20210118,11550
144,A251630,브이원텍,20210115,12000
145,A251630,브이원텍,20210114,11350
146,A251630,브이원텍,20210113,10550
147,A251630,브이원텍,20210112,10150
148,A251630,브이원텍,20210111,10450
149,A251630,브이원텍,20210108,10200
150,A251630,브이원텍,20210107,10450
151,A251630,브이원텍,20210106,10400
152,A251630,브이원텍,20210105,10600
153,A251630,브이원텍,20210104,10800
154,A251630,브이원텍,20201230,10500
155,A251630,브이원텍,20201229,10250
156,A251630,브이원텍,20201228,9870
157,A251630,브이원텍,20201224,10100
158,A251630,브이원텍,20201223,10500
159,A251630,브이원텍,20201222,9720
160,A251630,브이원텍,20201221,10300
161,A251630,브이원텍,20201218,10550
162,A251630,브이원텍,20201217,9970
163,A251630,브이원텍,20201216,9800
164,A251630,브이원텍,20201215,9250
165,A251630,브이원텍,20201214,9270
166,A251630,브이원텍,20201211,9410
167,A251630,브이원텍,20201210,9480
168,A251630,브이원텍,20201209,9580
169,A251630,브이원텍,20201208,9690
170,A251630,브이원텍,20201207,9700
171,A251630,브이원텍,20201204,9500
