,Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,Á¾°¡
0,A093190,ºò¼Ö·Ð,20210812,6380
1,A093190,ºò¼Ö·Ð,20210811,6260
2,A093190,ºò¼Ö·Ð,20210810,6180
3,A093190,ºò¼Ö·Ð,20210809,6170
4,A093190,ºò¼Ö·Ð,20210806,5810
5,A093190,ºò¼Ö·Ð,20210805,5910
6,A093190,ºò¼Ö·Ð,20210804,5940
7,A093190,ºò¼Ö·Ð,20210803,5980
8,A093190,ºò¼Ö·Ð,20210802,5930
9,A093190,ºò¼Ö·Ð,20210730,5870
10,A093190,ºò¼Ö·Ð,20210729,5910
11,A093190,ºò¼Ö·Ð,20210728,5780
12,A093190,ºò¼Ö·Ð,20210727,5860
13,A093190,ºò¼Ö·Ð,20210726,5920
14,A093190,ºò¼Ö·Ð,20210723,5890
15,A093190,ºò¼Ö·Ð,20210722,5800
16,A093190,ºò¼Ö·Ð,20210721,5820
17,A093190,ºò¼Ö·Ð,20210720,5940
18,A093190,ºò¼Ö·Ð,20210719,6080
19,A093190,ºò¼Ö·Ð,20210716,6000
20,A093190,ºò¼Ö·Ð,20210715,6100
21,A093190,ºò¼Ö·Ð,20210714,5880
22,A093190,ºò¼Ö·Ð,20210713,5870
23,A093190,ºò¼Ö·Ð,20210712,5910
24,A093190,ºò¼Ö·Ð,20210709,6060
25,A093190,ºò¼Ö·Ð,20210708,6080
26,A093190,ºò¼Ö·Ð,20210707,6220
27,A093190,ºò¼Ö·Ð,20210706,6280
28,A093190,ºò¼Ö·Ð,20210705,6140
29,A093190,ºò¼Ö·Ð,20210702,6310
30,A093190,ºò¼Ö·Ð,20210701,6110
31,A093190,ºò¼Ö·Ð,20210630,6250
32,A093190,ºò¼Ö·Ð,20210629,6070
33,A093190,ºò¼Ö·Ð,20210628,6090
34,A093190,ºò¼Ö·Ð,20210625,6100
35,A093190,ºò¼Ö·Ð,20210624,6050
36,A093190,ºò¼Ö·Ð,20210623,6200
37,A093190,ºò¼Ö·Ð,20210622,6170
38,A093190,ºò¼Ö·Ð,20210621,5960
39,A093190,ºò¼Ö·Ð,20210618,6050
40,A093190,ºò¼Ö·Ð,20210617,6050
41,A093190,ºò¼Ö·Ð,20210616,6060
42,A093190,ºò¼Ö·Ð,20210615,6150
43,A093190,ºò¼Ö·Ð,20210614,6260
44,A093190,ºò¼Ö·Ð,20210611,6000
45,A093190,ºò¼Ö·Ð,20210610,6050
46,A093190,ºò¼Ö·Ð,20210609,6030
47,A093190,ºò¼Ö·Ð,20210608,6140
48,A093190,ºò¼Ö·Ð,20210607,6180
49,A093190,ºò¼Ö·Ð,20210604,5900
50,A093190,ºò¼Ö·Ð,20210603,5660
51,A093190,ºò¼Ö·Ð,20210602,5580
52,A093190,ºò¼Ö·Ð,20210601,5580
53,A093190,ºò¼Ö·Ð,20210531,5440
54,A093190,ºò¼Ö·Ð,20210528,5380
55,A093190,ºò¼Ö·Ð,20210527,5400
56,A093190,ºò¼Ö·Ð,20210526,5340
57,A093190,ºò¼Ö·Ð,20210525,5350
58,A093190,ºò¼Ö·Ð,20210524,5330
59,A093190,ºò¼Ö·Ð,20210521,5270
60,A093190,ºò¼Ö·Ð,20210520,5230
61,A093190,ºò¼Ö·Ð,20210518,5200
62,A093190,ºò¼Ö·Ð,20210517,5200
63,A093190,ºò¼Ö·Ð,20210514,5420
64,A093190,ºò¼Ö·Ð,20210513,5440
65,A093190,ºò¼Ö·Ð,20210512,5470
66,A093190,ºò¼Ö·Ð,20210511,5490
67,A093190,ºò¼Ö·Ð,20210510,5480
68,A093190,ºò¼Ö·Ð,20210507,5530
69,A093190,ºò¼Ö·Ð,20210506,5440
70,A093190,ºò¼Ö·Ð,20210504,5430
71,A093190,ºò¼Ö·Ð,20210503,5420
72,A093190,ºò¼Ö·Ð,20210430,5460
73,A093190,ºò¼Ö·Ð,20210429,5400
74,A093190,ºò¼Ö·Ð,20210428,5420
75,A093190,ºò¼Ö·Ð,20210427,5500
76,A093190,ºò¼Ö·Ð,20210426,5530
77,A093190,ºò¼Ö·Ð,20210423,5460
78,A093190,ºò¼Ö·Ð,20210422,5460
79,A093190,ºò¼Ö·Ð,20210421,5300
80,A093190,ºò¼Ö·Ð,20210420,5440
81,A093190,ºò¼Ö·Ð,20210419,5450
82,A093190,ºò¼Ö·Ð,20210416,5380
83,A093190,ºò¼Ö·Ð,20210415,5390
84,A093190,ºò¼Ö·Ð,20210414,5390
85,A093190,ºò¼Ö·Ð,20210413,5370
86,A093190,ºò¼Ö·Ð,20210412,5440
87,A093190,ºò¼Ö·Ð,20210409,5190
88,A093190,ºò¼Ö·Ð,20210408,5170
89,A093190,ºò¼Ö·Ð,20210407,5190
90,A093190,ºò¼Ö·Ð,20210406,5200
91,A093190,ºò¼Ö·Ð,20210405,5150
92,A093190,ºò¼Ö·Ð,20210402,5100
93,A093190,ºò¼Ö·Ð,20210401,5090
94,A093190,ºò¼Ö·Ð,20210331,4980
95,A093190,ºò¼Ö·Ð,20210330,4960
96,A093190,ºò¼Ö·Ð,20210329,4995
97,A093190,ºò¼Ö·Ð,20210326,5030
98,A093190,ºò¼Ö·Ð,20210325,5000
99,A093190,ºò¼Ö·Ð,20210324,5000
100,A093190,ºò¼Ö·Ð,20210323,5010
101,A093190,ºò¼Ö·Ð,20210322,4860
102,A093190,ºò¼Ö·Ð,20210319,4830
103,A093190,ºò¼Ö·Ð,20210318,4845
104,A093190,ºò¼Ö·Ð,20210317,4835
105,A093190,ºò¼Ö·Ð,20210316,4815
106,A093190,ºò¼Ö·Ð,20210315,4785
107,A093190,ºò¼Ö·Ð,20210312,4735
108,A093190,ºò¼Ö·Ð,20210311,4695
109,A093190,ºò¼Ö·Ð,20210310,4685
110,A093190,ºò¼Ö·Ð,20210309,4690
111,A093190,ºò¼Ö·Ð,20210308,4770
112,A093190,ºò¼Ö·Ð,20210305,4775
113,A093190,ºò¼Ö·Ð,20210304,4875
114,A093190,ºò¼Ö·Ð,20210303,4810
115,A093190,ºò¼Ö·Ð,20210302,4825
116,A093190,ºò¼Ö·Ð,20210226,4770
117,A093190,ºò¼Ö·Ð,20210225,4810
118,A093190,ºò¼Ö·Ð,20210224,4710
119,A093190,ºò¼Ö·Ð,20210223,4990
120,A093190,ºò¼Ö·Ð,20210222,5020
121,A093190,ºò¼Ö·Ð,20210219,4980
122,A093190,ºò¼Ö·Ð,20210218,5080
123,A093190,ºò¼Ö·Ð,20210217,5030
124,A093190,ºò¼Ö·Ð,20210216,4925
125,A093190,ºò¼Ö·Ð,20210215,4815
126,A093190,ºò¼Ö·Ð,20210210,4715
127,A093190,ºò¼Ö·Ð,20210209,4660
128,A093190,ºò¼Ö·Ð,20210208,4775
129,A093190,ºò¼Ö·Ð,20210205,4745
130,A093190,ºò¼Ö·Ð,20210204,4710
131,A093190,ºò¼Ö·Ð,20210203,4700
132,A093190,ºò¼Ö·Ð,20210202,4700
133,A093190,ºò¼Ö·Ð,20210201,4575
134,A093190,ºò¼Ö·Ð,20210129,4540
135,A093190,ºò¼Ö·Ð,20210128,4715
136,A093190,ºò¼Ö·Ð,20210127,4750
137,A093190,ºò¼Ö·Ð,20210126,4710
138,A093190,ºò¼Ö·Ð,20210125,4655
139,A093190,ºò¼Ö·Ð,20210122,4625
140,A093190,ºò¼Ö·Ð,20210121,4615
141,A093190,ºò¼Ö·Ð,20210120,4625
142,A093190,ºò¼Ö·Ð,20210119,4565
143,A093190,ºò¼Ö·Ð,20210118,4565
144,A093190,ºò¼Ö·Ð,20210115,4575
145,A093190,ºò¼Ö·Ð,20210114,4620
146,A093190,ºò¼Ö·Ð,20210113,4610
147,A093190,ºò¼Ö·Ð,20210112,4495
148,A093190,ºò¼Ö·Ð,20210111,4395
149,A093190,ºò¼Ö·Ð,20210108,4520
150,A093190,ºò¼Ö·Ð,20210107,4565
151,A093190,ºò¼Ö·Ð,20210106,4545
152,A093190,ºò¼Ö·Ð,20210105,4515
153,A093190,ºò¼Ö·Ð,20210104,4610
154,A093190,ºò¼Ö·Ð,20201230,4615
155,A093190,ºò¼Ö·Ð,20201229,4525
156,A093190,ºò¼Ö·Ð,20201228,4585
157,A093190,ºò¼Ö·Ð,20201224,4515
158,A093190,ºò¼Ö·Ð,20201223,4500
159,A093190,ºò¼Ö·Ð,20201222,4485
160,A093190,ºò¼Ö·Ð,20201221,4530
161,A093190,ºò¼Ö·Ð,20201218,4540
162,A093190,ºò¼Ö·Ð,20201217,4480
163,A093190,ºò¼Ö·Ð,20201216,4480
164,A093190,ºò¼Ö·Ð,20201215,4460
165,A093190,ºò¼Ö·Ð,20201214,4470
166,A093190,ºò¼Ö·Ð,20201211,4465
167,A093190,ºò¼Ö·Ð,20201210,4460
168,A093190,ºò¼Ö·Ð,20201209,4460
169,A093190,ºò¼Ö·Ð,20201208,4455
170,A093190,ºò¼Ö·Ð,20201207,4460
171,A093190,ºò¼Ö·Ð,20201204,4470
172,A093190,ºò¼Ö·Ð,20201203,4460
173,A093190,ºò¼Ö·Ð,20201202,4445
174,A093190,ºò¼Ö·Ð,20201201,4455
175,A093190,ºò¼Ö·Ð,20201130,4450
176,A093190,ºò¼Ö·Ð,20201127,4455
177,A093190,ºò¼Ö·Ð,20201126,4455
178,A093190,ºò¼Ö·Ð,20201125,4450
179,A093190,ºò¼Ö·Ð,20201124,4425
180,A093190,ºò¼Ö·Ð,20201123,4430
181,A093190,ºò¼Ö·Ð,20201120,4415
182,A093190,ºò¼Ö·Ð,20201119,4420
183,A093190,ºò¼Ö·Ð,20201118,4410
184,A093190,ºò¼Ö·Ð,20201117,4400
185,A093190,ºò¼Ö·Ð,20201116,4370
186,A093190,ºò¼Ö·Ð,20201113,4380
187,A093190,ºò¼Ö·Ð,20201112,4360
188,A093190,ºò¼Ö·Ð,20201111,4350
189,A093190,ºò¼Ö·Ð,20201110,4295
190,A093190,ºò¼Ö·Ð,20201109,4290
191,A093190,ºò¼Ö·Ð,20201106,4250
192,A093190,ºò¼Ö·Ð,20201105,4250
193,A093190,ºò¼Ö·Ð,20201104,4230
194,A093190,ºò¼Ö·Ð,20201103,4220
195,A093190,ºò¼Ö·Ð,20201102,4225
