,辆格内靛,辆格疙,朝楼,辆啊
0,A210120,候刨明,20210812,14700
1,A210120,候刨明,20210811,13200
2,A210120,候刨明,20210810,13200
3,A210120,候刨明,20210809,13350
4,A210120,候刨明,20210806,12900
5,A210120,候刨明,20210805,12500
6,A210120,候刨明,20210804,12900
7,A210120,候刨明,20210803,12350
8,A210120,候刨明,20210802,11850
9,A210120,候刨明,20210730,10950
10,A210120,候刨明,20210729,10000
11,A210120,候刨明,20210728,9860
12,A210120,候刨明,20210727,9790
13,A210120,候刨明,20210726,9210
14,A210120,候刨明,20210723,9200
15,A210120,候刨明,20210722,9270
16,A210120,候刨明,20210721,9280
17,A210120,候刨明,20210720,8920
18,A210120,候刨明,20210719,9360
19,A210120,候刨明,20210716,8810
20,A210120,候刨明,20210715,9370
21,A210120,候刨明,20210714,9990
22,A210120,候刨明,20210713,9930
23,A210120,候刨明,20210712,9990
24,A210120,候刨明,20210709,9980
25,A210120,候刨明,20210708,9000
26,A210120,候刨明,20210707,9000
27,A210120,候刨明,20210706,9980
28,A210120,候刨明,20210705,8890
29,A210120,候刨明,20210702,8900
30,A210120,候刨明,20210701,8930
31,A210120,候刨明,20210630,8060
32,A210120,候刨明,20210629,9100
33,A210120,候刨明,20210628,9340
34,A210120,候刨明,20210625,9350
35,A210120,候刨明,20210624,9440
36,A210120,候刨明,20210623,9790
37,A210120,候刨明,20210622,8880
38,A210120,候刨明,20210621,8880
39,A210120,候刨明,20210618,8880
40,A210120,候刨明,20210617,8880
41,A210120,候刨明,20210616,7850
42,A210120,候刨明,20210615,8880
43,A210120,候刨明,20210614,8880
44,A210120,候刨明,20210611,8960
45,A210120,候刨明,20210610,8140
46,A210120,候刨明,20210609,8030
47,A210120,候刨明,20210608,7860
48,A210120,候刨明,20210607,8800
49,A210120,候刨明,20210604,8500
50,A210120,候刨明,20210603,7460
51,A210120,候刨明,20210602,8590
52,A210120,候刨明,20210601,8680
53,A210120,候刨明,20210531,8850
54,A210120,候刨明,20210528,8900
55,A210120,候刨明,20210527,8220
56,A210120,候刨明,20210526,8890
57,A210120,候刨明,20210525,8890
58,A210120,候刨明,20210524,8380
59,A210120,候刨明,20210521,8720
60,A210120,候刨明,20210520,8640
61,A210120,候刨明,20210518,8630
62,A210120,候刨明,20210517,10000
63,A210120,候刨明,20210514,9090
64,A210120,候刨明,20210513,9090
65,A210120,候刨明,20210512,9280
66,A210120,候刨明,20210511,9150
67,A210120,候刨明,20210510,8860
68,A210120,候刨明,20210507,8860
69,A210120,候刨明,20210506,9300
70,A210120,候刨明,20210504,8890
71,A210120,候刨明,20210503,8590
72,A210120,候刨明,20210430,8160
73,A210120,候刨明,20210429,8170
74,A210120,候刨明,20210428,8180
75,A210120,候刨明,20210427,7630
76,A210120,候刨明,20210426,7550
77,A210120,候刨明,20210423,7200
78,A210120,候刨明,20210422,7190
79,A210120,候刨明,20210421,6700
80,A210120,候刨明,20210420,7190
81,A210120,候刨明,20210419,7290
82,A210120,候刨明,20210416,6790
83,A210120,候刨明,20210415,6800
84,A210120,候刨明,20210414,7090
85,A210120,候刨明,20210413,6680
86,A210120,候刨明,20210412,6700
87,A210120,候刨明,20210409,6490
88,A210120,候刨明,20210408,6690
89,A210120,候刨明,20210407,6670
90,A210120,候刨明,20210406,6780
91,A210120,候刨明,20210405,6810
92,A210120,候刨明,20210402,6950
93,A210120,候刨明,20210401,7400
94,A210120,候刨明,20210331,6990
95,A210120,候刨明,20210330,6690
96,A210120,候刨明,20210329,6450
97,A210120,候刨明,20210326,6390
98,A210120,候刨明,20210325,6430
99,A210120,候刨明,20210324,6470
100,A210120,候刨明,20210323,6490
101,A210120,候刨明,20210322,6000
102,A210120,候刨明,20210319,5990
103,A210120,候刨明,20210318,6090
104,A210120,候刨明,20210317,5890
105,A210120,候刨明,20210316,5700
106,A210120,候刨明,20210315,5190
107,A210120,候刨明,20210312,4630
108,A210120,候刨明,20210311,5400
109,A210120,候刨明,20210310,5300
110,A210120,候刨明,20210309,5280
111,A210120,候刨明,20210308,6010
112,A210120,候刨明,20210305,6460
113,A210120,候刨明,20210304,7020
114,A210120,候刨明,20210303,6110
115,A210120,候刨明,20210302,7180
116,A210120,候刨明,20210226,7200
117,A210120,候刨明,20210225,6300
118,A210120,候刨明,20210224,6490
119,A210120,候刨明,20210223,7000
120,A210120,候刨明,20210222,6500
121,A210120,候刨明,20210219,6280
122,A210120,候刨明,20210218,6590
123,A210120,候刨明,20210217,6030
124,A210120,候刨明,20210216,5950
125,A210120,候刨明,20210215,5970
126,A210120,候刨明,20210210,5600
127,A210120,候刨明,20210209,5900
128,A210120,候刨明,20210208,5430
129,A210120,候刨明,20210205,6190
130,A210120,候刨明,20210204,7200
131,A210120,候刨明,20210203,6500
132,A210120,候刨明,20210202,6050
133,A210120,候刨明,20210201,5380
134,A210120,候刨明,20210129,5430
135,A210120,候刨明,20210128,4860
136,A210120,候刨明,20210127,5200
137,A210120,候刨明,20210126,4940
138,A210120,候刨明,20210125,4950
139,A210120,候刨明,20210122,4420
140,A210120,候刨明,20210121,5100
141,A210120,候刨明,20210120,5100
142,A210120,候刨明,20210119,4505
143,A210120,候刨明,20210118,5100
144,A210120,候刨明,20210115,5800
145,A210120,候刨明,20210114,6000
146,A210120,候刨明,20210113,5300
147,A210120,候刨明,20210112,4900
148,A210120,候刨明,20210111,4815
149,A210120,候刨明,20210108,5200
150,A210120,候刨明,20210107,4920
151,A210120,候刨明,20210106,5550
152,A210120,候刨明,20210105,6290
153,A210120,候刨明,20210104,6500
154,A210120,候刨明,20201230,6500
155,A210120,候刨明,20201229,5850
156,A210120,候刨明,20201228,5310
157,A210120,候刨明,20201224,4625
158,A210120,候刨明,20201223,5240
159,A210120,候刨明,20201222,6000
160,A210120,候刨明,20201221,7030
161,A210120,候刨明,20201218,6280
162,A210120,候刨明,20201217,6290
163,A210120,候刨明,20201216,6330
164,A210120,候刨明,20201215,5530
165,A210120,候刨明,20201214,6490
166,A210120,候刨明,20201211,5930
167,A210120,候刨明,20201210,6970
168,A210120,候刨明,20201209,6790
169,A210120,候刨明,20201208,6490
170,A210120,候刨明,20201207,6600
