,종목코드,종목명,날짜,종가
0,A274460,사운드백신,20210812,149
1,A274460,사운드백신,20210811,168
2,A274460,사운드백신,20210810,150
3,A274460,사운드백신,20210809,160
4,A274460,사운드백신,20210806,163
5,A274460,사운드백신,20210805,168
6,A274460,사운드백신,20210804,163
7,A274460,사운드백신,20210803,155
8,A274460,사운드백신,20210802,163
9,A274460,사운드백신,20210730,168
10,A274460,사운드백신,20210729,166
11,A274460,사운드백신,20210728,170
12,A274460,사운드백신,20210727,168
13,A274460,사운드백신,20210726,167
14,A274460,사운드백신,20210723,180
15,A274460,사운드백신,20210722,175
16,A274460,사운드백신,20210721,171
17,A274460,사운드백신,20210720,173
18,A274460,사운드백신,20210719,175
19,A274460,사운드백신,20210716,167
20,A274460,사운드백신,20210715,163
21,A274460,사운드백신,20210714,172
22,A274460,사운드백신,20210713,174
23,A274460,사운드백신,20210712,175
24,A274460,사운드백신,20210709,177
25,A274460,사운드백신,20210708,169
26,A274460,사운드백신,20210707,178
27,A274460,사운드백신,20210706,180
28,A274460,사운드백신,20210705,183
29,A274460,사운드백신,20210702,185
30,A274460,사운드백신,20210701,182
31,A274460,사운드백신,20210630,184
32,A274460,사운드백신,20210629,185
33,A274460,사운드백신,20210628,186
34,A274460,사운드백신,20210625,185
35,A274460,사운드백신,20210624,191
36,A274460,사운드백신,20210623,187
37,A274460,사운드백신,20210622,188
38,A274460,사운드백신,20210621,190
39,A274460,사운드백신,20210618,193
40,A274460,사운드백신,20210617,190
41,A274460,사운드백신,20210616,189
42,A274460,사운드백신,20210615,189
43,A274460,사운드백신,20210614,194
44,A274460,사운드백신,20210611,193
45,A274460,사운드백신,20210610,198
46,A274460,사운드백신,20210609,200
47,A274460,사운드백신,20210608,202
48,A274460,사운드백신,20210607,204
49,A274460,사운드백신,20210604,200
50,A274460,사운드백신,20210603,200
51,A274460,사운드백신,20210602,204
52,A274460,사운드백신,20210601,196
53,A274460,사운드백신,20210531,200
54,A274460,사운드백신,20210528,205
55,A274460,사운드백신,20210527,202
56,A274460,사운드백신,20210526,200
57,A274460,사운드백신,20210525,206
58,A274460,사운드백신,20210524,205
59,A274460,사운드백신,20210521,213
60,A274460,사운드백신,20210520,213
61,A274460,사운드백신,20210518,218
62,A274460,사운드백신,20210517,218
63,A274460,사운드백신,20210514,216
64,A274460,사운드백신,20210513,226
65,A274460,사운드백신,20210512,230
