,Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,Á¾°¡
0,A028260,»ï¼º¹°»ê,20210812,136500
1,A028260,»ï¼º¹°»ê,20210811,138500
2,A028260,»ï¼º¹°»ê,20210810,139500
3,A028260,»ï¼º¹°»ê,20210809,142500
4,A028260,»ï¼º¹°»ê,20210806,144500
5,A028260,»ï¼º¹°»ê,20210805,145000
6,A028260,»ï¼º¹°»ê,20210804,144500
7,A028260,»ï¼º¹°»ê,20210803,143500
8,A028260,»ï¼º¹°»ê,20210802,143500
9,A028260,»ï¼º¹°»ê,20210730,141500
10,A028260,»ï¼º¹°»ê,20210729,144000
11,A028260,»ï¼º¹°»ê,20210728,142500
12,A028260,»ï¼º¹°»ê,20210727,138500
13,A028260,»ï¼º¹°»ê,20210726,136000
14,A028260,»ï¼º¹°»ê,20210723,137500
15,A028260,»ï¼º¹°»ê,20210722,137500
16,A028260,»ï¼º¹°»ê,20210721,136500
17,A028260,»ï¼º¹°»ê,20210720,131500
18,A028260,»ï¼º¹°»ê,20210719,132500
19,A028260,»ï¼º¹°»ê,20210716,134500
20,A028260,»ï¼º¹°»ê,20210715,134500
21,A028260,»ï¼º¹°»ê,20210714,134500
22,A028260,»ï¼º¹°»ê,20210713,132500
23,A028260,»ï¼º¹°»ê,20210712,131000
24,A028260,»ï¼º¹°»ê,20210709,128000
25,A028260,»ï¼º¹°»ê,20210708,130500
26,A028260,»ï¼º¹°»ê,20210707,133500
27,A028260,»ï¼º¹°»ê,20210706,135000
28,A028260,»ï¼º¹°»ê,20210705,134000
29,A028260,»ï¼º¹°»ê,20210702,134000
30,A028260,»ï¼º¹°»ê,20210701,134000
31,A028260,»ï¼º¹°»ê,20210630,136500
32,A028260,»ï¼º¹°»ê,20210629,137000
33,A028260,»ï¼º¹°»ê,20210628,137000
34,A028260,»ï¼º¹°»ê,20210625,136500
35,A028260,»ï¼º¹°»ê,20210624,135000
36,A028260,»ï¼º¹°»ê,20210623,134000
37,A028260,»ï¼º¹°»ê,20210622,133500
38,A028260,»ï¼º¹°»ê,20210621,133000
39,A028260,»ï¼º¹°»ê,20210618,136000
40,A028260,»ï¼º¹°»ê,20210617,136500
41,A028260,»ï¼º¹°»ê,20210616,138000
42,A028260,»ï¼º¹°»ê,20210615,138000
43,A028260,»ï¼º¹°»ê,20210614,139000
44,A028260,»ï¼º¹°»ê,20210611,140500
45,A028260,»ï¼º¹°»ê,20210610,140500
46,A028260,»ï¼º¹°»ê,20210609,140000
47,A028260,»ï¼º¹°»ê,20210608,143000
48,A028260,»ï¼º¹°»ê,20210607,141500
49,A028260,»ï¼º¹°»ê,20210604,140000
50,A028260,»ï¼º¹°»ê,20210603,142000
51,A028260,»ï¼º¹°»ê,20210602,141500
52,A028260,»ï¼º¹°»ê,20210601,143000
53,A028260,»ï¼º¹°»ê,20210531,138500
54,A028260,»ï¼º¹°»ê,20210528,138000
55,A028260,»ï¼º¹°»ê,20210527,137500
56,A028260,»ï¼º¹°»ê,20210526,138500
57,A028260,»ï¼º¹°»ê,20210525,138000
58,A028260,»ï¼º¹°»ê,20210524,136500
59,A028260,»ï¼º¹°»ê,20210521,137500
60,A028260,»ï¼º¹°»ê,20210520,139000
61,A028260,»ï¼º¹°»ê,20210518,139500
62,A028260,»ï¼º¹°»ê,20210517,140000
63,A028260,»ï¼º¹°»ê,20210514,140000
64,A028260,»ï¼º¹°»ê,20210513,132500
65,A028260,»ï¼º¹°»ê,20210512,136500
66,A028260,»ï¼º¹°»ê,20210511,135000
67,A028260,»ï¼º¹°»ê,20210510,136500
68,A028260,»ï¼º¹°»ê,20210507,134500
69,A028260,»ï¼º¹°»ê,20210506,133000
70,A028260,»ï¼º¹°»ê,20210504,132500
71,A028260,»ï¼º¹°»ê,20210503,132000
72,A028260,»ï¼º¹°»ê,20210430,136000
73,A028260,»ï¼º¹°»ê,20210429,140000
74,A028260,»ï¼º¹°»ê,20210428,133000
75,A028260,»ï¼º¹°»ê,20210427,137000
76,A028260,»ï¼º¹°»ê,20210426,138500
77,A028260,»ï¼º¹°»ê,20210423,135500
78,A028260,»ï¼º¹°»ê,20210422,134500
79,A028260,»ï¼º¹°»ê,20210421,135000
80,A028260,»ï¼º¹°»ê,20210420,139500
81,A028260,»ï¼º¹°»ê,20210419,138500
82,A028260,»ï¼º¹°»ê,20210416,139000
83,A028260,»ï¼º¹°»ê,20210415,136500
84,A028260,»ï¼º¹°»ê,20210414,139000
85,A028260,»ï¼º¹°»ê,20210413,135500
86,A028260,»ï¼º¹°»ê,20210412,129500
87,A028260,»ï¼º¹°»ê,20210409,129000
88,A028260,»ï¼º¹°»ê,20210408,128500
89,A028260,»ï¼º¹°»ê,20210407,129000
90,A028260,»ï¼º¹°»ê,20210406,125500
91,A028260,»ï¼º¹°»ê,20210405,125000
92,A028260,»ï¼º¹°»ê,20210402,124500
93,A028260,»ï¼º¹°»ê,20210401,124500
94,A028260,»ï¼º¹°»ê,20210331,124500
95,A028260,»ï¼º¹°»ê,20210330,126000
96,A028260,»ï¼º¹°»ê,20210329,122500
97,A028260,»ï¼º¹°»ê,20210326,123000
98,A028260,»ï¼º¹°»ê,20210325,123500
99,A028260,»ï¼º¹°»ê,20210324,118500
100,A028260,»ï¼º¹°»ê,20210323,120000
101,A028260,»ï¼º¹°»ê,20210322,120000
102,A028260,»ï¼º¹°»ê,20210319,121500
103,A028260,»ï¼º¹°»ê,20210318,121500
104,A028260,»ï¼º¹°»ê,20210317,122000
105,A028260,»ï¼º¹°»ê,20210316,124000
106,A028260,»ï¼º¹°»ê,20210315,122500
107,A028260,»ï¼º¹°»ê,20210312,123500
108,A028260,»ï¼º¹°»ê,20210311,120000
109,A028260,»ï¼º¹°»ê,20210310,118000
110,A028260,»ï¼º¹°»ê,20210309,119500
111,A028260,»ï¼º¹°»ê,20210308,119500
112,A028260,»ï¼º¹°»ê,20210305,120000
113,A028260,»ï¼º¹°»ê,20210304,122000
114,A028260,»ï¼º¹°»ê,20210303,124000
115,A028260,»ï¼º¹°»ê,20210302,122500
116,A028260,»ï¼º¹°»ê,20210226,121500
117,A028260,»ï¼º¹°»ê,20210225,125500
118,A028260,»ï¼º¹°»ê,20210224,122000
119,A028260,»ï¼º¹°»ê,20210223,124500
120,A028260,»ï¼º¹°»ê,20210222,124000
121,A028260,»ï¼º¹°»ê,20210219,126000
122,A028260,»ï¼º¹°»ê,20210218,127000
123,A028260,»ï¼º¹°»ê,20210217,131000
124,A028260,»ï¼º¹°»ê,20210216,133000
125,A028260,»ï¼º¹°»ê,20210215,132000
126,A028260,»ï¼º¹°»ê,20210210,131000
127,A028260,»ï¼º¹°»ê,20210209,131000
128,A028260,»ï¼º¹°»ê,20210208,132000
129,A028260,»ï¼º¹°»ê,20210205,134500
130,A028260,»ï¼º¹°»ê,20210204,133500
131,A028260,»ï¼º¹°»ê,20210203,136500
132,A028260,»ï¼º¹°»ê,20210202,132000
133,A028260,»ï¼º¹°»ê,20210201,130500
134,A028260,»ï¼º¹°»ê,20210129,130000
135,A028260,»ï¼º¹°»ê,20210128,134000
136,A028260,»ï¼º¹°»ê,20210127,142000
137,A028260,»ï¼º¹°»ê,20210126,141500
138,A028260,»ï¼º¹°»ê,20210125,146000
139,A028260,»ï¼º¹°»ê,20210122,146000
140,A028260,»ï¼º¹°»ê,20210121,151000
141,A028260,»ï¼º¹°»ê,20210120,142000
142,A028260,»ï¼º¹°»ê,20210119,144000
143,A028260,»ï¼º¹°»ê,20210118,143000
144,A028260,»ï¼º¹°»ê,20210115,153500
145,A028260,»ï¼º¹°»ê,20210114,152500
146,A028260,»ï¼º¹°»ê,20210113,146000
147,A028260,»ï¼º¹°»ê,20210112,145500
148,A028260,»ï¼º¹°»ê,20210111,150500
149,A028260,»ï¼º¹°»ê,20210108,151000
150,A028260,»ï¼º¹°»ê,20210107,145000
151,A028260,»ï¼º¹°»ê,20210106,139500
152,A028260,»ï¼º¹°»ê,20210105,144500
153,A028260,»ï¼º¹°»ê,20210104,144000
154,A028260,»ï¼º¹°»ê,20201230,138000
155,A028260,»ï¼º¹°»ê,20201229,136500
156,A028260,»ï¼º¹°»ê,20201228,140000
157,A028260,»ï¼º¹°»ê,20201224,139000
158,A028260,»ï¼º¹°»ê,20201223,137000
159,A028260,»ï¼º¹°»ê,20201222,132500
160,A028260,»ï¼º¹°»ê,20201221,127500
161,A028260,»ï¼º¹°»ê,20201218,129000
162,A028260,»ï¼º¹°»ê,20201217,127500
163,A028260,»ï¼º¹°»ê,20201216,128500
164,A028260,»ï¼º¹°»ê,20201215,128500
165,A028260,»ï¼º¹°»ê,20201214,130000
166,A028260,»ï¼º¹°»ê,20201211,131500
167,A028260,»ï¼º¹°»ê,20201210,125000
168,A028260,»ï¼º¹°»ê,20201209,124500
169,A028260,»ï¼º¹°»ê,20201208,124000
170,A028260,»ï¼º¹°»ê,20201207,123000
171,A028260,»ï¼º¹°»ê,20201204,123500
172,A028260,»ï¼º¹°»ê,20201203,122000
173,A028260,»ï¼º¹°»ê,20201202,122000
174,A028260,»ï¼º¹°»ê,20201201,121500
175,A028260,»ï¼º¹°»ê,20201130,120500
176,A028260,»ï¼º¹°»ê,20201127,122500
177,A028260,»ï¼º¹°»ê,20201126,122500
178,A028260,»ï¼º¹°»ê,20201125,123500
179,A028260,»ï¼º¹°»ê,20201124,125500
180,A028260,»ï¼º¹°»ê,20201123,122500
181,A028260,»ï¼º¹°»ê,20201120,121000
182,A028260,»ï¼º¹°»ê,20201119,122500
183,A028260,»ï¼º¹°»ê,20201118,123000
184,A028260,»ï¼º¹°»ê,20201117,124000
185,A028260,»ï¼º¹°»ê,20201116,124000
186,A028260,»ï¼º¹°»ê,20201113,120500
187,A028260,»ï¼º¹°»ê,20201112,120500
188,A028260,»ï¼º¹°»ê,20201111,123000
189,A028260,»ï¼º¹°»ê,20201110,116500
190,A028260,»ï¼º¹°»ê,20201109,115000
191,A028260,»ï¼º¹°»ê,20201106,115000
192,A028260,»ï¼º¹°»ê,20201105,116500
193,A028260,»ï¼º¹°»ê,20201104,114000
194,A028260,»ï¼º¹°»ê,20201103,112500
195,A028260,»ï¼º¹°»ê,20201102,112000
196,A028260,»ï¼º¹°»ê,20201030,110500
197,A028260,»ï¼º¹°»ê,20201029,111000
198,A028260,»ï¼º¹°»ê,20201028,113000
199,A028260,»ï¼º¹°»ê,20201027,115500
200,A028260,»ï¼º¹°»ê,20201026,118000
201,A028260,»ï¼º¹°»ê,20201023,104000
202,A028260,»ï¼º¹°»ê,20201022,104500
203,A028260,»ï¼º¹°»ê,20201021,104000
204,A028260,»ï¼º¹°»ê,20201020,102500
205,A028260,»ï¼º¹°»ê,20201019,103000
206,A028260,»ï¼º¹°»ê,20201016,102000
207,A028260,»ï¼º¹°»ê,20201015,102500
208,A028260,»ï¼º¹°»ê,20201014,104000
209,A028260,»ï¼º¹°»ê,20201013,105500
210,A028260,»ï¼º¹°»ê,20201012,105000
211,A028260,»ï¼º¹°»ê,20201008,104500
212,A028260,»ï¼º¹°»ê,20201007,105000
213,A028260,»ï¼º¹°»ê,20201006,104000
214,A028260,»ï¼º¹°»ê,20201005,105000
215,A028260,»ï¼º¹°»ê,20200929,105000
216,A028260,»ï¼º¹°»ê,20200928,104500
217,A028260,»ï¼º¹°»ê,20200925,102500
218,A028260,»ï¼º¹°»ê,20200924,102000
