,辆格内靛,辆格疙,朝楼,辆啊
0,A009155,伙己傈扁快,20210812,103500
1,A009155,伙己傈扁快,20210811,103000
2,A009155,伙己傈扁快,20210810,104500
3,A009155,伙己傈扁快,20210809,106000
4,A009155,伙己傈扁快,20210806,107000
5,A009155,伙己傈扁快,20210805,108000
6,A009155,伙己傈扁快,20210804,107000
7,A009155,伙己傈扁快,20210803,106000
8,A009155,伙己傈扁快,20210802,104500
9,A009155,伙己傈扁快,20210730,105500
10,A009155,伙己傈扁快,20210729,106000
11,A009155,伙己傈扁快,20210728,104500
12,A009155,伙己傈扁快,20210727,104500
13,A009155,伙己傈扁快,20210726,104000
14,A009155,伙己傈扁快,20210723,105500
15,A009155,伙己傈扁快,20210722,106000
16,A009155,伙己傈扁快,20210721,105000
17,A009155,伙己傈扁快,20210720,106000
18,A009155,伙己傈扁快,20210719,107000
19,A009155,伙己傈扁快,20210716,108000
20,A009155,伙己傈扁快,20210715,108500
21,A009155,伙己傈扁快,20210714,107000
22,A009155,伙己傈扁快,20210713,107500
23,A009155,伙己傈扁快,20210712,106500
24,A009155,伙己傈扁快,20210709,105500
25,A009155,伙己傈扁快,20210708,106000
26,A009155,伙己傈扁快,20210707,108500
27,A009155,伙己傈扁快,20210706,108000
28,A009155,伙己傈扁快,20210705,109000
29,A009155,伙己傈扁快,20210702,105500
30,A009155,伙己傈扁快,20210701,106000
31,A009155,伙己傈扁快,20210630,106500
32,A009155,伙己傈扁快,20210629,106000
33,A009155,伙己傈扁快,20210628,106000
34,A009155,伙己傈扁快,20210625,107000
35,A009155,伙己傈扁快,20210624,107500
36,A009155,伙己傈扁快,20210623,106500
37,A009155,伙己傈扁快,20210622,106000
38,A009155,伙己傈扁快,20210621,105000
39,A009155,伙己傈扁快,20210618,107000
40,A009155,伙己傈扁快,20210617,108000
41,A009155,伙己傈扁快,20210616,107500
42,A009155,伙己傈扁快,20210615,108500
43,A009155,伙己傈扁快,20210614,108500
44,A009155,伙己傈扁快,20210611,107500
45,A009155,伙己傈扁快,20210610,107500
46,A009155,伙己傈扁快,20210609,108500
47,A009155,伙己傈扁快,20210608,109000
48,A009155,伙己傈扁快,20210607,110000
49,A009155,伙己傈扁快,20210604,109000
50,A009155,伙己傈扁快,20210603,110000
51,A009155,伙己傈扁快,20210602,107500
52,A009155,伙己傈扁快,20210601,108500
53,A009155,伙己傈扁快,20210531,107000
54,A009155,伙己傈扁快,20210528,106000
55,A009155,伙己傈扁快,20210527,105000
56,A009155,伙己傈扁快,20210526,104500
57,A009155,伙己傈扁快,20210525,105500
58,A009155,伙己傈扁快,20210524,105500
59,A009155,伙己傈扁快,20210521,107500
60,A009155,伙己傈扁快,20210520,107000
61,A009155,伙己傈扁快,20210518,105500
62,A009155,伙己傈扁快,20210517,104500
63,A009155,伙己傈扁快,20210514,103500
64,A009155,伙己傈扁快,20210513,102000
65,A009155,伙己傈扁快,20210512,106000
66,A009155,伙己傈扁快,20210511,109500
67,A009155,伙己傈扁快,20210510,112500
68,A009155,伙己傈扁快,20210507,111500
69,A009155,伙己傈扁快,20210506,109500
70,A009155,伙己傈扁快,20210504,111000
71,A009155,伙己傈扁快,20210503,108000
72,A009155,伙己傈扁快,20210430,109000
73,A009155,伙己傈扁快,20210429,111500
74,A009155,伙己傈扁快,20210428,112500
75,A009155,伙己傈扁快,20210427,115000
76,A009155,伙己傈扁快,20210426,116000
77,A009155,伙己傈扁快,20210423,117500
78,A009155,伙己傈扁快,20210422,118000
79,A009155,伙己傈扁快,20210421,119500
80,A009155,伙己傈扁快,20210420,121000
81,A009155,伙己傈扁快,20210419,120500
82,A009155,伙己傈扁快,20210416,117500
83,A009155,伙己傈扁快,20210415,117000
84,A009155,伙己傈扁快,20210414,116500
85,A009155,伙己傈扁快,20210413,117000
86,A009155,伙己傈扁快,20210412,116000
87,A009155,伙己傈扁快,20210409,116000
88,A009155,伙己傈扁快,20210408,116000
89,A009155,伙己傈扁快,20210407,117000
90,A009155,伙己傈扁快,20210406,115500
91,A009155,伙己傈扁快,20210405,116000
92,A009155,伙己傈扁快,20210402,116500
93,A009155,伙己傈扁快,20210401,115500
94,A009155,伙己傈扁快,20210331,112000
95,A009155,伙己傈扁快,20210330,112500
96,A009155,伙己傈扁快,20210329,111000
97,A009155,伙己傈扁快,20210326,112500
98,A009155,伙己傈扁快,20210325,113000
99,A009155,伙己傈扁快,20210324,112500
100,A009155,伙己傈扁快,20210323,112000
101,A009155,伙己傈扁快,20210322,115500
102,A009155,伙己傈扁快,20210319,117500
103,A009155,伙己傈扁快,20210318,117500
104,A009155,伙己傈扁快,20210317,118000
105,A009155,伙己傈扁快,20210316,118000
106,A009155,伙己傈扁快,20210315,111000
107,A009155,伙己傈扁快,20210312,109500
108,A009155,伙己傈扁快,20210311,106000
109,A009155,伙己傈扁快,20210310,102000
110,A009155,伙己傈扁快,20210309,104000
111,A009155,伙己傈扁快,20210308,109500
112,A009155,伙己傈扁快,20210305,115000
113,A009155,伙己傈扁快,20210304,116500
114,A009155,伙己傈扁快,20210303,118000
115,A009155,伙己傈扁快,20210302,116500
116,A009155,伙己傈扁快,20210226,113500
117,A009155,伙己傈扁快,20210225,117500
118,A009155,伙己傈扁快,20210224,113000
119,A009155,伙己傈扁快,20210223,118000
120,A009155,伙己傈扁快,20210222,118500
121,A009155,伙己傈扁快,20210219,120500
122,A009155,伙己傈扁快,20210218,122500
123,A009155,伙己傈扁快,20210217,126500
124,A009155,伙己傈扁快,20210216,129000
125,A009155,伙己傈扁快,20210215,128500
126,A009155,伙己傈扁快,20210210,128000
127,A009155,伙己傈扁快,20210209,128500
128,A009155,伙己傈扁快,20210208,129000
129,A009155,伙己傈扁快,20210205,133500
130,A009155,伙己傈扁快,20210204,136000
131,A009155,伙己傈扁快,20210203,139000
132,A009155,伙己傈扁快,20210202,138500
133,A009155,伙己傈扁快,20210201,136500
134,A009155,伙己傈扁快,20210129,138000
135,A009155,伙己傈扁快,20210128,147500
136,A009155,伙己傈扁快,20210127,154500
137,A009155,伙己傈扁快,20210126,154500
138,A009155,伙己傈扁快,20210125,142000
139,A009155,伙己傈扁快,20210122,130000
140,A009155,伙己傈扁快,20210121,122000
141,A009155,伙己傈扁快,20210120,116500
142,A009155,伙己傈扁快,20210119,113000
143,A009155,伙己傈扁快,20210118,108500
144,A009155,伙己傈扁快,20210115,112500
145,A009155,伙己傈扁快,20210114,111000
146,A009155,伙己傈扁快,20210113,108500
147,A009155,伙己傈扁快,20210112,102500
148,A009155,伙己傈扁快,20210111,106000
149,A009155,伙己傈扁快,20210108,101000
150,A009155,伙己傈扁快,20210107,93300
151,A009155,伙己傈扁快,20210106,92600
152,A009155,伙己傈扁快,20210105,94400
153,A009155,伙己傈扁快,20210104,94000
154,A009155,伙己傈扁快,20201230,92100
155,A009155,伙己傈扁快,20201229,91800
156,A009155,伙己傈扁快,20201228,89200
157,A009155,伙己傈扁快,20201224,89200
158,A009155,伙己傈扁快,20201223,88500
159,A009155,伙己傈扁快,20201222,85500
160,A009155,伙己傈扁快,20201221,87900
161,A009155,伙己傈扁快,20201218,88800
162,A009155,伙己傈扁快,20201217,89500
163,A009155,伙己傈扁快,20201216,83400
164,A009155,伙己傈扁快,20201215,78900
165,A009155,伙己傈扁快,20201214,76500
166,A009155,伙己傈扁快,20201211,75600
167,A009155,伙己傈扁快,20201210,74800
168,A009155,伙己傈扁快,20201209,74500
169,A009155,伙己傈扁快,20201208,74300
170,A009155,伙己傈扁快,20201207,74400
171,A009155,伙己傈扁快,20201204,75600
172,A009155,伙己傈扁快,20201203,74700
173,A009155,伙己傈扁快,20201202,73700
174,A009155,伙己傈扁快,20201201,72500
175,A009155,伙己傈扁快,20201130,70900
176,A009155,伙己傈扁快,20201127,70500
177,A009155,伙己傈扁快,20201126,68300
178,A009155,伙己傈扁快,20201125,67700
179,A009155,伙己傈扁快,20201124,67000
180,A009155,伙己傈扁快,20201123,67300
181,A009155,伙己傈扁快,20201120,66400
182,A009155,伙己傈扁快,20201119,66500
183,A009155,伙己傈扁快,20201118,66200
184,A009155,伙己傈扁快,20201117,67100
185,A009155,伙己傈扁快,20201116,67600
186,A009155,伙己傈扁快,20201113,66500
187,A009155,伙己傈扁快,20201112,63000
188,A009155,伙己傈扁快,20201111,62500
189,A009155,伙己傈扁快,20201110,62200
190,A009155,伙己傈扁快,20201109,62200
191,A009155,伙己傈扁快,20201106,61800
192,A009155,伙己傈扁快,20201105,62200
193,A009155,伙己傈扁快,20201104,62000
194,A009155,伙己傈扁快,20201103,61200
195,A009155,伙己傈扁快,20201102,60400
196,A009155,伙己傈扁快,20201030,60200
197,A009155,伙己傈扁快,20201029,61000
